merged_commit_sha,base_sha,date,merge_or_rebase
3092ff1768d9b2b5c0e11eb0b0a4b50bdf518931,d2fa4833807b583a44b8a91b4d7ae0cb61eaabc9,2020-09-10 17:40:55,rebase
d2fa4833807b583a44b8a91b4d7ae0cb61eaabc9,0ab5d0f4aa6d897083acd6dbb93605197e4f483d,2020-07-08 21:10:18,rebase
0ab5d0f4aa6d897083acd6dbb93605197e4f483d,96744a3cafb457d406ec3794839e70f36b8be13e,2020-06-29 18:33:11,rebase
4f480ed06f50afa596371c4b311e28941a205439,0b4765af0eb788eac0f9b0c929e73bf6ab12bf93,2020-06-28 19:25:28,merge
96744a3cafb457d406ec3794839e70f36b8be13e,79c882c3f4af3cf52ad43e5c95851f25d217ac17,2020-06-29 16:41:06,rebase
a360cb91118bf764525e5c64b1b997f164404231,79c882c3f4af3cf52ad43e5c95851f25d217ac17,,merge
9c91de67d5ffe85c2cef426c007b8b4b629c6078,d2fa4833807b583a44b8a91b4d7ae0cb61eaabc9,2020-09-04 19:49:34,rebase
0b4765af0eb788eac0f9b0c929e73bf6ab12bf93,79c882c3f4af3cf52ad43e5c95851f25d217ac17,2020-06-27 05:13:07,rebase
c2d3ddecf1dc2c2dc399ebec5216cd027bab4965,6764f47c1eff039c274b08869213a734e2e58eea,,merge
4a0f70cb87a66d45bfc02c411dec5b3fa2efbf4b,6764f47c1eff039c274b08869213a734e2e58eea,,merge
7d42a546424ff2fa69a7eba1c084293fadc7e62f,ad5dd6beedc18481d854ef882a6d453355e7afb4,2019-07-08 20:25:47,rebase
a2e9f7fd2192259903cc652d76d4fb9ad4cb37c7,ad5dd6beedc18481d854ef882a6d453355e7afb4,,merge
9eb5953ad2276c6fa9871b5ed6bdd0410f143c94,bf9969400c99009e0aebb0960c5e599f5cc0396d,2019-06-13 11:06:03,rebase
bf9969400c99009e0aebb0960c5e599f5cc0396d,e4f62e81f70a3c4a992505cb70b3a10a5878c5be,2019-06-12 21:57:26,rebase
e4f62e81f70a3c4a992505cb70b3a10a5878c5be,cc57fb7844692cc775e162da00fa3d59bf34d4fe,2019-05-29 21:05:45,merge
cc57fb7844692cc775e162da00fa3d59bf34d4fe,7b7c43b6f3f7c2c8fa36708d82cd31ab9ece3208,2019-05-28 21:27:11,rebase
7b7c43b6f3f7c2c8fa36708d82cd31ab9ece3208,ef45e0018209539a7ad901002240412903a01a6a,2019-05-27 22:10:41,rebase
6cd3f60845a0aa59071667fe3214cdfb5e98ccc1,ef45e0018209539a7ad901002240412903a01a6a,2019-05-27 21:32:20,rebase
ef45e0018209539a7ad901002240412903a01a6a,a5d574ef4bb131238636fc2e7ebffd863ed122de,2019-05-27 21:10:30,merge
41a1fef373bd150045b82ccc796e18490f9bfeca,5f62474f4b1fd1a68ef12069921b0660d67222bd,,merge
5f62474f4b1fd1a68ef12069921b0660d67222bd,98c5a270945fe087d256711862c83cad94a61a1c,2019-02-14 19:39:35,rebase
98c5a270945fe087d256711862c83cad94a61a1c,309dbf38259be5183ebda67fd42f35541f229bc3,2019-01-30 19:27:18,merge
14f7cc7dbaae1d2826fc3120a1224f95ab6c3561,71c4daca1e7a50157b2df1e962a2558efaf364c2,2019-01-26 19:00:24,rebase
255a1026805810fe92cd10b0b371dd1f5cd0be04,1e6e8ab446d5ca2ccaf74c051a4cdba0e29c4a62,2019-01-26 18:06:15,rebase
1e6e8ab446d5ca2ccaf74c051a4cdba0e29c4a62,c64a19b0f1fed551113e5f6586f1b8df3a8c13e7,2018-12-18 21:18:14,rebase
71c4daca1e7a50157b2df1e962a2558efaf364c2,1e6e8ab446d5ca2ccaf74c051a4cdba0e29c4a62,2019-01-26 18:37:30,rebase
c64a19b0f1fed551113e5f6586f1b8df3a8c13e7,44db23d8d919f8c94faa30929550f660dcdbffd1,2018-12-18 11:42:18,merge
44db23d8d919f8c94faa30929550f660dcdbffd1,c969f47c05e12abaadac44b8e9a6221abaa8eee5,2018-12-10 08:36:40,merge
5beb2a4cd1aa363a1e6b7e04f9c3d19599f6ab5b,9c0b87343754e444cb627d630df075eb50d3a2e6,2018-11-23 22:34:43,rebase
9c0b87343754e444cb627d630df075eb50d3a2e6,a814d9bb0edc23f22adaeadf95a57758c13897b8,2018-11-22 22:58:51,rebase
309dbf38259be5183ebda67fd42f35541f229bc3,14f7cc7dbaae1d2826fc3120a1224f95ab6c3561,2019-01-30 18:23:47,rebase
aded1e6839563987fc78c8e2b7c418b995412467,a814d9bb0edc23f22adaeadf95a57758c13897b8,,merge
9456c65519127913468df10854cf2d12a4b0b7cc,c969f47c05e12abaadac44b8e9a6221abaa8eee5,,merge
a814d9bb0edc23f22adaeadf95a57758c13897b8,5ed2f8b8fb8061fddbed85b5209a26c2ceb3a317,2018-10-18 08:09:59,rebase
6c67c9bf676935bc031c365d8b195488e9a7fbe0,a8ce58f7e0e52b30b1f9def191d31011c70134d9,2018-07-23 17:59:58,rebase
2a7e880360af5e622ce21c8c0373e5b47b19397d,b2cb01957cd42d3d7321390bba2cd35608f89f32,2018-07-12 08:32:49,rebase
090fbfd87a6fbe2a47aae75b4f98055c5fc25984,b2cb01957cd42d3d7321390bba2cd35608f89f32,2018-07-12 08:32:28,rebase
a8ce58f7e0e52b30b1f9def191d31011c70134d9,2a7e880360af5e622ce21c8c0373e5b47b19397d,2018-07-12 09:04:22,rebase
b2cb01957cd42d3d7321390bba2cd35608f89f32,94564568181618d04b059826fa8318415c92af25,2018-07-10 07:34:53,rebase
8c8f12c291a0b1573cf83c5171c81899f9448931,94564568181618d04b059826fa8318415c92af25,2018-07-12 08:20:03,merge
94564568181618d04b059826fa8318415c92af25,9c5670fe00e1f5571bd4980c7161e8007e5c558a,2018-07-02 12:57:13,rebase
9c5670fe00e1f5571bd4980c7161e8007e5c558a,d3e14a818b933d948ea82464b197a5aeb152f070,2018-06-28 11:16:15,rebase
a9fb79aca3c4720abefceabd157e31f47bb87b2f,d3e14a818b933d948ea82464b197a5aeb152f070,2018-07-02 11:10:45,rebase
d3e14a818b933d948ea82464b197a5aeb152f070,b9a3f4d3962d9213546c1623f994b9a73aebd2d1,2018-06-06 12:09:06,rebase
a40127095afe5cceef1bee78a1ec14240ac64c9b,b5415e5e494b6a2bf6ae029d295d71d506960e4a,2018-05-26 19:12:36,rebase
b9a3f4d3962d9213546c1623f994b9a73aebd2d1,a40127095afe5cceef1bee78a1ec14240ac64c9b,2018-06-04 19:14:36,rebase
b5415e5e494b6a2bf6ae029d295d71d506960e4a,11066d77bcee17e4175679cfa0e9133957695671,2018-05-23 21:08:45,rebase
9efbc7348a0c2c199f490ee7d72325e6c03589b5,70546abba6d7cf9a457fc79a02fea2d81c60586c,2018-04-30 13:07:41,rebase
70546abba6d7cf9a457fc79a02fea2d81c60586c,3f87629864f69c0e55f22a586e731a5662b9667c,2018-04-30 12:38:09,rebase
3f87629864f69c0e55f22a586e731a5662b9667c,f2378ec82e92f124ddac8468a545fa04bf9eddfe,2018-04-30 09:02:17,rebase
11066d77bcee17e4175679cfa0e9133957695671,ccc47c152d557e1d308da1e65e3d4f5148d92603,2018-05-17 17:48:11,rebase
f2378ec82e92f124ddac8468a545fa04bf9eddfe,04183b0773a1ab54b259c3426bbb5207d0ee6dd7,2018-04-25 08:32:29,rebase
bfb736e059f07770d4b924462abcaea3a5981f81,04183b0773a1ab54b259c3426bbb5207d0ee6dd7,2018-04-18 11:02:21,rebase
04183b0773a1ab54b259c3426bbb5207d0ee6dd7,9857f031b3b1f7a31ec0430d03d528192efd08ba,2018-04-18 10:12:10,rebase
39324a374bcd18030c89eae5d32ea2b2b2778f5b,d6019485b3b741c7f53f1524036de31c46746c0b,2018-04-17 10:47:47,rebase
861e8d75c9758cca8a209f3339ebaa279cb0d3e8,1df4b5a2e9194bf5b882908a8c341764429cd87e,2018-04-12 13:34:40,rebase
ccc47c152d557e1d308da1e65e3d4f5148d92603,04183b0773a1ab54b259c3426bbb5207d0ee6dd7,2018-05-03 20:02:37,rebase
fa974790f178410b0813a2d7670c0f053aada8ac,1df4b5a2e9194bf5b882908a8c341764429cd87e,,merge
1df4b5a2e9194bf5b882908a8c341764429cd87e,8762511dc21c7d7156b884e7afffe1ed4f9aa416,2018-04-02 09:31:53,rebase
8762511dc21c7d7156b884e7afffe1ed4f9aa416,5022edb2ef5896e9a344f1ee2d0db8fe1cbdc07f,2018-03-29 10:17:54,rebase
3b8cdaa530942697389cfee4536d02ea77f53580,04183b0773a1ab54b259c3426bbb5207d0ee6dd7,,merge
5022edb2ef5896e9a344f1ee2d0db8fe1cbdc07f,ebc732a7fbf5a0372bdf19e56984eb9c32b9b479,2018-03-21 13:48:24,merge
8e33bd1f6403fbadb8383d616626cf1f860a5006,9857f031b3b1f7a31ec0430d03d528192efd08ba,2018-04-18 10:07:58,rebase
d6f7c3e9ca1c59d5d863089b7e6a7c2557bb42b1,68a9aa64b69fce9a252bcabac5d0d11cd41fdb77,2018-03-15 13:50:01,rebase
ebc732a7fbf5a0372bdf19e56984eb9c32b9b479,d6f7c3e9ca1c59d5d863089b7e6a7c2557bb42b1,2018-03-19 11:36:21,merge
3d696252e6789353595da54db1aa40e533dcfe83,9121cedad8b8eddc8993552ba87a06fbc92f97be,,merge
68a9aa64b69fce9a252bcabac5d0d11cd41fdb77,9121cedad8b8eddc8993552ba87a06fbc92f97be,2018-03-14 14:56:07,merge
9121cedad8b8eddc8993552ba87a06fbc92f97be,c65fc025c2612be77757c28495dc7290dec402be,2018-02-15 13:49:19,rebase
c65fc025c2612be77757c28495dc7290dec402be,0aaa1d2739c8f402c8403884389afc7bb072ca10,2018-02-15 12:29:47,rebase
0aaa1d2739c8f402c8403884389afc7bb072ca10,45832a734087556fa9934a62babd75918b468a6a,2018-02-15 09:08:43,rebase
9857f031b3b1f7a31ec0430d03d528192efd08ba,861e8d75c9758cca8a209f3339ebaa279cb0d3e8,2018-04-18 09:28:18,rebase
8bdf92592425aedacf587c127b1fcb70c10d108f,dc7bd5ff68a146fb6027e09d6be82050e84ca620,2018-01-20 19:28:55,rebase
dc7bd5ff68a146fb6027e09d6be82050e84ca620,cb18ff1126149902841877db1d49bf575bc279be,2018-01-18 10:39:31,rebase
cb18ff1126149902841877db1d49bf575bc279be,2f94c73ebc8fa4672bd4ac9e56297d5483afe1c7,2018-01-16 13:00:44,rebase
19aa57a91955a1f51c251b1d39f2dbeb2b110891,46133b58a4eb3f92b9feed4719ea072247a1f131,2018-01-11 15:47:17,merge
46133b58a4eb3f92b9feed4719ea072247a1f131,0cb057d424a39b4a18c434656149c3190d97b457,2018-01-11 14:41:19,rebase
0cb057d424a39b4a18c434656149c3190d97b457,a91416835f8765e843046e50304d6c7b5c06c693,2018-01-10 22:36:09,rebase
a91416835f8765e843046e50304d6c7b5c06c693,6fde40a7570a30b8386c4d7461dba53ddcdf0825,2018-01-09 20:34:57,rebase
b3340f0481eb358724dd158b5427fc99a6950638,062ca4d1af5971d9e066f50b03a47b8f81f06553,2018-01-03 21:57:02,rebase
7e8f20b56d06f44783b33b9c57d35d83e3a45405,062ca4d1af5971d9e066f50b03a47b8f81f06553,2018-01-03 21:56:02,merge
9dc8fa09aa42618df17986b3899f6f3803e2f557,a1e9beef03412ebe437b401628b4d003deaa59d9,2017-12-25 22:45:06,merge
923883fbc79054a16a00bcdd0fc20302ac201d35,40bbc124e2b388ed8081abde19d846932f5111bd,2017-12-15 13:33:07,rebase
f5965abfcd51c9deec2265dd6850237092078c71,da30cf2f67af122776d26ce2d012fc44a86fb888,2017-12-13 14:48:40,rebase
a1e9beef03412ebe437b401628b4d003deaa59d9,0e2075464a23f7cec5ddec92dfeaff5b5f32cf6e,2017-12-21 17:26:52,rebase
40bbc124e2b388ed8081abde19d846932f5111bd,f5965abfcd51c9deec2265dd6850237092078c71,2017-12-13 15:32:23,merge
e2a0f75d6ac846f906bf0b4b10742eca48ee2ead,0e2075464a23f7cec5ddec92dfeaff5b5f32cf6e,2017-12-21 17:26:02,merge
72789e0314c2edfb3f846c39c329d774f94557b0,5b30083fff7651cb301240e6fc6696c74b126f02,2017-12-10 21:55:03,rebase
de5bc96952c732584c75c6e61a30e73c2cd80337,71d702134790812aa31554fbc839ac8227c9650c,2017-12-08 16:55:38,rebase
02bb8f290b728611c68655690633df8a284feb9e,74584d7d6e350aa8772fb403d419434ba275fb83,,merge
6ed39385298dda9c0105ff6245e3ae9c7d82a951,74584d7d6e350aa8772fb403d419434ba275fb83,2017-12-01 14:28:45,rebase
71d702134790812aa31554fbc839ac8227c9650c,6ed39385298dda9c0105ff6245e3ae9c7d82a951,2017-12-05 10:23:38,rebase
d576fdc25ed88a35f874f9ef128b678c72752991,e7e492447a2be4d7e1b23d68d3941bea40ed880b,2017-11-29 22:54:47,merge
e7e492447a2be4d7e1b23d68d3941bea40ed880b,e9212dc4c527f7446418cefc0340b371bc4cea17,2017-11-29 22:25:51,merge
74584d7d6e350aa8772fb403d419434ba275fb83,e9212dc4c527f7446418cefc0340b371bc4cea17,2017-11-30 18:47:24,rebase
e9212dc4c527f7446418cefc0340b371bc4cea17,147c91c8b1e53bff23a432dfb28f49e08cb23450,2017-11-24 11:09:45,merge
147c91c8b1e53bff23a432dfb28f49e08cb23450,c856cd669ad0b9749edd238a304b5b4a7a901a76,2017-11-23 07:59:46,merge
4e2150084d4880ebc91761099a0690fcc7aa2feb,c856cd669ad0b9749edd238a304b5b4a7a901a76,,merge
098949832ec309f2fde309d5a60b16ebec071be6,c856cd669ad0b9749edd238a304b5b4a7a901a76,,merge
e8478379a755cca2669b9b1849ed6d2f5c35b6fa,c856cd669ad0b9749edd238a304b5b4a7a901a76,,merge
