merged_commit_sha,base_sha,date,merge_or_rebase
eafff201494a6aa3cd07159048f4722ec7509d16,09b79d84674f9ed174ebbd788408cc3043a4c418,2020-08-26 12:53:41,merge
197025cebe25f079578bcdb662dbfa84c76f6f90,09b79d84674f9ed174ebbd788408cc3043a4c418,,merge
9c0e807e75f1bef6e0b534dff4c09a45ccb1f49a,09b79d84674f9ed174ebbd788408cc3043a4c418,,merge
09b79d84674f9ed174ebbd788408cc3043a4c418,314671ca98999240939d1f1d166b6a1a083b3ab9,2020-07-07 15:00:45,merge
cfb2dc1360cc58ac47f1cc210efbe044835fd9e9,18f974a091c910675eea599e6164e8b70ca3aae8,2020-07-01 13:26:27,merge
18f974a091c910675eea599e6164e8b70ca3aae8,c4e50171520e500d53ce8c8d4cc6ff51733e4020,2020-07-01 12:54:31,merge
311698f08456f761c0ab73349719520884a910ca,e319b5b5ce74d8afde5485bc8e26be50ab25add0,2020-06-15 12:22:25,merge
c4e50171520e500d53ce8c8d4cc6ff51733e4020,311698f08456f761c0ab73349719520884a910ca,2020-06-25 03:45:27,merge
e319b5b5ce74d8afde5485bc8e26be50ab25add0,51d6c29dc4fbd690529ae83c70799178893e64e5,2020-06-05 12:16:21,merge
51d6c29dc4fbd690529ae83c70799178893e64e5,5f1e1a484ce40c1fbe91c6064a83ed778ed60c65,2020-06-04 13:01:15,merge
5f1e1a484ce40c1fbe91c6064a83ed778ed60c65,c9928a2677930953ebbee40c14380298c4685774,2020-05-20 13:21:23,merge
c9928a2677930953ebbee40c14380298c4685774,39f054978072bb262123d67738389214f7114a13,2020-05-12 14:29:03,merge
2bed007f2927fc866ec82c58c8f97acc14d5843f,555db84fe72aee99e9308b74b0b2db40e7c5955f,2020-05-12 14:28:44,merge
137a4df5b4fbbb47db5ca5e3d453913d90e2a563,555db84fe72aee99e9308b74b0b2db40e7c5955f,2020-05-12 12:54:17,merge
555db84fe72aee99e9308b74b0b2db40e7c5955f,48989cd9fe12b30761a3829e1fb888cd219e1dbc,2020-05-07 03:23:34,merge
dfceb5e6b92d007a0067ff4e9d73fe5821bf369e,48989cd9fe12b30761a3829e1fb888cd219e1dbc,2020-05-06 12:10:57,merge
39f054978072bb262123d67738389214f7114a13,9a4bda19f0a02bc18873b2c90c9c2de133632fd7,2020-05-12 13:04:38,merge
23690640ef5792a4db6649b983f4adf85ac6be9b,48989cd9fe12b30761a3829e1fb888cd219e1dbc,2020-05-06 12:11:27,merge
a5b3c34eb350c00d1d1a5d22235dceae0fdd1101,8bb1b37f1e3e6d4c009964f84f8ffc774085df7f,2020-04-29 12:15:26,merge
91e4fa31e2f4be55f51b8a2ff276772dfd29eb3f,23690640ef5792a4db6649b983f4adf85ac6be9b,2020-05-07 03:11:31,merge
d4c3386426ccefec865bab65a3fd31b054c2dbd2,8bb1b37f1e3e6d4c009964f84f8ffc774085df7f,,merge
b9da34be3982e0c75024d0f930323688e188c5dc,48989cd9fe12b30761a3829e1fb888cd219e1dbc,2020-05-07 03:08:38,merge
73e96b351d5b7b03838d3e8d6f40c150e7c025de,8bb1b37f1e3e6d4c009964f84f8ffc774085df7f,,merge
48989cd9fe12b30761a3829e1fb888cd219e1dbc,8bb1b37f1e3e6d4c009964f84f8ffc774085df7f,2020-04-29 12:58:47,merge
e8249d582d384ea3b72eec31408126a0b69619bc,23690640ef5792a4db6649b983f4adf85ac6be9b,2020-05-07 03:04:44,merge
8bb1b37f1e3e6d4c009964f84f8ffc774085df7f,b26599b821cdbd441a1653cb7ade53c30752db00,2020-04-14 19:13:37,merge
4ccbd944555fe951967296457449ac20b5764b2b,a5b3c34eb350c00d1d1a5d22235dceae0fdd1101,2020-04-29 12:58:34,merge
678d1ad31cb6f73689709a0229319eea2704d1ee,b26599b821cdbd441a1653cb7ade53c30752db00,2020-04-14 19:11:08,merge
6ad3e6e1dd7dc2536e54eada511b705ad8513f5c,b26599b821cdbd441a1653cb7ade53c30752db00,,merge
88687eb6d63931a4f3f04759c7d9481571daaadb,b26599b821cdbd441a1653cb7ade53c30752db00,,merge
9a4bda19f0a02bc18873b2c90c9c2de133632fd7,555db84fe72aee99e9308b74b0b2db40e7c5955f,2020-05-12 12:48:29,merge
f8c9b96bd9073d7020a102c65f218cf03ab8448f,4733ea8b1306cdee2484cde5891701eabca3f659,,merge
b26599b821cdbd441a1653cb7ade53c30752db00,bb1c612cb5bfb27138774b83368313f2bda0d15e,2020-03-21 21:33:10,merge
4733ea8b1306cdee2484cde5891701eabca3f659,bb1c612cb5bfb27138774b83368313f2bda0d15e,2020-03-19 20:41:17,merge
0189c1e09ab7f60026317bb792ef8f61b72f2e96,bb1c612cb5bfb27138774b83368313f2bda0d15e,2020-03-19 12:19:33,merge
bb1c612cb5bfb27138774b83368313f2bda0d15e,c755b9d905e34d91c1544321988dd036c195980d,2020-03-09 15:56:41,merge
