merged_commit_sha,base_sha,date,merge_or_rebase
707e6da174e0c612ffae233256cc2b2330338abb,506cae51ac1bae8530aac220a51fe6747638fd24,2020-07-10 23:13:56,merge
b5e278cc51514ded32db120d9ae927dc16aca80a,b2055e25a2e1e7bda489c4cbae73d36e1d1b85cc,2020-06-11 20:50:42,merge
36efb56d25a9dbadddfaf78490adfd62ea0b95de,ac51862e35113e400d67566a15301d6edf6aa26b,,merge
9c69650aa43f56ad34177f06359cf90007aee5c3,b29094ed8f9b0d84de7fdd726a3b02f3af821cb4,2020-03-03 22:43:15,merge
665abb4512bd6b2519bb893b47ade29738e1bcb4,b315e3254dc9660ba089bc7cbab50c43995dd533,2020-02-25 00:38:39,merge
b315e3254dc9660ba089bc7cbab50c43995dd533,650a67cd0ec86bba9db0ae73b30396ae301417bd,2020-02-21 01:13:14,merge
f9e743c6069833e4f5dedc2803c8284fc9ce99aa,8eacda601337ecfdbe352e0bae90d74293b8f535,2019-12-05 19:16:46,merge
8eacda601337ecfdbe352e0bae90d74293b8f535,dd42b3768d97c7d2b3b60d2505867ba457b491b5,2019-10-30 21:10:40,merge
ebb4c1275569846bad6e6e56ab801d3f8d38af4f,d633717e141766d03c5c8753b638b02abf937dae,2019-10-28 21:40:52,merge
40ba3667237b8bdb1387eab6d1e853a0415b1898,9c69650aa43f56ad34177f06359cf90007aee5c3,2020-03-05 19:57:02,merge
8b0512e9144220324bb2df5c568a4f5cd20f19eb,2cebdf97ff587b6304c9e4d08d0ac030e7abc1c0,2019-10-07 20:18:25,merge
2ef4c2d0b2ac852e8f56c2fcb6c19fcc8db8d26f,8d769d883060ec7273677fd7a77fbe4662a392de,,merge
8d769d883060ec7273677fd7a77fbe4662a392de,3db404814c9aafadbd9122fbc13631020105fad5,2019-09-30 00:10:32,merge
3db404814c9aafadbd9122fbc13631020105fad5,7758a9e9ce72182cdf0eb417565573c4b0f277df,2019-09-09 01:24:41,merge
7758a9e9ce72182cdf0eb417565573c4b0f277df,668089ad96f94fbe1f854085ebe2ca62bd328816,2019-08-15 22:43:50,merge
75da614895b4aab2e5690292b9b4268f19a59a63,1b4dcba519037fac5297c65d18db444505348afe,,merge
daeaa98d8dc2a51608b475a44be32ec246303824,fea2c68650c4547e69a6527113cd02e5b37b9835,,merge
1416e4a3eb88d687ad105187df30c012e7ee141c,772ed0bc7b0856973482cf3e5f4218e04a4c5b9c,2019-04-06 00:24:28,merge
c18470a07eeefa11a368ef9d791ea78f98f79c1b,956d2c551c9571a9ae6766baacaa6293182ac74c,2019-03-25 22:32:43,merge
956d2c551c9571a9ae6766baacaa6293182ac74c,00b2d4ac990e9727ebf4ccd032f83fa3149e427f,2019-03-24 19:32:06,merge
64eb2107551b938035438a8fd51a4bea5603595a,f435e3c21ec20a56b905ff50a8a1eae3c1b7789c,2019-01-21 22:26:41,merge
f435e3c21ec20a56b905ff50a8a1eae3c1b7789c,38e1434dccd9f3bd5f9b12b8363d41c9e5ebe756,2019-01-20 20:56:36,merge
3f3ed78c8c6aef1c43c7ab89b37b8001595d38b0,526a6c8a922a99ba2189c651b6fa467e16679075,2018-10-25 23:09:30,merge
c9997634590d740ff970ee0d00ccee89bce27453,4eaaf76e3e49e6154a9da2469cdcb1571b83cf5f,,merge
cc8718a9a9ad49679afb5121675ceae2abe5d37d,282db53e7cbd6492d2220e1bf3ba79040752fd91,2018-03-21 21:53:59,merge
526a6c8a922a99ba2189c651b6fa467e16679075,e46151ddbb8327eb6485b030a18fbe9d3f26b405,2017-10-23 08:24:53,merge
e46151ddbb8327eb6485b030a18fbe9d3f26b405,544babd1865846af175ba32d86c839eb354714aa,2017-10-11 22:06:49,merge
7cb89b3e4d237617ae0fe5b088d38cf65022943b,392e75a13fc0373590620d8bd68d097519b48cd6,2017-09-11 02:35:07,merge
a7b0cb35937208e3d2f1eed2d4e01c592ffc2e70,7aa129814344ae887d2eec71a5214731d4e441e2,,merge
392e75a13fc0373590620d8bd68d097519b48cd6,7d63a2f19223ffd6b54ab929d09c0f2654e2d490,2017-07-02 00:41:59,merge
66eb0f27a51285d48b7df61ac6494f3c9c983c40,04c6daff0948942e7f033975e6f52c08fa69be36,2017-07-02 00:41:21,merge
b7cbab31a4c098a1a3ba8694755574d401027e63,4eaaf76e3e49e6154a9da2469cdcb1571b83cf5f,,merge
33b58ceaf469a110b89654165b7e4be1aa909026,7d63a2f19223ffd6b54ab929d09c0f2654e2d490,,merge
7d63a2f19223ffd6b54ab929d09c0f2654e2d490,e00739eb61c14ae36f03d28f7ef592ac48732261,2017-06-06 11:13:57,merge
5d86dea2ea2bd9db0bdef4a47990704baed62953,e00739eb61c14ae36f03d28f7ef592ac48732261,2017-06-06 11:02:39,merge
b8007ae66d873a07d2d9717fe183f0efd9dbd743,1fed437658493498fbfa491bfe41f6a6044f044e,2017-01-09 08:45:07,merge
6016db53ccc1d5a312dc19f84d0947e3ef9a09fd,1fed437658493498fbfa491bfe41f6a6044f044e,,merge
0ba1da5e317dc7eee7d697432eccb8eeb9de95ad,23e8a6d23a8885312c76bb145cf7c3028a1d0b4f,2016-12-09 05:35:15,merge
4c0f7bcb6d35560137a37ac3929586a0fc15d8a9,316042591f3a70346e1bd92daa900565eafdb50d,,merge
9798642e247d31aa68cca1ed3c3c0f58dc7d1f20,7aa129814344ae887d2eec71a5214731d4e441e2,,merge
3cc51bed462ac462e901eb251bb7ebe472a4a7a5,5d10b3e40dc6c79071d1389a12eae507c5e69bb3,2016-08-25 11:46:21,merge
ebf1b8de70536020a795317c35bf75c2b0578b72,5d10b3e40dc6c79071d1389a12eae507c5e69bb3,2016-08-15 09:42:26,merge
3aa0d1e63895725485c80794be6867ade58d4535,5d10b3e40dc6c79071d1389a12eae507c5e69bb3,,merge
26af2ab7db0c4966da75f0e1d37905be5ad56019,3630dccfebba2a314ef789adf619287c1369546e,,merge
7a441616d3bb55f19d9595e0c5082be9bc8977de,232d23868f2b1be427ea0c8f3d865ab390a3d090,2016-02-14 19:43:05,merge
f2f3171ceb2ee5d8d0f89026d501b22d39863684,232d23868f2b1be427ea0c8f3d865ab390a3d090,,merge
fc0ed3f57e0de4080558f5613e252d6ce7bb7ffc,a514068c433e4f19a2f14e6e216110e83d68b8d6,2016-01-19 00:58:59,merge
818fb6b5491ce2d9db0dab4ef8140c40606d9f06,88a7c60ba08151c385788d7de744c73e9fd09243,2015-12-27 20:43:07,merge
9acb75332f8601a1287cfdb13d451785cace2b27,ef697812266eb5c3458cadfd33d807f80855ce34,,merge
13cb8b91b67b99739f5ed5528ff2635b25afddb5,88a7c60ba08151c385788d7de744c73e9fd09243,,merge
1059b89313f938fcdca5e45628f4e5c8695fb4ef,5ca3968239ce5aad35371325a798ddccd6a43066,,merge
d841881ab795c097fdbaaccdd0742afde2f504dd,13acb3cc1278ab482dd58168584db194e66bc5dc,2015-10-14 19:31:48,merge
1ec87643fca23604c2cfc61a3a094f731ae64986,b886f5b3983afb7185dac3db854d028d34caca70,,merge
28ab555c2decf2095fa1cb0a76ebc3fac10d2f90,b886f5b3983afb7185dac3db854d028d34caca70,2015-09-09 02:04:06,merge
89769fac936b50a68f490b8cee4a7e3ea057467c,34e28d6ec0a3a15c0c4160f835d1c0f895907053,2015-09-09 01:56:07,merge
fcd3194bdaf4bbd7e882c00261a60ab63b9ddd82,28f2fb94d8854d9cebda9b588a1d2b17bacf7a31,2015-07-27 19:54:19,unknown
2f062710fde3abe6e2c802e9ea9b7e33f610fd7f,28f2fb94d8854d9cebda9b588a1d2b17bacf7a31,2015-07-27 00:37:02,unknown
06e3e4acd6f766d3c8d247ef4bf1ef7176969f9d,59e49442780cdc644e6e7fd7ff698b14fbc615f6,2015-07-06 20:33:05,unknown
de09644733310eff3609a9852048bd99c38a9ccf,e59223f3d00825e5923096c5f435f1f0bf2090d8,2016-02-29 22:40:33,merge
a6dec787e7113c9b61643c0391582112bdfc0832,aabee7aa8e3105f7720463f88938629bd63d113f,,merge
2c440036319e5b364965cf3faa4473f430b02394,88bd53de88a28b65532f31949e696d1ce86af897,2015-05-22 03:08:52,unknown
1d0d96d25e1e69a4d43b3e92ff9e77768ef944c1,9fe05b4a4a7c05203bd914dcf17b5ce2dbaa2ca5,2015-05-11 19:43:07,unknown
3cbdf4dc1744330118bb45b6132048276436f2b8,9eaeeaf683bad90a53c8b70eccdef08bace7da50,2015-05-10 20:42:23,unknown
958e1883cf4a2c5318331f921d5287b212953f1f,f50ea8f269608287478349a7c9ce190e5fd9797d,2015-05-06 20:39:39,unknown
39ac354d8193cefc70a2d848f6eeb29b5bc36960,d9b0f05060a7bc06b408753e1926cc6b5eb6b77a,2015-11-29 19:43:53,merge
e7ffef7cea5e091d57da3d04fac43cb7ddbedb97,88bd53de88a28b65532f31949e696d1ce86af897,,merge
