merged_commit_sha,base_sha,date,merge_or_rebase
131f68653b11d738ae22af8e5da64a8a952b5a64,5398c11ec0456aa49f1e087be82f02eb6ce1a485,2016-03-20 22:39:38,merge
502640151b59cde960f177c76d44be2ecfb9582e,f6651715c7fe932dfdf2fbe314d9344dbcc858c0,2016-02-29 20:10:09,merge
6b99cb95abad52382492a82fefc1378872112528,af544010680490fdd75dae448fb6e435ebcce11a,2016-01-14 08:39:25,merge
58cec767e51958b2e7c1f133dc888d1cd8262789,200df7b3d571dd5a7e4820246c5d4f2d3761021b,2016-01-14 07:31:36,merge
28c38a57db6d9d0031fa4e67cfad72b143886268,200df7b3d571dd5a7e4820246c5d4f2d3761021b,,merge
d16e4bacaca997603d4d3360dbb5bceab363072e,200df7b3d571dd5a7e4820246c5d4f2d3761021b,,merge
a2ae10c73b8f02a2565ad82307a8949847feac4a,5748af50c4ddf540cb410fe543c8580debef1be7,2015-04-08 06:12:15,merge
dcf50110532f872dd6fd7be04426942456070c22,0d1620346ef931882386414492ad731b48805e95,2015-04-06 08:21:40,unknown
1e5800436a0273b7f77fb4aa4a8ebf91a5080fbf,5f83cf557db958f306704d5e790dd892ac43dc13,2015-03-27 11:21:46,unknown
be90792a09ee28e5d0e34cd3ab760b0114fd50d8,1b83c3993681cb99895a8c0d13997e971bbc9340,2014-11-11 14:08:11,merge
090dcb35bb9b60c0be1077a12ae5ae08d362bb57,5bea50ace54a97258d3778d79c487b3e63a5a462,2014-11-04 23:43:37,unknown
25a3ff5d6e2b40a3650a29eb4f5533ce2475ca19,5bea50ace54a97258d3778d79c487b3e63a5a462,2014-11-11 14:09:17,unknown
98ab9b3b32e8bb46b068c961dce9fa42dae74a2c,5bea50ace54a97258d3778d79c487b3e63a5a462,2014-11-11 14:08:39,unknown
9338b50ed04df1c8a83c8121021ba1e410ccee2f,495f364a7517a6617d808eaa9a5f913d73b4d2f7,2014-03-26 16:49:24,merge
f757cd4eda4e1fef740510418ffb9aec4e2ce1a5,0444a143ee3f0fe9569af06322577e2435dd1cc3,2014-01-16 14:52:18,unknown
3e50bfca280ebe3f345268cd3b553b574f7213a6,0444a143ee3f0fe9569af06322577e2435dd1cc3,,merge
f608f7d36db11ccc8cbf028677f5a228a01dfcac,d29d15a65b2e3feb0457a7a4b4029edb6db96110,2013-12-19 23:28:00,merge
7147e19959bb2d23f6fc4947509bb1d799a689d7,52b7a001ec9987fc1436e394d991610808ed22d2,2013-11-23 17:02:39,unknown
c0339cd77916e3910715a76f09506eec6065ed34,e52a3b33c2256f7484ce82bbef2550ab78e7e603,2013-07-31 07:07:31,merge
ec584b8fece02b5b69bc9f3242ecb0605135b67c,fe8e154480d2456aba6dd021e57ba8a7ea28b398,2013-07-27 15:18:47,merge
8b6dbdc579e3605dbff70d152c48c2eb357acef7,75d82166160086610745547149615b80de631335,2013-07-20 08:07:40,merge
52fe7da652aca2c59d84b7f32aac79abc965a95b,bf801f428df760159c36f03f571093b7ea4ddd1f,2013-07-20 08:55:50,merge
2af1b2c3b68a6ecfc9de0aac45c488432fcca613,75d82166160086610745547149615b80de631335,2013-07-20 14:37:51,merge
27e9b69926ec87732816f571c557290befc6f227,abf17ac60f9c6e8a4331dd71aff673c26c772f27,2013-07-09 02:47:36,merge
be2bc3d415c3d6c1a55a0273b98bc30b540d7f9a,03d2d179bafb501b4aac0dcefffda979f203152f,2013-06-13 02:45:29,merge
2a5090393018b77b8c4d80ce69d0db5f6af460a5,e9090d6ebf3bd6b509bbf02fd9788980b23938a6,2013-06-13 01:56:29,merge
b1be5ce9bdf30fedc34944c532a3336f5365cf72,2e765b096c3140442dcf3a8e02ac69c7e6dd850d,2013-06-12 14:50:05,merge
831ecb0b6719e705de49c5d8268ef3c39b4db66c,7ff0eef8920683ade7df3958803bb1e5c81ad81c,2013-06-12 12:57:38,merge
0ae69b0af3cec7417d4bfd96e3259d5607d17b0c,08f404c9bb002af5b1687f2ac89ab450960fe4d9,2013-06-12 13:00:15,merge
740514a04e0c2cedabce126c7c2cf325eee8467f,08f404c9bb002af5b1687f2ac89ab450960fe4d9,2013-06-12 09:00:53,merge
555f923081f16f3256766662dbd75f06f2596c4c,b56b120332246009bf64578e2eac8a1102be359a,2013-05-18 08:05:41,merge
d036c209cd0a4284a5a56056594754b9439e9a36,9331f8976f47afd8d8521cdf23b9d0cce280e7da,2013-04-21 04:52:51,merge
1793f774bc719bc70f704868f214c78dd4222ac2,a3cea597d4d59f46aa2c74ec40f49e4fdc0c5bba,2013-04-20 12:06:35,merge
0310b5775268e2fa0445dec3c651b700a7a6aec9,2164c3b3410023e16f59285b748ecef58f0646bd,2013-04-09 09:36:41,merge
9c0306d0fa69ef3ed8435acaf97c9b060cadf0a8,583f18c1b730a9f9b91a93296368c9a1b1c27167,2013-03-23 01:34:52,merge
e16a526dcd6a8446485bf6584bb35dac112bcead,cb9436eadb8b6fcbc0fd2333250a87cc8e23f3b1,2013-02-19 05:59:59,merge
2a945c8a39cb832473970c6b5ee886b6ba0e9952,7fbc76bcf51ed5c26a74a0b38bf0dbf6a3c0e9cb,2013-01-17 01:45:08,merge
25147dc1691f6ef4ede28ca2512a0e591508dfab,8b0b6e9570732da9e6db00bcc3c140f0abf49764,2012-12-05 14:00:36,merge
b9d06d5dea9f6f4ff643a9d2c1870bdea614ce93,ba874cf15227d4b42402300c438a2f878496264a,2012-12-02 13:25:05,merge
d6b18ecf086d391f3c2153e51739b2419f85c8bb,ba874cf15227d4b42402300c438a2f878496264a,2013-01-15 21:33:56,merge
3f164a9916d43d30de679a648578005bd55f6e8c,cb7950fa870541e1ca615468b90c4099e20d204f,2012-11-02 01:07:37,merge
6f96395a3642f4efbfa7ff074afc058b7765796b,a785249060aac7bf0b14a5f0f530ea4c3e752db3,2012-11-08 12:32:58,merge
,a93a992a6f38acb28f0b749ba3b4237c0ab79036,,unknown
f5261ad7247d5a2d2eeb0fe48a11eee6464e783b,6edd336dcd60d3fc7cfbb00d24563ea44ffd5ef9,2012-10-10 06:58:22,merge
e5572236f7705f9804b4213460deb806e9af64d7,63abd95c0cd20cee2fd95e2e7e69e646dd88991f,2012-10-06 06:16:20,merge
