merged_commit_sha,base_sha,date,merge_or_rebase
1c0fbe22f66b867bc4420e44cc49b248825e1add,9cd2b41fa8f48f7de46f00b67d780e0a0800cb40,,merge
9cd2b41fa8f48f7de46f00b67d780e0a0800cb40,ad4fdccd1aec760ed31b38c4dae820ca0856a0b8,2017-05-12 10:37:22,merge
67002306e35c7ba193e8c2d3912e093b584b8d58,ad4fdccd1aec760ed31b38c4dae820ca0856a0b8,,merge
b319fe0017a6035dd4dfae63b8ba5823a15c5eff,e434539001b8cb8bc2bfb008ca81bb2e91f76e35,,merge
b41702a11c6e5398f26c8d6461510ae349e67d28,ad4fdccd1aec760ed31b38c4dae820ca0856a0b8,,merge
2f6e39f4795e1f93db77d7b8c33cac4768deedf8,e434539001b8cb8bc2bfb008ca81bb2e91f76e35,,merge
68b0e6790a97af6d31ef1388c114a3ec8e70cf0c,e434539001b8cb8bc2bfb008ca81bb2e91f76e35,,merge
0efa6a48cabb3cf69624f397a66318771e18688d,ad4fdccd1aec760ed31b38c4dae820ca0856a0b8,,merge
a1b33c18bbd2437d8370a40de731aa5b2e3f0ab9,e434539001b8cb8bc2bfb008ca81bb2e91f76e35,,merge
0e774cbee5654de21d1de2d129ebde651acafef6,ad4fdccd1aec760ed31b38c4dae820ca0856a0b8,,merge
aaba1af8ae2d54c3951bf8be758e2e1ba00fdea0,93bc6bc9b536146b9e3fa0bed21d77283d07f788,,merge
c50fe0698bb6d86c11c7fd9415b8fbda684ffac4,93bc6bc9b536146b9e3fa0bed21d77283d07f788,,merge
0c1be442a7ac0cfa9a161263c2dd79c2cf91e972,fd94303f3308f6ec05f8dda4ba44edc79dfd1252,,merge
fd94303f3308f6ec05f8dda4ba44edc79dfd1252,def4bcc79775b33ce49107d6f1842c275368f2db,2016-11-04 09:51:50,merge
def4bcc79775b33ce49107d6f1842c275368f2db,3aeaa2e184f770c5ad2febc231d63591edbeb9e7,2016-10-28 11:09:13,merge
a720eb811432bde84ba463b08eca982459e95226,eddbb3c7d6f175b35c8f0795bf77e20d985afd98,,merge
934b40dd458c5f132e9f20aa44474add9c5b48f3,eddbb3c7d6f175b35c8f0795bf77e20d985afd98,,merge
550cc2e201856e0fa93c53ae6a9b5af3f686faa5,6c59ba566a18213c5fbc823f1df3db389e3bb595,2016-09-02 05:46:46,merge
46767ff54f586529909957c4a97df855b1fd4a9b,526e688ad79b348000639eb9741c002fe264ad0a,2016-08-27 17:33:34,merge
c2e30e1a38a49aeeeed946b694f2beae6f0c5c59,526e688ad79b348000639eb9741c002fe264ad0a,,merge
973fc117332bb0910eee94f6ec214e871651d5e2,7e0c242e65d58a381f70383318fc841d406236a7,,merge
d7b7b87322772f1ec31c1ae69d8707f912fbb9af,973907c4c9f1552d4696bc2c22735847d51a2ed2,,merge
4664e9cc449fa2b0effd91b564d34d7cf722d854,b6a8ffb65dc2262ef0b0da52988ec2992e7bb835,2016-08-14 13:52:46,merge
f279ee108a753ff1fa63dc468ab834fe727270c6,09e52126e4c9f767650470ed82abd2b29f46ff7e,2016-08-12 16:55:20,merge
973907c4c9f1552d4696bc2c22735847d51a2ed2,2b41639f9c1ac9be74b3dc1b0335a531db6bff1d,2016-08-11 14:58:29,merge
09e52126e4c9f767650470ed82abd2b29f46ff7e,de2ce96aa9221d288d2ac470ca95f85a077fb2eb,2016-07-30 10:12:00,merge
be4e0c7aece1855070cfc7c222427e4d7ee731d8,148a2a62a94215c821cdf612d69792eb6535e9eb,,merge
798b36cbdd590c9d61820cd01fa0fcf765fffa67,148a2a62a94215c821cdf612d69792eb6535e9eb,,merge
3abbb4d69b1ed7b19ffc0f44afec9fb18d907945,2b41639f9c1ac9be74b3dc1b0335a531db6bff1d,,merge
148a2a62a94215c821cdf612d69792eb6535e9eb,fcadeb4e6b87c8615a6fceebdf8996d9bd7b9d15,2016-07-12 04:35:33,merge
9ed88511e42e48d4b90dacd0beb667f48672b712,fcadeb4e6b87c8615a6fceebdf8996d9bd7b9d15,,merge
