merged_commit_sha,base_sha,date,merge_or_rebase
666d9760719e5ec5b2a50046f7dbd6a1267c01c6,a31156e90a14038872f54eb60ff0e9676ca4a0d8,2020-03-25 20:35:34,rebase
936acbf622b51dcc2fbd214199d22c7a639d3c1b,9be95e0f6aedf5cdc108b058bf71f0839911e0c9,2019-11-30 04:29:14,rebase
a31156e90a14038872f54eb60ff0e9676ca4a0d8,7c3d7f8da7e35dde8fa74188b0decff70f8f10e3,2019-12-22 20:58:03,rebase
9be95e0f6aedf5cdc108b058bf71f0839911e0c9,7c3d7f8da7e35dde8fa74188b0decff70f8f10e3,2019-11-29 22:16:01,rebase
26d043abf2a305b7d60006398a2964743a4c5616,23be46f665887c9be03faf7864ae98890ca08246,,merge
23be46f665887c9be03faf7864ae98890ca08246,ff6f51b667b7bb05b7f595c331074ecb6c93bd56,2019-10-05 07:50:12,rebase
baa1e21612cae4fb3d3b495e022e327afa50b946,541eab2fbd5495e77798af5b25f549cb2fbd15c6,2019-09-30 03:34:40,rebase
541eab2fbd5495e77798af5b25f549cb2fbd15c6,c89d6addf118745c4c14536ce64fd69566ebd644,2019-09-30 01:26:52,rebase
c89d6addf118745c4c14536ce64fd69566ebd644,3219c47f74f279351548e8763946653f8cdc527e,2019-09-29 23:46:30,rebase
3219c47f74f279351548e8763946653f8cdc527e,8e4261a350dbd11f59500ed8901d30d498b34c04,2019-09-29 22:45:20,rebase
8e4261a350dbd11f59500ed8901d30d498b34c04,6b9f467e817854532ea31e6c08abe47c53ac8b5c,2019-09-29 09:42:23,rebase
0be9e5281a148d0ce32e1639633f53541b1f6fd5,6b9f467e817854532ea31e6c08abe47c53ac8b5c,2019-09-29 22:40:34,rebase
6b9f467e817854532ea31e6c08abe47c53ac8b5c,7cc65dab82f236a25f7bf4feaab49dd0e847d93e,2019-09-15 09:24:24,rebase
4fb3012cc726b23188b69ae7f1ec721fa00e5bff,7cc65dab82f236a25f7bf4feaab49dd0e847d93e,,merge
7cc65dab82f236a25f7bf4feaab49dd0e847d93e,a213bac448e2543339694a6dbca6d2edef787701,2019-09-12 20:54:58,rebase
a213bac448e2543339694a6dbca6d2edef787701,c5f210347055c43970199d4611993200d00977fd,2019-09-08 08:46:21,rebase
16e68f73a908d7270214795bdcdf4f05adb54b89,e82421145b649bed5c10b1efa36a8ce26cd866a3,,merge
e82421145b649bed5c10b1efa36a8ce26cd866a3,5eac02a79756357fcf4d5c477e5faad90c5fc5b0,2019-08-19 01:35:19,rebase
5eac02a79756357fcf4d5c477e5faad90c5fc5b0,083aa6df83d6076e998c5f37ebb661e9ab4e2230,2019-08-19 00:57:10,rebase
083aa6df83d6076e998c5f37ebb661e9ab4e2230,9f405a45ad65aaeaefd22151dbe37efe35866fcc,2019-08-18 07:09:50,rebase
9f405a45ad65aaeaefd22151dbe37efe35866fcc,84b5c15eabd86a3c13ec1c08057ac186e17a512b,2019-08-18 06:39:19,rebase
84b5c15eabd86a3c13ec1c08057ac186e17a512b,07c34f24cb153f86395ff278353899c610c861ea,2019-08-18 06:07:54,rebase
07c34f24cb153f86395ff278353899c610c861ea,7b8c3b0ed0380cf76d66894e81bf4d4d5b0bd796,2019-08-09 21:03:58,rebase
35fe2d4285d1b0d0967423aee000b5251f430657,7b8c3b0ed0380cf76d66894e81bf4d4d5b0bd796,,merge
52acd9880e87d1ec221da83d3be275daeacea1d0,7b8c3b0ed0380cf76d66894e81bf4d4d5b0bd796,,merge
7b8c3b0ed0380cf76d66894e81bf4d4d5b0bd796,cdf10151d507d497a3f9a71d36d544b199f73435,2019-07-28 22:48:56,rebase
ee504002352ff6cf901aa3828ca5672e111ebb87,4ab34b0461fb595805d092a46a58f35f66c84d6a,2019-08-09 21:02:44,rebase
dcfba485d9baa37969eea3e477773a1b4a2fda71,4ab34b0461fb595805d092a46a58f35f66c84d6a,,merge
d125287fda7c002dff16cfdff7b926475ce6a991,4ab34b0461fb595805d092a46a58f35f66c84d6a,,merge
cc2ef36f5533d1ab21518a8e9ec5c2f74eb2fecc,5ff53a922972d9eb424c7981d9ed75b5bc73a06e,2019-04-21 21:47:37,rebase
5416cd4d1aa9849c9939f1325aa1a81fc194b2cb,b34a3ccca7ff6535c0c9e7981479ee1abf169a94,2019-04-21 03:52:28,rebase
b34a3ccca7ff6535c0c9e7981479ee1abf169a94,a088299eeeaf3afe90eafd59724051f003e4195a,2019-04-21 02:40:37,rebase
a088299eeeaf3afe90eafd59724051f003e4195a,f80a8184c8c825a6ba63a22caa73b3235b3bdc49,2019-04-20 04:24:10,rebase
f80a8184c8c825a6ba63a22caa73b3235b3bdc49,8d00ab3684a40bed859fd7e8c89c3adb499c8278,2019-03-31 01:07:34,rebase
8d00ab3684a40bed859fd7e8c89c3adb499c8278,9977965ec388b2c3a51fe1ca71739c7258965e4a,2019-03-30 10:23:03,rebase
