merged_commit_sha,base_sha,date,merge_or_rebase
55286dd4966dfb75a3c1aaad7813e52a1d312d2e,56a2a7f8ecdf2c0256b089333d73f946de260fe4,2020-09-13 16:52:53,rebase
56a2a7f8ecdf2c0256b089333d73f946de260fe4,e4e3d438d28c9288fce4597490cb9fe92ca8fa02,2020-09-13 10:34:15,rebase
ffa4ddd18af3ebb9afc3c0a7dbfaa6be28eb3ece,962dc40671780f1b7fa4e013e69faa7a20a82c23,2020-09-07 09:04:25,rebase
65e79837d314031f57d4edd6e21c73fee3931b58,f8a7ccffd5f33971804dda99fe2b17b5de70a152,2020-08-31 12:19:54,rebase
962dc40671780f1b7fa4e013e69faa7a20a82c23,f8a7ccffd5f33971804dda99fe2b17b5de70a152,2020-08-31 13:49:24,rebase
2eebb679bd3621104cd4d19f24fd66124b2cc22d,da0fd64ed57926d7437f2a1aee960f370cbda5e1,2020-08-28 17:11:28,rebase
484673e748ade11a2705b97b47f586551efa1a82,2eebb679bd3621104cd4d19f24fd66124b2cc22d,2020-08-28 17:21:48,rebase
f027422156467dba8dbcc5a4df34f5d8386fef0c,e7c238d2f2ad9eaf8219ef34c62ed147c3602345,2020-08-28 17:34:11,rebase
7b906d2bc62c1d5b9007406b0ef7168b0d9bb619,e7c238d2f2ad9eaf8219ef34c62ed147c3602345,,merge
ed22fdae1f41b51bc8236a0fc684c7c76a497d6b,fe8e8b19c59227cb09af414a6c5b32d482922932,2020-08-20 17:30:33,rebase
cc38c9843901262d49634b9999816e76f5b9a5d3,ecade5d2cbc5c7ee46caf380d9022c55d3fa2d42,2020-08-22 14:55:15,rebase
2083813e799ab39ca86372431c208b74ec1dd99a,4ed844686aac16320a7b8e3ea0885a70c4a5ce92,2020-08-10 18:07:09,rebase
bbdacbd64fbd4e37ac9707d421e3327caa7c3b6f,1892fc6e352e5350649312156aab008624413432,2020-08-08 11:15:23,rebase
3f3650bd6520a99aa170f48efbf9e5c3795a8615,d073ff4657cf543191fce1c3d678df6f88dab67a,2020-08-06 16:03:05,rebase
