merged_commit_sha,base_sha,date,merge_or_rebase
a570087e7dc9f55c36d9f5e25325a4eef478ace8,24d8d5393d1c88f852fec32803419bf5a800f2b9,2020-04-03 17:09:22,merge
4819a6823050abe5b6471d24e09568fcca56804a,1ce3673cf1108c2e8ccff58d99f3676ed821c1e2,2019-10-30 18:34:53,rebase
dfced9c500ac7abcf1c05866503140e6554662c0,2914f6856febbf7488c53ed65948a00a39f95a22,2019-10-30 21:47:36,rebase
0e8cf33f076500be94db0c03140f71c2261a68d2,2914f6856febbf7488c53ed65948a00a39f95a22,2019-10-30 20:11:09,rebase
b007492fe0d21318f99c96f5383fc2b58f7eb4a6,1ce3673cf1108c2e8ccff58d99f3676ed821c1e2,2019-11-05 19:39:37,rebase
9c81baf5f4b9ed496d42f0a5814784c571f0b296,2914f6856febbf7488c53ed65948a00a39f95a22,2020-01-15 20:01:30,rebase
b78ca4a0a82568bafe91fc197c947b1ae4847eb0,2914f6856febbf7488c53ed65948a00a39f95a22,,merge
077438150b0cd82032e423f6da147d728eabb277,2914f6856febbf7488c53ed65948a00a39f95a22,,merge
cd57bd8705706aec2c541dbee4a9e3ca49653983,2914f6856febbf7488c53ed65948a00a39f95a22,,merge
2b5f9b1ebb05216b8a339f3680b384e1ce2bf78f,89edc486b51086453bc91e043f0f82789374b829,,merge
ee79a14c358c0864c348af862513d67b9518191a,89edc486b51086453bc91e043f0f82789374b829,2019-03-20 04:05:43,rebase
0f1a83da681aafeb68688674c83161fb72371943,4e5dd5c2dd3795402f4e45ad4fc38d74cd1aaf7c,2019-01-22 23:52:14,rebase
e6eeec14e6358675ee9607cff45df763b420ec12,61cee343d79b8246e3bedbd0adf10e338d319c5e,2018-12-27 01:22:28,merge
4cfdea19c407bf788366f8aaccf3d7e9bafbf3a1,89edc486b51086453bc91e043f0f82789374b829,2019-03-19 02:19:46,rebase
8768ff1b3e6c1f89d0eefeb2b89079381240c397,04c764551c2d371e79edf162a543c3140316c48c,2018-11-16 19:16:03,merge
e194b07dac8aa6feb238b1150db5849e7d975eed,d8c22be9d57abdd8d73a35fc43a2e85a516fb564,,merge
05fbea6fb78277f53b1bbab4c820a0b3fe83ff4b,d8c22be9d57abdd8d73a35fc43a2e85a516fb564,2018-11-06 18:30:43,rebase
84a8ad5052060bef3e56ae958fea55135d6ec250,d8c22be9d57abdd8d73a35fc43a2e85a516fb564,2018-11-06 18:38:47,merge
6e44063c0fecb51d6403d57a238518ba8fc3e219,d8de6bdc63d607715db520606af0062c40c30152,2018-11-06 20:20:47,rebase
7d588718d99388fc846bd5d8fae80b84c7486a8b,d8de6bdc63d607715db520606af0062c40c30152,,merge
013694c3c415c402d05ad7a8133aa6e7b6144d1d,b5fccf34782c239314ba902b3192c32cd10e8307,,merge
c15173f7c7c79242908fa7d982c54fd7ed27c70d,d8de6bdc63d607715db520606af0062c40c30152,2018-11-12 16:52:43,merge
889a07dc79f41a6b96950dc8680bb537cc922585,644c9402901ba9218b72b1b5adc427f6970b9f81,,merge
e5cf354724928e66a0dae713043e87a0603394f1,a30d31483b040c1f84435373f4040e4c6ea9b95b,2018-04-10 04:54:59,rebase
df3975872b38397f3479fb8f1ebd8461e86734b3,a30d31483b040c1f84435373f4040e4c6ea9b95b,,merge
76622f9a511692b7b0122b860e850a49068fed52,b0b96ea892ef5025256dcdf10038d48b34bd6506,2018-03-27 02:35:21,rebase
c913c5b5377b3550c9603384f8f57dcd5ef2003f,2b93585937c33b289c01c7a27ea73f60329f254e,2018-03-15 02:56:13,rebase
f9328cb3243b6e0b3ab025136f3e0fe5461c02a5,07cc24fcf729b3dabea053f8481fd4ded26a80ef,2018-02-12 15:59:25,merge
571180e57305bf13cdac5d4009ec25e38738533d,789df8760b2e17a05a34350b60bb71392f65f3d1,2018-02-07 16:26:32,merge
ee40791a3d92dae8661eb540340dc33d4bedef0f,59a99ad47ce7eaf3776fae71691c2d344a917216,2017-11-28 05:57:18,merge
9de6ae22d06dcbda8e8078a3933a70c3512e9ebf,6a3bbe02196db519c25e3965e759edf4bf462796,,merge
0f659f85d5751cf10fb28a615247c284ad3dc5d9,9e0c608debb1c197cfe26774c891943c5e7e5b07,2017-11-02 02:49:28,rebase
9130f03d56adbe682fa23e978bdc36f608060223,643374450c4936944e0d585fbc0e387461378b25,,merge
9e0c608debb1c197cfe26774c891943c5e7e5b07,643374450c4936944e0d585fbc0e387461378b25,2017-10-31 04:47:59,merge
