merged_commit_sha,base_sha,date,merge_or_rebase
56ff6f45a2257fac8ca48a44dac2082e0a24b8d1,c45d259169b8de436cc628c8531da71ca563f037,2020-09-02 20:49:36,rebase
c45d259169b8de436cc628c8531da71ca563f037,844a4cfdb405251709c9352a13e2a2a6c0cae03a,2020-08-29 22:33:18,rebase
844a4cfdb405251709c9352a13e2a2a6c0cae03a,454058bafb2ed9f9432163ab9436e1afac0b231f,2020-08-23 13:07:35,rebase
324f466b7f01d6ada01d8956a2692ad6101b333e,7b4980787fda3d9f80b4d4a513b0e4adb9b64c07,2020-08-23 14:04:54,merge
454058bafb2ed9f9432163ab9436e1afac0b231f,e441fa8a0c133967c8cb8283663353f55b733c40,2020-08-22 10:30:53,rebase
bed8fd1c55f99d605c2c26b96a91c75af2039302,9c35a8f3fd12e199169cb4109b57e289ce6adcc6,2020-08-17 22:34:33,rebase
9c35a8f3fd12e199169cb4109b57e289ce6adcc6,c20597c8f1878508f21defa16bb064a9fc6de12a,2020-08-12 14:28:59,rebase
c20597c8f1878508f21defa16bb064a9fc6de12a,54f1cf46c3f7d2030139e5628ee6c7c8f0582a0f,2020-08-10 19:45:07,rebase
1cfb3ceabdaf08e7f6a50c4a6241083873df4a9a,00da510a8f9a19b2c4dc5a2a50e6a6074b18b6d2,2020-08-10 17:19:41,rebase
54f1cf46c3f7d2030139e5628ee6c7c8f0582a0f,00da510a8f9a19b2c4dc5a2a50e6a6074b18b6d2,2020-08-10 17:20:34,rebase
e441fa8a0c133967c8cb8283663353f55b733c40,ac953a9b1d36d1071a824ec826a5c10d0b57a9fb,2020-08-14 19:36:45,rebase
34afe701aead086740fa824d5b5e1f07db450c8f,ac953a9b1d36d1071a824ec826a5c10d0b57a9fb,2020-08-10 17:26:40,rebase
00da510a8f9a19b2c4dc5a2a50e6a6074b18b6d2,0c8b81d18ac38034120f433363fe0f7db147303d,2020-08-05 00:44:19,merge
ac953a9b1d36d1071a824ec826a5c10d0b57a9fb,ddf6d94a234363b210dec5d77494b4b964643075,2020-08-04 19:13:31,rebase
ddf6d94a234363b210dec5d77494b4b964643075,328d327b81c64f1715d7c6fdfd9605d5f6671abb,2020-08-04 17:32:27,merge
7b4980787fda3d9f80b4d4a513b0e4adb9b64c07,bed8fd1c55f99d605c2c26b96a91c75af2039302,2020-08-23 13:07:08,rebase
0c8b81d18ac38034120f433363fe0f7db147303d,5189aca4af33ae2075c80995de621c09fd4fe460,2020-08-02 21:30:28,merge
328d327b81c64f1715d7c6fdfd9605d5f6671abb,92101f6262315f7a1605b8037746fe25920aee0e,2020-07-31 22:02:37,merge
92101f6262315f7a1605b8037746fe25920aee0e,948f77532ba9f5f61da094902f7739ff1ccacc97,2020-07-29 14:54:32,rebase
948f77532ba9f5f61da094902f7739ff1ccacc97,2d93ae71d9315123df715ed5796d9c6d12ec80f5,2020-07-24 10:57:54,rebase
440ff1fe7463a1df263b5f2d1c3c3b9f20c8a502,d84a0c021402958713156da0887772939f185976,2020-07-23 20:11:54,rebase
2d93ae71d9315123df715ed5796d9c6d12ec80f5,88d6f37bf44c58265cf79ca897dee2fd959d1c7a,2020-07-22 18:05:12,rebase
4b5fa8d4632f9933b5b2e37d58dc45bfe994c061,de7f16f2bac63f7f83e360124f11abeea5e51a77,2020-07-22 18:15:00,rebase
d84a0c021402958713156da0887772939f185976,de7f16f2bac63f7f83e360124f11abeea5e51a77,2020-07-22 18:17:13,rebase
88d6f37bf44c58265cf79ca897dee2fd959d1c7a,1b1c7a1a36a671be0fe9a80dfb901e3520344b9b,2020-07-10 07:07:28,rebase
de7f16f2bac63f7f83e360124f11abeea5e51a77,a51726504ad69990e8208122cc187d6eee043cca,2020-07-08 22:21:23,rebase
a51726504ad69990e8208122cc187d6eee043cca,099a07e2c7e502861c5eaaa6674d12577e40693c,2020-07-03 20:30:08,rebase
244a41a25eba14139b431fcf0d4ea24bd4b11a75,c9cc5ae84f5fe2c804d67f073459ae70c803f993,2020-07-22 18:07:56,rebase
1b1c7a1a36a671be0fe9a80dfb901e3520344b9b,c466300a66ddd388d36f1d480099229972d29f0f,2020-06-21 21:28:45,rebase
099a07e2c7e502861c5eaaa6674d12577e40693c,c9cc5ae84f5fe2c804d67f073459ae70c803f993,2020-06-22 09:54:06,rebase
2dd96c5977ca9abfa6eeba8864e32e7f991b68e9,c9cc5ae84f5fe2c804d67f073459ae70c803f993,2020-06-21 21:21:56,rebase
a36cfcaf83f5fd874a70cf5e3280cd69dad6be83,c466300a66ddd388d36f1d480099229972d29f0f,2020-06-21 21:22:22,rebase
00e80cd018af8219d8e8acb3a98ad27d27f1e636,f08fa4eb3aafb537a65454183c672ea697a5d77d,2020-06-15 19:13:18,rebase
c466300a66ddd388d36f1d480099229972d29f0f,40452cc9c58b9a25c8b5cd2d68f4d7956c30e73d,2020-06-10 21:00:53,rebase
a7869fc6ffecd8e8c52ec65f060b2b4931dbc504,ec39759ea44d776f28cbf0de4a8f8f26fb33bbb3,2020-06-14 11:53:41,rebase
c2f7d848dda78acf333d4447aa6d9c1ca8424d3b,733ce6e65045fd93de8bad6f9c5c67639e2d0978,,merge
236261dfccdd092cc776839b650efd1ea04ced2e,733ce6e65045fd93de8bad6f9c5c67639e2d0978,2020-06-14 11:54:02,rebase
0496647a2ad6778fb4df5da1cf396a60d0452fd2,f0032a817e821a746784ac92bee0bfe3094ffad8,2020-06-02 19:39:34,rebase
28b456f02b908baac08bc756f7f6c72c9ad3fdd3,733ce6e65045fd93de8bad6f9c5c67639e2d0978,,merge
f08fa4eb3aafb537a65454183c672ea697a5d77d,893197578e161ef80af7cf85ac864db397e307ad,2020-06-14 12:08:39,rebase
7050bd373d0d86d150c14f18d7c220c5de8b11e7,3ba5e7e0a2c61dbc7f5a51e706193b18d4fefb79,,merge
ec39759ea44d776f28cbf0de4a8f8f26fb33bbb3,733ce6e65045fd93de8bad6f9c5c67639e2d0978,2020-06-07 10:17:41,rebase
c9cc5ae84f5fe2c804d67f073459ae70c803f993,f08fa4eb3aafb537a65454183c672ea697a5d77d,2020-06-16 18:29:19,rebase
c3880f9abd0410a80bfd9c958c3868416c63358d,15c72d155e1aa7ac0c427f8b74df8158a5e3a98d,,merge
893197578e161ef80af7cf85ac864db397e307ad,15c72d155e1aa7ac0c427f8b74df8158a5e3a98d,2020-05-30 10:12:58,rebase
3ba5e7e0a2c61dbc7f5a51e706193b18d4fefb79,5005c9eda0fa8b3eb3aa854b61395717b52d8a91,2020-05-29 20:57:33,rebase
15c72d155e1aa7ac0c427f8b74df8158a5e3a98d,5005c9eda0fa8b3eb3aa854b61395717b52d8a91,2020-05-29 19:43:25,rebase
733ce6e65045fd93de8bad6f9c5c67639e2d0978,15c72d155e1aa7ac0c427f8b74df8158a5e3a98d,2020-05-30 22:38:26,rebase
f0032a817e821a746784ac92bee0bfe3094ffad8,2cf7f74b2a55157547f234dd110708712f947b6c,2020-05-28 00:46:15,rebase
a9bab66c2481c3c6795abdcb27e44910d3fd897e,944a945cf3b9b77ac96770ed9ab0ea77ec23d8ac,2020-05-26 09:22:03,rebase
40452cc9c58b9a25c8b5cd2d68f4d7956c30e73d,f0032a817e821a746784ac92bee0bfe3094ffad8,2020-06-07 10:19:09,rebase
2cf7f74b2a55157547f234dd110708712f947b6c,024896f64b840a743d3fd89e29c2186681e7795f,2020-05-20 21:03:58,rebase
944a945cf3b9b77ac96770ed9ab0ea77ec23d8ac,b79718fabbb9894e7a7c6d8995513695ec391990,2020-05-18 23:56:45,merge
ecaec2218f6a1a8696c5dcf5fe96e63c1c4066cd,ae9cfa3193b2a323daad83701ddd393e47424fba,2020-05-18 20:26:54,rebase
024896f64b840a743d3fd89e29c2186681e7795f,cca7dcd37b8537b75b3477bf96482dfd8b06f234,2020-05-18 20:27:43,rebase
b79718fabbb9894e7a7c6d8995513695ec391990,29879ece25a7d2e47a148fc3736ec310aee29465,2020-05-18 09:59:28,rebase
69241bc66a2659c088fe71c3781c4590a4e2f5d8,a9bab66c2481c3c6795abdcb27e44910d3fd897e,2020-05-27 20:21:35,rebase
29879ece25a7d2e47a148fc3736ec310aee29465,b6a27b020f6884ffc3d521af2614ba9d861be479,2020-05-16 11:40:21,merge
ae9cfa3193b2a323daad83701ddd393e47424fba,cca7dcd37b8537b75b3477bf96482dfd8b06f234,2020-05-17 23:52:13,rebase
787d1c4dbdeff413062c1e139699c3b395dcf815,18762fc954bc724364ab2f51eb856e6eb6fdf88e,,merge
b6a27b020f6884ffc3d521af2614ba9d861be479,8973285e23a617632c9039ec52652812ecca5d24,2020-05-13 10:54:34,rebase
55d061f9a0675a9407d5907ff9cafb38f0b212fd,18762fc954bc724364ab2f51eb856e6eb6fdf88e,2020-05-13 21:54:19,rebase
f0840a01e7e302011e30f305eb76fafc14634391,279b34e5664208f3f0b4a3c17fe2fe6097bb82d0,2020-05-07 10:17:17,rebase
5de1620f7f4540b353f03cb244fee9573e144898,9cfd79792d69d538f27bf7b921302e56ae2c6f49,2020-05-07 10:16:43,rebase
8cbd70757f906b59b74a8a15fc2ef60dfeb3c8e9,8fb2a857f7f9e0b5980336ddec622c8a98236725,,merge
18762fc954bc724364ab2f51eb856e6eb6fdf88e,279b34e5664208f3f0b4a3c17fe2fe6097bb82d0,2020-05-10 13:20:29,rebase
9cfd79792d69d538f27bf7b921302e56ae2c6f49,a46aee6de2fd1e8febaa6c143e66017076ae2903,2020-05-04 13:00:06,rebase
99d24b69e49b25ee0e7d372cd79e4b40a1bf6cb6,e25e5d15fbaf35766f6d8627f7f63f087584df03,2020-04-30 19:10:22,rebase
722fbc9b8e53996e911c582761b14eba286d08de,e25e5d15fbaf35766f6d8627f7f63f087584df03,2020-04-30 12:37:51,rebase
ebb235c2a67d83848ba46ac4fd35f5874c2fdb52,e25e5d15fbaf35766f6d8627f7f63f087584df03,2020-04-30 19:11:26,rebase
ad48c9aee10c49ed2f7d45547d7bb2a408d260b1,e25e5d15fbaf35766f6d8627f7f63f087584df03,2020-04-30 19:15:30,rebase
a46aee6de2fd1e8febaa6c143e66017076ae2903,b21c64addd5b737de274d238bb04c036b727f117,2020-04-30 21:32:47,rebase
e25e5d15fbaf35766f6d8627f7f63f087584df03,ceb6018b6449e83e76f4907040d903baa3fe7b7f,2020-04-28 19:32:13,rebase
8fb2a857f7f9e0b5980336ddec622c8a98236725,c728e0f91a5c7a6103cc82ce563d12589742b178,2020-04-27 08:05:37,rebase
cca7dcd37b8537b75b3477bf96482dfd8b06f234,18762fc954bc724364ab2f51eb856e6eb6fdf88e,2020-05-15 14:26:27,rebase
279b34e5664208f3f0b4a3c17fe2fe6097bb82d0,ceb6018b6449e83e76f4907040d903baa3fe7b7f,2020-05-06 22:42:47,rebase
ceb6018b6449e83e76f4907040d903baa3fe7b7f,dc0bbc27bd746b4399831602294011c1cb787ec1,2020-04-23 16:36:03,rebase
733c1e1d4189a0d85d05e4a63505237df6a47450,dc0bbc27bd746b4399831602294011c1cb787ec1,2020-04-23 16:34:43,rebase
01e50d91123747d18ef5197022a28516e43f5a3f,c728e0f91a5c7a6103cc82ce563d12589742b178,,merge
dc0bbc27bd746b4399831602294011c1cb787ec1,66219a932e2ebc77cb4eda76840612f14376a80c,2020-04-21 18:16:39,rebase
dcbbac276788c90f271a1dacda5c072aba4131ff,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 19:11:37,rebase
f12992f55ff44b0b39cd870acaccb66c781f7fef,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 20:05:36,rebase
230eb48ad47d9157753847ecd67c8681a47b788e,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 19:13:50,rebase
23730a9b6ef360afa109f437bb78e759b5755d25,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 20:06:53,rebase
ec2322d992b2438b41ed3c198fb8f3fb78ffdf6f,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 19:30:08,rebase
fc5f5ca716eb406bcf304339ccf1db9d793c9cb9,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 19:23:44,rebase
0b62fb5e78068891f5fead2a2da25d7843a89b2c,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-20 20:00:42,rebase
6be5317e76a8d3447df694f69f917ade96c25bde,f83525ade53f54ab997a0871fd4ac9cf66a14cb0,2020-04-19 19:25:43,rebase
66219a932e2ebc77cb4eda76840612f14376a80c,23730a9b6ef360afa109f437bb78e759b5755d25,2020-04-20 19:14:41,rebase
f83525ade53f54ab997a0871fd4ac9cf66a14cb0,25b122f85ec6054d69617d32a79258e04e799ffe,2020-04-13 15:37:16,rebase
25b122f85ec6054d69617d32a79258e04e799ffe,c7aa9854f994c5f11f27eb5f3edac10b1a2f17fe,2020-04-10 18:46:38,rebase
7b87f10ff801ae8afe2b1a6d89c669513856bb83,df544275e182e7ab0167fcefb2c5fd83273d54bf,2020-04-06 18:44:15,rebase
498cbbc3a3a00515bc0b55aff97a177df701dcc3,cc4323a121eb6dd637105be0da7246433cb63eda,2020-04-20 18:08:38,rebase
