merged_commit_sha,base_sha,date,merge_or_rebase
e523defb12f5ea3ec7b7129ed2b4aaf70aebed2f,11ac0fe03a15fa83ecbd0aac775690a17043d77c,2020-04-26 16:10:27,merge
cc3ac40f33ac55f46e32196af2b0cf5979ffa15b,11ac0fe03a15fa83ecbd0aac775690a17043d77c,,merge
11ac0fe03a15fa83ecbd0aac775690a17043d77c,680823dcbc19068d063373b75456ac98564013f1,2019-09-16 08:04:35,rebase
680823dcbc19068d063373b75456ac98564013f1,dbdbe9428caea06c17d34a507c9216fe35abadc4,2019-05-18 09:13:52,rebase
9baf0e48b41bca4e51ff5c1e884b06e216f19b81,dbdbe9428caea06c17d34a507c9216fe35abadc4,,merge
3bd27b4354dfddda282280f69130191497b8821e,dbdbe9428caea06c17d34a507c9216fe35abadc4,,merge
97b2e3a1a2edebae46ab649383b89aabff32097b,dbdbe9428caea06c17d34a507c9216fe35abadc4,,merge
4bb16803b4f0e36a5b5f6945b574aed3b0b7a6dd,dbdbe9428caea06c17d34a507c9216fe35abadc4,,merge
de458a9b42db6478e0c2bb8adef0f9fa342a2674,68e0b9fdaea8b9cf446902c8b8ebc37760fe0811,2018-06-01 07:34:49,rebase
dbdbe9428caea06c17d34a507c9216fe35abadc4,68e0b9fdaea8b9cf446902c8b8ebc37760fe0811,2018-06-30 21:36:08,merge
68e0b9fdaea8b9cf446902c8b8ebc37760fe0811,3cef9e6aa2bdf64bb1d82aaa864da8e2ba3d38b1,2018-05-23 08:58:43,rebase
3cef9e6aa2bdf64bb1d82aaa864da8e2ba3d38b1,b7b20aa2a8f5cc9a391bff3885bd5c67f0804a0c,2018-05-10 15:17:23,merge
93c159429a2b7905fc795997dd42cb80c0fa32df,b7b20aa2a8f5cc9a391bff3885bd5c67f0804a0c,2018-05-06 21:45:40,merge
a082f042297ce75350a964947b0195d3c038a623,b7b20aa2a8f5cc9a391bff3885bd5c67f0804a0c,2018-05-07 09:05:40,merge
c2a5254a657aa72739d571918f6d5d33b7eb324f,b7b20aa2a8f5cc9a391bff3885bd5c67f0804a0c,2018-05-06 21:55:05,merge
b7b20aa2a8f5cc9a391bff3885bd5c67f0804a0c,11a8609f66d851acea7acf5a6831e5046dae3db4,2018-02-24 14:18:39,merge
11a8609f66d851acea7acf5a6831e5046dae3db4,5f879b09c4b25355b977f96794d6b1083a51623c,2018-02-07 11:46:57,rebase
5f879b09c4b25355b977f96794d6b1083a51623c,bd72ac9c1ce50b2652150bf613db6e28ddf4a059,2018-01-09 08:49:05,rebase
f07b12d56b983d27d74b1e0005abf0fdfb8c4355,c7878ce76435f0b48b31546a48c03725741729bd,2018-01-05 14:38:33,rebase
bd72ac9c1ce50b2652150bf613db6e28ddf4a059,f07b12d56b983d27d74b1e0005abf0fdfb8c4355,2018-01-05 14:41:32,rebase
c7878ce76435f0b48b31546a48c03725741729bd,1bc2940e2e2dbe632d92492aa94d8cd4de5a96a2,2018-01-05 11:51:47,rebase
1bc2940e2e2dbe632d92492aa94d8cd4de5a96a2,7e29569b2378304de2af54d8803620ffd2406b70,2018-01-04 23:01:07,merge
7e29569b2378304de2af54d8803620ffd2406b70,7a8746500b4d74269a0e8ad53167cb2eba78f768,2018-01-04 13:05:21,rebase
676d96987f64c75caabda2ebedfed6c8dcf4c772,11a8609f66d851acea7acf5a6831e5046dae3db4,,merge
7a8746500b4d74269a0e8ad53167cb2eba78f768,1bf10942f9778560eee6e947ea57e449f90e9be3,2018-01-03 13:42:59,rebase
79f6829d9b9f2eb6acbf8bd1b4c47dad0d9ef920,c0471165fe87cf0fdf2d6ccbca3b0baf498981ca,2018-01-03 13:13:41,merge
1bf10942f9778560eee6e947ea57e449f90e9be3,c0471165fe87cf0fdf2d6ccbca3b0baf498981ca,2018-01-03 10:55:00,merge
88a88e4e76efe814493faccf022e55f665287552,c0471165fe87cf0fdf2d6ccbca3b0baf498981ca,,merge
c0471165fe87cf0fdf2d6ccbca3b0baf498981ca,27c58221f3c6e078c9695b5b87c7e48cc519ef9b,2017-12-06 10:03:38,merge
56b68a5d666abe2788cca5412c2d75d6c88679ed,27c58221f3c6e078c9695b5b87c7e48cc519ef9b,,merge
27c58221f3c6e078c9695b5b87c7e48cc519ef9b,0f3363fc0467f3548db86b24d691c50400770c20,2017-11-19 16:20:31,rebase
0f3363fc0467f3548db86b24d691c50400770c20,b533318a16516752473c2e3a146df3d38f0d83a7,2017-11-13 12:27:24,rebase
b533318a16516752473c2e3a146df3d38f0d83a7,5c9f4958620c6cade6c4a6d4ab9126bc061a152d,2017-11-12 20:54:48,rebase
cdc44059aae92e62f2af673447f1cf16cacc53d4,61b58ccc0b571721b56bf778e3cd82f3c4ccead0,2017-11-02 22:45:03,merge
dbb89ebef7ae7c441f4e15c944ea6f64892114f7,23de06548d9e29d0039c88b7e0af87a5fe40c28a,2017-10-31 21:27:15,rebase
eb19e84e775354aaf0892941cf7f8e8714798da1,23de06548d9e29d0039c88b7e0af87a5fe40c28a,,merge
