merged_commit_sha,base_sha,date,merge_or_rebase
501ef958ed56f64c1828dac9126954c795e04823,9c98efa53c12403a2f956b334f39d283dae29d7a,2020-09-07 21:34:49,rebase
d046773cf16722b6faf3b738ea58381f11a5d75e,3f76a25da2b7173e56cd1a639d670f6d36ddc8b1,2020-08-24 14:36:42,rebase
5374b15a4cbd07513ed9fd311e2e0b9cbd70999a,3f76a25da2b7173e56cd1a639d670f6d36ddc8b1,,merge
28cfddc0a814558f03e512ca7b9bea6a0183a06e,3f76a25da2b7173e56cd1a639d670f6d36ddc8b1,,merge
9c98efa53c12403a2f956b334f39d283dae29d7a,d046773cf16722b6faf3b738ea58381f11a5d75e,2020-08-24 14:45:55,rebase
961e0eab36a5b04cbb8c00794dc35ed7dbd0d751,501ef958ed56f64c1828dac9126954c795e04823,2020-09-07 21:42:42,rebase
3f76a25da2b7173e56cd1a639d670f6d36ddc8b1,946b0872b708ae093c67f4a00b673d2b051fe3de,2020-07-27 12:55:32,rebase
0356133e727125e0f49e78a274daefc1fe9aa4e4,3f76a25da2b7173e56cd1a639d670f6d36ddc8b1,,merge
946b0872b708ae093c67f4a00b673d2b051fe3de,9a234930c995bd2ee7099b2eb5946c129eceed50,2020-07-07 18:01:55,rebase
93fda7e9ff81052938da65d3a4ed8efac42036eb,9a234930c995bd2ee7099b2eb5946c129eceed50,,merge
9a234930c995bd2ee7099b2eb5946c129eceed50,3bb1d8b1758f62aaa59cebb60bc10d935fa6083c,2020-06-29 12:13:21,rebase
f4b712f273e64838f38838a1cf5d5a248b5819e5,3bb1d8b1758f62aaa59cebb60bc10d935fa6083c,,merge
3bb1d8b1758f62aaa59cebb60bc10d935fa6083c,6d00f67604f686c0a96767060c281180bd42c431,2020-06-15 11:37:16,rebase
a36330414f09d995fba1e34547066d92b6165b5e,6d00f67604f686c0a96767060c281180bd42c431,,merge
6d00f67604f686c0a96767060c281180bd42c431,ad5a078a1b0417e49bb20df8e422f7736a903372,2020-06-12 00:19:18,rebase
79a407c58064cc8b653c9b4c6d4599c60c7e92d1,ad5a078a1b0417e49bb20df8e422f7736a903372,,merge
70b35d2abfc614c6baa6ef10cef86d6f288a767c,ad5a078a1b0417e49bb20df8e422f7736a903372,,merge
08e7c14ced3a2d609a60095a09d754498d38e1d5,d02a2301726f7015d10a6c6dea5c417ed57cbe34,2020-06-08 11:33:28,rebase
d02a2301726f7015d10a6c6dea5c417ed57cbe34,8d3e7b3c2c106f5fcc10ba00a3d88d8fca938c85,2020-06-07 21:25:52,rebase
5b53d839ac51cd2c6c13ae4f57f965b5401d5997,449faaefeaa9052ad4e6a9e4e7576986a17f6462,2020-06-07 16:19:58,rebase
17050e8d89c7d21ba55740024a6d7bde1baeba3e,3c13a8c7a37950f1ffd1fbc1abc326836fa93171,2020-06-05 19:55:31,rebase
b9d1f448d49cbcdcd18208aa445458785581f7bd,3c13a8c7a37950f1ffd1fbc1abc326836fa93171,2020-06-05 19:59:01,rebase
af74ae8e20787822a8dabb74057d61eb50472928,3c13a8c7a37950f1ffd1fbc1abc326836fa93171,2020-06-07 21:25:35,rebase
449faaefeaa9052ad4e6a9e4e7576986a17f6462,3c13a8c7a37950f1ffd1fbc1abc326836fa93171,2020-06-07 15:53:27,rebase
3c13a8c7a37950f1ffd1fbc1abc326836fa93171,692655f7b2d3f44b74968ff2371d9dd2c6c5ec24,2020-05-12 17:19:56,rebase
37e6d5f860777aa58731d90cb28396c2654d18d5,692655f7b2d3f44b74968ff2371d9dd2c6c5ec24,,merge
