merged_commit_sha,base_sha,date,merge_or_rebase
1824d5b46ba02aac852d6c7c29d053e8a19d860e,8d22ba7c8145d6664dad0a145a97fba8b81fd002,2020-09-02 19:38:34,rebase
8d22ba7c8145d6664dad0a145a97fba8b81fd002,8908ce8b33c18d27fddb399602d984a6a73f1258,2020-09-02 19:08:03,rebase
677e1a97621f99daaaa577c124e5a883e6a69759,8d22ba7c8145d6664dad0a145a97fba8b81fd002,2020-09-02 19:39:30,rebase
5cf694181b8552f755ff0c05988a90ed0368b8df,3810c6c5226f9aaf386c736171f0799ae507711e,2020-08-25 16:29:49,rebase
8908ce8b33c18d27fddb399602d984a6a73f1258,5cf694181b8552f755ff0c05988a90ed0368b8df,2020-09-02 18:51:49,rebase
3810c6c5226f9aaf386c736171f0799ae507711e,25eaf37c935bec0574a48932d5e6e5357df83d56,2020-08-11 18:12:31,rebase
25eaf37c935bec0574a48932d5e6e5357df83d56,2f6ec6717e3449ad3ad60c8803181f72132a06bc,2020-08-07 22:32:25,rebase
2f6ec6717e3449ad3ad60c8803181f72132a06bc,20e1be26868403430aab1084132539bdcd18b7b2,2020-08-06 01:00:22,rebase
20e1be26868403430aab1084132539bdcd18b7b2,5494cf88a03d8bead1c2f96ad48898de2079544f,2020-07-31 17:25:01,rebase
5494cf88a03d8bead1c2f96ad48898de2079544f,6e213d440db5ac791cbf0bf6ae55c7ec1984c0c7,2020-07-30 17:15:10,rebase
6e213d440db5ac791cbf0bf6ae55c7ec1984c0c7,5a19b44c08335a765665bdd0edaf6017f5498fcb,2020-07-30 16:34:40,rebase
a3aa6cae517282dda4608438890fd15cc883ad17,d3175aad4a037c263fc6e877afb8fedf18b74931,2020-07-27 16:24:52,rebase
5a19b44c08335a765665bdd0edaf6017f5498fcb,d3175aad4a037c263fc6e877afb8fedf18b74931,2020-07-29 22:39:07,rebase
c64f176395156574b1e0b08a320cd954916a1557,d3175aad4a037c263fc6e877afb8fedf18b74931,,merge
0c9e25385e1496e9744bb24bfbb5184d2f1e9778,5f91dbd7258b9906c265a33172b0b8d988e66f0c,2020-07-20 23:53:14,rebase
05e42d97cdd6d4357afe1b6e967eb6e932153672,5f91dbd7258b9906c265a33172b0b8d988e66f0c,,merge
5b9145bfefbf678afd15a7baf911065640d3d2f5,f806c300daa7908820e544022faeab8c066c25f8,2020-07-20 21:04:18,rebase
d3175aad4a037c263fc6e877afb8fedf18b74931,f806c300daa7908820e544022faeab8c066c25f8,2020-07-21 01:28:32,rebase
f806c300daa7908820e544022faeab8c066c25f8,91d3edcb6d5b74ff62a9719d32ba598e8f1d99ab,2020-07-20 04:01:06,rebase
17131a8b91958961e01d4dd1dd9842913fbdf613,91d3edcb6d5b74ff62a9719d32ba598e8f1d99ab,2020-07-29 22:37:50,rebase
5f91dbd7258b9906c265a33172b0b8d988e66f0c,5b9145bfefbf678afd15a7baf911065640d3d2f5,2020-07-20 23:13:44,rebase
147cefbd5b4acceaac1e77a279b658976698b733,d78510d0d473de2ef104c8c4c630ead048eb9666,2020-07-17 17:05:19,rebase
d78510d0d473de2ef104c8c4c630ead048eb9666,5fb8a9ab94762f0961cde80a4a917fbbbf7398e0,2020-07-17 03:52:26,rebase
248237b73967645bb77481611d6cc6ff03eee1df,60028f8c51e6248fb7cc8d7819fe5932e4e00168,2020-07-17 00:26:47,rebase
5fb8a9ab94762f0961cde80a4a917fbbbf7398e0,60028f8c51e6248fb7cc8d7819fe5932e4e00168,2020-07-17 00:27:23,rebase
