merged_commit_sha,base_sha,date,merge_or_rebase
b8bcff9600d1a25e2239c100830af7c3f839f860,29a6b2f13b805e86168220aececb07023cd1d0b5,2020-02-10 11:05:22,rebase
cedc06e4dfdfaa9c9f2954032452ecae1763d771,29a6b2f13b805e86168220aececb07023cd1d0b5,,merge
63d1d2f2157f4540c2deabd96c4be493e8ce8c78,2e2ad8a51cdf33716768285878cb46900c27d59d,2019-12-09 07:49:55,rebase
0320ac8139250672e2e7af90239241d508f0a493,280495cc0f973c101c42c14b89833916d84a88a7,2019-08-13 08:28:30,rebase
e1a4e314eb8c9a119e045f857efcdf6221ab8607,19de07b9e1d541dc0380d295a20646b04ed4df03,2019-06-11 11:46:22,rebase
544910f2302127f4db6cc9675743afda306fe997,19de07b9e1d541dc0380d295a20646b04ed4df03,2019-06-11 11:03:39,rebase
33001a1a0afb4d6529b802246346bee7799f79cf,2b024dfc7e907b70171bd69fb65a377a13f1da0c,2019-04-08 09:48:37,rebase
7c7c433c06346d316388b76a9efe11039cffd0a3,07447af0390ce27d9c377697d66b3469f9b1a1f7,,merge
f27bbc867d4b8fbe57d78b2c33b6a8a1f5333535,ffbbc1078a987b0e25e660ba8f256b7a737680cf,2019-01-07 12:33:17,merge
59cba1a5d2a7781b6f9f5b4909d90b52b1080632,ffbbc1078a987b0e25e660ba8f256b7a737680cf,,merge
9bdb871016e126469bdb129fbe8ed286a44b6dc5,232f68bec9d4e759308d2e016825f87d1d182b57,,merge
7fb45a445fa48c5ee485ec632753361896cc45bb,6aeb135a3c32946d50b25d078da80812a19f156b,,merge
068195fc0a2aa961b261370f71b5fe75a82330b6,40356e3d3d7b7dc7ba194cd0707ddb66b0ea1040,2018-08-28 09:09:54,rebase
acec3a7f89a06d3f23ae6d8e2f821b86b4d8e738,5cde81a38b708a8e0f9d169a42db4514b7332fb6,,merge
d1d211ca4708b025cd1c7ae3973404c5f3c01456,5cde81a38b708a8e0f9d169a42db4514b7332fb6,2018-07-02 07:23:26,rebase
196fb0a9671024348362e2a0be3375de89936647,009c9a749965116ae9b03d0503020240e5b1cbb7,2018-06-11 08:28:45,rebase
07569cdf67ecf067f26dcd27f4517fef7e744946,f03cf54ace64af73a483195e02a7d89fb3878239,,merge
a718035def399bbe1f47e12e9644f5a915cd2c39,f03cf54ace64af73a483195e02a7d89fb3878239,,merge
a7e9411111d1910dc539a501512248e963c15513,f03cf54ace64af73a483195e02a7d89fb3878239,2018-05-04 14:17:38,merge
bcbb9f3f7f771c2127ebeba3d364395a93c49cf5,ed9f0851a4bb439dce3dfabc6d8dc6193e85ac36,2018-04-27 12:21:51,rebase
6fc59c1eefd0364ae494291ba1d4bb38a0f223ff,ed9f0851a4bb439dce3dfabc6d8dc6193e85ac36,2018-05-03 07:01:53,rebase
8454454e0b42093bcc09dc9e401c18d44b1a8430,54ed734fcf26ebc15ee85f4b69ca58b6eb17d20f,2018-03-31 22:30:28,merge
950f42ce5e876453cc4ee3d99ba81a8c7177e4b2,54ed734fcf26ebc15ee85f4b69ca58b6eb17d20f,2018-04-06 07:30:11,rebase
19b1d0bfad2afd1497c8b3a4750399f7a07f14be,c7df9914bfb7055bb70a7c6412c36b113ac219c1,,merge
e44c8bf5f65daad5eedea045ed248bf668ff8e5d,5b1f9b442018eda6268aa4303508e0bc5e2489b5,2018-03-01 09:24:21,rebase
