merged_commit_sha,base_sha,date,merge_or_rebase
f027d03cfa366429713bacf6119724a8d9db2dd4,915f57b5db90cfba17e3c019057dbd7a77aff277,2020-09-07 03:17:13,merge
c8fa734c2fb49d063b5746a5da03cb5d5a429622,a08fbc6be385fc3d24fc7aaf8dbf42477feae1fd,2020-09-05 17:02:52,merge
915f57b5db90cfba17e3c019057dbd7a77aff277,5e7fc7d71ab10b83a54dff9648055865f09fb669,2020-09-05 17:26:13,merge
d335b66b8ccdd3631379a1476116e0ba9cf18a6c,5d50ca9c072418a38a1bc525744f1d5c6a5ba0ef,2020-08-30 00:02:53,merge
b98e14c986f1164912105fc1a535084541bc9edc,e84bf275f6f931b9aa31d88c1348601698e44746,2020-07-22 13:53:12,merge
e84bf275f6f931b9aa31d88c1348601698e44746,b51dddf5f1ef5b633c22a6e1ace3cd498e012aa8,2020-06-11 19:25:18,merge
fc0e2d74c42d98e4b888fe7e755c800a05b38681,ebb778f4d2a8abc6f78f225977b559e564baa001,2020-04-18 19:16:48,merge
30adbc6936080076c105db7e5751de28b0888ed7,ebb778f4d2a8abc6f78f225977b559e564baa001,,merge
8a3e96b747f5731e37c72a0fa062c9fcb4759d9b,1a9dcd0b54696a0609d5fc09e9034ffda3c8a8e4,2020-03-29 01:23:48,merge
1a9dcd0b54696a0609d5fc09e9034ffda3c8a8e4,bda8617fd6678b9c2851d3baee4a07a970bdf339,2020-03-25 16:02:28,merge
0b59638ce7155191fcf54bfc88e76e84746584f2,07bbb061adbdd7b60f41c54e6ff92b3ef5814d05,,merge
8eceaf539808bf4755fc68fcd353d7b085ec5308,6987c8bc62568917c05beacc363d3b12e8bc35e3,2020-01-14 03:56:29,merge
65595b89ddda702794e0e6888aa3bb627789d8aa,81dce71407c063c2235cc7379fa55e4e50adac93,2020-01-23 03:43:37,merge
5a2989ee7eb43a1cb08eedb1e313bc4e6b01756d,52ffed6fafc196779f241eb6eb2e792bfb81993e,,merge
8a2b48893aaceb597c169536ea1dc66ff22ed2da,9afdb8726cbfb7afff707d7676cc6f0d8d8c2992,,merge
896e099a9805f722e7179af89ca8df181d388c2c,c7fe71a54d4405141b07d7b4fdd238d2c7c6224d,,merge
5e2a3c107d70d77dbc0fdbd555c2de4cc8987b54,c8187cd90a651fc0d197123e92f0837a95728649,2019-04-14 17:22:26,merge
968c779a442fc3665f42eb6ab4318ddd20ad359f,8a526886bf571c997f9ba660be498b3cb6d00391,2019-02-07 01:38:33,merge
8a526886bf571c997f9ba660be498b3cb6d00391,11a5708ec03ded5d5eb79463b01c44fe58471941,2019-02-05 19:19:45,merge
15e8e4b81c93cb5959be4619c6fc578838810f9a,1d32d61e25ae4512b77d691a2dc7affc27d50858,2018-12-31 04:48:30,rebase
9fb9d84521f8c4f93b1559d0d33377ccec77b0a3,9fac3bed8f6a37d2798738cbc3f95406090ebfa8,2018-12-30 19:38:28,rebase
ab54961451b993386b61421bbf6a2d0566c03309,9f476506efd57d67e8e8a19a51560ec4d25dde5f,2018-12-21 20:15:01,merge
67268325f4c21222b820f668a6be6788d1aa4c87,059a2828f640616e5a51672e8705173e64501b23,2020-01-23 20:15:53,merge
7b8bf0419e9571931c8287e632c0aad52ed2c23f,dbb10e63856f1fe322d618b75ccc81ab4c7a0043,2018-09-14 20:15:27,merge
19d82c94c4e1e1f8b046798fd1d1d8420ee4132c,31b8ddf1eb89bb00a6957162ea6ef42a217dd849,2018-08-06 15:59:07,merge
61beb27e99c1509aeaa5d92182147ed0cdb06aec,2c822b6ae2290bef615c146d5b39fe805540e216,2018-09-23 09:30:28,rebase
d37de4bac3d1da58d00874df8276989c1cec05fb,b645b018c46bd9e5a136cafc60cb6be2bed49919,2018-02-06 21:54:59,merge
6a14766194405390b55e42d142410676922a5566,4725531d7cf5794c05fdeb1b19f68e5bab430f08,2017-11-14 17:24:17,merge
8de5b2426969185a2dedd675dc34c10aa76bc167,0ec385b196d31f3e4b877011275baf82fd3fb284,2018-09-22 12:22:30,merge
485a3ed63646ab5528b62e7a5e8997203c7ce6a3,a91c849ad47be9856c6f6b232ee810e058f91aad,,merge
b11deee2099583c8336a992223b23dded0b52cb5,fc0831d5fd03b3cf848fb8bf49b688db83fd8a91,2017-09-19 18:50:35,merge
5587d54f579398aa53cc35aadae2fec239393469,336b1c20ba8184b044065dca581ca09451c844f9,2017-07-29 00:22:45,merge
a40d382dc6b131256ba32123a437f8a8f0435a42,19f0dd82ee923a43526a85c50ef2bec586e210b2,2017-07-19 15:25:05,merge
5b852e4e396ff6d8cce34ee9584990c61a6325c8,27f396dc22a9c3d0f7dd4a0860a4c352c3b5ef82,2017-07-11 07:51:57,merge
906d34fdcb93754e38a15d34617d41abf8824387,93178c05c3c490f316befbee11590b513595c200,2017-07-06 06:30:34,merge
93178c05c3c490f316befbee11590b513595c200,5d960352d3b76f35b0e8e5298b53971747fa5287,2017-07-04 19:01:03,merge
5d960352d3b76f35b0e8e5298b53971747fa5287,91a725c86bb325f2f922744b5f394870ef40755f,2017-06-30 20:02:22,merge
f1d57a80773d687cf07fc8c9fb3d6bea2d1d78d3,e289a9eec1f7d38f3e473630f26a4d592a077fc0,,merge
f91e7a1082b7fac6f1ce42b94491e41fb9dfee71,67676274c78410b8b8a07c60f869472e666f1e4d,,merge
b22924917de265fa57eaf03cf411353abc01276d,ed80e406809b47a44c9629dc2f0ecc7a11ad4291,,merge
e7a80f4c991467e5396c4b737201b7dd986197a3,a850981db8e2a8c329d5d319893aa1770e756318,,merge
4df6d92d905dca9857f55029566a7c89ef836a24,b0049574ab64f165173e09fbbda6bdef58a84562,2017-02-15 19:39:44,merge
3f3da4fc7052707c5482529fb4ae23fd4ad23f8a,9733395818d2fa5c851eba64c5d16a9e249d3629,2017-02-03 19:38:14,merge
