merged_commit_sha,base_sha,date,merge_or_rebase
a95a3bf8e4954b6aa0b3dc79ff870e47bbf2fd0b,20aaf6d6e146e6982261638aa80901972b036cae,2018-05-15 03:24:59,merge
5cfa4dd28121c0f81c2f04bad47ea49aacdb1dc6,20aaf6d6e146e6982261638aa80901972b036cae,2018-05-15 03:25:02,rebase
8191a469cc41da29f05ba8a112c58f2a32de860e,21bdc0fea62d127a88a4195ae09544262a0fac0b,2017-05-04 09:17:37,rebase
c680d36bd9a93378d0ac60b49a24bdaf3cd0e7be,8191a469cc41da29f05ba8a112c58f2a32de860e,,merge
21bdc0fea62d127a88a4195ae09544262a0fac0b,2e8e4f12f8f08e8715e42b5f21270ea89a7c4123,2017-02-24 06:01:50,merge
c4c6fa1e105a55568426fbc2da77ccc1fd1094fb,2e8e4f12f8f08e8715e42b5f21270ea89a7c4123,,merge
b371c3e1ecc46608663f1169f6d8e7deb3b9b26c,128b0544cefc800366f70e534c5130f35574721c,2016-10-16 16:37:51,merge
4d3e83ac134a841e64d325009ddbedd8212a9952,91aab08b85a1e66afe5fe43763b81badb4d1e58b,,merge
c2094c7b044f78eb9a12f9f1740ab342aa496c88,102f9fbf01e04d6d8bccb95b69e40c0e9b6e6b74,,merge
47dca27cdcc086b2a85b85ac3769bb242973bed2,fdfc43fbec652d1c18eaa52757b41734a60557c0,,merge
1e975e0ce2af6f99f8776ea97994b7c1c87fe40c,c7edff320f5e771491f290c2757e065cffe98d81,,merge
7e360de773c9ae3ea0a35368585e4ddee83cc06d,a9ce089ad4b6dc26ebba8124c4529a214c8bf5d6,,merge
