merged_commit_sha,base_sha,date,merge_or_rebase
75de840645e2453efd258103805143105a726037,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
925e26a5a0a45312db52fce72080986d26bc6b2e,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
3f7309e35c591b4cca8a955529c9de83dbde4ee4,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
1781a89d95713a9419de9f4a0158ba3b6b9740d3,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
bdeb503292d86483e8d9abcfe434e685c65e1d13,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
b1e4fbb075c195103d5b4fb0cabe32f0892e4dfc,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
1288489d825e29df1463cbea627e68c35ffacb9d,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
9beda6774c52befe194d92069254e4ec992b2bb0,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
9b4da3e7c78437b84fc74964f48bb6bd9ed72c8c,ab72daabc11b39ddfb234fa24799aff0ad740f9b,,merge
ab72daabc11b39ddfb234fa24799aff0ad740f9b,f6d32d32abe7738f6bca6759847648688f151ded,2020-08-21 05:42:17,merge
f6d32d32abe7738f6bca6759847648688f151ded,65e81f597bb2baec4bbeea42b0d8f54edddeb5da,2020-08-07 06:31:37,merge
65e81f597bb2baec4bbeea42b0d8f54edddeb5da,26ee79cd474a495bb325876b27479a61467405fc,2020-08-07 06:13:03,merge
1cd209ffc79a0107d0e8dd79c2df071dedcdcd86,d9ce25a94062244585969b64ecbee525942b9677,2020-08-04 06:22:36,merge
d9ce25a94062244585969b64ecbee525942b9677,51e684381ab4f7c778ff60f5cb5753e94a780aac,2020-08-04 06:08:07,merge
8c4a979d04851d42e8b03c80bc5dc9d2dfe8ab73,f6d32d32abe7738f6bca6759847648688f151ded,,merge
26ee79cd474a495bb325876b27479a61467405fc,75e459900eed7fe883f075f6323d9d8e8c76affb,2020-08-04 06:53:31,merge
75e459900eed7fe883f075f6323d9d8e8c76affb,1cd209ffc79a0107d0e8dd79c2df071dedcdcd86,2020-08-04 06:37:24,merge
5a7a291e398dcdcf04f9af3939efd87d8813f589,c940949fe61fe984ad42a71d3ddff5d40540dc92,2020-07-24 06:07:46,merge
51e684381ab4f7c778ff60f5cb5753e94a780aac,5a7a291e398dcdcf04f9af3939efd87d8813f589,2020-07-24 06:21:37,merge
030d369d072a6c01db218cf7dedf07749ac8a897,51e684381ab4f7c778ff60f5cb5753e94a780aac,,merge
5acb847d19e0062993b41daef7609416aa47e0c8,c940949fe61fe984ad42a71d3ddff5d40540dc92,,merge
eb7421827b6b6eda386babfdb2c9ed2008764741,c940949fe61fe984ad42a71d3ddff5d40540dc92,,merge
c940949fe61fe984ad42a71d3ddff5d40540dc92,f7429f53d660236880d7d04aa49e1e481fdcb098,2020-07-07 12:46:53,merge
80f1385f84b27a3f692a53a72dccf3856ce900da,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
9e33a03832435e0a41b3ea6befb0460d9a034d37,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
7a9ee270447702fe339d5df791acf5edb75d36fc,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
9b942667fc516b34ed1250eac0154a4e23427d0f,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
cc1cc5e6b36619f32168e3acdbce7050bf6091f7,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
4aba0e29fb7c3a1ce7da8b3d8b1eaa43bbb1203a,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
5c97e227856371e597d503ee56a6f1c8e65e9abb,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
2babd7d97de6341376a24934af6ba93822bc5800,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
4e787e4b0e3e5ea3ea08a17737b1e18e7d3ac960,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
f1f218c767e697cc5f49d78279a94b34b05225eb,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
4e05cdae2f6073ac28e1f6b507cb15a7b7ed0ed2,51e684381ab4f7c778ff60f5cb5753e94a780aac,,merge
08192f685c127b9d72d1f2eb1693a40463f04133,f7429f53d660236880d7d04aa49e1e481fdcb098,,merge
f7429f53d660236880d7d04aa49e1e481fdcb098,0119c25317400fe5ec3cbc037e73c3f156a7d283,2020-06-03 06:10:16,merge
0119c25317400fe5ec3cbc037e73c3f156a7d283,47abfa62a59e1dec1ffbabafa734373136f52da4,2020-06-01 06:57:46,merge
3da8bed49d48cd7bd3656e5edd41c0737bab5df3,0119c25317400fe5ec3cbc037e73c3f156a7d283,,merge
47abfa62a59e1dec1ffbabafa734373136f52da4,6274b3c4ebce270c048cc34aed293af38a5951d9,2020-06-01 06:43:19,merge
6274b3c4ebce270c048cc34aed293af38a5951d9,e1ba00c115581abe6552aa6585a530afa0db5b8c,2020-06-01 06:28:49,merge
14b5bc1d0b136002c7e6e0b35bfa967f7ca96cd3,e1ba00c115581abe6552aa6585a530afa0db5b8c,,merge
7fd68eb600162fb3e553229401f26f0823d8d716,e1ba00c115581abe6552aa6585a530afa0db5b8c,,merge
e1ba00c115581abe6552aa6585a530afa0db5b8c,1ff69342040275d0ce4ec97bb3946cc95522e26c,2020-05-25 06:25:07,merge
a45ef0341b0fb59a9778188b9286734f08aeaefe,1ff69342040275d0ce4ec97bb3946cc95522e26c,,merge
387df87f83a56336f68c40a8843f7515be13bf46,1ff69342040275d0ce4ec97bb3946cc95522e26c,,merge
1ff69342040275d0ce4ec97bb3946cc95522e26c,832944900dfdf9b2632716d3b1e24ad0e950f472,2020-05-19 06:09:40,merge
3022d2aed1d3c540fa90ab2b3768ce8fce17f738,832944900dfdf9b2632716d3b1e24ad0e950f472,,merge
832944900dfdf9b2632716d3b1e24ad0e950f472,494f2b8ff82076b8a4c28d15239dfd11ffcac3ef,2020-05-13 06:09:45,merge
1dcc4202dd3c405e4b227fc0a3767fe1f6175cb9,832944900dfdf9b2632716d3b1e24ad0e950f472,,merge
1f4a30a3651c8b779ef3dfebb735dbfe49b24e6b,350af9d5a8fec2db713f07e3303764ffe6521d51,,merge
67a618d651d87646ee63fe03e015d79c65d84afe,350af9d5a8fec2db713f07e3303764ffe6521d51,,merge
a097ce61583fcfb68a223d3c9714eaa366deb7db,350af9d5a8fec2db713f07e3303764ffe6521d51,,merge
350af9d5a8fec2db713f07e3303764ffe6521d51,c372a4c663fa0ec57828909d2d978aa33e655389,2020-04-29 06:24:15,merge
44809a6636cb5cc24627986a20436ce5856b63e7,350af9d5a8fec2db713f07e3303764ffe6521d51,,merge
c372a4c663fa0ec57828909d2d978aa33e655389,6a9df80ca36c4fe3850fb445d4db29a7acb1c80b,2020-04-29 06:14:10,merge
74d070ad1eb2de452bcd73f2bb60158ad2ca313d,6a9df80ca36c4fe3850fb445d4db29a7acb1c80b,,merge
a6566b7eeb1d402eddc762abb5ca78185f1ef05f,26d782f5277ba6df22f1d3bc62f21b20973fdcee,2020-04-27 06:41:40,merge
6a9df80ca36c4fe3850fb445d4db29a7acb1c80b,a6566b7eeb1d402eddc762abb5ca78185f1ef05f,2020-04-27 06:55:22,merge
26d782f5277ba6df22f1d3bc62f21b20973fdcee,d1de3b8ba51e80bb2f0b7700692e6b86c0fae8f2,2020-04-27 06:28:43,merge
4bcce0e9291e14b8b904cf0d20e6ab56200906f7,c5b5e112bce33c183fe3824e709288fc1f359ece,2020-04-21 06:07:58,merge
d1de3b8ba51e80bb2f0b7700692e6b86c0fae8f2,4bcce0e9291e14b8b904cf0d20e6ab56200906f7,2020-04-21 06:21:39,merge
c5b5e112bce33c183fe3824e709288fc1f359ece,6174f6db6f0c977c6b58e8ec1345bc17311c9b46,2020-04-20 06:29:44,merge
6174f6db6f0c977c6b58e8ec1345bc17311c9b46,5c218912d8d9e19c394590a1ccf4386ba8969294,2020-04-17 06:02:37,merge
5c218912d8d9e19c394590a1ccf4386ba8969294,850b0ef404a8802c74fe434f30327c22c38ad0f3,2020-04-16 06:07:47,merge
850b0ef404a8802c74fe434f30327c22c38ad0f3,dfed1ba2a9465370d29537b5a3c1648344f512e4,2020-04-13 06:26:55,merge
dfed1ba2a9465370d29537b5a3c1648344f512e4,e00d53bd022dd2a787d983e0fbbcd04016978bc2,2020-04-10 06:10:41,merge
e00d53bd022dd2a787d983e0fbbcd04016978bc2,08b377703c1976601c63c93871450738c00898bb,2020-04-09 06:11:15,merge
08b377703c1976601c63c93871450738c00898bb,b468268fe4f068eef04a4e509dc9449820313665,2020-04-08 06:05:19,merge
