merged_commit_sha,base_sha,date,merge_or_rebase
9166f8996381ff2b637443d5acce277bef91f71d,eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687,,merge
7e98f03a66458dfea1549f0fcaa824a27fc688f2,eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687,,merge
3fa37e4b607ea2c4020aff5dd07624afb3c37d3e,eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687,,merge
ed26640ad77abaf71d69bba82f89cef263644a9f,d14cd7368136687e94ad0e1b9d49c383d6bc864b,2015-10-29 19:03:03,unknown
d5a9b9a49f6ebc73e22a9b15a49e5e1fa2930789,d14cd7368136687e94ad0e1b9d49c383d6bc864b,2015-10-29 19:03:16,merge
390f3ac8f7a968ed31f4d927e9d954b733513952,3bc191f8d310b4ae65fcb0b6a82d4953dba5e590,2015-09-03 18:24:46,merge
8759423b7fcd9e95f3397155e7ce85bd0c9a2c36,3bc191f8d310b4ae65fcb0b6a82d4953dba5e590,,merge
8af898915ccc852836311a0aa36cb98cbf12ddf6,7a2ea63e2a4ad80f6af3e7676e23394ad681608a,2015-04-30 09:16:32,unknown
4f034096e3f6560d2366cd6d433c1c1c74970bf1,6a68ae0c8bdc401962c7cc0f9b481dd93125c15d,2015-04-17 19:09:50,unknown
3cc60f449b056dba39d1014571abf67432c35bd7,2d8c36ef33d17d3a415cf17b011b10e2e236647a,2015-04-11 22:46:51,unknown
970ff9842ad8804a2456418d3ee2f37cd17ddf76,4fb7c7906df49df472d3c55230b76114d31b32f5,2015-03-27 11:12:04,unknown
e9d95c1f15e916b580d4a811f00870e56ba6fdf2,278a50128c6642c2e7e6008a6c41ab280a0501c3,2015-02-23 09:02:23,unknown
481267581e707d7df8f83975c46fc9e301ea066f,b5d314d640743c27251c15e18493ce4eca7a365c,2014-12-14 11:40:46,unknown
a3a912ebfa6dfbbd9fe9749fd759a9e4592cbe6c,b9c333903610460e912bc8dc88b6d93b6b35bf28,2014-10-03 13:28:35,merge
f670057ce8a0c0a4fa4ccbc1f06ac1a9dd19fafc,c6a7b518726301c42d18f393f6462bea50943ffb,2014-05-14 17:44:19,merge
