merged_commit_sha,base_sha,date,merge_or_rebase
75126981cd165fb57db4e38e9379e651fec1ecdf,7c7f22e3739f6561ae7e17b3a5f30914ca5a7c5b,2020-05-29 23:09:39,rebase
7c7f22e3739f6561ae7e17b3a5f30914ca5a7c5b,cb05c3724a539f4395c8bce713d45cdc2447b737,2020-05-28 23:39:23,rebase
cb05c3724a539f4395c8bce713d45cdc2447b737,3b025bbbdc8eb490b5930cd7f25c8bace4a86b53,2020-04-21 17:51:25,rebase
3b025bbbdc8eb490b5930cd7f25c8bace4a86b53,da1b38b38d100ace9e827e9e591b2440b5dfa01f,2020-04-14 18:43:02,rebase
da1b38b38d100ace9e827e9e591b2440b5dfa01f,db24cd8c8c538c2a776d8f500c9d3241f60e6706,2020-04-07 23:27:55,rebase
db24cd8c8c538c2a776d8f500c9d3241f60e6706,cb6c9a91e9771d1bc7748f8ae1823fb29ed81a92,2020-04-07 23:19:50,rebase
cb6c9a91e9771d1bc7748f8ae1823fb29ed81a92,9ab6410822b6a877590ded2e5185b3ad3ade4932,2020-04-07 17:43:10,rebase
b315e5c17b86b50ebda61e48e121f203e84ef975,d5a2dcb9e09ec97631a4f51b4dc7b75735277ca4,,merge
9ab6410822b6a877590ded2e5185b3ad3ade4932,d5a2dcb9e09ec97631a4f51b4dc7b75735277ca4,2020-02-13 23:14:47,rebase
d5a2dcb9e09ec97631a4f51b4dc7b75735277ca4,8c918f1ece2ee54b685779c8c442505248a4d8dd,2020-01-06 23:42:12,rebase
8c918f1ece2ee54b685779c8c442505248a4d8dd,0ba22650e6eb1e4e4bf523c70951952a559db65d,2020-01-02 23:26:44,rebase
0ba22650e6eb1e4e4bf523c70951952a559db65d,842c1d9da2910ad671acf61674a8b27c238759bd,2019-10-22 18:12:11,merge
842c1d9da2910ad671acf61674a8b27c238759bd,61c1a688f6a4e714e43c5b82b10f6d8b7c612dd6,2019-10-17 15:31:06,merge
177755b7c14c10eede779507b686f18f405d2fb0,61c1a688f6a4e714e43c5b82b10f6d8b7c612dd6,2019-10-15 21:46:43,merge
61c1a688f6a4e714e43c5b82b10f6d8b7c612dd6,0902a8f3e1d9385eceee85cc4c9461a9c727e34c,2019-04-02 21:50:03,rebase
0902a8f3e1d9385eceee85cc4c9461a9c727e34c,6004dc2f9976b7ad2ec8fff939811483baa3cda6,2019-04-01 23:24:31,rebase
6004dc2f9976b7ad2ec8fff939811483baa3cda6,f0a1b5bdb891601e730a7d0ea70cd85d7a09e527,2019-03-30 00:23:45,rebase
