merged_commit_sha,base_sha,date,merge_or_rebase
abff0f218284e740b06f28889bb9a35d3ed583a7,8acba540be66fa33fe7d1a6c6b0ba6ab6a6f495e,2020-09-09 10:12:39,merge
6fd97cbad7938c77bc0c74be97bff9851f6444ef,4be02eeb677366c3e04c1646e24616e12d1f28a2,2020-09-01 20:55:20,rebase
1b4b9126879ebf559638630e4f20b1a8111f47ca,4be02eeb677366c3e04c1646e24616e12d1f28a2,,merge
4be02eeb677366c3e04c1646e24616e12d1f28a2,950516098fd3a29131883e8e67a0bad6de150d99,2020-08-28 02:07:34,merge
950516098fd3a29131883e8e67a0bad6de150d99,9c378f74a57eb36bdc3dd8c6701f3b9ed8508c54,2020-08-21 06:37:05,merge
9c378f74a57eb36bdc3dd8c6701f3b9ed8508c54,4362f019972531b9215275a6fb3b8cb3e7f405a7,2020-08-08 10:45:49,merge
4362f019972531b9215275a6fb3b8cb3e7f405a7,9e4b9b1f141e53b0eb7c11656ef87475f9fa9fab,2020-08-05 11:11:29,merge
9e4b9b1f141e53b0eb7c11656ef87475f9fa9fab,b7a3587d97eeb1245497412a3e3d680444bdd8e1,2020-07-22 01:43:48,merge
b7a3587d97eeb1245497412a3e3d680444bdd8e1,cb9bc4d973542cdf505fd8c44f79a7ee5830104f,2020-07-14 17:35:40,merge
cb9bc4d973542cdf505fd8c44f79a7ee5830104f,80f48437d9955a9323df4244d22a3dfd4961af7f,2020-07-14 10:00:29,merge
f204351f5679727274455b0db181cfc5b865cf39,7b22fc862e22aee831714359b04eaae04ba81b03,,merge
4c17877980a2c6572f44fdfae841266a7a82080f,7b22fc862e22aee831714359b04eaae04ba81b03,,merge
32840a48a9aad9528e67d993a761d6863cc1658f,7b22fc862e22aee831714359b04eaae04ba81b03,,merge
7b22fc862e22aee831714359b04eaae04ba81b03,b8453f3502d879f65b5bafeaf51f6ff2e96c5603,2020-07-09 02:45:27,merge
c58c4c2996430d5136fb9f11b0f975990050bbc2,7b22fc862e22aee831714359b04eaae04ba81b03,2020-07-13 01:24:38,rebase
635c59232592c0d1a11150dd7b2977dcc6cab3a3,b8453f3502d879f65b5bafeaf51f6ff2e96c5603,,merge
