merged_commit_sha,base_sha,date,merge_or_rebase
d2f3c39bba0a0eb457471eb7ee2c5ecc964ff7f1,f721f7eafabd153adc01b07d202d0a5e9d1747a3,,merge
9d8bffe67bb296b47a77343f9a672835afa151ed,6fe6c808a3b85b018bd476ca2a6c81f1a300fd0c,,merge
f30ebf83cc0f054a3753aefbf6b730917bbac9c5,ed24589ea1da684859caf5daa89b7c9c92cd353c,,merge
1bae17eec6f5073bc9e2f66b31e02bc3a75a2aab,ed24589ea1da684859caf5daa89b7c9c92cd353c,,merge
150d98df5afcc97ee8e6f47951eabb7706ad68b8,5873025d871a3ff67f65f05d38869750dd8fa5b0,,merge
cd0a9304ded0cb4e7f8f445b59e49ae341e48a64,98b3da420ef64c885d2fc4739dc66caaedda734c,,merge
72cd36ed072afeaf84edb7efa9cd36bd6fe62cbb,9d01fe63e0f512a4fe77c020e4acb1610c3fd19d,,merge
12a7e9878b59f0ea66abfeb15364f1ffb75a0e42,e8fd8bd19ed46049b671bf9108292d568c18f54d,,merge
a6303fc6235a11061def4ed48216fea0f4f40ee1,d0c5d602ae090e3589abe00f323e94a2179850f9,,merge
200bac22693a7018cd747d7d219318f9d9562765,d0c5d602ae090e3589abe00f323e94a2179850f9,,merge
0f0634f673425772c36106c281dd938c64ec7c98,d0c5d602ae090e3589abe00f323e94a2179850f9,,merge
aba99927ff129c43bd847f06b7d81e8f63df4086,e8fd8bd19ed46049b671bf9108292d568c18f54d,,merge
b03de757469df874a304e147123023f4d7402bf1,275329cca0b3e306f3ab57707faf64d6de7ff840,,merge
3610136770a9802330006982497a7c3dd6f1872e,275329cca0b3e306f3ab57707faf64d6de7ff840,,merge
ce9f3c882d12e3149dada305757ae69a6b14b3d2,275329cca0b3e306f3ab57707faf64d6de7ff840,,merge
54b65eacbcca5278080ba17c4ea67bd00502d4c5,275329cca0b3e306f3ab57707faf64d6de7ff840,,merge
707f99a545aeff8911d9de095acc75430ece9e4e,275329cca0b3e306f3ab57707faf64d6de7ff840,,merge
5fbbb9b1d482c4de6d23209329375c0af07be596,13a69e3af350f77e3abb4f6c85b9229e4dc4cf3d,,merge
4e6f24462b48fc57d5fa5df3555daf39a329fd2a,fcd1a3400b1e3a27ea2cfd6e12604fbfcb12e83d,,merge
e68bdae3f45304677bb0a69ae178ead5dacf891c,9f3e6e0c53be618a79c55122705e768a981d3fc4,,merge
4c93b2cdd8cb30db42cc8df27bf63cafebb90493,d1608b0153dac9577011301ec69f579b5ca5ef42,,merge
ae5ac5fe174a6a04d20887ac34f7fe3165b04420,e76583ac7d521e32f5de8ba4001f1847dea19c6e,,merge
78f80665ac24f24f444e6361e08e6188b01ec36a,28b3cf0075a546606c17ff05d1f4094ceaf5ca34,,merge
ee7718ec92d5c062fd26ba077f013b045367a9ea,5b767b9d865ef4cf67bcb577e908e62ec073a8ce,,merge
1ecaacbc6feac3ed7d752e007180e733cdecbe08,5b767b9d865ef4cf67bcb577e908e62ec073a8ce,,merge
a4fdb4e015cdc748ba429ca684c5051506f54ca7,772d5dfeb55d29b7452d843e5a9a49c8ed9750eb,,merge
b68e1ea98f4a837da38ae3a563dd6c1737febc32,772d5dfeb55d29b7452d843e5a9a49c8ed9750eb,,merge
09645929590486b4e2edd8047b02772381321091,cbea6702cd1d40cb0455f2508b9b34f67e09b39e,,merge
8d9f73521215cca7667ec1c3b826b23e5e5f26a3,cbea6702cd1d40cb0455f2508b9b34f67e09b39e,,merge
93b3fcb1d33e0a3c6c02f61daa00d073aaeb2793,436c46a2ef3c83ddf6bc2cb266b9153c2d40f9b4,,merge
5638d3d22385e82ce686bec350b23beef022c314,772d5dfeb55d29b7452d843e5a9a49c8ed9750eb,,merge
dc65865ccb0d835b4db4de29b21e534ca1a287d7,c87d57f3dd50e7ee7c6fff52c179e8fbcf291a3e,,merge
7e6da89da8a7a1d151a15ecdd69934f0a04ddce2,3c688a95f72e88eb9e805b13d549e9e6bd8ef5ad,,merge
9e6da52597a97750c7765a54d4ad274e3d25d64e,c87d57f3dd50e7ee7c6fff52c179e8fbcf291a3e,,merge
164212e14def007b739472a03e29d6c0c869d6ff,aefa5de3ef1147bdf7d668368ea611ff63d8bf81,,merge
9fb65d191f492eabb0fec8b5b2f47eea45aacf2a,d5fafda4668b7e64dfd7f4327ca9a37e9dd6006a,,merge
ae5944839b5bef480c8e3461abb86019e3ee4bd1,a1c6b7ec154ca999ed9ef9d4a1d095597b610fb5,,merge
059c1e2bea1bf730c5c0d88c4d0479f843cc5a53,f4adea4e3a15c23af27cedebf65d48823737dcda,,merge
d996f7272048c46643375ca0a89ad310dcb2aac9,3f6080765ab562be01b8adcec593ae5e76607189,,merge
1f21a8065a39446b26b12e543a4a5f83af9ecede,3f6080765ab562be01b8adcec593ae5e76607189,,merge
ab0439e896e41c484e3126512d90d7503501294e,4e172fe8b6b7c3d6f3c10aacd06333b5eb26aff6,,merge
dd8c06d2cd92c50d9ea6c0fdf186e5bb6097a996,772d5dfeb55d29b7452d843e5a9a49c8ed9750eb,,merge
6366e2c811f722e9215a63af56f33f9a02eff5ee,7df69f84da6f256242f432abc6abfcb7df98f84f,,merge
457e12feac93f938bdad59b526d5b62ec97abd6c,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
fce3a84158b7088cffe8ca94ba79a5824ce89303,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
7747b2d4d0f3213ac3fa9c7265bbb63181ff0acb,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
914e7b05173e6c6968f4863ce2fe16a319054dba,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
f26cba3e53c3f6e304825b4d52a4223e64188ba7,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
d47e1f6ebb1ad692401a2a908608580be0261ea0,772d5dfeb55d29b7452d843e5a9a49c8ed9750eb,,merge
fb5b6228aa072fa40ad117c10cdeaa2d36155b24,5568482e4cd24908d3be67e6f02879fe2fc6dac2,,merge
1b8aff645085f184f73968b516bcf4d005d6f895,3d9e27ff646345f04a6a36680c5decc90d2a7917,,merge
877e208dc05b1ec85103c3655c15078684226aad,3d9e27ff646345f04a6a36680c5decc90d2a7917,,merge
1ab4ed9aec340bc30de101684f2998ae7afa5874,973afd041d9ae8fa9439780328425547ea916d66,2018-11-30 18:02:42,rebase
ab9e2c4e1188be60ebfe24f94dd47e890c0bc42b,68b939d89d7d00048d180ca76a5307f593b34a0d,2018-11-30 18:21:58,rebase
4a70f8dc0fe854917592f892f131bc3b979d0f34,18766280f6500494c34f44f3d0b577b2bd073989,2018-11-25 17:11:25,rebase
dbe8e5706db9fb63e50be7360cc6594c5c7a53b7,9483566ef79895933e29ea6b2550570d82bb1615,2018-11-22 04:31:55,rebase
4d2bbfc54d2a6995570fb3577c85e8911d5b576c,9a7f08b70b5bf651df13b29846d193292e1c3e57,2018-11-19 18:19:00,rebase
f6d78d04b538f8e594b5a716436a47a429c896c3,1df55c70fea0493b7eddef25002e5a7e1c405494,2018-11-19 19:00:55,rebase
220e4624e12e43c7d875c31e0cf544b85f4234be,1df55c70fea0493b7eddef25002e5a7e1c405494,,merge
0d0359ee120abcce3e96a052dda93bed71fc6b4e,7b3bf8636ad7ce1fd1a2701f829a424f6068adad,2018-11-19 19:01:47,rebase
e28eb330e0af4c97a580f0bc1c0f635d87d4960e,b87b2522e3edf5b0042564f9ceccf93322054d5d,2018-11-19 15:56:57,rebase
f52a58e31e645f5046cb6659fdc526dc1f32aa0d,5c02f8d34cecd675b2d8df27924f467dd12efb0f,2018-11-16 23:23:20,rebase
3e217d4133ba516f12de2c025f40cde7bdb2dab0,d325d02d78c491e89c6b4ca7554f62ea96d8065b,,merge
0bbfd3eb2d316804efb10d50936cdd08631a4f5a,6c9c8eb65665662deff4b4c31a0b61c21f48963c,2018-11-16 03:31:28,rebase
12aa76855d238d6bc005a7cc0bdbe13e82617c07,8acc13e44d83ea5a238dc65cd802e31d7e0b55b8,2018-11-15 21:09:07,rebase
bf21e942562ab65d82a156072734e4dd7a77240e,078799c875e7fd54672d26e56c82efe9cbb3291b,2018-11-15 20:33:40,rebase
8eb2550e0c759d882b1aa9ed6a2c1977d3df78e7,2efbf1f4324cb31dda8d58fb551f281c452158d4,2018-11-15 19:12:17,rebase
87bfdbb72cba7913c85c0fd2c701f09a311f84a9,1b759719e8ce1416f5ce9282e6ec25b65ed1ed67,2018-11-15 18:26:48,rebase
dacccccf74ec743f53492e1bfa51ef0b73da120a,99d41256a95285221e19bf35b7289f5d8e65cb54,2018-11-15 04:30:01,rebase
f6e9fce0d3ba088d7768cbdbf14d07bc7162a0ea,8eff8966b4ad7bf465a4598098a5760a43f7aeda,2018-11-15 16:16:41,rebase
ff63c31daeb8b856be9bd9234257e800eef7a775,c5bcba45bed983a074b85a2e3407ffe93c133691,2018-11-15 16:24:33,rebase
636d8be33f6f7337aced5feb3386e94f35e8a7b2,20be554a7438675d50e903641830cbd8dc73ab4b,,merge
62cf9c8014b420a7912b7fefcbdcc79cbf9b7fa2,8eff8966b4ad7bf465a4598098a5760a43f7aeda,,merge
2e50cc1f2d402cc105dfc63546c1ddf8bea9658e,f9e2c8172c1cb077a2a47d7e4638b0bda186ec69,2018-11-13 18:14:50,rebase
4b213df950fbdfd6dc7ccd28356b5d1bab79f2cf,eafc3719a9cc5744ff282c31d400fba1c7123fd3,2018-11-13 14:28:08,rebase
ae63e399b292948c743154f13332e2edcd63145c,6d55f707fa1ef92766e7533311e34d1c93913833,2018-11-13 02:07:39,rebase
5ed123d863d87b5d38f10e756a485a35761bd1c3,6d55f707fa1ef92766e7533311e34d1c93913833,2018-11-13 02:07:39,rebase
0aca0c15c1d0ed2b907a7856e263954b88429f22,6a1673862ee8e9ee968ea53a0177e2fd498efe36,2018-11-12 22:43:36,rebase
19d4834e747b81c31a421d49c08f098f83b5c403,24745570dca48dfd1313865508de847a315ea059,2018-11-13 18:59:51,rebase
08a135a3f4c68488fc90f58e5ab005ce303f8a6e,0efb960323cecc7679b8da40792a042c87f7c771,2018-11-15 17:44:16,rebase
27f66f9f24ace6f922fbb5e34c717f6bffbb2980,46ebe52a2771641c9a8d521387b50d25ef3c42fa,2018-11-12 18:17:44,rebase
54a21cddde7df7cfa1061b17266325e0f9f09083,46ebe52a2771641c9a8d521387b50d25ef3c42fa,,merge
f30e7cf5411a1cb125384b8eae0dab913ba140f7,197f06af777b311dfb3f49d7233a952944b9ea04,2018-11-12 15:15:28,rebase
d805246cb7d0dd915840bd92847c668f6b3121f2,7b421ad4d4e3b157099afd391a227969241ae85c,2018-11-09 22:42:23,rebase
6f64a809f341c2b1da420ea887d1467370619bed,08a6be23a50c2fc0c84d0889808ba9a6142f9b20,2018-11-09 22:45:46,rebase
da4f41defc92eaac9b3d5813843137a9a90880f0,8acca4d56a145a9345a5e32c9220a74eb20f3a4b,2018-11-09 22:49:28,rebase
1be757788bd7ff3adbb51b50535a2d7cd1b53e86,cc068b0b76a0cdf5c5288105c3661598ba2caeb3,2018-11-09 20:18:15,rebase
c9c9d35d19f99dd4d45b64dbe2e76a344b423b91,dfdaf934020d17dba243d44009bd586079bd6f69,2018-11-09 18:45:50,rebase
1ac74cfb81861aa7c36e1900aaecc49fee2df6af,745abb672de2270327359f270e9faab926d141f8,2018-11-09 18:46:31,rebase
366b228c019b152f5a885c726ad8cda1390a0074,65cef9f980220e23082a1c49973497e35a6c5a64,2018-11-09 19:02:46,rebase
52af57f8a37e0fde73031c8a483729193a8fe6b5,14b20db7cbb495de42f5ba241e2001164cf1df85,2018-11-09 19:01:48,rebase
b475695f548837ae8ba7e49eddfe6e0391621765,934164cd12300fff50ae3b38e467cbc47965a9cd,2018-11-09 18:59:13,rebase
9d1579a480314993ece718dd624865307e71ef82,b7e6f1d4201d9a112dac7bd3aa37564e0316fef3,2018-11-09 18:49:09,rebase
cd224a1590012517c2a28bdbedfee605ec65407d,1b49fa294f2201bcbbb4bd45df4c02394df1418f,2018-11-08 20:50:47,rebase
