merged_commit_sha,base_sha,date,merge_or_rebase
feff0fc321b2517016e91d34f8fd159c4b06f8be,63d0187047bf814748f715e85e0a335784fe93c2,,merge
82ab5db9480ae9b8fb99f0770c05f5a6e0784d54,63d0187047bf814748f715e85e0a335784fe93c2,,merge
933115b0a6fc1502b211b7796843d30671b84197,7904dc83fdf43eb31c7bd03a19f325a96c66b41a,,merge
3245c184bc6fc88e9f5dd2f76a79cdee5789223f,7904dc83fdf43eb31c7bd03a19f325a96c66b41a,2017-03-06 13:38:20,merge
4221d624465de1dbc1d449bd01d0af5252a11113,7904dc83fdf43eb31c7bd03a19f325a96c66b41a,2017-03-06 13:38:38,merge
63d0187047bf814748f715e85e0a335784fe93c2,7904dc83fdf43eb31c7bd03a19f325a96c66b41a,2017-03-06 13:39:13,merge
7904dc83fdf43eb31c7bd03a19f325a96c66b41a,02ea78d53a874f0118f2df92fcf3f0757bbd62d3,2016-12-14 22:03:18,merge
16d625cd45d28a9dca0d555d44c7dd03ea4ad601,1b55f3a1d7de7d0f85a0d635c4327e6eed2bacdc,2016-12-06 13:00:28,merge
65a40ab17795bf111df2d6459d24516375262aa7,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:27:03,merge
a3881ecbf330ff0b0516ff6c7be009f463103191,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:27:22,merge
c4895026a42b252ba4fb7410038c938c4b372d19,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:27:44,merge
a12f68d27dd79b41c852bf9594bbaec0c1fd9043,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:27:55,merge
e8af96876d677449615b16beb3ef49d3bfed9880,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:28:16,merge
3816bd22d46a80a4a6e1f3b4ef9b4ac0204ccfcf,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:28:41,merge
02ea78d53a874f0118f2df92fcf3f0757bbd62d3,1b55f3a1d7de7d0f85a0d635c4327e6eed2bacdc,2016-12-06 13:00:50,merge
c7461f724482731b8845a33e7247741bffc72dd0,7a58dc349f17351813afa24df97ef7fea545a833,2016-11-11 15:30:12,merge
1bb53b3d61c0798103c41f05b6ff219a5912ab27,7a58dc349f17351813afa24df97ef7fea545a833,,merge
e6997538a3d7fcdf9f51c34fd3c561d9d1f2b6b3,7a58dc349f17351813afa24df97ef7fea545a833,2017-03-06 13:38:53,merge
7a58dc349f17351813afa24df97ef7fea545a833,070e108047f2be7101e9b25b85b7b4bb22b53ce6,2016-08-14 20:13:14,merge
01ef0077d6c8c0e487878ceabc1d42b1623d867d,7a58dc349f17351813afa24df97ef7fea545a833,,merge
7cfc51beaa081ab2e2d33c9949a5b37fcac50554,d5077f5eadc415a88a6d30b80e07d7f0a5b16999,2016-07-15 00:06:41,merge
d561ba8c6f4d27dfef94b2ca915b621ad8f73594,bb13d6dddef52dbd280bd4942daecc61199e56f0,2016-07-05 12:10:36,merge
bb13d6dddef52dbd280bd4942daecc61199e56f0,ec9e2d6d6a38fd2b51213e826b947e361ddb8ee8,2016-07-04 17:16:46,merge
ec9e2d6d6a38fd2b51213e826b947e361ddb8ee8,be3a77989aa0918d8685fcc5dbdcce7b3e649d5c,2016-07-04 17:16:00,merge
d5077f5eadc415a88a6d30b80e07d7f0a5b16999,557a117b2387ba0abe5eb124e3b68655cb4cbb3d,2016-07-04 17:11:32,merge
557a117b2387ba0abe5eb124e3b68655cb4cbb3d,af06433320cb981fbb5eba1c47db8b4da249b463,2016-06-18 14:36:23,merge
af06433320cb981fbb5eba1c47db8b4da249b463,dc52fc9888550ddb6f759938d4b3131f21fe247c,2016-06-18 10:36:20,merge
19e81e0a76dfdc4c07298a4ca9dc2b3a60a6e935,4519e8f499dbc6175f474e306296a5f49496b644,,unknown
af06433320cb981fbb5eba1c47db8b4da249b463,a49d6350e5d39199e91a57485a2de9f47e1f8fcb,2016-06-15 14:29:32,merge
2b697b50806c6ce1a337cd0c2b7142fada786c27,4519e8f499dbc6175f474e306296a5f49496b644,,merge
cb1cf6186d9596b25cd86476d218a2538da36a48,501d5fbd5211e914d602b974e5f567f379210526,2016-05-30 22:54:47,merge
4519e8f499dbc6175f474e306296a5f49496b644,501d5fbd5211e914d602b974e5f567f379210526,2016-05-30 22:55:02,merge
501d5fbd5211e914d602b974e5f567f379210526,54c0e296a0d12af5899489452b6ea8c928ba8160,2016-05-26 10:25:59,merge
54c0e296a0d12af5899489452b6ea8c928ba8160,b29fd3b8417eeddc516d5660d484b84148421250,2016-05-13 15:13:20,merge
