merged_commit_sha,base_sha,date,merge_or_rebase
8c3e49da6b8ff76a053b6d0accbf91bb6aece7cf,a9f8db72781b626bf41b2af142784a9fe077cef5,2020-09-10 14:56:24,rebase
a9f8db72781b626bf41b2af142784a9fe077cef5,362a446110890b5c7441ec27e71999186d5369d4,2020-09-10 14:30:01,rebase
8c5d6cc467bb1775dc13ba77e0ea99a80165a2fa,8c3e49da6b8ff76a053b6d0accbf91bb6aece7cf,2020-09-10 15:07:45,rebase
362a446110890b5c7441ec27e71999186d5369d4,f52eff496da8451ec9fc72a6d68ae7e375cf221c,2020-09-09 16:00:05,rebase
f52eff496da8451ec9fc72a6d68ae7e375cf221c,ea881a7169963557cbc31c244d6549fe6f2998e0,2020-09-09 15:36:49,rebase
ea881a7169963557cbc31c244d6549fe6f2998e0,9dfbb548c60474693a1768d84a8e4daeea6716d6,2020-09-07 15:01:47,rebase
9dfbb548c60474693a1768d84a8e4daeea6716d6,ea979add0aef3fe12402e25614d3442e5a986dcb,2020-09-07 14:50:28,rebase
ea979add0aef3fe12402e25614d3442e5a986dcb,367f5c53a08523ce0053325c0a9a851d03cca23c,2020-08-26 14:32:43,rebase
367f5c53a08523ce0053325c0a9a851d03cca23c,2064fbd34fb89b5bafc1ef89ed473848e5890c95,2020-08-26 14:22:20,rebase
2064fbd34fb89b5bafc1ef89ed473848e5890c95,a4c0fd910e13137323cd2b5d590feb4bd0f890ab,2020-08-25 15:21:46,rebase
813c24f1b246078a1a184323ec45ff1fd82f8660,65f30443423b28d0a83ba7eebfb776fab398cec2,2020-08-24 15:30:18,rebase
b8e544020b0aae66d52b26270e55d3c9576f7aac,65f30443423b28d0a83ba7eebfb776fab398cec2,,merge
a4c0fd910e13137323cd2b5d590feb4bd0f890ab,813c24f1b246078a1a184323ec45ff1fd82f8660,2020-08-24 15:56:30,rebase
920497e4cf8a20243eaa03ac0b2fc786caa0d6c8,ebe5fd971569a49d79a47af61f7fc7e8a2764734,2020-08-21 16:27:39,rebase
e55c42a704d7cd630848e7df228401ca0afe4c08,5014dc3577d59acebbae3a180a4bacc282f237a3,2020-08-21 13:57:53,rebase
5014dc3577d59acebbae3a180a4bacc282f237a3,8d5291d8505bca1e362a6a2c76b6f0923f68f3fd,2020-08-21 01:31:58,rebase
ebe5fd971569a49d79a47af61f7fc7e8a2764734,e55c42a704d7cd630848e7df228401ca0afe4c08,2020-08-21 14:57:36,rebase
ad8ab550e483a976bcec1e0c226db5512a2d3a04,e5f400d4dd3dc8759361e6c19aa9f93447032dfb,2020-08-20 19:40:09,merge
b7e9b6e8a66d9732e8c6dee131c11ec8330c9045,d612c892787f53062a3dbcc36d95a4e5d713929e,2020-08-20 19:35:23,rebase
9be939ec51bafe2909f9d5c07a3e5b6bd4c94f5a,ebdd637842170192567fde7b64636a26ad4ea7fd,2020-08-19 15:21:35,rebase
ebdd637842170192567fde7b64636a26ad4ea7fd,2b3e2d3b2a8b2042fc6726f62c140e1fc7e74fe8,2020-08-18 21:26:42,rebase
6ebceff4987df9dbbcb10e0e513a4e4aae165de9,9be939ec51bafe2909f9d5c07a3e5b6bd4c94f5a,2020-08-19 17:48:54,rebase
4eb845c9d69ec31db17760c5d0c17716d7e791d8,cc0796971f32dc72c5777e41f0810afe941c2508,2020-08-12 14:17:17,rebase
cc0796971f32dc72c5777e41f0810afe941c2508,a5780747224016430ec380af5a084dee52130078,2020-08-11 22:42:45,rebase
e5c328a05becaa0610ee81fe9088d308ff0ed79b,a5780747224016430ec380af5a084dee52130078,2020-08-11 22:42:05,rebase
a5780747224016430ec380af5a084dee52130078,9dfdfa0e1aee6fba6163bd7c3c2d3ecb37168d21,2020-08-07 23:32:15,rebase
1bdd3f9a7f36e3ba6c62af1a1e6bfa3fa2c5037f,796b74cf7728920733cc761eeb4ecb7a8dcdecf1,2020-08-03 22:42:08,rebase
2b3e2d3b2a8b2042fc6726f62c140e1fc7e74fe8,4eb845c9d69ec31db17760c5d0c17716d7e791d8,2020-08-14 23:45:47,rebase
9dfdfa0e1aee6fba6163bd7c3c2d3ecb37168d21,1bdd3f9a7f36e3ba6c62af1a1e6bfa3fa2c5037f,2020-08-07 17:50:33,rebase
796b74cf7728920733cc761eeb4ecb7a8dcdecf1,163d5b8acef94e7340cab24d3fa196ddbe4e4ea0,2020-07-30 19:58:33,rebase
d612c892787f53062a3dbcc36d95a4e5d713929e,6ebceff4987df9dbbcb10e0e513a4e4aae165de9,2020-08-20 18:26:34,rebase
163d5b8acef94e7340cab24d3fa196ddbe4e4ea0,8fd4af42c8ce1bcb304784d2c89ba004d4e00cfd,2020-07-30 15:02:03,rebase
e5f400d4dd3dc8759361e6c19aa9f93447032dfb,aedb9c69cca0b78e6c5a5de72b862a270c168eac,2020-07-21 17:56:09,merge
b9237f9808b5af29cae66440edd00f46a0aba1be,7df3996c35de40a35c4a1563edde5de82d8296f4,2020-07-21 17:46:36,rebase
8fd4af42c8ce1bcb304784d2c89ba004d4e00cfd,861d4f841da3b6c19443ca89261b7638c36d9dce,2020-07-28 15:25:21,rebase
fa1b44ce19b639960d9cfbd42b5bdd0439f25dbb,5d45b52a7ef0844e88bb87ad77c2b5005519d13c,2020-07-16 23:58:29,rebase
9ba94b6a9ea6a663ba5cbfffd31adfcd92bdb871,4f8eaa1450ce1f4d10af37935028da183fdb57d5,2020-07-15 17:22:32,rebase
040becc308da1b910bbc4eb73a7101d5faf762ba,9ba94b6a9ea6a663ba5cbfffd31adfcd92bdb871,2020-07-16 13:24:46,rebase
5d45b52a7ef0844e88bb87ad77c2b5005519d13c,040becc308da1b910bbc4eb73a7101d5faf762ba,2020-07-16 13:31:40,rebase
602013c088233b49d1e1c1f279060200301a4484,fa1b44ce19b639960d9cfbd42b5bdd0439f25dbb,2020-07-20 16:19:11,rebase
0547c76bc22220afcdf0f7678645ac1bbcfc11b4,5d5b1b3d00b414ba86e7989b6a348adcd084c539,2020-07-13 18:23:42,rebase
7df3996c35de40a35c4a1563edde5de82d8296f4,602013c088233b49d1e1c1f279060200301a4484,2020-07-21 17:29:51,rebase
4f8eaa1450ce1f4d10af37935028da183fdb57d5,5d5b1b3d00b414ba86e7989b6a348adcd084c539,2020-07-13 18:24:25,rebase
5d5b1b3d00b414ba86e7989b6a348adcd084c539,d1d6777b1662a81695ba28e55d68f45798acd9fc,2020-07-09 23:39:59,rebase
d1d6777b1662a81695ba28e55d68f45798acd9fc,154dd62da81aca15f8a6263e9e6a6aac834fe1ee,2020-07-09 18:37:24,rebase
8b24c86e7b5215d1526753b8a4956dec5fe63201,8bb424ead145cde367e7b7c916a20831c1f1150e,,merge
154dd62da81aca15f8a6263e9e6a6aac834fe1ee,726aad5f1ce9da7709597b2f57ff3dc2986e849f,2020-07-09 16:45:00,rebase
ad0c00c419a1c5e2e4a558cc9563a756e222f148,5c19ec833b966b800947cf9f157f2904ada9f95f,2020-07-07 17:54:25,rebase
726aad5f1ce9da7709597b2f57ff3dc2986e849f,8bb424ead145cde367e7b7c916a20831c1f1150e,2020-07-08 00:17:44,rebase
8bb424ead145cde367e7b7c916a20831c1f1150e,5c19ec833b966b800947cf9f157f2904ada9f95f,2020-07-07 17:56:06,rebase
c42a3090655fa6efc59f366b63bc2bdeaf1df1c4,08cc002a7f2370db1f884e9f516d83d54ca6ce28,2020-06-26 17:01:20,rebase
