merged_commit_sha,base_sha,date,merge_or_rebase
ff38332b8fb34ac3db4aebf604a379eadc18f78d,381401edccb4aa56e9020fefbb1978389d7f3af3,2020-08-05 12:45:37,merge
7099d63381560851d0d1858df5ccca678d29c840,50a3b8906d9ea13e477f619ab5973904f1ef41f8,2020-06-12 04:36:18,merge
fd2847d36fdc7f7b7222c2087cb33ec2b4107b66,50a3b8906d9ea13e477f619ab5973904f1ef41f8,,merge
50a3b8906d9ea13e477f619ab5973904f1ef41f8,d02d4247b61539a841f14bb3da24b5c301855bf4,2020-03-25 03:47:40,merge
3044cbbd44a5714b4631b67d024624d7f2833966,d02d4247b61539a841f14bb3da24b5c301855bf4,2020-06-12 04:30:02,merge
d02d4247b61539a841f14bb3da24b5c301855bf4,5d2edd83d67170d069e299ebbe1e2e37f1e3d3c7,2019-12-16 06:23:00,merge
5d2edd83d67170d069e299ebbe1e2e37f1e3d3c7,7e581f931a7db92910c1156be91f427567a395fe,2019-12-09 07:50:06,merge
c9ecb2d5641b2ee6667b6a873e4ae094a2c50c01,7e581f931a7db92910c1156be91f427567a395fe,,merge
dc66aa0939325cc2d4fee8924a701438fc2b1c0e,7e581f931a7db92910c1156be91f427567a395fe,,merge
0e99c2a1e6d0a36dcec9d7fe8affdf495111a6c4,7e581f931a7db92910c1156be91f427567a395fe,,merge
9e621231b664699c71968de3ba6a99bf1619496d,7e581f931a7db92910c1156be91f427567a395fe,,merge
537b16fca17b7d8b86db292c7557af62385d5881,7e581f931a7db92910c1156be91f427567a395fe,2020-06-12 04:32:54,merge
381401edccb4aa56e9020fefbb1978389d7f3af3,7e581f931a7db92910c1156be91f427567a395fe,2020-06-17 06:25:38,merge
05bb243d88fb2cb403c0aec9f9f27ca508d34dc0,7e581f931a7db92910c1156be91f427567a395fe,2020-06-12 04:34:04,merge
f3af609d4bfc4d617c15c5333d8c709ebf43973a,7e581f931a7db92910c1156be91f427567a395fe,2020-06-17 06:25:22,merge
