merged_commit_sha,base_sha,date,merge_or_rebase
58e5feb3f49c50b9c18f38fd8f6cad2317c02265,12f798dc18976839f3dfcb835433b6db63f8922f,2020-09-03 15:15:48,rebase
73eeeef10d21879156bcfecdcbac0def3a483f24,9ef8d2f67155d6aa69b8344fc0b63e6dab8ce9f8,,merge
d52ce4ea1aa51457aed1d63a5bf784f94b2768c3,8b0747d65734ba1128da7479f8b961e530b82916,2020-09-02 20:27:48,rebase
8b0747d65734ba1128da7479f8b961e530b82916,747b4004eaf49b40a25f9b4f78f57b6328f015c7,2020-09-02 14:18:10,rebase
573246f73c0d9de6155a7bf5f0cbce98da129afb,2b998de46078c172c6b19ac3b779318e7992c60a,2020-09-06 13:43:57,rebase
747b4004eaf49b40a25f9b4f78f57b6328f015c7,b35d6e5cffb895ab6cbbd9e5e56ef00299b1359e,2020-09-01 18:31:38,rebase
b35d6e5cffb895ab6cbbd9e5e56ef00299b1359e,d75ad774a92bd7de0b9448be3d622d7a13b7af27,2020-09-01 07:02:15,rebase
d75ad774a92bd7de0b9448be3d622d7a13b7af27,571571ca192ec0b7cc66ca61cd6794dcb6a9d8bc,2020-08-31 17:42:46,rebase
66dd7cb66afba90d77ec7118512ff4c90c56e00e,571571ca192ec0b7cc66ca61cd6794dcb6a9d8bc,,merge
571571ca192ec0b7cc66ca61cd6794dcb6a9d8bc,b61b663895f16d9f559a14c408c225062254a57b,2020-08-31 09:44:09,rebase
fe5da2e60d8d6d907062f4789673fbe06fa8773e,58e5feb3f49c50b9c18f38fd8f6cad2317c02265,2020-09-06 06:59:20,rebase
9ef8d2f67155d6aa69b8344fc0b63e6dab8ce9f8,b35d6e5cffb895ab6cbbd9e5e56ef00299b1359e,2020-09-03 05:47:30,rebase
2b998de46078c172c6b19ac3b779318e7992c60a,12f798dc18976839f3dfcb835433b6db63f8922f,2020-09-06 08:11:50,rebase
b61b663895f16d9f559a14c408c225062254a57b,ee4a15aae08486077eb604d3d82e4f350bfcc041,2020-08-30 09:23:47,rebase
dbea5f7a8dce8291690f308f4adeb5d9ec979c05,7bf665f125a4771db095c83a7ad6ed46692cd314,2020-09-01 06:27:59,rebase
