merged_commit_sha,base_sha,date,merge_or_rebase
7a7b8cb859401a77bc7bfc60fd5c76bb1978b629,55a29123cced8511c436ff92bcd4926ca6c2340c,,merge
6edbe2cb880ddb3860249449d795ccb47e68b9de,f99f3138203106345d0ea921c1140f266d838f36,2016-03-15 00:30:33,unknown
b8be1639163c97b611cd065d3a3f43339ea87b02,7e399157f7164bda00698e3307441dd96d26fbc4,2016-03-01 16:58:15,merge
0813e888c0636c6af6e506fbc7a47a8617118845,c6a4cec1b36a03d5f4b37310614db6b23eaaa604,2016-02-24 09:55:13,unknown
61757ca3005bdf62c8f5d157675568ae3f850d38,83632e4be4e63c65a40c86757715b3e0eb6027cf,2016-02-16 18:10:46,unknown
b87e6345df73de31abf2277f0fcd18636d4e505b,0ad126ccf6d595cba4fe661b67322db5780fb0ad,2016-02-05 18:27:44,merge
876ecc48a2a39402618e02fc071a74e3a86023b2,da9d4fdde60069025a33a986eb769b0f0a4464fe,,merge
c27a884bb793c79947090a73845f79c537431350,50ea8896e2258b53119723a1498e357613850e65,2016-01-21 23:16:00,unknown
ff88a08b76572cb5c1858c11039658b969295ab5,80410c50ba232e6a04230fddd0c670dd6f373f60,2016-01-29 20:18:37,merge
469e0b1b58cddb4d5f45e8091f3cb62ee213563b,767421def504081125b64c2ae5817b1a8d3e960d,,merge
f6405a782f9bfbf5f6de9401ffc1fa658ffd2369,166d3e561f1c0094c72952765c00bc33e0a4c2d7,2016-01-26 16:39:23,merge
cbc4f716d9a190b1f11151c517e6db86da375bac,f68381fce67963f990f1492546644e0c4cc8f122,2016-01-20 17:58:27,unknown
9b2731c1264dbacf4bb75f61cba5af024a40ecf5,9065404c531fda8f19d767679448f0ce48abc16e,2016-01-19 05:48:37,unknown
f30bab0700069f88166babd9ef2f7aceff831f1c,190254a47acbdd14f1a59841177b66456a17691d,2016-01-15 18:40:54,unknown
7acc9cd7811931ff81b56b69342d0db90f9ce4c3,767421def504081125b64c2ae5817b1a8d3e960d,,merge
3955b133550c8b9bdf35ee554f11a445756b79f4,190254a47acbdd14f1a59841177b66456a17691d,,merge
ed9911e424adff15249a7721e701e4e72a0049c1,afeedf0aae464225fae2b5b7ecd2b029dc02bb46,2015-12-31 19:47:12,unknown
e208beb25677087b9d03ea5d4ea64eaf058cbf67,afeedf0aae464225fae2b5b7ecd2b029dc02bb46,,merge
dec1717582bff6f723895d132c3ac26e5a8aeadb,afeedf0aae464225fae2b5b7ecd2b029dc02bb46,,merge
b6f8982fd0fad4d1e0ced4b7b0418e3cce045487,4ea0e504323790d54d8e6dfb006760fca460edd6,2015-12-22 00:57:19,merge
5d00852e2f3ea05331745d13f43e032c4606c93e,652d23d6bac5403ae7999a3cad51e25caa7eac87,2015-12-17 22:00:53,unknown
1340a399636ecb2a3622fe008fb595b864b8f270,115b3bd529c4b6d20c4c22d608aa74254e13a196,2015-12-16 18:20:42,merge
a58d540430572f21a462deaede403ac3b55013ff,819a6e603b0f43ef1a9da539ecc8ecc29a16bdbc,,merge
c44f47f49d194d3989e50f9d5be68f2f4ea0852c,59e9561cd36c3df7f7501d49403e01d3be9e43a3,2015-12-13 00:45:14,merge
e37d9cbf7b6b397d1087b48063c0a8b6ead29a16,7c991c8e9923ca7a68a15cb26f55c1d45881a2f6,2015-12-12 23:21:51,unknown
55db7b033c0940dc05b52227e9b136cbb1bf1c7f,5973f2dfa34a2655bee6d662f68a11204bd40b73,2015-12-11 21:05:18,merge
f74247b210b9c70b7e7edb7e6fad512f975cb712,819a6e603b0f43ef1a9da539ecc8ecc29a16bdbc,2015-12-15 20:18:58,merge
42a1d65c0e22ce80f1e29983ee82fd128cdc5b0b,124f1ffb610e5bd1838768c7bc2da723d522b45c,,merge
9e43e35432b2c0139a811589e213e01c11773503,1819106041af17b06f31772b2a129b38f700d3b9,,merge
9b974877a151b3e50538fae0d288831af61da0f9,1819106041af17b06f31772b2a129b38f700d3b9,2015-12-03 19:02:46,merge
ca42d25a6aa0603655195f6620fd5bc1b7f5b540,776bff5ff6938339463492bb958a8590fe837add,,merge
0e464196f0ff97eb6f598d655c3ca9e2766f4840,776bff5ff6938339463492bb958a8590fe837add,,merge
57c8fb461a2e3c0f3331cee309a898a747efcf42,550e061800f4e6b87a2f7b97add75b485e8eba97,,merge
5fe92e6b7afc7610a4c48dc2d6a479664fe5e803,550e061800f4e6b87a2f7b97add75b485e8eba97,2015-11-24 16:54:27,merge
c9f35eb34741ddc670df33c2670406aea2b95d36,550e061800f4e6b87a2f7b97add75b485e8eba97,,merge
e6e313d09ce8293305331b54b80cb9755cd330b5,a4fc178683b6607da6e39ddf33cee1643e5c4c83,2015-11-20 00:50:57,merge
e8794fd9262d52d7f1f1505a95767d830b34b74e,18e547a9753b93ef8d811abd97df27ee63592293,2015-11-17 18:29:24,unknown
01741079df7c56dd26098a697587558537d76950,1b97b4565b27f68fb5f7fb6afb1a6e76ed16065a,2015-11-13 19:42:33,unknown
1575a3fd93a962be9a103bc0841ff2f11191f6e7,f12238660e97639e0ebe3f48d55396c3704225fc,2015-11-10 17:44:14,merge
e1d038c568c07a2ae4bea31832dfcdb08033a6b4,cf3574287d3f3a16393b63c67128c52c6ec584c1,,merge
e69a5e89101ca8857ab36c71597ebc24a78e6fe9,897a16fcf6e63df2aced99e221cdb9fe9ea2d71a,2015-11-09 21:28:47,merge
796a2b6497e2c38669e8252d8ebae4aa9a5569fe,6419b2293bd4fd9bd3e64e6166b902000a4d4ecf,2015-11-12 22:56:41,unknown
807637114560313c381df1fb2bba7e6e8f0c0f18,b231f5c081952a1b598dc601c90d3f074d9417bb,,merge
8afa1f5385e2a95628f1eaa00a5b66adfc91935f,0b4140fd6827acc912eed858431922574cd3f9f2,2015-11-05 19:42:10,merge
2bd810d648b057ebc1920ec04c41113ac12a9d95,f5c45afac74ed86184dd99e4e12fa0bc7fd5800b,2015-11-04 02:36:44,unknown
072bd18791b1db421a2edcad6b1baccc2c790c39,dbf01bed1f4b344608e5e62d49f753e7d3afdae2,2015-11-04 02:18:27,unknown
27bd8113efa97e7a65b6c523e9094009290c1914,37c35c80b11b4a108d81832fe6846d3a675095e1,2015-11-03 20:00:26,merge
2ac15f10ad5f5b3adcdfc396ea7f9ce8c14dc981,7a033362e5e9289407b3461c8e00af93ae575d72,2015-11-03 18:30:13,unknown
4feab6dced0beba33fcaed6448274291488e3601,cecad390f29dcafbe8c9a80daeefe978e40f3f0b,2015-11-05 22:07:13,merge
3644a24b99294f04df6e491fb7efeec454be48ea,dbf01bed1f4b344608e5e62d49f753e7d3afdae2,,merge
37f71af6af3b3130195d77929b777a3679a645f0,897a16fcf6e63df2aced99e221cdb9fe9ea2d71a,,merge
0e8b59a0ab25914623782226bf350e7e2e91e868,7b7fd6b3339256b3f69bc0cdfd4521ef318767a0,2015-11-02 23:31:46,merge
34a56cd777fd13d993e90548d58d08233106c8d3,9430fbabc6db3b6feb93bbf4997e6764514176fb,,merge
6e926361764fac04e67dd3e1e7f8884f7fb839eb,5eaffd1267995f3554c9ba98d3d46f184798366f,2015-10-30 22:41:32,merge
aac344b6be14939977258a19e92ba272af152089,7687cc229614afa0f32410c80435b7adc98d4cef,2015-10-30 21:55:15,unknown
0868c69d6b7c691b41479107a820e03785773999,a2ed65af0685273a39e0cfeebec51891b90b053f,,merge
