merged_commit_sha,base_sha,date,merge_or_rebase
04ce6cae44fb0cb11470c21769d41e3f8088e8aa,c9887e027a97b07a3ae7699112b9a2620a36e553,2018-11-28 21:40:13,rebase
f28685f0fb8847c5c0e584ef318e08b85ebbc00d,c9887e027a97b07a3ae7699112b9a2620a36e553,,merge
6af4058f572bc73f0b75f77dc53edcc03c00b0cd,a2c8537dd86474a1cb5bb3ea12ada4ecabd6ee4c,,merge
f3a7b3b2bea61757e781b1f725d4bdffc9f18515,a2c8537dd86474a1cb5bb3ea12ada4ecabd6ee4c,,merge
401dec72b08bf811ce94e9cd05f6d6804459c48f,a2c8537dd86474a1cb5bb3ea12ada4ecabd6ee4c,,merge
a04dd4877cdf6fe23724db763461d9d1a108ebc9,a2c8537dd86474a1cb5bb3ea12ada4ecabd6ee4c,2018-11-27 16:14:48,rebase
a2c8537dd86474a1cb5bb3ea12ada4ecabd6ee4c,f80490f99d4e38e1630e8cce739daf1b3a2b96a8,2018-11-22 14:34:22,rebase
eb49dec676201434aa72bf818434a216fd96a4f5,f80490f99d4e38e1630e8cce739daf1b3a2b96a8,,merge
f80490f99d4e38e1630e8cce739daf1b3a2b96a8,bfdecc8f5e06768d7aadb670db3bd2eda9ef15d1,2018-11-22 01:14:12,rebase
bfdecc8f5e06768d7aadb670db3bd2eda9ef15d1,1521f9298bc44e70d0fc5f9bc0814e101bbcc479,2018-11-21 01:36:48,rebase
c9887e027a97b07a3ae7699112b9a2620a36e553,a04dd4877cdf6fe23724db763461d9d1a108ebc9,2018-11-27 17:01:57,rebase
65199768582a8e8b0cdfcf34dd6772c9055813a7,bfdecc8f5e06768d7aadb670db3bd2eda9ef15d1,,merge
3fe61d66013e28f6ec407b1b70dad3037e7e7186,2414db256f32a047770326d14d8b0e2afd49ba49,2018-11-20 00:18:29,rebase
5a6d438f7bcf9933dccad22f61e7b7075a1f0f1c,2414db256f32a047770326d14d8b0e2afd49ba49,2018-11-20 18:50:38,rebase
2414db256f32a047770326d14d8b0e2afd49ba49,98c10b6879ce0718d05c8fcecdecdedc1bef008d,2018-11-18 23:47:56,rebase
1521f9298bc44e70d0fc5f9bc0814e101bbcc479,3fe61d66013e28f6ec407b1b70dad3037e7e7186,2018-11-20 19:03:39,rebase
f5aae26b4423b57fd1322c95e31bb74591f285ec,7c6823312540c72a0579f4a4b2e8357b1df42de8,2018-11-17 00:28:36,rebase
7b1accb2ac3c44658ccf49529d49d7ab37cdaf79,7c6823312540c72a0579f4a4b2e8357b1df42de8,,merge
9ff5a441f515232ed8f3b6dcecb8e675623e540a,a96b5cf5f8d5cbca85550789cc206d07fddfebca,2018-11-14 23:29:27,rebase
7c6823312540c72a0579f4a4b2e8357b1df42de8,6270ea48a60e971e94f526454102010f3db9b43f,2018-11-15 21:28:47,rebase
bf8058da25ac245c5348c04999a0d909fb7df037,5ed7658bf221fe136d8cedafe4c3466ed19726a3,2018-11-13 20:26:09,rebase
3fdd9a36ac8653ce2b0e84eeb2ae3af2cafd2ea3,8308d94e39cefbd7d43ef9411dc110fbca88a9f2,,merge
5ed7658bf221fe136d8cedafe4c3466ed19726a3,8308d94e39cefbd7d43ef9411dc110fbca88a9f2,2018-11-12 22:01:37,rebase
a96b5cf5f8d5cbca85550789cc206d07fddfebca,8308d94e39cefbd7d43ef9411dc110fbca88a9f2,2018-11-13 23:56:56,rebase
8308d94e39cefbd7d43ef9411dc110fbca88a9f2,195a22d92c95445fabef3b17e67bee4aa75eff81,2018-11-12 19:26:02,rebase
195a22d92c95445fabef3b17e67bee4aa75eff81,fcf5593813829afb95171690b09cb16f0a3d8fff,2018-11-12 18:27:27,rebase
ecb7edadc8622f51c734ac8e3ae87e922166dc93,b18526cdc8d8c868e8d7f9c6c8484064215e1002,2018-11-09 22:32:30,rebase
f734efe2e7e0b0c97ca49e1a137355597bef68db,b18526cdc8d8c868e8d7f9c6c8484064215e1002,2018-11-09 23:00:40,rebase
b18526cdc8d8c868e8d7f9c6c8484064215e1002,be220e8bc2e702bedda29da6b288d137c0dbce06,2018-11-09 19:14:20,rebase
be220e8bc2e702bedda29da6b288d137c0dbce06,8d66f104f7f2ca42ee8b21f75b0e2b3e1abe2e00,2018-11-09 17:45:18,rebase
fcf5593813829afb95171690b09cb16f0a3d8fff,8d66f104f7f2ca42ee8b21f75b0e2b3e1abe2e00,2018-11-09 23:52:59,rebase
9f1a222d904358ac5a3c3c284b78c8074f24059a,65af12f1f575fdaee893e0232416df29bb83d7fa,2018-11-08 18:11:56,rebase
6270ea48a60e971e94f526454102010f3db9b43f,bf8058da25ac245c5348c04999a0d909fb7df037,2018-11-15 04:04:27,rebase
65af12f1f575fdaee893e0232416df29bb83d7fa,7ea301cc0a17213cdede08b4a4ab4ded78286695,2018-11-06 01:17:18,rebase
7ea301cc0a17213cdede08b4a4ab4ded78286695,6c3ae2ff9ea357394fd408e903bac6e1f52dc3ef,2018-11-02 02:20:00,rebase
6c3ae2ff9ea357394fd408e903bac6e1f52dc3ef,17ed44c86816e0011f736a67b4e3be9ede73dda5,2018-11-01 04:43:12,rebase
e4292c236cb80b64a8f06e87060a1635a945a325,54579f9bf5a34e0ed531de0666c69b91fef625c4,2018-10-31 21:47:17,merge
17ed44c86816e0011f736a67b4e3be9ede73dda5,54579f9bf5a34e0ed531de0666c69b91fef625c4,2018-10-31 22:38:23,rebase
a6199bbfbab05583f987bae322fb04566841aaea,c74a945dda2c96af30bb9dd1482a67edfe6fdd56,2018-10-31 21:15:15,rebase
c74a945dda2c96af30bb9dd1482a67edfe6fdd56,734b919b02cf98c6affc1dbf2aa7f5d54bc2eb0a,2018-10-31 03:09:18,rebase
54579f9bf5a34e0ed531de0666c69b91fef625c4,16b15fcb2ad5130b7c2a5ec31c830efd25df6e5d,2018-10-31 16:46:33,merge
16b15fcb2ad5130b7c2a5ec31c830efd25df6e5d,4015c9863e276da1319947cdc3df27a109eaf619,2018-10-30 20:33:08,merge
734b919b02cf98c6affc1dbf2aa7f5d54bc2eb0a,af6527dcefe61acd8f6ff1fe7d4f90a42ec27297,2018-10-30 21:37:22,rebase
af6527dcefe61acd8f6ff1fe7d4f90a42ec27297,35d2ab37f733228af54e20d2cb2a056392e1adb4,2018-10-30 20:21:16,rebase
f2af66bc31f9c8272b8bf97d84456f2c583db1fe,734b919b02cf98c6affc1dbf2aa7f5d54bc2eb0a,2018-10-31 19:24:38,rebase
4015c9863e276da1319947cdc3df27a109eaf619,13cf754425c6120ac0b062dd51da2b89ac161dc2,2018-10-29 19:54:43,merge
13cf754425c6120ac0b062dd51da2b89ac161dc2,3f52894b1becf12ee20673fb28e0073813d1d21f,2018-10-29 16:59:35,merge
3f52894b1becf12ee20673fb28e0073813d1d21f,0cea1b2a5fc97520a67f53415ecc7b8e2d1762fc,2018-10-29 04:36:52,merge
0b6932dc15742afced7a4b5e25be7eebe57d33d7,37e562902f2a88c22c3aeaf4bc288ed266a92499,2018-10-29 04:18:58,rebase
1da7a89f5921226d7b87e14f4a6a3d534f57c164,195a22d92c95445fabef3b17e67bee4aa75eff81,2018-11-17 00:30:44,rebase
5010f518ed33b6deced6d4073f9f388527e51cf7,37e562902f2a88c22c3aeaf4bc288ed266a92499,,merge
0cea1b2a5fc97520a67f53415ecc7b8e2d1762fc,1a093686e696bddacb58188d8b30771b561b7c9b,2018-10-27 23:53:20,merge
1a093686e696bddacb58188d8b30771b561b7c9b,ae50cd619fdb823b0262950e77b9c41d57bf2f8f,2018-10-26 23:31:38,merge
35d2ab37f733228af54e20d2cb2a056392e1adb4,ccde910b2910963310a5b54ac8687b7edf991c1f,2018-10-29 16:56:18,rebase
ae50cd619fdb823b0262950e77b9c41d57bf2f8f,ce11eb9b7160b1867b3226ffb2e300aa7fa5428b,2018-10-26 19:15:34,merge
ccde910b2910963310a5b54ac8687b7edf991c1f,5656e7f4550bd0cc0069f0712593df0da12b1bfe,2018-10-29 16:33:06,rebase
