merged_commit_sha,base_sha,date,merge_or_rebase
906e02e1019d14be0378bd657d65bf5ddb9a681d,d832e26951a2af083b4defb576fe1f0beeef6327,,merge
b3f6e106d2052c152d1ff3eed353349f0c1954c7,e00f73e2f0f4135981ac069ae852909c44dd38e9,,merge
58b9d52419d53d6806742fcdb3f407e24ddca606,d4973dd0b812cbdb6c12eda6a4c9a79eee0f6417,,merge
414f6abdaad6af6e397ce9ec4f3bc9d71be5315a,3138017d98906db8d4b48f141395a1917fc8600c,2020-04-24 15:06:36,merge
f6412b51318082e1900741efc457d799e6d0753b,a6dcc71ab50b1944b46373de3b337edcd5829d81,,merge
25aaedbdf1e41b8f36cb500a766aeee322d4447c,a6dcc71ab50b1944b46373de3b337edcd5829d81,,merge
239126bd30fd300182e36eab176e53c9c20c1571,80ca35e9b317927e04055cfbc338f096cc255a10,2020-04-24 15:06:37,merge
f74006db43b173465057d4c4b13f329f0c60cf6a,fccf47e465b177d1edc8f2d9bc16126e05de0903,,merge
120547f6b8e2988e01dc1a9ba593e80ae441dbbb,fccf47e465b177d1edc8f2d9bc16126e05de0903,,merge
23305d77c7fc58178c56d7f523c102fa4381a1ef,fccf47e465b177d1edc8f2d9bc16126e05de0903,,merge
7fee76385a089fd0a2e8d4d615ddd4307d7dabcd,fccf47e465b177d1edc8f2d9bc16126e05de0903,,merge
837a44d563d1ea06fc05ac81dab1781d520c4460,fccf47e465b177d1edc8f2d9bc16126e05de0903,2020-01-25 22:00:38,rebase
35ba5c18929e6ca0e859208a80f69a90383cdfa7,d9eef7fb2da84faf28eabc8bbb2a856b50ec8fc7,,merge
5358014a61129ebed87e10a6f10cbbfabb354d57,45cdd8b3eebb18b6239feeef3b787e40d773edfb,,merge
55e2036d3972cfefbd424c30fb2040947b66dc16,cd6493abd73bfa72a2e679e8fcb057fb283d797c,,merge
8292f951876a67ebbcc1c005e4a4a5b00e134060,45cdd8b3eebb18b6239feeef3b787e40d773edfb,,merge
7a2a767dc852b5f76e2806be121d9f90eb80ca47,45cdd8b3eebb18b6239feeef3b787e40d773edfb,,merge
d07f60f30de49119cc2aa015eeeefdea32469874,45cdd8b3eebb18b6239feeef3b787e40d773edfb,,merge
83c3d00039ab63c59756ffddfb36377fa9fb24ac,8bb0ce73b4cab9f8f5515ed5357cd0bc36b39774,,merge
3f303b898d0b7a61dcd084f986cc881891f00cea,8bb0ce73b4cab9f8f5515ed5357cd0bc36b39774,,merge
3865fe6adaae2e280afd458b9d1ddf1d5594b271,8bb0ce73b4cab9f8f5515ed5357cd0bc36b39774,,merge
6d8cc48ae3523076603b9285b2457acf77f6a9c8,ec65c2f17cbf805a184b6efd5d7fedc46ef454bc,2019-05-18 14:18:59,rebase
ad3efd6fcc54a75eb546cbc4c4fde43d3c068846,8bb0ce73b4cab9f8f5515ed5357cd0bc36b39774,2019-05-06 07:17:50,rebase
80d95740ef91b7cd454ebe0f1126907a123f9cf8,902365945f5497a1c30337bd92447fae1fbbc10e,2019-05-02 08:04:16,rebase
27d0435c989e691b69dba93b2fcca3696acab228,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
df8a1fbc8604d7abeb7ec2127df779d477dbbcad,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
aa492caa78c138a8ad18493da83a1c4872925ec5,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
6323159d459cf0b1a39ff3e50ec9ed9db876252f,902365945f5497a1c30337bd92447fae1fbbc10e,2019-05-02 08:04:15,rebase
9fd647299f12932e885123e0e1dd9ef5bb488218,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
8f0a50ead071e123db03997ab1a4d5f34e3e586d,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
82de42c68adf01bb4ed0145e082fce180fd1a5e8,902365945f5497a1c30337bd92447fae1fbbc10e,2019-05-02 08:04:15,rebase
59ec8b07ce5550cf73c1f960186bd2e50de906df,3af2f4647eb12b919dc889bac77adab22c6da905,2019-11-25 11:38:17,rebase
c9219ae6f6fb5451ecfc89ee5b1417a33444185b,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
281c08453b39513c6c6650ee62fe06e6093fb9d3,77259a49e5bc7ca7bc6dca5bd423e02be563bdc5,,merge
caf807bee310f57dfe7509ef2a83b8da5d23f581,71e2df38de9fe154af7d42dda0af3edd4c37d119,,merge
d7abed052f238ed031ec53cfb2e48009040979c1,71e2df38de9fe154af7d42dda0af3edd4c37d119,,merge
