merged_commit_sha,base_sha,date,merge_or_rebase
7a81038164941b4cd5a7a4f1fb64121052820b89,dbc97987caa35da83c2083c88e4e212214c882b9,,merge
9e3fea6c7e1d06e290e6254df962c24c5c8fb59b,e51dc4d9163c99465d1c58310fa68ce5863b20c6,,merge
6620a524c1ff3c595ac547da9e322008a75be8a2,69a0ce39eb7c5af76bd2c714939c02ceb7ea398f,,merge
fb24cddaa81620b7082c217bdb9a271c51eaaa27,cccc7d4035f8c81e263340df1ba4c5db305714a1,,merge
0b5d8c16dbd8a7ca324fb7fa30f01781fda99a09,6f8d6cdd7b284b80b1b8802e5036fab80b6bff71,,merge
bff197b557c6aefeea8b5ac37604d54fb90f5b9e,528162338c7bc83aee26f5e040ce669f025f09ec,,merge
a2a27a85f975bc0e921e774744bf575f8d5517a3,e684397e3374162e4b5272de45cb95592eac52c2,2019-03-03 13:20:51,merge
d424225587375e54553384611e1b347b194f8f8d,00299190414e4c7c5b0f2d74cd11763dac34e5b9,,merge
b93a671f43872fd99f53c38bc487cede79a87fc4,78e8b999b1296790542f5f06ee51f4abb4d29db8,,merge
262b7a27a4d933ac6daff9383dfca2feb5b1d0e7,603fabab3aa59158227b6fcf38a462782b2d7046,,merge
c407f770213997e1f1161ff3de78590128418f4c,603fabab3aa59158227b6fcf38a462782b2d7046,,merge
1294df539188c56400632086b51e2b1f91139c76,fbbc26d5aa9844f3280731d74f5dfbcfc33a1cff,,merge
591aa38e40c5f1499130f950cbb54f09e45910c6,44f2050dc91e5e760e89a7742c597099e7d11547,2017-10-08 08:26:06,merge
06833c03575e649887cf57a9214049316d1399b1,c20374819e178e7590596ac823a18cd134d40671,,merge
107a4d9bddbc413611cb39240c702c2a94828613,fd0b9e187f1d188c4da11334d1ef7087b0f4c71b,,merge
7f92a57d65797e5b2b44d52921c2593557dd5d31,e9963e7aeec281eceec887a2cbb4bd607944bb09,2017-01-24 14:00:02,merge
6371c2c25f34b2829d967562f0c191dfd56416f3,23aa0f637bee6225e5a1d63ef500531eccc4f609,,merge
eb10882ecb8155dc3669947f94e4e340a45190bd,c10db26559ef3b963668d8fee618612b2d142cbe,,merge
65aa5e791e878046bdb22dde07949073ac02ff06,0e13562f8ebb90f66fb1f24324099526f87d9dfc,,merge
f512c2f709fe02e1532f326e899a926f53c8d806,657717c89e065cb825c82d2fd3e6eaa8e734054f,,merge
c252dee066bc74f5cb07879d88574ea41d0a784a,657717c89e065cb825c82d2fd3e6eaa8e734054f,,merge
ccb79930a93682aaedd35154fe2a3461116d1edb,e3570c135e0e60276b83c39cc0f44ee2a4aebeb0,2016-07-27 16:01:44,merge
339848fdb8a609400aa6bef295d19c55638fc230,8dcc28205dd966810a74d7907acc05b8bad24e70,,merge
f1eaa9a2153bf93c912f1fa1f6950c13d5b6fbbd,f64563a97e9e8a4492e5e18d01c17638f2654780,,merge
8149f4a924ee8c6682dcace650551251e2ff8c70,5147879f2ee7ee8443afb73b7acc138d95985e2c,,merge
99bdf5b25d3317100c7e2c1050c3be65f3628860,93c8100ed09c7876e0fc784d0dafe849b6449022,,merge
f08d6a70e04a459b4bf02045f6010c674072463a,3544629e5fb7935af8149b36395b72a9ae588350,,merge
cc565bffa74e0419332edb3fa3e6a3cd790492d0,d21e39fee2fa0b9a90873340509b8f4031e44bf4,,merge
c3dd7527de6cb85bf90b2fe92cbc6e48918d1d10,522f1da46d74e8af084f63fd99ca30b5302afc97,,merge
b166b455a0513bbd3c3053da4ad0864cd3400381,bbb5f013e9bb03949c7c8873407a2d03263d6d82,,merge
da670a3a653d799aaade6d3569c2872209eee6bb,ccaf871aaf4aca6af20aa850c4d24c5ad25cddb3,,merge
faffde00381eead3d45d7b6a70a71de05155e287,35ef963616a8c6eb7356b83ebd9444cd4ee83f4a,,merge
fa55b185c1d6f36622b128e511ff5da016eae54a,0c876995c89fcfc9dcfcb5c2793e4deff0d0f835,,merge
7198bbe74b86c8861132ad506d7af631ee61395f,6470f8f873e97f10fcb98c20e454895538fb2cff,2015-07-15 15:24:37,unknown
120e2302c495d271d886668ca9512a1be12aa603,41f04140ee1573760254545b5930410ef6b707e2,,merge
24ef07baf0891adc02f06646b47abda5e6d15add,6a399379fe659d1a4d6825c365b966c98d6a9231,,merge
3b1a11273b1459da0e4773391fa08f83f6979479,5e5c227b2aec23418e5e3fd104cc21e98f31729c,2015-05-31 14:51:17,unknown
3d197d7311130c0780e95a046491a90a467bf64a,a939a885a13f923477d863c47d7ff24572505696,,merge
40e1476f77e3bf3aadbbef1323de4ffe66bafca9,2ca90abccc8d1c8069e2b2802e8c22474b5c7bdb,2015-04-05 07:47:21,unknown
e067fdc258e11374eda05ca098de02d4c327f142,8606074aa1c107a2da61a05ffadb121cd6564a0b,,merge
