merged_commit_sha,base_sha,date,merge_or_rebase
f3a2986c12f9ea9f1acf84572b1f192c07f6e2e2,32b5b17f674232867c22916bb2e2534c8e9a92ff,,merge
6309a48ede406e3422e5cc909fad309fc5c8e96b,32b5b17f674232867c22916bb2e2534c8e9a92ff,,merge
0e77c4eebf24edb5972d938db846195ae13d6346,32b5b17f674232867c22916bb2e2534c8e9a92ff,,merge
2ab84fc118e6931e9fea0564e1762b04e4640877,32b5b17f674232867c22916bb2e2534c8e9a92ff,,merge
3af447bfd583f60ff4cc3792a5ca2b755c7897cc,32b5b17f674232867c22916bb2e2534c8e9a92ff,,merge
32b5b17f674232867c22916bb2e2534c8e9a92ff,bc2e445817aa546c0bb93a9900093ec276005e2a,2018-11-03 15:18:38,merge
bc2e445817aa546c0bb93a9900093ec276005e2a,80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,2018-03-08 17:43:22,merge
7be913c215509ac95746e79b16cc76b8bb62f04b,80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,,merge
14330642a80276df414d5d1466bf11f8c77d7c96,80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,,merge
faa5744fd31ff6671ca78eacaa822dc3999b0e40,80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,,merge
2d5df16715522223396ad8a32d04ab5de4549963,80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,,merge
9ab8f3b54bd976df1add1ef938446f7e19e388e4,1364e98d9efd2351d9313dd2e80d53d28bcb071b,,merge
80dbe5c17ee50d9a66ca59d468de74b65b42f4d8,1364e98d9efd2351d9313dd2e80d53d28bcb071b,2017-10-11 13:47:36,merge
fd6d32ae42a45e14b019ed1584d8b19635b5f01e,1364e98d9efd2351d9313dd2e80d53d28bcb071b,,merge
1364e98d9efd2351d9313dd2e80d53d28bcb071b,0875517d6e7954417a0c729b0633195aeb84276f,2017-10-04 08:59:39,merge
57f99fd80fa708d56e10f7abf14378c31d25da7f,719f712307596c5f35c8f3f40824d9dfb110516b,,unknown
8d66704635e97a7b99f11a850f5856271010ab7c,719f712307596c5f35c8f3f40824d9dfb110516b,,merge
ea788f37194f389fb5195f1b302380d71702cdb7,719f712307596c5f35c8f3f40824d9dfb110516b,2017-09-21 08:03:31,merge
7eebdadcc1202f2c0230ee7cabe2272f90981cdb,719f712307596c5f35c8f3f40824d9dfb110516b,,merge
10f4f1f2e451151f073693becc9d8cd76c01660d,719f712307596c5f35c8f3f40824d9dfb110516b,,merge
719f712307596c5f35c8f3f40824d9dfb110516b,a08fc6a38141633b41b7af22339408dc57d430be,2017-07-23 13:06:51,merge
a08fc6a38141633b41b7af22339408dc57d430be,d53b6ad23ef61f2c7802bc204ee1b3fcb22b0462,2017-06-22 14:41:55,merge
33df5fb834f09472d90a0d102ee4603fde340cb4,d53b6ad23ef61f2c7802bc204ee1b3fcb22b0462,,merge
d53b6ad23ef61f2c7802bc204ee1b3fcb22b0462,ea4e080bae9cf6785e743722610c4594d9a62813,2017-06-15 12:56:59,merge
ea4e080bae9cf6785e743722610c4594d9a62813,6e3387c8306c04711831355d75b705935b4b9205,2017-06-03 12:28:23,merge
6e3387c8306c04711831355d75b705935b4b9205,3800cb18a9de0dbab5280ee9b3fd8389953de541,2017-06-02 23:00:23,merge
0875517d6e7954417a0c729b0633195aeb84276f,ea4e080bae9cf6785e743722610c4594d9a62813,2017-09-25 12:28:45,merge
a30f66ae061001ac7e853febcadd34db444ecc9f,3c150a5e992372ecfbedee4020b05f1b56f73ed2,,merge
ed47d471552c6a40e65aa908c49877370bd35bc0,3c150a5e992372ecfbedee4020b05f1b56f73ed2,2017-06-01 12:22:09,merge
3800cb18a9de0dbab5280ee9b3fd8389953de541,3c150a5e992372ecfbedee4020b05f1b56f73ed2,2017-06-02 21:40:27,merge
