merged_commit_sha,base_sha,date,merge_or_rebase
09575c201c626d0bcb3f77ced72b9a1e07972487,29aa48de5ad42301b9f2c2b9eec0efd5635cb3a9,,merge
29aa48de5ad42301b9f2c2b9eec0efd5635cb3a9,358a702916c3f287057696e1a3768fa22f32a688,2016-05-31 16:29:43,merge
efc8fe0a8d0b59bc140e44413dfd38275b313bbc,ff8bcb83f17e4ac8422f324fff55467a8ab119e8,2016-03-08 22:20:30,unknown
292a069a1cc4795e752ed4064cfe258ab5b846a7,d46b8a0117e918dbe32c752bd3dd09b07a4bfefa,2016-02-22 07:19:00,unknown
117274d89b20815f4bbea51129f8023deb9d2ed7,1f3565e736e93dad678a30506256fdcbe8bd75dc,2016-02-16 18:57:46,merge
f174d53c5c694b50f4d450aa0a8d6294fe9ecc8e,1f3565e736e93dad678a30506256fdcbe8bd75dc,,merge
c95f2b2e10b4d334eb3d64ebf0ac44514da9d772,59f597e561fc1fc6e12fa5b59eec0cf5314fcc9a,2016-01-06 20:06:39,unknown
386b027f9605ac431f0b5341e897bb28baf1845d,f355b8d7b6255e150f67ed4fa65e09e2e1ef0c8f,2016-01-04 16:58:55,merge
e669156b04a8198fb4eda8ae67332abc59a90528,b935a9a143c1d5447c8bdb0cfe07192b0adb0aa0,2016-01-12 22:02:06,merge
7e6e993a904de39ae889c4f196361d1dd68b3166,70af4b81ea2f8a94e81d1ffb820e3f458dc27691,2016-01-07 22:56:03,unknown
50e93ab27e0e33b9c9e050de5db05c27eae0a440,70af4b81ea2f8a94e81d1ffb820e3f458dc27691,2016-01-04 17:09:00,merge
04904686aca5bf96e96fd190d3200e78f9cd880e,70af4b81ea2f8a94e81d1ffb820e3f458dc27691,2015-12-04 07:37:38,merge
e4a8ef0ae08208a4810203951cc40ba904f99c30,05ee589be2bf352e66119a757d50ab59d22a5ece,,merge
ea63dac8d7bc22e6a49fc632b84b1a4ce72b4a6f,e74a3a69a24b766c30278108d9cd9878518050cb,2015-09-10 23:50:15,unknown
5d5807d678eaed0314893d4ef47770c06399e244,9fa0444b7e6b3527c97a383e6662d247b05c0e09,2015-09-03 18:22:56,unknown
2e4bab903751d7a25346403bd91ee722742ef409,6dd4f37ab5b6d146f18fead34b0d7235793ee96d,2015-08-23 18:04:39,unknown
c9aa3cc3cf0719ae737356ee9b200152c29fb5bc,b6b2341968c4a1ab57b03962c2acaca4470bacd6,2015-08-11 23:50:31,unknown
6e57b3e33a2903dece3c15e4a5113154cb68d2d0,ae566434c6af6da46e90ab79aa91606eb6e2b3cf,2015-08-10 16:54:37,merge
07e8e3496031f9a3f33db691f9025be8939857fe,30fd3b9f6b4ac07b6ed50aa15621190648868ba2,2015-03-23 04:47:52,unknown
ee6748e76ce352147e21665d01df2c8469586032,bc58b30171ff5d15d7905e8484053a86e7177e9e,2015-03-23 04:31:36,unknown
f319dff80b4ef043dc00c655d8ef5b732b9afa1b,d500f543ad44b2a35519ed52519163d948f3a5a7,2015-03-23 04:23:09,unknown
1f2dc2f6bc88408cdbe4d241389910b7329e4cc8,5256f49e6bc76a3fb9e8d4d3eebea74a782cd693,2015-03-23 04:20:33,unknown
5f285c01bda493b21c010cd2bf7f4289da0b2e72,950ae152d22353bd4ba308de1cbc4cd2bc070e77,2015-03-23 04:19:41,unknown
9f91bd86de670e972974f285b0babaf0063ceba8,02e100be766fefecb48e33854fa383262ad21b39,,merge
fb02348d91411a2df5629a4f9a300e36082d5de5,02e100be766fefecb48e33854fa383262ad21b39,,merge
e67cf74228efa51e2b94a4629a8fee4d5cc082a8,4c0e61c013bb30a9d2344e5d2a1a4f304709a561,2015-01-07 23:41:06,merge
43d465cd790a5b063620077ce7ae87361a1245fc,14779bd2d00b1b234fd3b33129ed6a098d346cd2,,merge
5ff58940b33ad74dbb4776fe7550115713993684,d45adefe7eca8b955497973a81b8a59b85fd696d,2014-12-24 09:24:38,merge
9457fec574681aa06511b219aba1c46d2978e5d7,dcf9a2159fc8d5555199e523fd61d73e1a37a8ac,2014-12-24 09:21:29,merge
89aeac57a1a312814b4280ceb6ca83d4872c65be,bebcebc643e46d22d0f63314d67d4c2785a2c767,2014-12-24 07:19:00,unknown
dab4654e87c2e45d9c0b7b404ea5ffc41bdd9bd1,566eb650c2a8f10134e5eeeb2c4a0480732c33ca,2014-12-13 07:42:28,merge
712dd7414ea1fc8f603bd7e922d4d54a809949ed,566eb650c2a8f10134e5eeeb2c4a0480732c33ca,2014-12-20 07:27:24,merge
d06f1953f7e18b889a2232780017e0d0ff9e971c,179552285ac942549c3e822d84b37eaf9aeb6668,2014-12-11 21:51:22,merge
523ed7ea298bf1f982f16421f20d16aa4e47b8d8,738700ea38e9ee8df7f12e8ada1a2af699019317,2014-12-10 20:28:06,unknown
9220e9c48bd01728e8b964c6d4926614ccd67ef3,179552285ac942549c3e822d84b37eaf9aeb6668,2014-12-13 06:37:10,unknown
4ac3e31d7860dff51345ded07c4f0ed751446afa,431d22b43a528055a08b4126baaa086a90f04118,2014-12-10 20:02:50,unknown
e8f0f5d5285cce8324393047ee0d88b3dd0cbab8,1eafdecfdf08cda4e35dd6d1081fb7879d6551e3,2014-12-09 21:06:29,unknown
05003956ce632199f65eb68887331232ebb3214f,14783d95a2a09839a26a9e0fa229ffcc4f17c294,2014-12-09 01:17:49,unknown
4859c0be4baea2b044aa4cecc8a7a1d866ccede4,ae4d0277f0e6f5d5c2567a2db2bcbe41929ebd47,2014-12-08 22:13:34,merge
f2583bfe6f1fbf5945fb983124f4b18e0798304d,76c8a9013031a551a3fbdd71974e3b44fb86ccca,2014-12-08 19:54:07,merge
77489835c7a3d54d7c8becc1ff544828a76ce8dc,81d1c0f8ea49fbe4326e1e6035cad484cd357768,2014-12-01 23:09:21,merge
dd36b901cb2461f0b3a33593d54346c5eb020eea,963c42588d5a92f6c1f987c3c67b1de11c7546aa,2014-12-01 22:22:54,unknown
f099fc047bf3cd73829daff17e8931ef7a6a13b9,bdbb23b5a46e891da6893b6227dec0e271867d15,2014-11-28 08:05:02,merge
0b8cf93a5d24365947754a4c6e11eac8504fd415,40b54fc746b4c5e6774613cdc18a48071d9fedc9,2014-11-28 06:38:07,merge
8055cc0e823cdcfbf2af49a256dfc834a5bc3232,b9d10ad66f78375e384816e4ec9d73180a821da3,2014-11-28 02:58:25,merge
60f1912975af942c6d875ec2d531ef1ece1cc95b,3e3c288c07bc839f56a54ac7dd60d38f9d71115e,2014-11-26 21:35:14,merge
ad150b22881bbfd8c764ecffc3c14ee156bf4ec3,3a8b716dbe3a4d6a1094498ac50d30cfbf94d607,2014-11-26 21:14:44,merge
52d01375f2faa23c5c9fd9242d4c6ac56a1d5c29,cf8cd8b6ac942dfae3c386327981be172e02ea6d,2014-11-26 21:11:44,merge
38a03504c49635cfddf64215e8cc4c931f38cee1,be14b73afde37f90e34f561754fb2bd6a276e16d,2014-11-26 18:48:40,unknown
a9d02c8fc88b3fa0d54adbfc6a5a09caa3213384,d3e5a365d418fc1bbe4b5ada0664017e430f3c65,2014-12-04 01:39:12,merge
b3801184792288c8a5f4dd9c905d1e03251e2e82,3d3cec1c1bd4e44cbf5d2ddd8dcb0689d2d34ff2,2014-11-26 20:59:42,unknown
4b9e104412476b56a0c1e3a2d122d430d07a8c39,63d084194bc6367f1a0da2b6d1c62db55266b42a,2014-12-02 01:19:59,merge
1ec6ffc2da765041b8b842ad309139f641c8eedb,94c557654b4f2c17f02fef83b9605930bcbc3a77,2014-11-25 19:35:07,merge
6f4f337c514898cb2cf1b906f5f5904a469013e2,de46f9cac54e99067076b8a4a4e14cfe43b08e87,2014-11-25 18:50:17,merge
7900f42facae58a7b40aa15eb9ce31edef6f583b,218e80176ff97dedd199124f8ba573433ebac901,2014-11-25 08:50:35,merge
3be04852bc43bdd354a7fdcb3957024057418e8f,72557a48b3c79f9723bc58f73b2f7bb1eefcd448,2014-11-25 08:40:00,merge
ce0a91a40ab5bac2900412410919117be16c080c,6075943deacb7bb72a98e4137169573983100d1b,2014-11-25 08:34:24,unknown
bf9d63e9022c9a781636aeed380dd1a401dd16e1,388dbbc6ffc82d79c65dcf1ce1452fe141ef9312,2014-11-24 06:14:08,unknown
5ad3d56746d588379aaf8f44f81dfcf5586bc9e5,49da844938bec594f4dc522d75070391db4e45cd,2014-11-26 06:07:57,unknown
1e35f7b99ffe9b436b994aa0fb66ddb1fb4849f3,93bc17ae1f251a1e924d4ef022414e9cc1882c77,2014-11-20 22:42:34,merge
a41aef6544d331239bf6929dae8e9ee1f280dc51,3e80aa8b320e1f723fa949f01ad40b57efb288d4,2014-11-20 21:58:01,merge
cd8c798fa53f16a492b946c736e5bc77a4945c6f,168302ef69b0780da8733c448508ee0f2654b745,2014-11-20 20:52:39,merge
4d9a1a12499e73ec0a7abad6d1811bd4f1cccf72,010594a7b783e8ea9ac408ea9838bfe014ffd942,2014-11-20 20:44:20,unknown
effc8b5abb7fd0cf2bbe06bc828903ccaf9365eb,010594a7b783e8ea9ac408ea9838bfe014ffd942,2014-11-20 21:23:05,merge
182ca05e505644f876715dae991b15532f29ee3a,010594a7b783e8ea9ac408ea9838bfe014ffd942,,merge
f4cff6de2515c0ef5140efc4727e76790f347444,20f002c2ba103ae86da3a41d69a09f73f899300d,2014-11-19 17:02:41,merge
8559cdcd38edee80d1e6887795ee90e06cd5e94a,76f14a1758fc4efe03ccf703f9f15341faaf10c6,2014-11-18 22:01:24,merge
e862e255f3368dc6de6cd8f4d6c14f43900ee263,4bb84968cbb2736a6da22ddd32dbc5384d838820,2014-11-18 20:46:29,merge
81dc2ead6fe30f0bf96523678e67732f84b028d0,298667b5444ab2c56b037ef1e11782c7bce95b87,2014-11-17 21:55:52,merge
7416e57c99d433d5899f35085425012acff73a9e,9a5ba9e223b9a2bc5c6c3d59b4e04151093334d3,2014-11-17 21:08:32,merge
f4856d3df4011145fc6ea116350c086d8ed7bdae,9a5ba9e223b9a2bc5c6c3d59b4e04151093334d3,2014-11-17 21:15:04,merge
69a37031da4173d53a47d8a93a65370dd7de5c87,bb5218ddd8ef26342fb92736e31e6e8b16f382f8,2014-11-16 02:32:32,merge
204b99697d01a7998f5ccb5938e360a4bbacff86,6bfe70a054115b7c265d7a402751a3d783325a22,2014-11-14 23:53:53,merge
4c7724d30cab16dfb66226dd62a9b98b5902db61,6bfe70a054115b7c265d7a402751a3d783325a22,2014-11-19 22:51:09,unknown
8e556212e684c61f4c5289a451b12ec0e3bba617,49da844938bec594f4dc522d75070391db4e45cd,2014-11-21 18:30:24,merge
a379462ebb08b4d66a981e119eeb8725ee80bedd,20866e4fc66a4089ceac5a14e85b2fc3b52cdf13,2014-11-11 19:22:19,merge
8408adf313f5cf8bb565e1cc2e7c7878bad28873,20866e4fc66a4089ceac5a14e85b2fc3b52cdf13,2014-11-11 23:20:46,merge
c820d1c5c8ac29ce8eb8214ca5b069739af10802,85d44fc4dcc992dced1fab7082f80e2d2a6aa502,2014-11-10 18:00:55,merge
744d2fcf509f73ce4f728844f1054ebc9a0a112b,54c95782c4dd58d00a4a5006d0c8b1672ba7c493,2014-11-08 18:24:35,merge
8445c78f617192a911496df7ff3fa8a994893b76,c99adb592ff992a2cd993ee251d7dc51d7f7ce7f,2014-11-07 22:43:16,merge
19dd7f77a53d1aecb14a8e0e0b9d6328d963f5ab,5b5e2b2947d78ba7824d64ffeb5060a5668409c4,2014-11-06 18:35:21,merge
258bb02c9562345a3767216f1db1917452b5b997,8839bed7f802af7312c104ffc4b254a21b0f671f,2014-11-05 08:02:32,merge
