merged_commit_sha,base_sha,date,merge_or_rebase
6a47a0e72f276371d961b09bb0849b9268d8319b,47c95047348bbef098b7ab4a8aebfcbe407ac470,2020-09-15 17:59:16,rebase
47c95047348bbef098b7ab4a8aebfcbe407ac470,0b3207fed61b70983869977364b7f4f158a3bed4,2020-09-09 22:46:23,rebase
baa1dc879872352b86292b862dfe70bdb8adfdf5,47a1fa66e045c394d45dd2770c6900cd1d196bc8,2020-09-04 23:05:33,rebase
0b3207fed61b70983869977364b7f4f158a3bed4,343b90e3e0981128bc491ac711b1fc1c7bbe6d21,2020-09-03 21:13:51,rebase
343b90e3e0981128bc491ac711b1fc1c7bbe6d21,ef364cd6562971a9950b2d8c46b02ff7ec072754,2020-09-03 10:45:25,rebase
91e56f64cddd4f44987649b9975d14642499230f,147b214c235b5528f6c7ed7837c559a4b0906816,2020-09-02 14:58:44,rebase
f4059bb67d8878e7d90531dc26c4723db704ce09,852c59f0a7a2dd5f81f5220c961538b1c8e3bac5,2020-09-02 14:36:01,rebase
47a1fa66e045c394d45dd2770c6900cd1d196bc8,852c59f0a7a2dd5f81f5220c961538b1c8e3bac5,2020-09-02 15:26:48,rebase
c51a0ac473451c03897d870d16f21b7589eb18bb,852c59f0a7a2dd5f81f5220c961538b1c8e3bac5,,merge
c7e9b8ae644858b94c981079760a0713aee00dc9,852c59f0a7a2dd5f81f5220c961538b1c8e3bac5,2020-09-02 00:05:48,rebase
c0ca2465c9c4e18c09b6debf6b6e01df53977f9f,47ab5950c06eefa6832c63dd9d76f00e0d9860e7,2020-08-26 20:30:18,rebase
852c59f0a7a2dd5f81f5220c961538b1c8e3bac5,6eec48d5b11d20b33b2b4a4aff9f45668a0e6d48,2020-08-26 17:07:22,rebase
47ab5950c06eefa6832c63dd9d76f00e0d9860e7,f524fb4022f0bcbc05bb1ab33d3cf1d2ca1ecf77,2020-08-26 14:49:30,rebase
ef364cd6562971a9950b2d8c46b02ff7ec072754,f1538339e6519dfaa11923479a25e03a4d1427ed,2020-09-02 20:22:11,rebase
8d4703d7d3e3b2b1720595f59f4a4c8b62eb88e3,f524fb4022f0bcbc05bb1ab33d3cf1d2ca1ecf77,,merge
147b214c235b5528f6c7ed7837c559a4b0906816,f524fb4022f0bcbc05bb1ab33d3cf1d2ca1ecf77,2020-09-01 18:16:11,rebase
f524fb4022f0bcbc05bb1ab33d3cf1d2ca1ecf77,53f8e0f2c7c6c506695ccaf2b701038ad184e8cf,2020-08-24 18:38:48,rebase
05c4c4b3e0f28b42ab1878fe999765c54551cca3,53f8e0f2c7c6c506695ccaf2b701038ad184e8cf,2020-08-26 20:31:18,rebase
53f8e0f2c7c6c506695ccaf2b701038ad184e8cf,f2279a5f22ecd559ccadef4596f73a6282b091d5,2020-08-19 18:24:57,rebase
f2279a5f22ecd559ccadef4596f73a6282b091d5,1103ef4ee80b6af1069ac0e032ab5f41e50b187a,2020-08-18 23:28:03,rebase
b56da8fe262aa52895d3c5023c02352293338386,74b71a1a943e1e4386fc3773e1e36e37d6ab2c9a,2020-08-18 15:40:26,rebase
e466b0741cb3ad4cfe677a9dba2879d9e09b74b3,74b71a1a943e1e4386fc3773e1e36e37d6ab2c9a,2020-08-18 15:40:49,rebase
6eec48d5b11d20b33b2b4a4aff9f45668a0e6d48,74b71a1a943e1e4386fc3773e1e36e37d6ab2c9a,2020-08-18 16:53:09,rebase
1103ef4ee80b6af1069ac0e032ab5f41e50b187a,f32bea33988752b9077f0c244b7a7b873d9e7d84,2020-08-18 21:04:59,rebase
2b78970eb5e5b6d097df8089f2e180f4592d7a6e,f32bea33988752b9077f0c244b7a7b873d9e7d84,2020-09-02 00:29:00,rebase
85e4504cb9fb4f6dd37f50e4a20d2e454a708856,f32bea33988752b9077f0c244b7a7b873d9e7d84,2020-09-02 00:30:36,rebase
64e8328dc89c41dcb238c07b1b3bf8740a007d84,cbebd20d16db75c065f7f071492964b024f6b0cf,2020-09-02 00:30:23,rebase
