merged_commit_sha,base_sha,date,merge_or_rebase
5d2057e51d8f155d558553687c0194399e1fd172,9d04786cb668b23d6fa0a0f01903e03ea957e723,2018-01-31 06:13:21,rebase
e675edc8733c913d55f8d3307d310e5a871e5692,f6f8b9d0eba942d7ea0a32adc39bf2c52f8b350f,,merge
e06ec99e953f477d30ff748a1d7746560587c8db,f6f8b9d0eba942d7ea0a32adc39bf2c52f8b350f,,merge
f38b894589ce5242ddc8ae699d20f6be23aca611,4f90c85f1ee5f8c44766a81eeab3867203799aeb,,merge
4a61503e14b017e3b15f14b5ff9c06466ab8170f,4f90c85f1ee5f8c44766a81eeab3867203799aeb,2015-05-19 21:23:07,unknown
432d5913b5059072835940ada0aa3b28aa42ad0e,54ea1cea2c9ede84af3b47c549859a03410b7afd,2015-04-17 18:07:48,unknown
1e488f5c93c240392584eed61d72dba149216bc1,0e8c278c7b3cd1c6424cfcf8f6a3b0f7abc981a0,2015-04-15 01:51:32,unknown
e18e6a1058f80da02aa2a5818d9449aaf76550be,7fd339409309e01ba75b6cd3d220e7c4d4bde7c4,2015-03-30 06:06:46,merge
1eb9fdd32a52b86ac39d909781bdb7f64a018dc2,287e62899690bf5f3793e08376238a6e72e5df1f,2015-02-10 06:06:33,merge
a1aa7bd285982400fba3bf14c1c462a207136ce6,d22af8235a46f0cd3dc7c696f0715cf718539100,2015-01-27 04:34:36,merge
3f39402a22af5b4e36b06fd3657e5c6f794f5a46,f6f8b9d0eba942d7ea0a32adc39bf2c52f8b350f,,merge
8f36ba1a1a70ffb6ed5b48e257ef2489d7bf07bd,f6f8b9d0eba942d7ea0a32adc39bf2c52f8b350f,2014-11-11 06:59:35,merge
e667013a54d2d5421b812fe9c313ad26c20393cd,2f7d918eff61e256d9b94639ccce7d8676ef73ca,2014-08-16 21:47:13,unknown
d100d86e52fea480ad6161d110683160cd0019a9,28bb8068f7b849378e3bc01e97d86c436f1fe3a9,2014-07-19 05:27:58,merge
fe0bf0866eff403b568dedbfef61fb5f97022fea,06c52b62cfbfcf3c21f1b21f4a312c4346e5e27d,2014-05-30 21:33:30,unknown
fe43411159b2166f37416a3cd3de8b2b4d7cde6c,15b92fe93f2dd7816ab54f083f3f5ed071184e3a,2014-05-26 06:49:00,merge
3556e19ca0291dc62582950456a6d99c19910b39,a8735f99ba655bdd255c0f3fc503df65632d256d,2014-05-26 06:39:02,unknown
0d0eebf5318c4493641b427eb21b8ff219e1401d,332f32799530b934ebe9f0c94e3ff564697a795c,2014-05-11 01:39:16,unknown
fced7f99495ef790ff675ba211ffa85c91adfb08,332f32799530b934ebe9f0c94e3ff564697a795c,,merge
6da043f4e5c55cf63a690ea7bcb240a1ae50f2a4,3a0485b410f4676d131a59c426b1bc2bf789a28b,2013-07-30 21:36:49,merge
269a2468ccf57a6720f732c822ba85b57fddcef9,3a0485b410f4676d131a59c426b1bc2bf789a28b,,merge
c7e6746fa737dee0a4a47cf712f60c73f9f9c565,332f32799530b934ebe9f0c94e3ff564697a795c,,merge
d6eee176e24be3960256475e7d58bd299842ae15,332f32799530b934ebe9f0c94e3ff564697a795c,2013-06-01 21:38:50,merge
3ac1e794e1aedc8e933897463015cb86fcd235a2,332f32799530b934ebe9f0c94e3ff564697a795c,,merge
216eb3f95d8367a8147c196871f72d188db44665,65160163a4bb045cb2322036bb0eb1377d913b0f,2013-05-30 16:50:27,merge
9fc190cfc77fe7af9dc6f2c20895b2f86c24dd12,dbcf490b26a381061953f19b5033168b007eb04a,,merge
6fa3b514a0833013f9009b2129f016d460910470,65160163a4bb045cb2322036bb0eb1377d913b0f,,merge
878b2cee1417006dd63e2a44db784246f0c4f666,dbcf490b26a381061953f19b5033168b007eb04a,,merge
64c304a9099ef81c8d77f9200775eac2097425e6,37a2232ae1ac394a97092f32c91ef8a29e626fdc,2013-04-30 22:19:32,merge
