merged_commit_sha,base_sha,date,merge_or_rebase
cb9941b4bbcd63c7f565fe3b5f46af571f682e07,5600c1b6b11c1e293cde882bac82fe9d3a6b2584,2020-07-04 19:22:31,merge
6169c2d608e680dcc889f9f8fa0858f12b351319,a9917e449016b93cf1c93a769168e6c130d1d223,2020-06-26 18:48:58,merge
9b23390076b33cb8807599ede7a150feb19d0ea8,a9917e449016b93cf1c93a769168e6c130d1d223,2020-06-26 18:48:45,merge
5600c1b6b11c1e293cde882bac82fe9d3a6b2584,a9917e449016b93cf1c93a769168e6c130d1d223,2020-06-26 18:49:35,merge
8a7032e89bb0956a651c5bdac8de6af84bf199d9,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-21 00:08:03,merge
f7b15a0b038618243690c67dc1dfa4fa51b1252b,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-21 00:07:50,merge
0aa76d6bfeac57b9c26ce94f1290d86d3cd773f8,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-20 01:40:07,merge
3f6ecb6c02f147d5d180b9d85373e74c83f675ec,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-21 00:07:08,merge
6342a8ed28add082db160930a9acb7d600e8038e,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-20 00:32:00,merge
e55cc9baa6032395e7a33c40f2ead64d40a98c31,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-20 00:31:46,merge
594c447d28a3e4dcaa27da222f138906ffed476a,b93c2719933d8824d749bfa8573cc02e4f050c10,2020-06-20 00:27:56,merge
4fc15ecd70b93f68f1ca5474d93ba775df99efd7,a509a8172b4a67803e1b367bf4356450bc97130b,2020-06-20 00:28:14,merge
b93c2719933d8824d749bfa8573cc02e4f050c10,a509a8172b4a67803e1b367bf4356450bc97130b,2020-02-24 23:18:49,merge
de3e3c7cac2d9cf8fa87900832d267fb1c76f966,965f71dcbc9d98da5347f1256f650f8b7dcf4625,2020-01-10 19:23:06,merge
cd0705f12a5769aa4d1dfae635dc852400db0b89,965f71dcbc9d98da5347f1256f650f8b7dcf4625,2020-06-21 00:09:22,merge
56e73c9f0a55a3e393d3fd3ba5e1aa9a80c99ca5,965f71dcbc9d98da5347f1256f650f8b7dcf4625,2020-06-20 01:40:29,merge
092d73b190e2264639a6b1adfd806b59ff79782e,965f71dcbc9d98da5347f1256f650f8b7dcf4625,2020-06-20 01:40:59,merge
a9917e449016b93cf1c93a769168e6c130d1d223,965f71dcbc9d98da5347f1256f650f8b7dcf4625,2020-06-21 00:09:44,merge
20941e2bfda007e9f4547cb25e5272d60f293a65,4f7aca7b01c157866f5b708341bbccad0d7a6256,2019-03-19 02:30:19,merge
55eaaddab594de6fda01152d36991bf65bf52f4b,4f7aca7b01c157866f5b708341bbccad0d7a6256,2019-03-19 02:30:43,merge
fa8cd3200859c6e31381796f25dc81f16f435059,1b06a9fd8d9ad0aaf235b4a752e605dfd4bb7ced,2019-01-18 01:16:52,merge
bfc698431346c97329f38c6ae43eb3a2df2325ab,1b06a9fd8d9ad0aaf235b4a752e605dfd4bb7ced,,merge
7c70fe3b9b9570de650809d02c9cb97e472ec3a9,1b06a9fd8d9ad0aaf235b4a752e605dfd4bb7ced,2019-01-18 01:20:18,merge
1b06a9fd8d9ad0aaf235b4a752e605dfd4bb7ced,bd82cd3d2f8fec2bef6037e697b3d303a90ee765,2018-11-26 16:11:40,merge
4f7aca7b01c157866f5b708341bbccad0d7a6256,bd82cd3d2f8fec2bef6037e697b3d303a90ee765,2019-02-16 19:41:04,merge
dd1a3794d537f07742ef07ea84ddbfa3ce5a896a,bd82cd3d2f8fec2bef6037e697b3d303a90ee765,,merge
5afe0877598505ed31f14afdc63c54607e638370,9163065a5efcedc2da480ff0547bbe6bc41e5221,2018-08-07 06:40:19,merge
ea9080d3736cc24b1b3e08a4ad1e17cf3ec8b83c,9163065a5efcedc2da480ff0547bbe6bc41e5221,2018-08-07 06:40:31,merge
965f71dcbc9d98da5347f1256f650f8b7dcf4625,9163065a5efcedc2da480ff0547bbe6bc41e5221,2019-03-22 16:11:12,merge
160ea7bb1edc892286bc83f14f388e7f4cf6d866,5b10c68e0f3454ef96c1b62edf611b980bfff333,2018-06-03 05:41:41,merge
be53a330d90ba75d2b9d1f1df9be72cadf43e453,4aa9f05ec354df30be17fd32653d50ecc785f45c,2018-04-23 00:53:09,merge
eebcd60784ddda05df8d6ad8cf41719d5243d6fb,4aa9f05ec354df30be17fd32653d50ecc785f45c,2018-04-23 00:54:03,merge
93bd01ae94a27393b53388e18ff46cab7a030e4b,4aa9f05ec354df30be17fd32653d50ecc785f45c,2018-08-07 06:41:05,merge
9163065a5efcedc2da480ff0547bbe6bc41e5221,4aa9f05ec354df30be17fd32653d50ecc785f45c,2018-06-07 07:15:30,merge
c98959ff8f9699071568eb7341106cd7e8dbfcc1,4aa9f05ec354df30be17fd32653d50ecc785f45c,,merge
4aa9f05ec354df30be17fd32653d50ecc785f45c,5516568a30cfaa8588b63413736278d7cb998fa8,2018-01-24 03:12:51,merge
f54d31f6501cb6dbf5b87cfc9cc22223b8adb2b0,5516568a30cfaa8588b63413736278d7cb998fa8,2018-01-24 03:12:38,merge
5b10c68e0f3454ef96c1b62edf611b980bfff333,5516568a30cfaa8588b63413736278d7cb998fa8,2018-04-23 00:57:31,merge
6810deb255ad78b526ee23bb6f7afbe6f089c66e,e2bb8d4997c5bdf0c52862b1c17dbc2bf6d1c1cf,2017-12-25 04:19:42,merge
c394ab1413d2559013f2ddb5efdf6f19750a66cf,1791664604132b7e5539cd30a74165af8b12000d,2017-12-01 07:13:04,merge
3ad49be72e2fb129f31c723a86f453a34dd2fffa,1791664604132b7e5539cd30a74165af8b12000d,2017-12-01 07:13:25,merge
502c017f9caa448f49340de347803b3ccb60a7d6,1791664604132b7e5539cd30a74165af8b12000d,2017-12-25 04:21:13,merge
4ce403ba07ef374669c076d4677426f900b94257,1791664604132b7e5539cd30a74165af8b12000d,2017-12-25 04:21:27,merge
a539c8e7884a8cfc379796771fddec5395d996b3,1791664604132b7e5539cd30a74165af8b12000d,2017-12-25 04:21:43,merge
1791664604132b7e5539cd30a74165af8b12000d,1a5e259b259130b50607174fc9f9508dc1f2941c,2017-10-22 23:56:29,merge
386129d4b05c5925fbfb0c7f558b3a37da75f12a,bd82cd3d2f8fec2bef6037e697b3d303a90ee765,,merge
066f847cca3d2887e0e9f3ab29cab6e87fc12ed2,1a5e259b259130b50607174fc9f9508dc1f2941c,,merge
b96fb9d0b4b998f0eefb42831ba81c2a41dc86e3,1a5e259b259130b50607174fc9f9508dc1f2941c,,merge
81bc110c3d650c54f41c65a118b6a04ca0bc84be,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,,merge
17b2fd58cc08113e0fd84e32e3aa47ddfa81ed3d,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,2017-08-25 05:45:42,merge
8d9c23863abec429c80939f387b0647b515c5adb,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,2017-08-25 05:43:56,merge
ebfaa1e51450d3a6339a89b3766093f31261bdfd,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,2017-08-25 05:43:42,merge
20b7fa49f808205b8ab411e36701aa42b8fecc1d,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,2017-08-25 03:57:56,merge
0ed0f8c131db04be2c8fb9bb965cfb682ab9d32b,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,,merge
5684fdb8c2af03bc3b2884b5e2993953ec85b37c,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,2017-08-25 05:43:12,merge
24f0d4405292207bbbf4678013e1e7906f98baed,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,,merge
8f66215f3daba14db10e43312b210e06e4c26ca0,9b00f5f3f7e9e17881f7997f44112fae920bd4bd,,merge
9b00f5f3f7e9e17881f7997f44112fae920bd4bd,d10085cbccd602f15b6eca25880b17f5d20ab818,2017-07-04 07:51:10,merge
81c544a1964f12c3bc2fe70793a44babb3a6db78,ddfef43ddef8e81db3e6d8706b70046fabb5a721,2017-06-25 05:22:03,merge
