merged_commit_sha,base_sha,date,merge_or_rebase
c74a43696c845725b64784c086ffbba081fc92e8,04d551f8a5018b0886eb87d10cfb856c62e8c9d2,2020-01-26 11:31:03,rebase
a35a7f53332f99776f294e9482297cd27348922a,04d551f8a5018b0886eb87d10cfb856c62e8c9d2,,merge
2d25608bcb6bc2479e2627e5ab9f488b0830ecf4,64c1a47efd15be17cbf93df9fdd380c9f5ca78ff,2020-01-15 11:25:14,rebase
5c59128fea937c21d793e5e93718136c9da86b38,64c1a47efd15be17cbf93df9fdd380c9f5ca78ff,2020-01-17 09:38:58,rebase
25c87e2b05df8d5884b198ff29ea713768d2921c,91f960a08ecd7bb8cf70eda184b9590adee97c9d,2019-12-06 00:17:45,merge
91f960a08ecd7bb8cf70eda184b9590adee97c9d,8a05c360508620df406368ee9140d12e43779b03,2019-12-04 13:01:27,merge
8a05c360508620df406368ee9140d12e43779b03,b6d0e6b6af4b8ffe7c03a89c08090702adbdb808,2019-11-10 11:55:21,merge
b6d0e6b6af4b8ffe7c03a89c08090702adbdb808,5860b68c16f3d44c968176758bd23137ea5d9adf,2019-09-11 12:30:03,rebase
9373477255437e4962fa387bd05858e4623beba2,5860b68c16f3d44c968176758bd23137ea5d9adf,2019-12-06 00:19:19,rebase
5860b68c16f3d44c968176758bd23137ea5d9adf,81c0fb4a7c86c8209c626dc79eb5b7811581c858,2019-08-21 11:37:27,merge
1106ade4cb2a71fc42c551f12e35baae4512f74d,81c0fb4a7c86c8209c626dc79eb5b7811581c858,,merge
6ba103d4ddc59839ea7cae36cf866b4b10ba3ca0,45701fa885e443fa9de12b9fe82462c8d7bca263,2019-07-25 14:34:23,rebase
64c1a47efd15be17cbf93df9fdd380c9f5ca78ff,45701fa885e443fa9de12b9fe82462c8d7bca263,2019-12-06 00:21:40,rebase
81c0fb4a7c86c8209c626dc79eb5b7811581c858,45701fa885e443fa9de12b9fe82462c8d7bca263,2019-07-25 15:47:09,rebase
45701fa885e443fa9de12b9fe82462c8d7bca263,fbf77a00135e73d79af2ea41e3c88e3759818bc4,2019-05-20 23:02:20,merge
05f633a45583aa286a917927638e2b045299d199,69ccdeacd7d1e2b7c4c788dff1ba0d82583ef1b3,2019-05-20 22:33:35,merge
94e9b225ae8cb985331e28c9435e6632742e1fa3,4eaa37be5f82d6a1f55c9091a867a591fcfa07bf,,merge
4eaa37be5f82d6a1f55c9091a867a591fcfa07bf,405c35ff0081cc97494c4cff30bcd5164a9e83bd,2019-04-24 18:02:58,rebase
6bc90e6eaec48193ebf34eda0aa7bc356abe1d43,405c35ff0081cc97494c4cff30bcd5164a9e83bd,2019-05-20 11:53:27,merge
65130ea3bf23ccad88775e4eac532eed5cf06e6d,5b8991f68c5302e279649e4c9bb99edd6ae98096,2019-04-02 12:45:15,rebase
405c35ff0081cc97494c4cff30bcd5164a9e83bd,65130ea3bf23ccad88775e4eac532eed5cf06e6d,2019-04-04 09:40:47,merge
5b8991f68c5302e279649e4c9bb99edd6ae98096,bfe37900c59e9841b3c56f9f1c99323730f02f61,2019-03-01 16:33:17,rebase
f21aa02d977c5ca4e905d647e3e402ee863f7eeb,b0b5aa41ab77a1ceeb060a44227fe2e0a5ae583a,2019-01-25 15:39:44,merge
b0b5aa41ab77a1ceeb060a44227fe2e0a5ae583a,f1c4ea58d2c01a1f93169150ac15518a875e0d01,2019-01-21 22:54:08,rebase
fc1456292503e9945d397fcb4c76bd149c60769e,e34d18d30238ad148f122f2a37699fec439c4c65,2018-11-22 12:47:19,rebase
e34d18d30238ad148f122f2a37699fec439c4c65,61537f65fa04f320ee45a0f04df17b3a3d8e3758,2018-11-22 11:54:16,rebase
2a2f305e07c0cb6eec027bd0ce9a97725a143f77,8a20dde3a86763e5117022ad0438c8ae6260e21d,2018-11-19 10:56:33,merge
8a20dde3a86763e5117022ad0438c8ae6260e21d,60f0f6cfb1ef060f7cdd5cf7e41d5ff821a64d97,2018-11-16 19:13:08,rebase
60f0f6cfb1ef060f7cdd5cf7e41d5ff821a64d97,55dba91ca839288a509effa650a6b9057751e6b2,2018-11-16 14:38:18,rebase
e65f2319b2b8eb33b0587bc8a13cd5dd78b60bd1,add3af2a30d54e5c522b0a94abd7547d34befb3c,2018-10-30 12:00:31,rebase
add3af2a30d54e5c522b0a94abd7547d34befb3c,be9c7b3048255a9c4ed072e984af3c5964646b55,2018-10-15 08:52:07,rebase
366c0b77ebe3048b5112596ffaa24bb9e6c17740,b651d7aa0740153b0d7482a7dfed0008cc0e9ef9,2018-11-14 12:10:06,rebase
73a7d1f3a565696599302421f5c1199c95b0b2e0,457efaf3c7e755780c300cb97a7d1fe44e70742b,2020-03-13 22:38:17,merge
37feaa3364bba0510a5e4c8f97d757f77107ef46,dafdea1c1deb5b4225e11c4d3d0f19a76c7535a6,2019-01-25 16:34:02,rebase
dafdea1c1deb5b4225e11c4d3d0f19a76c7535a6,f21aa02d977c5ca4e905d647e3e402ee863f7eeb,2019-01-25 15:48:21,rebase
be9c7b3048255a9c4ed072e984af3c5964646b55,742a29f5eb9e4a6117988147f96d58f3337f2575,2018-08-09 23:51:12,rebase
742a29f5eb9e4a6117988147f96d58f3337f2575,57a37c2a39b2e774419c36059cb82267a4d1c051,2018-08-09 23:41:49,rebase
57a37c2a39b2e774419c36059cb82267a4d1c051,4eb8a3fab52069ee574b8844091f6d92e7b8cfac,2018-06-12 11:44:13,rebase
6180aa18e3025920c97d900ef8a28e7394587096,d9628cda0a80235c1e9707d246eb2412da780509,2018-05-29 20:33:41,rebase
8a5321bae932dd95ee8c91d23dbd4c8b5a0ac702,fd87b0fb7da04a4d1bd9e28819f286b32faf22fb,,merge
