merged_commit_sha,base_sha,date,merge_or_rebase
f10f221ea1edfe520511b640f3826f3a9a494ffe,697e2a8f8aeac38787336ec1e5495f68318677ad,,merge
697e2a8f8aeac38787336ec1e5495f68318677ad,09677b167fd0b02c8caf6719d1cf758d08a53bd5,2017-11-01 00:59:44,merge
09677b167fd0b02c8caf6719d1cf758d08a53bd5,906a37421b6bd16434ccb06227a440c946654594,2017-10-14 02:53:33,merge
906a37421b6bd16434ccb06227a440c946654594,85ef0f96bd224965e71c61b23c0ad2c82f671363,2017-10-11 20:07:17,merge
9a8e679a8fd028e27ff0416bbe446db00f91cde6,85ef0f96bd224965e71c61b23c0ad2c82f671363,,merge
131000837b1a401ba96ff3743b28ca7d471633fd,29823474d4cbdf5fd1532676c4ef6e0f26935f5b,,merge
29823474d4cbdf5fd1532676c4ef6e0f26935f5b,27243c4780e48ee7148944acea41a60f86d94453,2017-01-20 15:35:12,merge
1cca1ac77b8a3c1961accf1842ffc4bf50c2dce2,e8cf96b969f0d77d66121ec76dea3f34e41c7929,2017-01-14 21:48:18,merge
27243c4780e48ee7148944acea41a60f86d94453,1cca1ac77b8a3c1961accf1842ffc4bf50c2dce2,2017-01-18 06:08:05,merge
e8cf96b969f0d77d66121ec76dea3f34e41c7929,bbb0a505fd5c47120eb8f8684ddce5ff601dfea5,2017-01-14 05:23:16,merge
bbb0a505fd5c47120eb8f8684ddce5ff601dfea5,caf0ca3f37adf88721ea64db6912ab4e675bde3c,2016-12-30 04:24:32,merge
caf0ca3f37adf88721ea64db6912ab4e675bde3c,7a84b380c5c06a817c1c5621eb79f804cc1449de,2016-11-12 19:23:10,merge
7a84b380c5c06a817c1c5621eb79f804cc1449de,ed447e3f23132e9d757e7c4ad08e5457921bdd89,2016-11-11 03:08:48,merge
db58b06c925886a70ca06699085fd335ad972ac6,2ea80f66e8d758f8c0331d03f19f56d91ea41e19,,merge
3ac83275d2d816c411a69c6a9fa463908356dd16,4fa8ddfe741126272d11a01af19370a0b90cc000,2016-11-05 07:18:44,merge
7390914e7732282dc78a8d5b44118851a15c704b,4fa8ddfe741126272d11a01af19370a0b90cc000,2016-11-05 07:11:03,merge
