merged_commit_sha,base_sha,date,merge_or_rebase
8e58ee4e9bd5b32e8cb6849c14515cc06f02e53f,bf69b54f64003d160d759068f4816b2d9b2e1e21,,merge
760f751d6d23d7dd9103e785cafd36935ec9ddb5,fda74a8454a028c9ec063f0074062e19fd25f7e7,,merge
fe7e87346fec2c910c23ac4464024a6869e3afa0,dcf2aaa53005060608353b9d66b9917fd7ed18a9,,merge
07e3dfef547fc6895dee5a85c99ffb57aa99311c,dcf2aaa53005060608353b9d66b9917fd7ed18a9,,merge
70bca0582680fa3cff90d3b92ef0879e5eae29c9,161ab46f88728480fff647675eb41176a775a968,,merge
d28f94a2f9d7ddba2bc439ce7cc3160305cedb82,e6af3a7825e8307a501bc7c3e7b1ff323f081870,2016-09-22 03:28:19,rebase
c56cda93c551595bad6da93b3d9e05c8201ea8ba,fda74a8454a028c9ec063f0074062e19fd25f7e7,,merge
1fa5887fee6016318d02911f78f3610dd0e0dc7f,755f084e8720b349026c85afbad58954cb7ff1d4,2016-09-28 19:15:52,rebase
49702b32ead7cda4b658afa5b0394b919ee85e5d,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
98446e0818f3954cba42fdc5f8560a823d455ee4,532629d486e3361c7d8d95b38293cc7d61dc4ee5,2016-07-27 16:00:40,rebase
d83473a8d4301ba2c8165240b2a61dc5282d0e2b,c7399d06a95a8423808308f82182c3a48ed9996a,2016-09-28 19:15:57,rebase
95d279f2bf5bd844ad45178e12c43ffbb955d19e,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
67e4bdd659cb6ab33dda43eab05e51c392ee4149,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
0e1c0ed533ca57c52710f0cd9161c606e2ea08c2,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
f5880726e60980e07a76e113a75537a5258f2c12,7a6919097b9d97fb1a27fae480c9ca98185b4b2d,,merge
a428d3be7d1a5518bc7e8a107bd6a122962ecb58,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
e36f1b13cf70b23890c820ad07a4968d4ce90bda,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
1db6071afc234ccff9cf1443e3304169d04e690e,2e48a3f51d81e9b4208281f685ae8722ba7cb155,,merge
324948fa0bb0092da0c2fd9627dfdc8bcaa6e0d0,2e48a3f51d81e9b4208281f685ae8722ba7cb155,,merge
92b50a79f6a23aae640a6117767725eb27886161,2e48a3f51d81e9b4208281f685ae8722ba7cb155,,merge
e017af9c0483cc3cc27f3ca447c05ebd51988c7c,c510e2407f8caa880f38d77386cebc52ae7c1360,2016-03-07 19:59:16,unknown
6f8b07c4bb967137ac27ff2b66e9195637e60a95,532629d486e3361c7d8d95b38293cc7d61dc4ee5,,merge
e8e1c1d3952c96f49386e85918c8aacdac756f97,c510e2407f8caa880f38d77386cebc52ae7c1360,,merge
af96a90f05fea1adef55e6390cdabb7954375a02,c510e2407f8caa880f38d77386cebc52ae7c1360,2016-03-07 19:59:15,merge
c5f2d97a581fb4bb652d657f8bd0a65e1c0b2c85,c510e2407f8caa880f38d77386cebc52ae7c1360,,merge
f4fd397be46fc038e0340d2bc896ce9e19c2bcda,72b1a17cc28c9a5a653823336bf0a495f6f271b1,2016-03-19 04:15:14,unknown
d9a841800211abea1618609e8bd8f81b1364fe94,72b1a17cc28c9a5a653823336bf0a495f6f271b1,2016-03-19 04:00:38,merge
049139c89f4a4cb55341807b6cbe1a91a312d04e,94cc8b11ff473064526737936f64b6f9a19c239d,,merge
4c9c010b29627c093fa2e862813904b197079af7,94cc8b11ff473064526737936f64b6f9a19c239d,2016-02-15 04:05:56,unknown
e6b4f0c760a1c6925a6ab42d589812e975b0d48c,c510e2407f8caa880f38d77386cebc52ae7c1360,,merge
883e3e50a671ed73ef26ff3525cbe62e3be47b69,94cc8b11ff473064526737936f64b6f9a19c239d,2016-03-01 20:18:21,merge
04d2ea5a7e1287bd1bfc685d26485a8bdc33c04c,61f8e65c0157049ac26bf9b081ba6842d7defdeb,,merge
823ff690c4f38a06a0654facc2d7658481af1918,61f8e65c0157049ac26bf9b081ba6842d7defdeb,2016-01-31 03:03:02,unknown
f585b384e9ca3c4a886e55f2e6a0ca88b4626d85,47c1e5fa434532da0a933368657db98e10ec13cc,2016-01-25 02:59:20,merge
4c64c876eeb4e9cc1ef67fad11ef3b3c90defc17,47c1e5fa434532da0a933368657db98e10ec13cc,2016-01-25 02:59:20,merge
f1241ea216c885bc238a0d11e1f1f16dd5327c1b,47c1e5fa434532da0a933368657db98e10ec13cc,,merge
ba930c8e8fa2a42bec05fd3c616b559a288e4fd8,b9ef24875ce1d9bf5f04f0164ae95f729330a295,2016-01-15 20:35:35,unknown
12adadd9f7948cbe7e9dd4371f72b8561a63b55c,0938ba08d9a839df4111168f3414099268d69737,2016-01-05 04:02:51,merge
2ca165219dfa2eeb9f9a08a01068f4c3325463ba,1c8109e524870bb51622c098ce08533535cb3eab,2015-12-12 20:33:15,merge
689d928b90121a534f974ed510f5495f0c90be61,4a6837acc705c260724d68e1e5efba095d84788f,,merge
507319b723754f678a1311625def7473e3ae081c,73b2144edcfd1ca617e9054479b66ab0c0361a14,2015-12-03 03:37:06,unknown
8648e028c42fb04cff70b23ffcdaa7b12f8e32b3,22634a4b93dda5b17cb357cd84ac46fcfdc22519,,merge
51168ff1d3b21c54cc152efdc5f73c65ab5b6733,0d0b74f5a8662a0b3b7c4da3537d1e8942f20656,2015-11-19 23:56:51,unknown
7b7ef95c6921dc4fdfdce855e219773646950587,6a494e2cbdd146bb13185d8220061322661a5f5a,2015-11-10 01:16:46,merge
0b8c612daeb5f58d98a5bfaf7afac77896157dc0,a25cc96b4f2aeaca169df834e39df796ac08f1bd,,merge
b7e486e91cdfe054d62cc861ce741c4f2c62e245,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,2015-10-19 21:35:22,merge
283892a45147b2d508c5547d4bf2c425be2700c1,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,2015-10-19 21:35:22,merge
0d5f3329cb2c9b268d8b70d141264d9b3235cdef,6a494e2cbdd146bb13185d8220061322661a5f5a,2015-11-10 01:23:34,unknown
b7232ba74e45aff2df61353bf9e7b90f523b3c4a,c510e2407f8caa880f38d77386cebc52ae7c1360,,merge
8408b123ad2d9d5b4c2a2814ee3e76bcd12ccca8,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,2015-10-19 21:35:22,merge
330f4a716aefeb90c63115d8002822491be4469f,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,,merge
5a77cfff43b66b77e8f5d1556cadb25f9c5bbcea,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,,merge
87c7b392b953b49b6b139673ae4053a80f005cc9,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,2015-11-19 23:56:51,unknown
662bb12ebbce30ff421371bf39fc6c32ef4736d7,6120b0e0bb865ab196cdf717a4829a3f83ef1e7b,,merge
6b90117a2fc46eb09f16133d51c9adb355c835ec,2ab3b14731061cc04d3ccc50a35093c11d018298,2015-09-16 02:06:43,unknown
e1a39ccbbbea0b7fe29b3e8a68205d74a3ee6d47,2ab3b14731061cc04d3ccc50a35093c11d018298,2015-09-16 02:08:24,unknown
2009f80c0e767444adfaf5039f2f54a483c7c2fa,2ab3b14731061cc04d3ccc50a35093c11d018298,2015-09-16 02:08:56,unknown
a3e1bcc849bb3237b6aa5a6a98109bdacb13a2c0,49c1f5cb5d69ca1e258b0563346b5e1fc6c563d2,2015-09-16 02:07:36,unknown
1ae264e81b85c6535eddaebc153f2f063bb8f78a,2ab3b14731061cc04d3ccc50a35093c11d018298,,merge
380fc94caa10cf841631750376e23cd06393b7f7,7e964d4370b44025ece4fbae66b690f5d3758651,2015-09-16 02:06:43,merge
1913bfc93698b102b1fde2b0f4099232407e5b20,7e964d4370b44025ece4fbae66b690f5d3758651,2015-08-09 01:56:48,unknown
3472254ce4e6a5cf8c624859b678c4c720e7dea6,5def57afcf0413f3eee92f29aeef0153db5d2e0c,2015-08-01 03:58:47,unknown
150750e3e729d7878e79507b3e04c1816932ff1f,5def57afcf0413f3eee92f29aeef0153db5d2e0c,2015-08-01 03:59:55,unknown
1c2684abbb6f18a809843224aed9cf71c5628003,6f5d1a3b8e15a3d6feae2eec6a3cf28bdd53bce0,2015-07-19 02:14:56,merge
895e15b7072bbabf00e26998e27b65d50f8380ac,970c2cccf3bc1629e46fc186f523dc89d05ea004,2015-07-11 05:03:31,unknown
158fedf81378cab43a4c9c1fbb2d33a56303efae,970c2cccf3bc1629e46fc186f523dc89d05ea004,2015-07-10 03:26:31,merge
b94e2bf6e5fad273823626220add1211cf5d99a9,1d4552c3c45ea80373ab73c3485fe53e5a3099be,2015-07-09 01:15:40,unknown
23dc3f87251dfd9a7738c888c22fd15e955b83e3,219fabc0f5dbaac7968cb7728d25dface3ebb2ea,2015-07-01 02:08:26,unknown
8bd487d611ad38d3345d9d2cf54f47c247a0659d,a25cc96b4f2aeaca169df834e39df796ac08f1bd,2015-11-03 18:43:43,unknown
b93b2514c27d2970733bf8cecaaca8fe55510f4c,361d6cc0786b02ad51e91abfefa74b4f0c55db76,2015-06-29 02:30:52,unknown
1043649e2b430de3ec13d934b31cc62edd6f5b54,8383cc5ae327ba31b461493b571d0ee0834ef333,2015-06-21 01:36:20,unknown
7de9c4e87f71e7f4ad53568f76ea5dfdeec17373,67df1ab7ce6b6cb8103ddf73df814f685240a59c,2015-06-20 02:15:29,unknown
4a93594e222b2552f2e741ea65f447451f22b99c,67df1ab7ce6b6cb8103ddf73df814f685240a59c,2015-06-21 01:36:20,unknown
7de81d9a23467e64ba3e4aa279bbf8d9820b07f7,3299452dd947f77f0d30842bcf1470dc760816c4,,merge
0dde1abb32f2b3f7af79e7b3de814ace90ef2bab,6d883f488ff59b2394982b62895d50b1d1d55bf4,2015-06-08 01:29:08,unknown
0e1fc204480a848366f2db5a267382cae5ee0869,b072c692e7cc38a123a465d00fc4ea9145d063b2,2015-06-03 23:59:53,unknown
848101d9da21d2faf8546d5b63bbd2e4c25e0d2d,b072c692e7cc38a123a465d00fc4ea9145d063b2,,merge
e239fcf0c869bd220ef35af868a57950c8b72331,8c568a2cec5683b356900d1d2e2e9b2b6d4cbc3b,,merge
8d81bdb1a210e02411883c4bc2b99b8fdbbc67f4,8e80ced6cea5c50e628c1931f6b3b764b97efb41,2015-05-23 19:15:58,unknown
b9c8b1d01da940b38ec26632528d29eaaba5b534,8760aba257b5f96d082a58abbc9fb4ca2dd73638,2015-05-25 01:01:39,merge
d39b0ffbbcb24159974ce06d0a861e9c3fd16877,b5d712502ba05cfc89edb6de04077f763effc445,,merge
2ffcb4aeb74b1905fd9aa852e86baa4905ca598b,b5d712502ba05cfc89edb6de04077f763effc445,,merge
1d3cbd8327838142e1bff5836bb3ec60591d086c,06188e981801d18c103d1525f5d463b2967fcd88,,merge
1446654343eb30257302b17369e031d030ece46e,b2350f2e26e4fd2c1e9627680663170d94b6d0b8,2015-05-25 01:01:38,unknown
0ee55a94f08e7456ba551a79f4aca614d6d19ba6,048d79302129f7e959f4ab864969ab1793a8830b,,merge
d71d874326686ed4a359eff50982dfae6f0926d8,1434b319f3956fa3a62033486851ab3815775901,,merge
5f20f8d91836a307dc929c092d292cd90344adb3,6a1efc32e635a86b0d848d058ba152403c49bec2,2015-04-28 20:50:45,unknown
16d16b206cdc1c953ae171666cefb0d556a45625,422e74424a759c31d1dcfe0d1d9fbce3f39efb32,2015-05-01 00:54:09,merge
93907978c53752f0c2f9a302de9166857b10d69d,fc549805c1abfeac3d73f88aa95c1f58dc5ef499,,merge
769dd6630b67afb9807abbbe629b04d1dd133b27,f8087887feaf77577a345ae1be68776459613c03,2015-04-24 15:49:41,merge
7e2e274768c9fdfbdd8eb719e25daabe10a2ebe8,083bfdd25a19f157da69eb23a9eb3e3b8570ea35,2015-04-12 20:53:44,unknown
8833d0a9f436d8093510e1f5175f8782f284e7da,083bfdd25a19f157da69eb23a9eb3e3b8570ea35,2015-04-12 20:53:44,unknown
49d585ff5ffdf22f23cc534e2a2287ab1770c5d3,abff31d2ad3d10df59de72c67a2100e2ad9effb4,2015-04-03 02:10:44,unknown
3dc13e37ecf1ed189ecd51dedbc16ca69657f19c,abff31d2ad3d10df59de72c67a2100e2ad9effb4,,merge
b49d9980cce652f16018bbf690b8a346a3efa9fe,a47fad15e08ab006c235d1203f731570ffea1ba0,2015-04-02 00:22:05,merge
b06869f47c5ff98ce49f2fbd730aa936ebb9d592,4e94a45af2e44d49b2902d81c99f886c1d6df504,,merge
1f0066537fe74ebbd299deddbbf0a5ccf01093a5,4e94a45af2e44d49b2902d81c99f886c1d6df504,2015-03-31 23:55:16,unknown
c0610d01b6ad31b163bbc8d438bac44455fe1d12,212bbf2129f5e033b2eadb45e2c5ed7424b48ef9,,merge
ba5a9342ad32b033aa05b826acdc81cc1bf0a08a,212bbf2129f5e033b2eadb45e2c5ed7424b48ef9,2015-03-29 19:41:49,unknown
087a0746c3034569e166db32d35a73903518056d,e888b89ac94066ab80bd72dbaa347bdab3856020,2015-03-29 01:45:06,unknown
8b7e81d3e82434090006c51c695c513eed14ad65,7001aa5dd04c50d1d74512c8cf7e662ce4b7d255,2015-03-26 00:39:15,unknown
1107ad1e3f645c1d16f6ea24cf2b74f21131b11d,45858e26785114612ae08b9090f418b49c7b5acc,2015-03-26 00:39:15,unknown
10258249351cad67c1899353c86d0ec0a6f67acd,45858e26785114612ae08b9090f418b49c7b5acc,,merge
96e840f0c2ff918c3e63f9714104dc650affed0b,b0983104d501d6906af56c5dc669e98541306f69,2015-03-22 23:57:58,unknown
9752e9dd7987e56097e1280c95e6e626aa119aeb,e0bd6ef4e0e79804e36ae86b4f08f19c2ce93700,2015-03-19 21:18:09,unknown
21954e1cd2f9fd2707d4b56c4a75e2b4cc765627,ad87dbb470cb9b223c66727ab6ad615f46e73a37,2015-03-18 20:16:31,merge
73b6502cc8ec8373d7b08ecade7a260398826fee,08585e5b60aeaf304701245ea7a1b7e3ce843e57,2015-03-16 13:32:48,unknown
2d781ba8af3d75fcfd04d22eb09f2de84dce9cd0,08585e5b60aeaf304701245ea7a1b7e3ce843e57,,unknown
aed39429ddf089a16078c67c1de007ef63ab3364,518a399eb0cb0ffdc6798ab7bab1d4b1c973ef2e,2015-03-15 22:42:56,unknown
b72da64577b4574c4abcc627d573cec9e0135e66,4ad76497881ee2a623acdedcf0ac10406208b716,,merge
5996421cabfa69cb27e31380b5687c4c01819e8e,518a399eb0cb0ffdc6798ab7bab1d4b1c973ef2e,,merge
2c73f2b1fce5002f20aaa99837675704a86b8e0d,6c37f490e054fd016c01e7cb66a24c93e449bdea,,merge
04f438e1155a0ea9b925e6a3b4123df050c9d7f0,6c37f490e054fd016c01e7cb66a24c93e449bdea,,merge
7302b13099d331c52bf0c4966ba4d3a5b9fb645f,4ad76497881ee2a623acdedcf0ac10406208b716,,merge
5ed061d2b7de53ab6049a36c8ef882e81ba07086,2af1608059da9dfbf91fd2d25c8367b426ca182a,2015-03-10 23:01:42,merge
f193266b60f76a43f2542166edae99de27bf0d69,6c37f490e054fd016c01e7cb66a24c93e449bdea,2015-03-12 00:43:33,merge
cfb55b220ab3408e58ffaa30e16c680f84111acb,b780e688c9c01d70405074b9813fcbfab92dbcec,2015-03-04 00:11:35,unknown
d7950f944509efc2ad2429834c99fad2f17f0037,334cb9c8db318516abd069a3cc2ec1fa233c8d9c,2015-03-13 19:36:10,unknown
2187d9bc940cdf8a6950e24e8a8e93038921194c,c5b03cdd9a5c24d31870dfd474507a097f93b60b,2015-03-03 02:07:04,merge
ae03efc55ca939f0392218e9ab2db4a89e9f24ab,c5b03cdd9a5c24d31870dfd474507a097f93b60b,2015-03-03 02:07:04,merge
d4255775373507c906644d8417f4eab8d21a8d77,972e6a9ac5ec398c145e13491fee490de5245342,2015-03-01 02:16:13,merge
d58b0549838ecb210a2673f09a6e6799802ad964,085f90432f352ce2dfb31e0a7fbb83efa6b2f5db,,merge
7bf92912ee65524a422893a650d0d8a8c427c831,52a0753e52cb9095075c6fcc3538de965132e5b8,2015-02-20 01:54:19,unknown
ac15abd2eafc343ebe975f5168be7072547f748c,78ea33b3f00d91b7995d9dd543c4620c777c956b,2015-02-11 01:35:37,merge
b3470be549fd789af51472f1897d659053ee96c9,93b1c346fe17c200836741b53337d32f410e5b7f,2015-02-08 04:00:04,merge
621eb53ae5f9be7bdf297cc0e582f8d59b193354,16c0736968886369bfbcd0e01cc86d1a279001cc,2015-02-03 18:16:10,merge
39a18da9665022670b137604c655de793390bce7,b7e003384ff837c728490496f1591916905b5368,2015-02-03 15:17:13,merge
6f39d51e1c8a73e2a7a0240a7db764338953c78b,b7e003384ff837c728490496f1591916905b5368,,merge
d143045160b2c1bc115292a1d405b320dd010ce9,fbe9fd0610a8e935dac39c679e25fabfbe487fe6,2015-02-03 02:02:18,merge
17feb7d0214bbcc89c00344cdd88f0d9ec7fb038,33f65929e3f430e9542192d0adf98f1252a911f4,2015-02-02 01:41:57,merge
30a4e146054bdd26a64c19b7c76868b9441406ba,e5644bbd58539982c6484e6f155410838ad1a8e9,2015-02-07 01:49:49,unknown
2329221fbb2e5fa2a58220087c33b1400fa65a4c,ff32b4bd285dab3498e6da8c325ff24f56623dce,2015-01-26 01:39:19,merge
f0a4bdbde8b6fd899a8a2cc53cfb7a207c18bd3d,ff32b4bd285dab3498e6da8c325ff24f56623dce,,merge
ed1a01e3b0cae50e51bf13debc41af6f1bba3291,a8bf060815f775849853ad1c7e1dcd16dd2e0388,2015-01-19 01:19:39,unknown
9457e5a5cc2695241b7ef8b27e2dbc308ce89a01,0fff7d999404ec6e68dad2b4cbc283e34c198087,2015-01-17 17:38:24,unknown
c115dd607874caf41cba40d9c2d75f7bb15e7d69,6650f18b865043ac4980992b7c9be6e776db76b0,,merge
cf68970eb0cc2defb51937a61cc65f9411a4c004,dfc6be901cae5133286cbb16e6b651ff26bf2311,2015-01-12 13:19:44,merge
f5f130c6ee79f0bb6e20a2fa124a3f599d5ae0f5,dd51e03857913bb1b73bc604a64adf5e2740cfe6,2015-01-11 03:25:56,unknown
e4513989e4bc78af2a8b7f99fb3aae39b2e430bd,c09b57549b37ec5f6c3165ced1518137223e1079,2015-01-05 03:20:05,merge
8ecf235e3d9962437bbfd993b59dba5b12ca926e,c09b57549b37ec5f6c3165ced1518137223e1079,2015-01-05 03:20:05,merge
