merged_commit_sha,base_sha,date,merge_or_rebase
498a8b7a4fcc57432e805834605e37d4f8ea8e35,f44c9b272974527e1e6d601d02aa5ef1826e2382,2020-07-23 09:43:00,rebase
865999b04b85a4a6c03b56d4859da673f72ff21b,f44c9b272974527e1e6d601d02aa5ef1826e2382,,merge
f44c9b272974527e1e6d601d02aa5ef1826e2382,47d38d8cc52be2661a69a9b39ecea64e4861a8cb,2019-09-29 21:56:05,rebase
671c7ce2d2fc783301fd5dc68dc0f6449f2509bc,47d38d8cc52be2661a69a9b39ecea64e4861a8cb,,merge
47d38d8cc52be2661a69a9b39ecea64e4861a8cb,c3372dfa4c17b854096b535f987fa42c4ce7928a,2019-07-03 11:50:40,rebase
2989a1d74c7cb57bf39e254b82ae07cd8a94af17,811b704d03c76a5c4beb78a7292f99c38427a4ef,,merge
d9f68590cfe29b2bba9e5bb15268d7a4b3db26b3,811b704d03c76a5c4beb78a7292f99c38427a4ef,,merge
58e07f4cf42ba4fdf6041156be7f74e16370af93,811b704d03c76a5c4beb78a7292f99c38427a4ef,2019-04-19 15:44:11,rebase
a84ba8464cabd3723ed58ce8cfec8f309f72db9d,811b704d03c76a5c4beb78a7292f99c38427a4ef,,merge
3a1db67cc974e338672f951178073f536159fc37,811b704d03c76a5c4beb78a7292f99c38427a4ef,,merge
811b704d03c76a5c4beb78a7292f99c38427a4ef,d02c9239c2a297d6773e6b7e134b17884c6df624,2017-09-15 07:25:18,rebase
e5ed866e7df62d7d942f667031ce537a91ac7b79,d02c9239c2a297d6773e6b7e134b17884c6df624,,unknown
06c8cd5965a49b3b3afd6b201882692e8421557c,735ea519b22c904729680c789c693db9a977ea13,2017-09-04 18:15:41,rebase
06e946f5624fa23c680a085ecbd83c91350409b9,a4b29666bc2f820eed058b0a39b5f51b7bf8d300,2017-08-27 15:53:18,merge
d5eb6eb160fae1711379886010530fc40d9e49ed,497ec8bfc59c807fb4b02d3b0c740c2058fc1113,2017-07-22 20:41:12,rebase
c721d9c0a6d4d90b45c7e7f9d6ee74d72221ff74,497ec8bfc59c807fb4b02d3b0c740c2058fc1113,,merge
497ec8bfc59c807fb4b02d3b0c740c2058fc1113,272389a265b825f041b02dd681714ba6e7b60f80,2017-07-21 18:50:40,merge
d1d6fa89df4dfd183f9c1437e7ed0a68b830fc7d,272389a265b825f041b02dd681714ba6e7b60f80,2017-08-14 07:07:17,merge
272389a265b825f041b02dd681714ba6e7b60f80,ef315de8ad46d064b637d522ec7ad57fb540783d,2017-07-12 08:03:46,merge
a4b29666bc2f820eed058b0a39b5f51b7bf8d300,ef315de8ad46d064b637d522ec7ad57fb540783d,2017-08-14 07:13:29,merge
13fd09d494a802c89915297bb79dc4b10ac0bdd5,272389a265b825f041b02dd681714ba6e7b60f80,2017-08-29 07:46:13,merge
6c63ba95a82f0d277f94a69ec52ed71b1bee641d,ef315de8ad46d064b637d522ec7ad57fb540783d,2017-08-14 07:05:55,merge
384e9d18f7c166e3be0edfdfab0435878ebd862a,ef315de8ad46d064b637d522ec7ad57fb540783d,2017-08-29 07:45:56,merge
735ea519b22c904729680c789c693db9a977ea13,ef315de8ad46d064b637d522ec7ad57fb540783d,2017-08-29 07:48:39,merge
e2011bb3cb387bb30cc677ef28a5eadb3b6dd834,bfd1348451ad9def6182bd73bb1a776f76c9ad12,2017-05-14 07:05:15,merge
bfd1348451ad9def6182bd73bb1a776f76c9ad12,b9738c0b09861bc414dfc2e9bf29463ca0d6fe7c,2017-05-10 10:54:12,merge
474bef7b2c382f212aebfa9669d7b9ef78529bf6,d65f450adee8f247359bae8f20e7918220beb82c,2017-05-09 16:04:34,merge
d65f450adee8f247359bae8f20e7918220beb82c,31b23e27088c5849b4f74c5ee048377ae8db2cc3,2017-05-09 15:23:51,merge
79eaf23f77694a9b580bfecd33023924e8a16311,31b23e27088c5849b4f74c5ee048377ae8db2cc3,,merge
e0d191e97da4fe95310b5fcf04c39e7f80e38f5d,09bf51d7483132cc6993f686c32aa6f5680b7eb4,2017-04-20 13:16:10,merge
85250a296caae8bfb551a03818c8e369e5491a27,09bf51d7483132cc6993f686c32aa6f5680b7eb4,,merge
07a837558f9e5049b068d437f97e95a0a6c7db99,c91d41b3cee5ee905a99bc65237933e14cd36f2b,2017-04-12 21:33:23,rebase
c91d41b3cee5ee905a99bc65237933e14cd36f2b,fae36c70a4c3af0adfa36f261ffb72ac92a117a0,2017-04-12 19:19:25,rebase
4018946aa8dd3c98f1d1a436c60f5e966372979d,fae36c70a4c3af0adfa36f261ffb72ac92a117a0,,merge
d5bdac42adb2bf958cd17eb170804d38d99e909d,3403c67b148420567961f03a9aceb1b84d54410a,2017-04-10 14:45:47,rebase
100cb7afdbbeaa1325845ff295e2ebb6f6d1eebc,fae36c70a4c3af0adfa36f261ffb72ac92a117a0,,merge
485a2421a5e3458d6cd4f3b6e486d08c30884de6,fae36c70a4c3af0adfa36f261ffb72ac92a117a0,,merge
5278e503403aaad47153dcbc23fa9a889519a498,3403c67b148420567961f03a9aceb1b84d54410a,,merge
0cf19905778e2e1f2e9e35469295ad181caa1aef,a03cd05d3a29204eeee1da6c67957699a65149d9,2017-03-29 16:52:12,merge
