merged_commit_sha,base_sha,date,merge_or_rebase
c4854f73b3c5dc9347c795b57f77113e79fb30a5,5a22e28a39c139cbb8170a0eeeee59e73f9e02f9,,merge
7b2ae21da3b81f17e1994be56141d3f3fe9c172e,5a22e28a39c139cbb8170a0eeeee59e73f9e02f9,,merge
9de46cc032c2bc33c52f83a2600d90b309985204,ac88891869cb0db17478598b93347925768a63e9,2015-12-15 13:06:00,unknown
01eaab8a92786638bb6a41e3cff7fd3627b04f90,ac88891869cb0db17478598b93347925768a63e9,,merge
51abdb042fad25e8d3c277c4920ad67fd97a82b6,6e37b769ae92e089eaf4595484d71f8f97922fba,2015-05-22 12:27:50,unknown
0370dc700d05fb84d469643461b9262b09eece84,56c6ceabb1442cbd769a02607d2f6b73416bcaae,2014-11-24 21:44:49,merge
18a1a4b844d2e1e2034f9aa520532051659260df,0778d847419723544062aa677ea0fc159808d502,2013-12-30 16:31:16,merge
21092a617fdbdf9230f898520fc1019192fd2360,3ccfb01a4ebd111c3095941645e5a432ba8060b1,2013-11-05 20:40:07,merge
71c249324da4c0b659412172d0f647a124505aad,90f0d309074aa3914b3ce777c64591e4aa32f5dc,2013-09-12 10:59:55,merge
a95df27fb3676d514fb8fd3c04732936a4236333,90f0d309074aa3914b3ce777c64591e4aa32f5dc,2015-05-22 12:28:19,unknown
379476f42e50d2019487b5872df96c4f0fc2325f,90f0d309074aa3914b3ce777c64591e4aa32f5dc,,merge
5474b9a048dc0fc1087695f6141cd760fa481c61,b84e9672aab3370817df168dd36e8d1ce0f77efe,2013-08-20 04:15:07,merge
1485ea3e413f7d7ce56e3dea4fa44635c4a9d326,9accdf9cbabc3f90a5a3cb48b2d982e07a5b92a9,2013-07-19 12:45:08,merge
57b2739d033b2bcfc923045011f9b76e0e10dd8b,3d0bd6afdc8a36c5115b88dc5b1e7adf64fd1c9c,2013-07-08 12:36:45,merge
2f765a178a0711cdb708fb9aa28273999bab22f6,3d0bd6afdc8a36c5115b88dc5b1e7adf64fd1c9c,2013-07-29 16:58:58,merge
0035ecf953feb8a29ea769e38a7d085c4e25372d,cd0a4001d45c93a99ec0022a6f0d471763f1f090,2013-03-11 18:51:02,merge
d05999e077289a56f60573b971c1a9426639af3f,e8c99b4e91acd20580d1eb34aef038132e5b719e,2012-11-20 13:38:36,merge
c4aed79c013f7787aab70a7baafb5d50335df5c7,82bda3a525c60b7d39f865654ebc688bef38c43d,2012-09-19 16:16:46,merge
,7fb2b642d41e40f57251eefed7897464f99ebccb,2012-07-30 20:25:02,unknown
c521deb5918263efba87add9bf3a484654ab7a4f,91a3328701c1ebd9013979385b2c263856e1eaa7,2012-07-27 14:59:07,merge
774bf6e4da9eb9049f4059f191ad41021af3aa70,37df011735fec4bab0d2677f8ca53ca035e902d8,2012-07-20 11:37:12,merge
3329e1caca321ab3795d9b08444d5bc74babeb79,6cc9d533066a213691b3df1a236bdbcf371ed3ca,2012-07-18 11:06:57,merge
a214a6a519f0506a70daf932d7646ccffe10d8b5,d6275f180b125e32ca00e01dd0a118c9da7bb56e,2012-07-09 20:12:44,merge
792082872766f2dd0d7d7e1ed9f063d61047914f,c397fe6422d3d5d58135d5721844b071a53ff9e4,2012-06-27 15:18:40,merge
