merged_commit_sha,base_sha,date,merge_or_rebase
8679a3e92189e49b006cb419ec62a09845baeb1e,7484796d205c61349b138245d07d63e6b564d77b,2020-06-01 02:34:52,rebase
954b4278e5828cc997de2f7f00b741bae2887297,70ac221509ac29104631caed82790cb66b69b93e,,merge
bf0cc12062a982a7dc0c4f99136235246e0a54d2,ca0809dbd20a31f6fa9b84c7eed5ecaa1368cd9d,2020-02-15 16:14:25,merge
9aa42d16f9eccb640e886e9b78ff1995da5e4f09,ca0809dbd20a31f6fa9b84c7eed5ecaa1368cd9d,2020-05-31 16:06:06,rebase
5f1937630bc77c7f019e2fa60a65143a364d3f69,6642c11425a2d7432d968146025b6d9a96db5d64,,merge
19d2153a6907379a052c8e893c491ab0060e13d7,70ac221509ac29104631caed82790cb66b69b93e,,merge
26ab51d28133354bfaa94d064bff37d29b3c30e3,bf0cc12062a982a7dc0c4f99136235246e0a54d2,2020-02-23 20:29:34,rebase
f620300f9c7da59704a22bc266e36feee0494fd5,0684b8cb70fe01292d50d15c377fed6f29c9fcd1,2019-11-06 18:37:29,rebase
fc0691f3fabe988366f49ada51f1835da23ba1c6,0684b8cb70fe01292d50d15c377fed6f29c9fcd1,2019-11-06 18:36:32,rebase
b9aa7b958d86dd60c96b8e4cb17d0fd6ae3e914f,f7e0a259fa287174048e02e4bbb4b53045eab336,2019-11-06 18:30:42,rebase
ab1074bb49b44d8110fcacb48467db8a5aa538ed,faf1b865e08a26437d2d42e5b0e45f8dea2239bf,,merge
80b40c20607d9d2b324c8a5a8c390d0c89de600b,faf1b865e08a26437d2d42e5b0e45f8dea2239bf,2019-11-06 18:15:17,rebase
e5a9b5e2b1c3d916502ef3ef39c30070a5969eeb,faf1b865e08a26437d2d42e5b0e45f8dea2239bf,2019-07-26 16:35:44,rebase
6b814c472889ab84a06c59c1852f3f85ab2968de,7b632e1d5b904e9ba99f82a34270e43bb83fd6b4,,merge
798604bf6a92a7bbbd6c4a4cd5c370ba95ceb3c3,44ebcccc1dd9db5e1b8fe16bfde278c149909726,2019-06-26 19:33:15,merge
faf1b865e08a26437d2d42e5b0e45f8dea2239bf,44ebcccc1dd9db5e1b8fe16bfde278c149909726,2019-06-26 19:46:13,rebase
44ebcccc1dd9db5e1b8fe16bfde278c149909726,e1c2137774293ca88695e06819a1b74f775a1338,2019-06-18 20:18:06,rebase
9ca77109dfdd3969420ac3420ea24a00abdd6773,3b0f518843881f2766f76187d2e9cb8d7da994dd,2019-06-01 20:18:49,rebase
978911fa2ac589b59c4f11ba940dc934d2c1cfbb,3b0f518843881f2766f76187d2e9cb8d7da994dd,,merge
b3fb8be9be5b0aa2ae62035021531f2d82535c25,2f38ea6239c996454e923c13d250a9bb43908779,,merge
bff4a43fb7734b843b1c5ce11be74aceca9c2bb4,2c672d2ecef4aa4366493dbf19c3e4043f5ce450,2019-06-01 19:51:40,rebase
2c672d2ecef4aa4366493dbf19c3e4043f5ce450,3b0f518843881f2766f76187d2e9cb8d7da994dd,2019-06-01 19:31:42,merge
727a4b18906a090cba2fe29a62bc72f14d3ecbae,89667b4afb17b0535c64aab86fa0770451b076fe,2019-05-14 18:13:55,merge
