merged_commit_sha,base_sha,date,merge_or_rebase
426c0a7439ddadbc34bbc3a479aa3cce6c0ca53e,1f7410f14249d12f9e564b29ba7646c4f4fedd6d,,merge
cecb4dc90a5a5ead7de1e9f50a8a167edb0fbcaf,09d942f5984c00b821171014c9ff198dc20b53da,2020-07-25 13:12:57,rebase
d0cd548fb34f74641b4f20c13843b4a1a8979c56,09d942f5984c00b821171014c9ff198dc20b53da,2020-07-25 13:13:49,rebase
9d007b3c14e267e443d5f8da021c2dd77dd84eaa,07eb492b9cc2f08d500cbf6dd275df9626d7137f,2020-05-19 13:59:40,rebase
116f31acc3bd49cfb58d00508fe880ea890fac91,c5bbb265a4635601c30a7c296a390ddc8d3e26f7,2020-05-11 13:22:58,rebase
c5bbb265a4635601c30a7c296a390ddc8d3e26f7,ee5a763a8dd0d8df285fdd282715452002baf5ff,2020-04-26 14:57:28,rebase
1b20f89f759e1d3aa6c336fe00e120c33aeb5499,acac2ba55770fba092a9268b2082fad209fa3b98,2019-12-20 13:26:41,rebase
20e1e6f5f76e767250577e044b4ee3ee38f34a6f,d957a3b172c758e85d57c962b3bb6a25109309cc,2019-10-15 15:03:41,rebase
8f0a44c83361e3c611bd5c9d8a5b271b960b0e7f,acb4a0db1431ac511d2a12c92855b6566e144491,2019-10-09 12:18:17,rebase
4f122a529e4a85537c1990f12341c4fcce5a7540,128130823c547314235845aab3969467ee3f6274,,merge
b0cea3d66cde0e90589b033a98d400b56dae4186,10a444733608b79d47d6154c8db3b518fc5c9425,,merge
0be22b554476d43d35c77a8d8d19fee72f121217,c3b62978fcfad40c6bd9b8a00410ce2c038632c1,2019-06-21 08:10:19,rebase
e9213c3f8606b229f5e75155fa65fc0e2bac045a,73804e919749bc5c010dc8dc099dff68ce3431c7,2019-05-28 21:01:54,rebase
534184c40e31a17a7c4ec1a547143cbe032093e9,5bd3127d35a090c646fa689a2fda20912f78321c,2019-05-02 13:42:39,rebase
a36783d9468060ce9765b494223b000f23174d42,30219969078121845fa7a6ead21691eb586adbb8,2018-11-28 22:03:51,rebase
9fa9f6910b38230db52523db9b98528a8321eb92,6fd9711b37ae40e6e4ddbd73bc1a5345a3b70ac7,2018-11-25 20:47:34,rebase
5cd218175b703889c3fb03eaae5f97de842492e7,df20447ec87d7cf968d0ffda518530ddd277850f,2018-10-12 15:05:57,rebase
