merged_commit_sha,base_sha,date,merge_or_rebase
b9dd70c442bd57a74f2241ded0e8597bcb16ce36,83243b6a11e9b14a28eb97b2e44b56f0e9e3b493,2020-09-09 06:05:44,merge
83243b6a11e9b14a28eb97b2e44b56f0e9e3b493,21877e60184540d2334e59cd0d06fab334066c10,2020-09-07 09:37:26,merge
c64439018c1d2b2e340e85a119edb01ff7abce86,15a11c067f0601d3ba643d3a51f1593f30169d5e,2020-06-15 17:43:23,merge
bd6fcbcc488f42486369ee17636360e8c8628a24,15a11c067f0601d3ba643d3a51f1593f30169d5e,2020-06-15 17:28:35,merge
6fe3a6fa783a2d5333942d59ad37a20a72237f40,13404d9173b39097755830a924555cd3f3294753,2020-06-01 16:11:49,merge
13404d9173b39097755830a924555cd3f3294753,be7a2d2745841c6fa0b587cf46c022921ed20573,2020-05-30 01:53:23,merge
be7a2d2745841c6fa0b587cf46c022921ed20573,805ae7b280526da3f0d342d1bfaff7fa157c6ad4,2020-05-29 18:34:31,merge
805ae7b280526da3f0d342d1bfaff7fa157c6ad4,5952e9dcc9470a2823e5c26cf42ce9da0f12e993,2020-05-23 16:39:14,merge
b71e37e409a130293ae5099e6a3478412a0c9d9f,89b940ae624ddf1b67842c472da1c60c1f8117b7,2020-05-21 23:05:04,merge
73cd4374ba2e59590ac74db24b47a48754f7ffa9,89b940ae624ddf1b67842c472da1c60c1f8117b7,2020-05-21 23:07:16,merge
5952e9dcc9470a2823e5c26cf42ce9da0f12e993,cb7fc07350aef6bc08511beb1023a4f2d85040e7,2020-05-21 23:39:49,merge
89b940ae624ddf1b67842c472da1c60c1f8117b7,cb7fc07350aef6bc08511beb1023a4f2d85040e7,2020-05-16 22:52:52,merge
cb7fc07350aef6bc08511beb1023a4f2d85040e7,e3615597df37966932a63a3e23f56c5376c64abe,2020-03-30 19:22:53,merge
73a159ad787eb715430c300f6c5fbc84c4fd3142,6fe3a6fa783a2d5333942d59ad37a20a72237f40,2020-06-01 19:27:48,merge
f5ee114f0041aafebb55daf92fc94c4d52af790c,d40f588823fd5b021decd772a66362dd5864d87d,2020-01-16 14:46:11,merge
daf5de3d8694942a8edb3a79f9a87176b59a8f13,d40f588823fd5b021decd772a66362dd5864d87d,2020-01-16 14:52:27,merge
d40f588823fd5b021decd772a66362dd5864d87d,95458d69c5bbbadd027f1b6dd88def6cb341c7bf,2020-01-15 17:06:41,merge
39d8a499add6ec39fe48f9daa444d28c0ceb3004,645d80f4721977584d995afbc9975811d07d9974,2020-01-13 20:10:07,merge
95458d69c5bbbadd027f1b6dd88def6cb341c7bf,645d80f4721977584d995afbc9975811d07d9974,2020-01-13 22:48:47,merge
a2c3a6a4992f6da181252bb04fbab2b146386969,645d80f4721977584d995afbc9975811d07d9974,,merge
a80517f0448365e07a3163a654c0ff6c7099eced,645d80f4721977584d995afbc9975811d07d9974,,merge
aab4571c8531c38483fa66ee2a7c62430119111a,0279f85f3582f995a69ef5aec3efea1d765ad0f2,2019-12-17 15:13:51,merge
6e96ee4d02dba363716a98208a1f0250cb1ff34e,0279f85f3582f995a69ef5aec3efea1d765ad0f2,,merge
3bcdc2c990ef247a1e805470397567999f941cda,0279f85f3582f995a69ef5aec3efea1d765ad0f2,2019-12-17 15:05:09,merge
645d80f4721977584d995afbc9975811d07d9974,0279f85f3582f995a69ef5aec3efea1d765ad0f2,2019-12-20 06:43:01,merge
0279f85f3582f995a69ef5aec3efea1d765ad0f2,82bec830c7c67e652280aeb04138539bd1602044,2019-12-12 18:40:34,merge
82bec830c7c67e652280aeb04138539bd1602044,652c63f3dc68b8e775e82a2b80544296e07c54aa,2019-12-04 21:27:22,merge
652c63f3dc68b8e775e82a2b80544296e07c54aa,47681df08e7685966165c4f50ee0dbe73e883654,2019-12-02 16:40:24,merge
69f1557b5b19856f8976119cb4864d85d3f9b31d,5aa1f3041b1c2059cd84092561ba60d98796d5ca,2019-12-02 14:41:59,merge
d1001a195e42ada90e012667384467b5a7ab7a34,82bec830c7c67e652280aeb04138539bd1602044,,merge
3180f62910bd12a01e6897c7cb471ace14ade3de,5aa1f3041b1c2059cd84092561ba60d98796d5ca,2019-12-02 14:42:03,rebase
e54d9c8625200b8396f8348486ae3a7095ef8c03,5aa1f3041b1c2059cd84092561ba60d98796d5ca,,merge
6190a8c10cd2014df9acc8902ef54f00914b6826,5aa1f3041b1c2059cd84092561ba60d98796d5ca,,merge
5aa1f3041b1c2059cd84092561ba60d98796d5ca,609fc44f44a61638f5d1ec1bcf60d4701a3a212a,2019-11-19 19:31:52,merge
47681df08e7685966165c4f50ee0dbe73e883654,5aa1f3041b1c2059cd84092561ba60d98796d5ca,2019-12-02 14:59:13,merge
609fc44f44a61638f5d1ec1bcf60d4701a3a212a,3a9018f17b5a31d19307a7cd57bab795839fca28,2019-11-03 00:41:08,merge
3a9018f17b5a31d19307a7cd57bab795839fca28,2612507c2b94c9e431c4a854787d48dfb84a0f22,2019-11-02 20:49:25,merge
2612507c2b94c9e431c4a854787d48dfb84a0f22,5884a5ba0b48da80248b2858fbed33ba868c4baf,2019-10-31 00:15:50,merge
5884a5ba0b48da80248b2858fbed33ba868c4baf,71f57e8a9539aa81a5afd41e264c13e59fd04267,2019-10-25 04:42:57,merge
6820b4b027d5009fd9562ab34551c0262538f9d4,71f57e8a9539aa81a5afd41e264c13e59fd04267,,merge
71f57e8a9539aa81a5afd41e264c13e59fd04267,4aaabac73802537c71694af27a7347459a51731f,2019-10-22 13:39:04,merge
4aaabac73802537c71694af27a7347459a51731f,2fe64cd28e7e2851e56864b8525b31d8becc1639,2019-10-19 17:08:05,merge
2fe64cd28e7e2851e56864b8525b31d8becc1639,0a24b382cb6877d43578bb9a470079d74a5788d2,2019-10-17 20:23:58,merge
0448e6499ce705ed9ceb130bf28cb4a4d9ab64dd,0a24b382cb6877d43578bb9a470079d74a5788d2,2019-10-17 16:59:59,merge
0a24b382cb6877d43578bb9a470079d74a5788d2,95974692d14eb85dd52c1bdc795a7e221f6a42bb,2019-10-15 20:59:51,merge
95974692d14eb85dd52c1bdc795a7e221f6a42bb,af0d00ddec3d932cdce039a845c1647220a08528,2019-10-12 23:28:36,merge
af0d00ddec3d932cdce039a845c1647220a08528,26e29fe36ed3df1db5c47694c8443f016e2ac8cb,2019-10-04 16:06:56,merge
c5918fa571f8806ecdd1f7480b5793bb77ba7ad2,953e0d74d18f0d8043d230fb0ca0c9b8b9675a46,2019-09-18 15:09:33,merge
26e29fe36ed3df1db5c47694c8443f016e2ac8cb,fb7a70737b20a55ae47c0d242e8f512a714a5388,2019-09-18 17:42:26,merge
953e0d74d18f0d8043d230fb0ca0c9b8b9675a46,fb7a70737b20a55ae47c0d242e8f512a714a5388,2019-09-17 19:01:43,merge
f5cfa7a049b2334ccc0916621f72bb744a780d6c,d5061dccb956bcec05bc6e78e02bbc5003e140d3,2019-08-21 21:47:39,merge
fb7a70737b20a55ae47c0d242e8f512a714a5388,d5061dccb956bcec05bc6e78e02bbc5003e140d3,2019-08-27 14:36:28,merge
d5061dccb956bcec05bc6e78e02bbc5003e140d3,9a7485aa1f458b47d839ca74695ff3f600e56d9c,2019-08-21 17:58:09,merge
2b36f110d55feff862126e74b055a92fe5cec9ee,e4171bf638c3102c05303797c34db9adfa4fcc74,2019-08-07 16:47:02,merge
e4171bf638c3102c05303797c34db9adfa4fcc74,df0d1502a90ad3a8609b905806545c37e6250747,2019-08-04 19:27:16,merge
e411be4eec0583f87d4808b8f3a2387f95109086,09fff6c9a9f0d6fe62c9716e13565ef890cbdd2a,2019-08-02 15:44:49,merge
ae5227dce9340da52ae1505707acefc78edc2793,66ab0383061c32ac13817f3214db7cc7ea4918c1,2019-07-31 14:22:24,merge
de268c9870954db3faa3a9283e5870ca7e6847a7,a85482febf00f4c44351ca913c554f0e4fc9a8f4,2019-07-30 15:16:41,merge
527ab209933f9f57e8ccb6401521423faf4e228a,402fb331d6929c176fbeb05be07b63347c527249,2019-07-29 14:04:09,merge
aa82382c44caadff056c3004c5733acc26023592,402fb331d6929c176fbeb05be07b63347c527249,2019-07-29 14:08:49,merge
999b17ad7b7be67d346663dad2b39345c30b447d,075d9c651c8aaec6cd604ac9c02ae52a4474153f,2019-07-26 05:14:42,merge
951c2df21ff269c9cdbe4e9f87942ef3676d9cb6,92e1d438cde0486b42f90dc1f9cc7ec5a5b25b0c,2019-07-24 16:17:42,merge
