merged_commit_sha,base_sha,date,merge_or_rebase
9276eaa6a0aaea41d280ff01abeed56214f782df,3b7eb04945c7551e30115e760a9d8146e3dee736,2019-12-24 20:18:26,rebase
849c90fcf8e25f927727e486af9be2a200448ba9,49e8a84ba9719e94de58d3d75ab8bb6eddf4183b,,merge
7921294f9381a8192fbfc006ced42db8d0737935,f08b5b3c8b9e9ff152277f5dfab42ef7ac22e768,2018-06-08 16:26:27,rebase
cdbe83f7bde6b92d361962aa7fcc815559ebe0f0,a30c63087987c221862219695d667004d4f12184,2017-06-27 20:52:13,rebase
495c40690f1a9fbf4abe813d615abd446ac1d95e,75ffc895d0483fccb60a45d2bdcbaf4c78604496,2016-08-07 21:12:31,rebase
da8e0194da6e812ac24a4420ff1e80c171854412,75ffc895d0483fccb60a45d2bdcbaf4c78604496,,merge
58f9a239dcebc270e5de37b339d1d5f7be6b8e8e,239842325bacde7870acfc6e304872fd1b6e02ec,2016-05-04 15:13:27,rebase
6ff05add57237a4233ed101fa271b74067f951bc,afc30d08130f6c154844d31e2433fd3052eca586,2016-03-31 19:12:40,rebase
993c0d477e081cf507cacd965d0dde16c4ac7438,203d47c9f109401fa8045a1a3f079e63678b1f14,2016-03-10 18:41:08,merge
5adb2b2f99f54825a8f071872306b3c74760f018,203d47c9f109401fa8045a1a3f079e63678b1f14,,merge
36781d88d92e9ef61ad80be3a804a3996c89ac27,71fc65c4148f1aa25fdf9a5fc166e51f91865ec9,,merge
ab474aba57976f7515461eaee5e595ad1b072ab5,71fc65c4148f1aa25fdf9a5fc166e51f91865ec9,2016-02-05 17:53:08,unknown
9e7cedce3584153595daf020b764a0cdab934b38,71fc65c4148f1aa25fdf9a5fc166e51f91865ec9,,merge
1bd962c243ae729d5f67e2b70899acacbc438f3e,71fc65c4148f1aa25fdf9a5fc166e51f91865ec9,2016-02-05 17:46:16,unknown
e7b3b77bfc1228e87b55f81d7a2e8ab95b338858,71fc65c4148f1aa25fdf9a5fc166e51f91865ec9,2016-02-05 17:37:11,merge
8a25caa05387b59ad3e0dcbbf0041e2a4caf15ba,88974950355ead8990a54a422f20c90dc5bbc04c,,merge
155bfd8ea0b2b8ac67dacdda257eda6293a73d1f,9cedfeea7337bb244021a5cf1b320bf3318d894f,2015-09-03 03:01:04,merge
dcc3cc8a4d8966a4f3cb1f4b676d949bd51dc838,9cedfeea7337bb244021a5cf1b320bf3318d894f,2015-09-03 03:13:26,merge
c5237264cb39112613233737486d82c8da45572d,56817d607b12efaa367cffb8b98ac359021a5035,2015-08-11 20:42:20,unknown
c2729c6df06520530c179737940a5b4ea28e4dea,6ec1d24b9599aa6157b11ba06cc0d8d6e4dc863e,2015-07-23 18:59:49,unknown
eb8e8afb024196d89bd28fb7b4bdaaed69442065,6ec1d24b9599aa6157b11ba06cc0d8d6e4dc863e,2015-07-23 19:23:58,unknown
a7feeb9b54d32b34b53a2cd36c08640d715e14ba,6ec1d24b9599aa6157b11ba06cc0d8d6e4dc863e,2015-07-23 19:14:29,unknown
ac5d4e859cf3aaf59309b5f56053a10f0c53a50d,a64564e9383964667e8d844b9ea2febccbeb9278,2015-07-15 20:15:12,unknown
586d0910f9f7f0a404e73c43130347a539f4e4d9,f004cf5fc460032e70eea25777f6e8cfd1a55cd4,2015-07-13 18:06:11,unknown
08cd0b5d64775eaeed1f3221f4d6e47d7d11e6bf,a2b5f8a9eea048a4df4bc6f992b948c9e27a51e7,2015-06-16 15:24:29,unknown
5cd798bfb89e9cdbcafd25a8513b24acab7e1b5e,a2b5f8a9eea048a4df4bc6f992b948c9e27a51e7,2015-06-20 22:14:07,unknown
5852f04471a99ad1f5f26b882941fa4311c30aca,a2b5f8a9eea048a4df4bc6f992b948c9e27a51e7,2015-06-20 22:02:32,merge
60565663aa8c27f87c67e84efdc94a3dff050ea7,c9d6561a4c58d1fcd90330035ca25f20eb6bdb20,2015-03-08 02:31:37,unknown
fd4daf0be868a1df17d2db27ad97fa2c9f3f0def,dd643ae32fa98457191aca9cf5c81bc1d810ee38,,merge
52877f842cdf0697553301cf7d9951a5255febe8,14bb7ede69ccf43cfdd31ab608243125d845371e,,merge
128df4743a5391657da2a47d41c2d7c53ee6749c,b56b0ebd3cc22423e7dcb1a76cd6a0fc6d33415f,2015-01-02 17:10:35,unknown
9065ce4707a6e7f81373d2ee7f59d7e2c66b0357,1c3819718e19ad88fe5f4ab8eb7af02dc7183c20,,merge
b8708744dce7ae948aedd9b888fe7888f5c9f7c0,1c3819718e19ad88fe5f4ab8eb7af02dc7183c20,2015-01-04 20:40:18,unknown
c021b7a0ab9733f30976c83dc241bf9fe0c1a4cf,1c3819718e19ad88fe5f4ab8eb7af02dc7183c20,2015-01-04 20:38:53,unknown
24132e70536d7c18083d74be37ff722319eab253,8cfc806556ba4ef99816e7091cf9e5c0c43b84ef,,merge
a609026f80b50d841fce93b08842ddfbb211e27a,d72f8bccbb1d0ddd727f5840fc37ad7ed3a1aeca,2014-10-10 18:16:08,unknown
7fa0c22ae610c609ed0f74109812aae776666fdd,d72f8bccbb1d0ddd727f5840fc37ad7ed3a1aeca,2014-10-09 22:00:13,merge
495d22b6a2805d27c2d5184531f82580905ed92a,d72f8bccbb1d0ddd727f5840fc37ad7ed3a1aeca,,merge
e6011bcaf61a420806fb576b51b4ab5f4b23eb20,3be6603c872bb93b66242344a5468450f26e1732,,merge
c429d43ebc5d6053abbdb3927747f13ed19d996a,43647582068cc57d5b87d248b0b5643f163c3ee4,,merge
