merged_commit_sha,base_sha,date,merge_or_rebase
d80f4b17768b60e3de6c95f76bb44e463c98fa33,bb621c459981fe6af5f9b4f1f50f726297de8646,2020-08-26 16:33:06,rebase
316b00db3751896af259b68520ad16db5da01611,dfc3cd4ace82988a70d8ae7875283ddb1b3db839,2020-05-03 16:18:22,rebase
dfc3cd4ace82988a70d8ae7875283ddb1b3db839,378043f284a6af65aebdd03d2f7babed89d2e2f4,2020-05-03 15:35:39,rebase
378043f284a6af65aebdd03d2f7babed89d2e2f4,2dd7eea1be3435b1530aaacfd79dd4da32f69c6e,2020-04-23 09:54:22,merge
4ab9dbcd00246d95b53d9f9fe3b7530129fbef5e,2dd7eea1be3435b1530aaacfd79dd4da32f69c6e,,merge
2dd7eea1be3435b1530aaacfd79dd4da32f69c6e,33013e2db3f716b7552da4ad6a7127583f191985,2019-12-09 16:34:45,merge
5c69d15b88fdefd15cd2bde15bbfc219a38e716e,2cb19fd25096ceedaaa9a05e7f8cc42eb760180e,2019-11-12 13:25:02,rebase
ad68e4df1cc2aaaa03cb2357c98434cc281248ab,2cb19fd25096ceedaaa9a05e7f8cc42eb760180e,2019-11-12 13:25:22,rebase
b23ff5b456256e56df7ceb088da341e530f6942c,78df8feb91d8d2557b808494bef24eec91a274d3,2019-12-01 14:40:11,merge
2cb19fd25096ceedaaa9a05e7f8cc42eb760180e,5219e25db42f17f3a01e3a376670577bedf7a4d0,2019-10-19 01:53:30,rebase
5219e25db42f17f3a01e3a376670577bedf7a4d0,4d72a9fac456d01113f25546c08b5c0fc973d22d,2019-10-19 01:16:01,rebase
78df8feb91d8d2557b808494bef24eec91a274d3,eac970285acb4d1bf32b944c3cd95b88b2d3b760,2019-09-08 23:31:48,rebase
599082bf9dc128f7f17e147be1f1e67b20533ff8,8283c9b33ebd20de4489ece5209914132befaf42,2019-09-08 23:16:33,rebase
8283c9b33ebd20de4489ece5209914132befaf42,2575d710b20850e1abb0b8b791a0e7b08366ba0e,2019-09-08 22:47:57,rebase
2575d710b20850e1abb0b8b791a0e7b08366ba0e,13f6a8ec17febf3c859eaaf7f7f8ab951a16a60d,2019-09-01 12:31:43,rebase
13f6a8ec17febf3c859eaaf7f7f8ab951a16a60d,cb137e8e66127b06e9201277b01c86e33895ca2d,2019-09-01 01:42:25,rebase
f693cafd60b156a4a7eb33de95e2faa821381be8,ca8a4a3021907aab3ce565fc6a22307093fa14ee,2019-08-24 01:20:27,rebase
cb137e8e66127b06e9201277b01c86e33895ca2d,ca8a4a3021907aab3ce565fc6a22307093fa14ee,2019-08-25 17:06:34,rebase
ca8a4a3021907aab3ce565fc6a22307093fa14ee,df309bbe62a0599517cc9e09e7f00e5438e05f58,2019-08-06 21:59:14,rebase
df309bbe62a0599517cc9e09e7f00e5438e05f58,46ea108316dc405665fe2e47a261731f6b2573fa,2019-06-09 22:20:03,rebase
46ea108316dc405665fe2e47a261731f6b2573fa,cba3b17822a0acc001e1d008df084f9ffd501db8,2019-04-26 09:15:49,rebase
cba3b17822a0acc001e1d008df084f9ffd501db8,9072edb22ec4dd7c3b4eb81c0ad7431133f2396b,2019-04-19 23:02:39,rebase
9072edb22ec4dd7c3b4eb81c0ad7431133f2396b,4698da0c0dbdc3b77526400a8a1e0f3ce2d4ba88,2019-04-02 22:16:29,rebase
4698da0c0dbdc3b77526400a8a1e0f3ce2d4ba88,af1028982f00045663b29ffe66bd12653d5e2ab7,2018-11-21 00:27:10,rebase
a68901cf22471b621e70d69a7ef8693a10469173,8dd0b88bab4ed8b4ae79da548ad1e852282bf74b,2018-11-20 23:56:13,merge
af1028982f00045663b29ffe66bd12653d5e2ab7,f4e703b73de9f7d2b5146eaf6bbb1f5e9d5d7cd7,2018-11-19 09:16:05,rebase
f4e703b73de9f7d2b5146eaf6bbb1f5e9d5d7cd7,3fceb1062342141eb3efee4bfe5c84b3ba61d9b5,2018-11-15 02:07:55,rebase
3fceb1062342141eb3efee4bfe5c84b3ba61d9b5,948b74709075e6e477594c77e6bed952ea45ebfc,2018-11-04 18:06:02,rebase
33c86f8c814df3cf81dee2889159f01a2ea2efdf,79fb1eca7be6bc1cd1d12934332ab4e069a84856,,merge
948b74709075e6e477594c77e6bed952ea45ebfc,57e58879a222f748a6f03413c50e77c32d96e1e1,2018-11-03 15:01:02,rebase
