merged_commit_sha,base_sha,date,merge_or_rebase
0e3c334cf1270577c07b771e4cbb223b5e7caadc,4d1c2483ceb459ea4284db4eb06646d5715e7154,,merge
245e5f684a6929b8765780f5f076decb5f0774af,4d1c2483ceb459ea4284db4eb06646d5715e7154,,merge
69df234b5195953a8f29c41fefc898b63d25fdc6,4d1c2483ceb459ea4284db4eb06646d5715e7154,,merge
7eb0fdc2e8eea5f68f0bc553459b1a69767cc802,4d1c2483ceb459ea4284db4eb06646d5715e7154,,merge
4d1c2483ceb459ea4284db4eb06646d5715e7154,dfd71258fe30a00d5b1f8d9caf5cd67a4269924f,2019-06-27 23:02:56,rebase
b3301ecf92d04a7925abf68267ab4a7dfee6ed34,8f4205d527fc9fb2bed8f95861635a60a41a2758,,merge
7de8ffd8286b1e101af5398fd82d549532a2aeb8,de5d8f2c973890187ba23c6f7e7547e99b602fac,2019-01-22 11:58:25,rebase
e5d61d91397791e7eaaa435e55ea80341858a721,de5d8f2c973890187ba23c6f7e7547e99b602fac,,merge
0805f9b01022f5318b926ea1dcfedb755d937e2c,ca4568fc163a71691cddeb7f82816e8ad5000ca2,2019-01-03 10:01:55,rebase
ae05c5bf9cd053083f9654cef6786a6b63473068,99a86fab88ede56a7ae0bd3e70249425caf5ad05,,merge
66dc4d25921501a6737e1f6b5a0f68d8b89f9264,99a86fab88ede56a7ae0bd3e70249425caf5ad05,2018-08-31 00:46:41,rebase
7fe982ceb8bba2462fbda30e40c218bbf4b083e1,99a86fab88ede56a7ae0bd3e70249425caf5ad05,2018-09-13 00:28:26,merge
df26d45b53f8e9e247f39bb5952e8c6ac88331a8,99a86fab88ede56a7ae0bd3e70249425caf5ad05,2018-10-26 23:28:38,rebase
f55ffa9250f3856c5b542f074b45cd56c5d2db82,0805f9b01022f5318b926ea1dcfedb755d937e2c,2019-01-13 01:38:50,rebase
cf301b0dec849aee6157144012d3f542ceffb4bb,99a86fab88ede56a7ae0bd3e70249425caf5ad05,,merge
58d487b14bd16a820532aed9dfe7246b480a8a6e,99a86fab88ede56a7ae0bd3e70249425caf5ad05,,merge
d4b4d46a59127757cbeec5461566fce931154d9a,a949a0447a187781d64faafc7422ab5f8874bb2a,,merge
598824d170191013d20755d1f71d58796473607b,a949a0447a187781d64faafc7422ab5f8874bb2a,2018-08-31 00:35:06,merge
d3dd8186ffee0ff41b85f343bd5d0a4c7f8b0215,a949a0447a187781d64faafc7422ab5f8874bb2a,2018-09-13 00:41:48,merge
bc9f34dd745396739a56f56879230ae852a23192,d4c9931ddfe5e240330fafb6273c7b099dadd2e1,2019-01-13 14:14:37,rebase
79282fd9db06d54498f7ed47b3697003b8a1a651,a949a0447a187781d64faafc7422ab5f8874bb2a,,merge
236b992bbf91ea31a268584f9741a5b41529429a,a949a0447a187781d64faafc7422ab5f8874bb2a,2018-09-05 00:06:30,merge
a949a0447a187781d64faafc7422ab5f8874bb2a,bbc47644ec5dda669d6f84fc0170f1793321aaa2,2018-03-05 15:42:54,merge
c07630b943d7a440e09513b643a7950c6d26ed5c,bbc47644ec5dda669d6f84fc0170f1793321aaa2,2018-08-22 23:12:00,merge
ba6db3a4be631130d4eb4a8e8b6513f4c0f4d363,7c4a62d3b4327ea1e943fd4095b8c575d29191e2,2018-02-23 10:41:23,merge
70d0ed52af41c5ce9ea38dbe6370927fe5468dfb,7c4a62d3b4327ea1e943fd4095b8c575d29191e2,2018-02-25 20:44:10,rebase
ce98cb0f69b0cb6946f2705011785c5dcb952040,7c4a62d3b4327ea1e943fd4095b8c575d29191e2,2018-02-28 15:38:22,merge
7c4a62d3b4327ea1e943fd4095b8c575d29191e2,dfbdfc99c27c186f78b0d7c62329c5cfa6619fe0,2018-02-22 15:56:23,rebase
59d8ab0a9e8d5e1e5cd7c9eb1ba5bb621d532903,2bc44069c1f3c83c866464b60345a333eacee598,2018-02-22 10:49:34,rebase
cfa388a4da3f694d07fbd1095012d484d1952217,2bc44069c1f3c83c866464b60345a333eacee598,,merge
cfd57cfb5118fc12e39a0998e0da320c5996edcf,2bc44069c1f3c83c866464b60345a333eacee598,2018-02-22 10:38:06,rebase
2bc44069c1f3c83c866464b60345a333eacee598,d882b1c3b1c1f6aa025d4fcd3e876c98da3741cb,2018-02-17 20:24:18,merge
b709ed41c1cad241de64688ac52966f54443f640,7883f576dfb1dc5b835b707ce7d23b95a125985f,2018-02-15 12:26:08,merge
8f4205d527fc9fb2bed8f95861635a60a41a2758,0f9f2db2037d9d8cfeec96e27dba837f36a40c23,2019-01-26 22:53:22,rebase
03128c6f9de2c8a982e5e3d7bbb8f414d808d5dc,9414be506d9307f1ac6b7ecba9787d78bfa5117e,2018-02-14 11:45:34,merge
6ab22bdc48a2a70b6d993501137905ec37188e95,7883f576dfb1dc5b835b707ce7d23b95a125985f,2018-02-15 14:27:00,rebase
bbc47644ec5dda669d6f84fc0170f1793321aaa2,ba6db3a4be631130d4eb4a8e8b6513f4c0f4d363,2018-02-28 20:32:25,rebase
e25675dee989a2e15b81da6c0e215d22bacff86a,ce98cb0f69b0cb6946f2705011785c5dcb952040,2018-10-10 08:12:39,rebase
78de448aaedd3a2f32be28d2cb44a8979cc25621,d975e85c14c8c4bb22643badfe95742aca30f894,2018-02-09 23:20:22,rebase
