merged_commit_sha,base_sha,date,merge_or_rebase
5d4c5e41e17f60972c762eb970fae52ede3fd602,9e7d2e11af7a09c730819e26f63740c41aee725f,2020-09-06 21:05:51,rebase
d3cbe98eb72ec68bdd8c8630034b50166e8da4f8,7198552c60fd9cb3e59010298b6871a311908a38,2020-09-06 15:54:17,rebase
bc7db99207a1ade56e1e69f6325127d76ae2e0db,53d8ee6c6bb8fc5a59490f541bc80fa185bc0b64,2020-09-06 08:54:16,merge
32aa5c4ebfe11e880309ba955f2a74067a108de3,8539c3baf6a901f5272666d7305cb1234cbb27f3,2020-09-05 12:18:13,rebase
7198552c60fd9cb3e59010298b6871a311908a38,24d8c3c43c8fc2caead3b8b742964061af25a321,2020-09-06 09:20:00,rebase
46b8417d43828347afae5f5b0fe848cac285720d,24d8c3c43c8fc2caead3b8b742964061af25a321,2020-09-04 18:54:22,rebase
398a4ca6a9fa95d731f1a116cef57033a2e66e64,1fc7cd427a021ff6f02e1d698d711362adc99cac,2020-09-05 15:00:14,rebase
9e7d2e11af7a09c730819e26f63740c41aee725f,7198552c60fd9cb3e59010298b6871a311908a38,2020-09-06 13:09:07,rebase
121e3d83e03d22d61f5d4effe2dc38cfa00a9e1d,32aa5c4ebfe11e880309ba955f2a74067a108de3,2020-09-05 16:13:16,rebase
2b58d87e825af243ede0f18075bb7ce5bfa09232,defe01d8b9c22158e4055d888f21e4a2deffd964,2020-09-02 09:47:09,merge
d33d7069ebce8f447e038234e0a2d27f1668e5c8,73e49bb28242819debb7d693c63571ba2bb5df87,2020-08-31 00:13:13,rebase
73e49bb28242819debb7d693c63571ba2bb5df87,145987adc06703aa1a9c9ff3d3b94c5cb3056bf9,2020-08-30 23:06:07,rebase
3f73f3ba3399b2eccbe70a1c5b3117d1ca28f419,145987adc06703aa1a9c9ff3d3b94c5cb3056bf9,2020-08-31 15:08:52,rebase
6d6943319dee268a2df58eed294cb36762f900c8,145987adc06703aa1a9c9ff3d3b94c5cb3056bf9,,merge
53d8ee6c6bb8fc5a59490f541bc80fa185bc0b64,145987adc06703aa1a9c9ff3d3b94c5cb3056bf9,2020-09-05 18:32:02,rebase
145987adc06703aa1a9c9ff3d3b94c5cb3056bf9,c8ae28b04a13fc3f4e40b2d65a8ee6c216bbcb30,2020-08-30 19:36:57,merge
4520a5fa8e18074e6a49faf6e6c4610bbab6d5b5,c8ae28b04a13fc3f4e40b2d65a8ee6c216bbcb30,2020-08-30 19:21:41,merge
8b8eabcc9d2b678a8b27ce17024d25a08563a944,65e2142df438adf7234eeb1c35fc249eece9904d,,merge
65e2142df438adf7234eeb1c35fc249eece9904d,90d903a1c0f879da71d7fb3edbb6f8157031a7e6,2020-08-28 00:55:27,rebase
ae821c0c5c75606c9bcb8e307b1a1dfd59f2ffb8,bfc116ac1eb5a95e041f8b47d12c4880b366bc8e,2020-08-27 22:02:43,merge
63bc32603a60d005fc012879adf3983630485c67,bfc116ac1eb5a95e041f8b47d12c4880b366bc8e,2020-08-27 21:59:28,merge
05ba72dfbbacd4e9cd14354ca2c2334e46fdc7d3,99f60acb427b2bde65afafe1b81a634214d7bca0,2020-08-22 17:17:26,rebase
99f60acb427b2bde65afafe1b81a634214d7bca0,f30ba6ef64beea41145d9dbf991329d081b3e536,2020-08-21 17:21:53,merge
defe01d8b9c22158e4055d888f21e4a2deffd964,593409837536863f5a0d044f795276c3f43820a2,2020-09-01 05:07:35,merge
2917985b0774eaba19a1b5b61a72267059ac6f6c,7f74547f8a2fbdc66c9cb2d9f526d58b230f0b21,2020-08-27 12:47:15,rebase
742cc739b4d518180873f3db7d0ffab9f8f30c37,7f74547f8a2fbdc66c9cb2d9f526d58b230f0b21,2020-08-22 17:39:02,merge
