merged_commit_sha,base_sha,date,merge_or_rebase
d928ca68fe7659e6cf45fa62426038246340d89b,c162d15bd73e7893d95cc33ea590ada8e7aa4168,2020-08-21 11:08:24,merge
6b979493af4a233db59f2b18597bbf07d0935112,dbea07742a9547b69bf56828c119367eb70121d9,2020-06-24 11:09:48,merge
f1d82ee525ac45e3c8fe4ab3f507797026c0ea9e,323181e8e8c56d47f75df3da22dad56d63f08188,2020-04-30 08:16:15,merge
068075a08bd24fb6c96128765f2ed3a331526739,5807a7e6d2345edf211f8361c7d9650d6701ee66,2020-04-09 08:20:38,merge
0e861272eec03639d19a896428a76003df1dd781,5807a7e6d2345edf211f8361c7d9650d6701ee66,,merge
dbea07742a9547b69bf56828c119367eb70121d9,323181e8e8c56d47f75df3da22dad56d63f08188,2020-05-27 07:54:31,merge
323181e8e8c56d47f75df3da22dad56d63f08188,5807a7e6d2345edf211f8361c7d9650d6701ee66,2020-04-09 11:05:33,merge
5d7dee5ce0296895c4373d98768a9a06be6cd6ac,068075a08bd24fb6c96128765f2ed3a331526739,2020-04-09 08:52:12,merge
495027224862e6865094569143fd5d8989ffdba1,19be2c46ed3bb21fafb1b5441d9f5327c9239a81,2020-04-03 09:23:52,merge
5807a7e6d2345edf211f8361c7d9650d6701ee66,654ff2fe12041e09707ba0647307abcb6348a7fb,2020-04-03 08:38:54,merge
654ff2fe12041e09707ba0647307abcb6348a7fb,683ae666ddce0d7183083b834162d81e91b03761,2020-03-09 17:34:22,merge
a2ac86c055ee5576b8b4d7f1ae7df261865b513a,683ae666ddce0d7183083b834162d81e91b03761,,merge
44ca6db9fde32c348baf892bf7ad71ecd2da1d68,19be2c46ed3bb21fafb1b5441d9f5327c9239a81,,merge
674b8ac6ac88dc0c9f0aac7eb21ec5ed1b707070,8824f54a5574e102ea9a961ebb5f6bac3716825a,2019-12-10 21:12:43,merge
9318fa56af517fb8ef3c611793dc1c17f819b428,f1958fbfa9d55ece563b06d22cb0e8201afdd183,2019-12-10 20:35:09,merge
683ae666ddce0d7183083b834162d81e91b03761,051ba316fc6ef88f191c21d8a3d4714082160bdc,2019-12-10 21:39:05,merge
5f37c4e5f704a6b8d847155e02770458b9274dfd,30e06a9ca93f2c2188e2bbd56eacc1b55a1dc6ce,,merge
30e06a9ca93f2c2188e2bbd56eacc1b55a1dc6ce,0fabffbd25bc88186c4f9e351204a1a9fb7af407,2019-11-21 04:24:08,merge
8824f54a5574e102ea9a961ebb5f6bac3716825a,2f39e3221c55409e007f12f4b86587a2d1e96352,2019-08-15 11:29:36,merge
3de6a0a76270ff57b36f563068c0a969c5ec3f13,fbf2b4bb47ff55f5168d98cf1c3262386728f5f5,2019-08-16 12:51:43,merge
fbf2b4bb47ff55f5168d98cf1c3262386728f5f5,555c7a33f8f252932df67f9fa93ae9ea64b3e02c,2019-08-13 19:02:58,merge
f1958fbfa9d55ece563b06d22cb0e8201afdd183,c927ba8307beb1fb02723f4af29fc80786d6abcc,2019-08-13 19:14:54,merge
2f39e3221c55409e007f12f4b86587a2d1e96352,663bcc07d1b57a8395b27d8724a4c2b05fa94e80,2019-08-13 17:40:08,merge
dc6643a76459f672e49d13ba6f9226c45a03bf60,555c7a33f8f252932df67f9fa93ae9ea64b3e02c,2020-06-24 10:48:51,merge
2b38d43dffe65ede4f450d5fbc357406bcdd40eb,555c7a33f8f252932df67f9fa93ae9ea64b3e02c,,merge
0fabffbd25bc88186c4f9e351204a1a9fb7af407,555c7a33f8f252932df67f9fa93ae9ea64b3e02c,2019-11-18 13:15:44,merge
555c7a33f8f252932df67f9fa93ae9ea64b3e02c,0f660b695541e8c946b6dc3a0c4012fce8676605,2019-07-29 14:42:07,merge
663bcc07d1b57a8395b27d8724a4c2b05fa94e80,ab0b2d613e2f63444cffe8fd2679b482759b9905,2019-06-18 12:18:16,merge
0f660b695541e8c946b6dc3a0c4012fce8676605,f26ed3e2fe39204768c4a02a25d910bd62871c3c,2019-06-17 16:29:59,merge
f26ed3e2fe39204768c4a02a25d910bd62871c3c,33873e5df2bd38501814182ff79609ed4bd88012,2019-05-28 17:44:51,merge
c162d15bd73e7893d95cc33ea590ada8e7aa4168,6b979493af4a233db59f2b18597bbf07d0935112,2020-07-31 14:07:15,merge
051ba316fc6ef88f191c21d8a3d4714082160bdc,33873e5df2bd38501814182ff79609ed4bd88012,2019-12-06 00:04:57,merge
33873e5df2bd38501814182ff79609ed4bd88012,551a0fb0cbb25f5a00bcd18fd0939a46db64760b,2019-04-09 07:39:59,merge
551a0fb0cbb25f5a00bcd18fd0939a46db64760b,35102c0ca10ab87c4c4ffe2e25221d26993c069c,2019-03-20 11:17:07,merge
35102c0ca10ab87c4c4ffe2e25221d26993c069c,2e2e1eaac693b0c335c7f658f6c7d89d886bc6bc,2019-03-13 10:42:04,merge
