merged_commit_sha,base_sha,date,merge_or_rebase
d9a4a3fccfb3c0bbdbacc876267b7bdc846588b6,7b0dc0e0097c77cf0a487ea09caa4d7636f64be2,2020-09-14 13:26:39,rebase
da489be6dabb177d68fe82757b185736aea10509,7b0dc0e0097c77cf0a487ea09caa4d7636f64be2,2020-09-14 17:52:50,rebase
a6738bd306180b4e2e668c90c1d7d5d6c0578906,d9a4a3fccfb3c0bbdbacc876267b7bdc846588b6,2020-09-14 13:42:43,rebase
75815267c3c535a43bbdfff48a0a4e0618454d8d,7b0dc0e0097c77cf0a487ea09caa4d7636f64be2,,merge
ec29cc5a0b88de79803c98b2a5e3bfaf4124355f,be252d3f34f0d6e77982b6eaf3b7ddc0b8bc867e,2020-09-07 13:03:17,rebase
7b0dc0e0097c77cf0a487ea09caa4d7636f64be2,fa11b3f4bef8368f1fe020596035ed1f3dd6f959,2020-09-07 14:24:06,rebase
2da7dd3574ea2d73eea1523d35a4ff92417f22fe,42960e3975c800c71f634b6d6d9949dab64813f3,,merge
a1b43e0b1924faa928b0ba7e66af4a611274cd55,ce4c8d266b09df0d752cd1276c7cbd835990e86e,,merge
9174f7508abdbb1ad01ca510a2dedda091305aae,ce4c8d266b09df0d752cd1276c7cbd835990e86e,,merge
ae37b00ba5aa8765a094a842cd27c1fd806646ff,ce4c8d266b09df0d752cd1276c7cbd835990e86e,,merge
ce4c8d266b09df0d752cd1276c7cbd835990e86e,2c73f2756e13c3c4bb84ea1aa4375f693fe3e538,2020-08-20 22:57:03,rebase
835b3fc7136e9ef4da8db58ddf5bcfa257c70d18,6294c9938b844794d6ad4172a8111657d101b269,2020-09-07 13:38:23,rebase
6347298f877b6f0bfcb2d3d8a9a678fd8454b3fa,2c73f2756e13c3c4bb84ea1aa4375f693fe3e538,2020-08-27 15:51:34,rebase
ae27fc0ef7b6e9c08ecbb9246b43b5ce13fdd6de,6294c9938b844794d6ad4172a8111657d101b269,2020-09-07 14:18:16,rebase
32b6bd8ef714a6366deca0afe5dbb1ee3bcde551,6294c9938b844794d6ad4172a8111657d101b269,,merge
e82f07569d7014d2cdf51ff0cc42dbf93193024f,6294c9938b844794d6ad4172a8111657d101b269,,merge
e7d40893bf900ffd6cc20598061b3e1d62edcbc2,31314e2968fb8c6755a6b94da54f540b700fc07e,2020-07-12 20:02:34,rebase
036bc5cfc374ba74f7820461dafc95817bf7c78a,60f631c77461a3b0bc6de8c89869748ed41b4e9e,,merge
be252d3f34f0d6e77982b6eaf3b7ddc0b8bc867e,e35c773949640b432e974c346779571688e411e7,2020-09-03 13:29:42,rebase
58db80a736ce54a85f85e58f8f1b25c4289e8a1d,9c02b9c4e4cec6fa3035209dba8859425dfc4049,2020-09-03 13:12:29,rebase
875575be045c88a936eaf0116f2eba50cb5e32d1,9c02b9c4e4cec6fa3035209dba8859425dfc4049,2020-06-21 11:21:35,rebase
52589090181a5cf9dc96e5e7cec0fbdd21c38fc4,af9d3da81c1755519173a36fb33085566ea18e4e,2020-06-21 11:21:49,rebase
7d70ccda0bed2adad989629df025a4ce4bea4c1f,b0c2d459f68461d5f64c99fb8ca63c4ff2e36c6a,2020-06-12 15:23:19,rebase
1765b057569ad407a58604e5bf21b7cacb68a0ea,b0c2d459f68461d5f64c99fb8ca63c4ff2e36c6a,2020-06-21 11:24:44,rebase
b0c2d459f68461d5f64c99fb8ca63c4ff2e36c6a,8a42a21efa264ad94f3f0cf8c67ebb9b621616bb,2020-06-11 03:25:58,rebase
9d4151426864eea79e2286f643ba91cee3c111ee,959e8054fe24b8ba65dde95d955b9b22ea710268,2020-09-02 14:09:23,merge
af9d3da81c1755519173a36fb33085566ea18e4e,c6c926d225b621e025f15ffe83f9088d41edba9c,2020-06-12 15:53:48,merge
ae7fe16cfd81949c4a86ddf68e52367b72784845,9ae90e5a820dc5522c287e565ba469c91c112e3f,2020-05-14 22:25:54,rebase
703b0af93536fd02cf9f4964748cb66753dd09fb,9ae90e5a820dc5522c287e565ba469c91c112e3f,2020-05-26 15:02:43,merge
fcc279aca39f7e2e2cf18da9058b51e495b45818,9ae90e5a820dc5522c287e565ba469c91c112e3f,2020-06-04 01:58:02,rebase
bd6449517837cf048f59a8ae8bd887d20565dbf5,3c6b46e4d418e4f98a09d3aa301a29227e85db0b,2020-05-11 18:22:20,rebase
532cb60fa7d51c7000cb1c7260e7c008946d8f61,9aed706da69a9c861d74e2582156829a30e4c802,2020-05-11 14:21:59,rebase
14bc6c11c85b06c186a565b2ef8d44980d9b94ec,9aed706da69a9c861d74e2582156829a30e4c802,2020-05-11 16:37:22,rebase
9aed706da69a9c861d74e2582156829a30e4c802,3be51fc700b430a0baf6a3b2641b54ae349bf142,2020-04-29 17:50:21,rebase
653808d3c2d689053f195129bbaf086f10a3a0f5,9a3ae39adc83473d55ba63b52ace146994588079,2020-04-22 16:24:19,rebase
5dd4a538b1d981f25e09e8f64cd2fa0ad9ede0c8,521e7bb0f5a84d48494311999c0279b4f238e7f9,,merge
cc37f9ac9ec4db4d15b766d51638444f98f05e09,521e7bb0f5a84d48494311999c0279b4f238e7f9,2020-04-27 13:24:48,rebase
c34fa640522f22c500cf114138919c7894c275c5,521e7bb0f5a84d48494311999c0279b4f238e7f9,2020-04-22 16:32:56,rebase
c53c857150eb8f44d68b69d72786563bffce0ac3,521e7bb0f5a84d48494311999c0279b4f238e7f9,2020-04-22 16:30:30,rebase
a64f09e47432d61e28b113f1ac7b9e50648e91c3,d1882d309882d91afd6f4929ace06c12af47e7e7,2020-04-20 22:29:31,rebase
2a141213658c8af2e05d41cb47921001cb5846c4,d1882d309882d91afd6f4929ace06c12af47e7e7,,merge
00b34d6d796691b68871960afc0f0d0a52d093ee,d1882d309882d91afd6f4929ace06c12af47e7e7,,merge
521e7bb0f5a84d48494311999c0279b4f238e7f9,d1882d309882d91afd6f4929ace06c12af47e7e7,2020-04-17 11:25:27,rebase
ff7c892f8c72ea145f09e4098be409eb5cfbfd75,d1882d309882d91afd6f4929ace06c12af47e7e7,,merge
5107ad9fb409419d15f0809f24f9e31d56f50a9f,dbe3f9d6d9f1de4ef6c3055b46f29bc332a68fba,2020-04-20 21:56:57,rebase
c67d2fa44eef15b848306c5e59cbb2098825cbb3,dbe3f9d6d9f1de4ef6c3055b46f29bc332a68fba,2020-04-20 22:01:23,rebase
d1882d309882d91afd6f4929ace06c12af47e7e7,eb7f2235debcd3baf36d2d94a23465158b8bdafc,2020-04-06 19:47:13,rebase
