merged_commit_sha,base_sha,date,merge_or_rebase
499d635102d9fc7d67d8ee786e14a2897fcc5e6d,1dc05c800d48804fdc5b0ab081dabca80dd10b9e,2019-12-23 23:45:14,rebase
af9cfead4946ef6b9840107dce9b6138e5af8dcb,da2632e6c03e62703bace16f229ad3158e457d46,,merge
8667947f92ab248180aeead3a88da42c86e68d6b,f57d2037b78234bcebb01ffab50aa1443a84c423,,merge
fdaa2b37ee82ddfd46bebf4b88f67fbd33b820b8,07fc691c5344940751011c3af96d0ab202b1b4e6,,merge
bbb28437f9de5d1bb35109e476baf4cb07991f94,07fc691c5344940751011c3af96d0ab202b1b4e6,,merge
4ec26052bee938cbf4a55edc6b11b8a7aeb3c16b,785aba2d1cb9c923734c1949ee800321871c4a35,2016-01-26 05:38:20,merge
70d26454c33b7359b5a97baf9f2815ff8b4e8949,2b2c643a3ae26735fdc9f6111415c4359dcbbc61,2015-07-13 03:05:49,merge
d47901dcca7a1400a3bbfa75987cb3108a4439bd,892aa0e38da2ac6610c2055c268579bce10862f2,2015-04-21 05:33:59,unknown
95637ff171c2fda0428c9c5d8db7750fac81cd09,d2d6803535929d93bcc5dbb77ab8987b0f0a71a1,2015-02-01 17:48:18,merge
37c11dc8272f96d988571d854ccced504e6eee8c,55d0268924cdc2a0c86f18ea20f7de620974efcd,2015-01-30 17:32:30,unknown
fc1b272f7742ae71fac1c2e3623e0fa108ff3443,4417d083177944545c44d2ca67602d8bd3fbc824,2014-11-12 03:38:22,merge
ab4f6f02b07592ce7c2252a4ca6f21a155d12492,90b0360eef1185ae9c6869a384962bca2e790d8b,,merge
4baf28901f104cb2d8502ceb97f24cfb985ebc90,3490fc30ddc276d64dc3de1cbe0137838fca5d96,2014-03-28 03:15:15,merge
299c2b9f6f82f3ccb171b00c5baacb26ea8dff3f,2aae4cd9d32431610bfefc6a1c204b4802764d68,,merge
3df110ee72903935c023b72d6b9188af61e7552f,ecfee25f1c3802f83906f41eb826c40059730c80,2012-12-05 04:14:28,merge
19a21d9e3001ec6ef13131a46b6b0428b1170477,345eddddd2b51b29fe38bcc87b2c169327929cbc,2012-11-22 03:32:23,merge
508f3819a3facbba4c6a35aeeef7105568cc616d,a6a7f3878d22f9c1815e9517d68cc984f8825f85,,merge
50b7785e9383871ffd0fe5abac03d96868f91550,f8d2ac5bf587f7ed004e1b95a6bc34e5f241dfb4,,merge
c47f87d171f6ef715dc8c246cb231e4702f7f49f,f8d2ac5bf587f7ed004e1b95a6bc34e5f241dfb4,,merge
7275ddf838a4e66ffd6d5a7e81731dc4046d7d68,f8d2ac5bf587f7ed004e1b95a6bc34e5f241dfb4,,merge
325fadb46849ca37bd43062d6b974d17c6b899da,6f61a3455c4916736b5643b0b46251857c4ce472,,merge
34b24c1112737430632cd2757f6f85ecd97f92b6,12f9cc4bb20b6ab03ce236f9962aa3fbbac664c0,2012-10-19 02:58:43,merge
416e12d2fc824c7c7787a9ddf568bd91d1f4c8e2,d152fd2a2094ff1484aa5723bd865da67c79f0c3,,merge
112df7537fed9238a63f9940e5ce3a58aaf9ea5d,79bb695ea0ddbb1c10335de2d7fc26b8368c816c,,merge
b8c6bfeb994f348f936ff1133796e30c3fffd171,d42b4f8a648548cc329e30cc8b5f2232a4a63837,,merge
4a1db76b66ee307931b4cf20d281c31798bbde9b,fe27083abf2ac193f4448013e1dcf768d903ff6e,2012-07-07 23:46:37,merge
c2623c9581641eaae22b858861bd4d2601e2209f,9c1d2973dbd82fcf70d58707087b6a65225eebfe,,merge
5bff1377e7cb5d82a2a77207375d89cc9d9d3661,1887316942674cd2efff022471ca6dd0188ba243,,merge
72caf5f75b953f51a6eb2634dc3944171ec30b08,1887316942674cd2efff022471ca6dd0188ba243,,merge
