merged_commit_sha,base_sha,date,merge_or_rebase
616e28b05f2074c7999b6ab9fe9becc518e9751c,afeee3ab66bb5f777253c4c7201239987423be99,,merge
198f639ccee186e7d30a0188edd83aca360f1c24,afeee3ab66bb5f777253c4c7201239987423be99,,merge
da0a21f259dda621199caa0aa80d7514fc5a9b16,8a714efffcd588be19af2a34dccaf5a50f8e7be5,2015-07-09 14:12:15,unknown
62822413a0b5a609dee01d3dc85574b7ff3593f5,97806210a1014d0240d4740835b7e2c6e45b9438,2015-07-09 14:17:00,unknown
6f2b5cd26b68fa8109df9756c0b6d7917e8cdd3f,97806210a1014d0240d4740835b7e2c6e45b9438,2015-07-09 14:13:32,unknown
39f6c683848126ef4c5855487c4ed03bab850eb2,9cae97ab36de1d51099a01d982dade00f5057837,2015-04-09 13:22:01,unknown
dafb805093fa80cbe2a4c92ee255a02be6c39ea2,9772c75d695c994740cd5708f1b23c88c1cca7d3,2015-03-27 23:23:08,unknown
3a911fa807831c5d25f559eb06d3b8f12f19aaa2,ef14ba4d16d851018cbf9333cb49add6442cd43e,2015-03-19 02:49:22,unknown
a56fd9ccb47006ac119d6e765758519fe2016877,ef14ba4d16d851018cbf9333cb49add6442cd43e,2015-03-19 02:50:05,unknown
debcb241884bef2838846f4a529c7c5052f66428,ef14ba4d16d851018cbf9333cb49add6442cd43e,2015-03-19 02:50:42,unknown
133457ef4e2ab1dc2f2542c5ff7e24aa5084252f,d2f248715ddc913163e9fb6e9414717eb673feda,2015-07-09 16:14:01,merge
03333e038bf4cd990e2628f0cc5fb35735b12f84,d2f248715ddc913163e9fb6e9414717eb673feda,,merge
b3da2b12c5e21842d0ae763c823a8877e3af780e,d2f248715ddc913163e9fb6e9414717eb673feda,2015-07-09 14:19:11,unknown
94db96dca5679ffb2981fb58bde1f82767a0a527,46853ee2e06a3919f56e4a0de98cbc5794dc0aff,2014-08-27 14:42:48,merge
46b1528e3c2cac60a98503ca0aec873c738ffc4b,22191335348a5de62977f785a35ed943b9055ac5,2014-08-13 19:35:44,merge
0fcc0cf9ee8ebc0f11c5e74b3df5a01f2fa2cfda,22191335348a5de62977f785a35ed943b9055ac5,,merge
b0c318e7c7665baa6d12332bd55244e0486b3b65,d2f248715ddc913163e9fb6e9414717eb673feda,,merge
d2b48b86670677f9bc52b7db4f2d1fab4042d192,22191335348a5de62977f785a35ed943b9055ac5,,merge
8cfd5ecef20de72b939f20d9844ae12a7288edfe,22191335348a5de62977f785a35ed943b9055ac5,2015-07-09 15:09:14,merge
00c1bb1b11e9f37760df0f3164609c1b161ed896,22191335348a5de62977f785a35ed943b9055ac5,,merge
db70abefbc0e5e31fc981109aac1f4267eb58070,8ae1c7922e19afb7fd22ab9c81e527df9bd427f8,2014-04-23 09:35:33,merge
3114d78491ca1fdbf1d5eac64a73c220e68ad06a,f2e635b46b13c3bb02e0f2089e118608a70d2b60,2014-03-20 05:05:53,unknown
2494cdf3de4f728d918b1ff52c01e9d2d06f7a91,3b62f906fd2a66a4a150491181d503665666a759,2014-03-20 05:05:38,merge
f278fdb83cf9b45ad2a2f71059f5742400cf3632,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
c10ec12bfb45e8f31a9eabf7a305dbf027657aae,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
b6b500201cb9128e21f339d295872196218b54d4,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
796fac821788c404d68fa7119bf042f0eb32755e,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
a2a1c1f89a0830bea31490d6b5f29035d14005c7,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
24805538c843d1252edf5f5d67d27d429c6c1576,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
6c648a00dbdc782609353b1be1e34484eddf9390,07322f3292c68d64f12a5e11e57674842b2b1cdc,,merge
32eac766216fa6229c75e67d1e43ea61c19147e3,97806210a1014d0240d4740835b7e2c6e45b9438,2015-07-09 14:12:13,unknown
c8bc24325cd5c57375d850ae63ec9eb0406273d8,256962b04b55a47c1e7c06924668ef9b9a543114,2015-04-21 20:33:34,merge
93b393cdfde7a2b977b56b2c2bb8d1f3447fddcc,1c4324efd71b440efa4ff514b17693301169b7f3,2013-03-26 10:09:42,merge
4ee9a0f7ca78ed716a698a36775d1486497d9f1e,c31d7d13161799cef5f2d17658edea2fd5899839,2013-03-17 19:53:25,merge
446b02b63c8f39beb50fddaea8eda7522820a826,c31d7d13161799cef5f2d17658edea2fd5899839,2013-03-17 19:55:27,merge
b5926b34ba61a0ac261996d8c4b8ef5f1f04b5cd,c31d7d13161799cef5f2d17658edea2fd5899839,,merge
cb3a05aa0e86b968e55f1536c19134a92a8b6039,b2b285696452501e40a82b99baae25fe6a1606b3,2012-10-17 21:17:01,merge
b465bf11aff10971869d009f9b483d31061f3763,bd79e0bc726a45d432e7da1008e315a1cc0923e9,2012-05-02 17:21:04,merge
22381376996820d72e6f123eacb5717ce2397c47,bd79e0bc726a45d432e7da1008e315a1cc0923e9,,merge
5e8fb5b0f71abfcb6b035679ceb1408f44bb7a58,bd79e0bc726a45d432e7da1008e315a1cc0923e9,2012-05-02 17:09:11,merge
