merged_commit_sha,base_sha,date,merge_or_rebase
4244c3d5e5233a6022ab3be2718edb4426126be1,467da73ff604d68b311b3dbd0ecdb0fb771a1fe2,,merge
1328357c4614aa8d834b58cd462e727a9e496440,7138791e9cb688ac3dd26d56104ba0fe1972eac4,2020-06-14 20:29:41,rebase
485dfe1b790c615041359745824b1be64971acab,1665ed6aab97090a4e82d3cd66a9a42d2c57a0a1,2020-04-13 15:05:31,rebase
7907aaa0a80f5a0b0fea209f393b239a85fbf073,b61c4ff17a516c9045abdd614db191072f0fd19b,2020-03-07 17:08:39,rebase
d0b3894015ad85f3d86d233b87d230ee81efc919,8656640b2b9d1894f520f1d1bbb34bd9ebfaa287,2020-01-14 23:11:02,rebase
8656640b2b9d1894f520f1d1bbb34bd9ebfaa287,c730cb855e09992277c5d96531aa0231121c2cc4,2020-01-14 21:27:37,rebase
b70c7f220e9d95e3c22f8ed5599eddb5a96ee37f,e0b71647cc7aa0bdaa7a50b428981a87ddf837d2,2019-12-07 05:11:36,rebase
8ef429f687553fe932f9f3c5d60f4f6f5d903d98,6d057e5cf8882b34b689b79ba089ef9cce413ee1,2019-04-21 15:55:25,rebase
2a9f74350b418c66e083f0042c5b95728cb70785,9b5b3597f1dbf5ba37fb6f5b4a5d10cda3c752eb,2019-02-07 01:56:01,rebase
d6b02b19779204291d6b9dafa7acc49fe484be92,7e212b1d05ef26a08feec877f7b8a50583614487,2019-01-04 01:04:11,rebase
67b83e6c202d96d6603f6ac26a10f971d6664177,7b812c9ac82cedfaf976cedbbe5ffefda57d5670,,merge
b4bc123abf9dc06c834bb27f27eec9b36aa5e83f,7e212b1d05ef26a08feec877f7b8a50583614487,,merge
6dc7cad14f7fe126b3788e70abd0388e36c4c5d6,744e85e4562934261615b4c5b9527b5d900a6be5,,merge
20d699ed827e12743af782c60c0a171ccd09187d,ec85ae906966124c5d3984b209ec35c0e82ba668,2018-09-10 05:43:13,rebase
000ae395e153f98d7bd1846138f9642d6401a368,db99d207e39008e9052d7a9b563da56efb2a6422,2018-09-01 00:40:59,rebase
7083573aacd30e2394b19b115e834ce6c2bc040b,a27ffd6b3e6053b6df77aa40f1dc9e18e6830a67,2018-08-30 02:40:50,rebase
