merged_commit_sha,base_sha,date,merge_or_rebase
2c9414f4841758ac32775950ff0d997883f7e399,788e0fb20b2f897f4624ac9290230060609cef50,2020-05-14 08:47:06,merge
788e0fb20b2f897f4624ac9290230060609cef50,5ff72a52fab74a077d477feaf96ed18dc66fce7f,2020-05-09 08:11:22,merge
974e37b85707f70f0dca3c9e76525f316b718167,3142663f9fd64ceace95e28c464dacfecac1534d,2020-05-04 18:53:32,merge
f8f4f87992f23efd75458014f4f3c8ea47c3cb3e,1637c44219e681bf3c95e6189ce0751f65d181a1,2020-05-04 02:05:13,merge
b0dc3aa5be9f36893c599b62c2a5690f31e11f85,1637c44219e681bf3c95e6189ce0751f65d181a1,2020-05-04 05:19:28,merge
9a24467e80d35cbb94c488023653dd34f2da8777,1637c44219e681bf3c95e6189ce0751f65d181a1,2020-05-04 05:18:47,merge
fe919494a048244f2013a5066d227ac36273f5b2,1637c44219e681bf3c95e6189ce0751f65d181a1,,merge
3142663f9fd64ceace95e28c464dacfecac1534d,b0dc3aa5be9f36893c599b62c2a5690f31e11f85,2020-05-04 07:38:03,merge
1637c44219e681bf3c95e6189ce0751f65d181a1,e90909ea335545b28d41751b0be9a3b9aac27b8f,2020-05-02 03:56:27,merge
e90909ea335545b28d41751b0be9a3b9aac27b8f,a262fa93c5de26a2f5297e4ddca9dd7b9436c21e,2020-05-02 01:10:42,merge
ab3f6deae3dd22b4fcfed26d5a001222569ab9d6,dc84344d21d2fb91164a07a0f56ed94471dfe303,,merge
a262fa93c5de26a2f5297e4ddca9dd7b9436c21e,f60ffe32b22dc6eabb464ba6143ceba34d4947ae,2020-04-30 15:48:32,merge
f60ffe32b22dc6eabb464ba6143ceba34d4947ae,f7b9bb75af8d65ea9f2ed445516d8f0e22a4b8ac,2020-03-27 08:55:57,merge
f7b9bb75af8d65ea9f2ed445516d8f0e22a4b8ac,7783d18af07a50ae006963226a9068a111f70ce0,2020-03-25 21:43:06,rebase
7783d18af07a50ae006963226a9068a111f70ce0,dd29436283906517a32356b6aef48aca65446529,2020-03-10 09:27:52,merge
dd29436283906517a32356b6aef48aca65446529,4437c31fd8d69264fde3e388744d2ac3a0e38ca9,2020-03-01 10:03:26,merge
4437c31fd8d69264fde3e388744d2ac3a0e38ca9,8813516c2e877565a492f0660fe4f38b9bf1abaa,2020-02-06 00:40:34,merge
8813516c2e877565a492f0660fe4f38b9bf1abaa,d841d165bdf60d8acd582724c0af50861f90dd1d,2020-02-04 08:04:47,merge
d841d165bdf60d8acd582724c0af50861f90dd1d,a7a7eb91ea776c5d02753ad9d03d8c4549e16b50,2020-01-04 09:13:54,merge
a7a7eb91ea776c5d02753ad9d03d8c4549e16b50,12e5afbc5eb4a9a4ea1656f45e26d7587a67d5df,2019-10-13 01:04:40,merge
96c74d98b94eef22cf2601b4c5d1d92785bd823a,12e5afbc5eb4a9a4ea1656f45e26d7587a67d5df,,merge
5ff72a52fab74a077d477feaf96ed18dc66fce7f,1637c44219e681bf3c95e6189ce0751f65d181a1,2020-05-05 01:39:05,merge
15e37c7b6a02877a8da1498e98b43bd657ad5974,243b0c6eac7f5076fe96df88d20da64b628f5d20,2019-07-25 20:19:41,rebase
12e5afbc5eb4a9a4ea1656f45e26d7587a67d5df,243b0c6eac7f5076fe96df88d20da64b628f5d20,2019-07-25 20:21:16,rebase
243b0c6eac7f5076fe96df88d20da64b628f5d20,96a37041dc015038ca2aaad70656c4fcbbf6333b,2019-07-02 01:40:51,merge
96a37041dc015038ca2aaad70656c4fcbbf6333b,60ba2cc0589adcd4a35444424e111d621f120788,2019-06-30 02:25:48,merge
34e14fe72dffe225b425cad4102dba0bbf9f3610,58b03b9ca6bfe0d81c25354bf6760cdf7bf45001,2019-06-18 13:03:22,merge
60ba2cc0589adcd4a35444424e111d621f120788,34e14fe72dffe225b425cad4102dba0bbf9f3610,2019-06-19 09:07:29,merge
58b03b9ca6bfe0d81c25354bf6760cdf7bf45001,6a0b8b71e613e060c1a5ef6283dd5a11c80e10c6,2019-05-19 15:16:13,rebase
6a0b8b71e613e060c1a5ef6283dd5a11c80e10c6,abb378985d10b651d590b73b10b87aaf76fec4f1,2019-05-18 15:36:41,merge
abb378985d10b651d590b73b10b87aaf76fec4f1,7d9ca009203e71be9b7f8bf7c2a4cb78ffae72d3,2019-05-16 15:16:59,merge
7d9ca009203e71be9b7f8bf7c2a4cb78ffae72d3,61f449b6c6688828fbe721a55d9a4467e83d8de7,2019-04-03 14:59:53,merge
61f449b6c6688828fbe721a55d9a4467e83d8de7,11b9a8966721da38263839a65dca3535d1c706a1,2019-04-03 02:03:57,merge
11b9a8966721da38263839a65dca3535d1c706a1,ef4a2ae703c50652399e8b046db866e09fd55288,2019-04-02 03:31:37,merge
fc16adbef76c039e7191fdf414c0a52840ab7368,ef4a2ae703c50652399e8b046db866e09fd55288,,merge
9a057840ce6021ecce8d64cad6259a11a2e13034,d841d165bdf60d8acd582724c0af50861f90dd1d,,merge
ef4a2ae703c50652399e8b046db866e09fd55288,91bc83aa961c2d961506f8fc6fb0d65b5db07735,2019-04-01 14:57:05,rebase
91bc83aa961c2d961506f8fc6fb0d65b5db07735,b646b1a63a49c369e91cee5d4382c32b7a5b5f2d,2019-03-26 09:51:06,rebase
2bdd0f681c2f43e542bb80f5a3d5abf7c524e274,b646b1a63a49c369e91cee5d4382c32b7a5b5f2d,,merge
efc9b0d3726eaf0bc229ae7b547096c9e95ce0b1,7241e41d8ea84afcd1340dcd843b3edd19974fd5,,merge
b646b1a63a49c369e91cee5d4382c32b7a5b5f2d,7241e41d8ea84afcd1340dcd843b3edd19974fd5,2019-03-05 07:33:16,rebase
7241e41d8ea84afcd1340dcd843b3edd19974fd5,86709d13280a187b51c9eaed49d5efca218790cd,2018-12-26 19:15:44,merge
86709d13280a187b51c9eaed49d5efca218790cd,ce37a61f7f32e8297fef4a3298ad0c106b2ef04a,2018-10-18 18:10:51,rebase
ce37a61f7f32e8297fef4a3298ad0c106b2ef04a,949c4ee9bc64a15c5f02e2f439c2f22c8d687b4f,2018-09-27 00:37:11,rebase
d8d0b63943c982928e1c681940ce66dece0be518,949c4ee9bc64a15c5f02e2f439c2f22c8d687b4f,,merge
949c4ee9bc64a15c5f02e2f439c2f22c8d687b4f,d242f943e56553e1f9c4cc24e4ff0bb77dc66c05,2018-09-21 16:17:28,rebase
d242f943e56553e1f9c4cc24e4ff0bb77dc66c05,d0eff1100d9697e5ef255358d991af4c3b7f87f3,2018-09-17 07:23:50,merge
8673e2041bcb9fd402c7b70f7abe7df18268bf36,d0eff1100d9697e5ef255358d991af4c3b7f87f3,,merge
d0eff1100d9697e5ef255358d991af4c3b7f87f3,96b56e2f1c3ac37ddb002a1c4cdc3962206ddd37,2018-09-16 04:08:54,merge
96b56e2f1c3ac37ddb002a1c4cdc3962206ddd37,ea431460ddfbbf5a33b79beb9019bab1af4ff008,2018-09-15 09:55:56,merge
ea431460ddfbbf5a33b79beb9019bab1af4ff008,deec2d0ee9bb9a9332af9e9563f7574291d504dc,2018-09-14 13:59:56,merge
deec2d0ee9bb9a9332af9e9563f7574291d504dc,e7811b1167359b1d312bb116ff6b2aa27c31a9fd,2018-08-03 17:08:48,merge
e7811b1167359b1d312bb116ff6b2aa27c31a9fd,a17a4b2b48fa24db65b998e74e3d94795b80d2fe,2018-06-12 17:21:29,rebase
6ce12c7de823ed49fd295dfa1962a7277e779e10,a17a4b2b48fa24db65b998e74e3d94795b80d2fe,2018-06-12 17:21:12,rebase
a17a4b2b48fa24db65b998e74e3d94795b80d2fe,e39df6621e9efc20255166b9052cf01e5d2a4801,2018-05-26 08:38:08,merge
e39df6621e9efc20255166b9052cf01e5d2a4801,35eb072604d3abfc1c25344815929a1bf1fbc2a4,2018-05-26 03:01:24,merge
35eb072604d3abfc1c25344815929a1bf1fbc2a4,34dc4680fe8eca8d576b9cc41e97b0b4a37357a3,2018-05-04 04:18:20,rebase
2e413c85c6924877b8a69fa8784c50f56e98dfa2,a0d284cb3292d8cd1461f03a804767d7ff18bc3a,2018-01-22 15:55:04,rebase
34dc4680fe8eca8d576b9cc41e97b0b4a37357a3,a0d284cb3292d8cd1461f03a804767d7ff18bc3a,2018-01-22 15:55:49,rebase
a0d284cb3292d8cd1461f03a804767d7ff18bc3a,34174985b74fe6407e2eee83258b4e6184d8acb2,2017-10-30 19:42:25,merge
ec44e5def3cbeb2782412f144eefe6864351e19f,12976f5ed1b87f8caee61db1b1d16857abf27735,2017-09-14 09:13:35,merge
12976f5ed1b87f8caee61db1b1d16857abf27735,cfd3a65d615c1629e6240ca1ab6176abf3ce74fe,2017-09-06 17:08:51,merge
cfd3a65d615c1629e6240ca1ab6176abf3ce74fe,cd320ba68cb9b2689d66ff37d71647df22168eed,2017-09-06 16:52:15,merge
480c8868e02ffe89e3dcc7de030575abbb978461,cd320ba68cb9b2689d66ff37d71647df22168eed,,merge
cd320ba68cb9b2689d66ff37d71647df22168eed,3bda341d5897a8bb158b1f8795a8487f0ec5c0a9,2017-07-30 03:41:49,merge
f0c18c1e0010a0848e60b9756656e8526ca8d6c1,84d32a2b7da0f4d712db63ddbcd548dc2ad23769,,merge
