merged_commit_sha,base_sha,date,merge_or_rebase
f04c1702e8ea450d5a87a10eae12ec9dfdb66187,65ff01e482ce71190869001c221caa140feb70e5,,merge
efc5409c839685d99ae27cfacbba56ad69e7adae,65ff01e482ce71190869001c221caa140feb70e5,,merge
c35755165e44238a1c819744076847ba25ab1a24,65ff01e482ce71190869001c221caa140feb70e5,,merge
4be51062022862537e685cd1bd7c579c17287fd2,65ff01e482ce71190869001c221caa140feb70e5,,merge
1beee63a2e13b4454d96027de86e75a1b605ac21,35e2e06056b60da2e071ae780324f911aeb67006,2014-03-31 12:54:07,merge
54822ebbd74a0a26dd7a227bf70afa78c598e946,35e2e06056b60da2e071ae780324f911aeb67006,2014-03-31 12:54:25,unknown
2e88d7482361d189dc1d5a707ab911a3c7ae04c3,35e2e06056b60da2e071ae780324f911aeb67006,2014-03-31 12:54:37,unknown
fda9afb2adb2b243fd571047584287b2b9a1b6f2,35e2e06056b60da2e071ae780324f911aeb67006,2014-03-31 12:54:59,unknown
c1fe9dfa588f5a97c3b8184493dc893c4fb52228,394b662bcdfb000233a78b585880c629713ee7a0,2014-01-10 15:00:02,unknown
d0ddc6bc7220770c34513cb9db92f79accd06237,7a2ef1a6bf0167f8af736d42ae2d57c7bc2c0876,,merge
412ac9d72719ad2666f03e8e8f2c2544c7232f39,1d470e74389554bea41d279473d871d577763517,2013-09-25 09:09:13,merge
557d2f1956109ee3b94b86a350984a933e71c050,1d470e74389554bea41d279473d871d577763517,2013-09-27 15:26:11,merge
ea16dec242014374563fc24a31a3c95b26211638,8242a66b7bc2629b6fb7d83b9f906d131a1f06c2,2013-08-15 16:51:20,merge
4569ca26c14588e3e71235541774683a4e527463,b507becf23683d648c028b137e35fbd43be5cba3,2013-08-12 20:08:06,merge
e69e20df216b8d72af510789ea64e9ab99460aab,b507becf23683d648c028b137e35fbd43be5cba3,2013-09-13 11:48:27,merge
09ad1c2db690217c68ce087cf422ce4ce9c1e847,b507becf23683d648c028b137e35fbd43be5cba3,2013-09-13 11:49:08,merge
411c19a8c74041fd5b4c3dbee76f91455c1cd46e,6794cf825c22875502fd48e72328378c279e7f6d,2013-05-09 14:19:30,merge
220f49062b7b09f68a029aa249e45ac17351a358,6794cf825c22875502fd48e72328378c279e7f6d,2013-05-10 11:03:19,merge
0da9ef6587d6340f50631f78a97bbc5c8f599a95,6794cf825c22875502fd48e72328378c279e7f6d,2013-05-09 14:16:44,merge
3e4beeb973057ff25d34a2fe0991f4c27480d42e,e61bd7ca7b87ec2c5f92a5aaadbcd636fc4db866,2013-03-03 15:46:05,merge
1f2c48562a8b3e47ffb2c39c8b09460f093f0c0b,e61bd7ca7b87ec2c5f92a5aaadbcd636fc4db866,2013-05-09 14:16:28,merge
3c58c3533e94a66d2e4e20680cbfbc270f500cc6,9b546d592b34ff38a2088726d3f4bfc1a1a541f5,2013-01-23 16:35:09,merge
baa57b6042b58e009216346e2b48b1e2827d24d6,24b35f7662854d517071e90d20187591c2eb57ac,2012-12-31 18:53:06,merge
36b7b7c8c1eead80d53ef12a2b094a8d25fb0cfd,44a3589125c198585ee6ae7981e1201826ed57a8,2012-11-06 12:34:48,merge
1cb94e5d2b34a5107d8dc96e9236aab9d4a22113,9ffd32a0501edfb2b2cf2e4c08444ac6aae766ec,2012-10-15 19:06:06,merge
61270fd0abf4a1a87d5e3c36403d41057d6a8b3c,8bee509226ecfb3718ac2d3276c8d35241bbccf7,2012-10-08 17:10:21,merge
3075eff0226cad99ac9ebb0b7403ba2144e1e3b1,c4020eb1cf226e149d82085efcd3866f564e8cb1,2012-08-29 23:11:00,merge
481df59d00b691a25bba7a7083fa08d72b41659d,581581194c125f56d0bd656efad54306b449ee66,2012-07-26 09:13:58,merge
512262a893b2e17961746faf3fcb5e537f576863,7d1577f68bdf9d3b522755fc1c638056af026843,2012-06-19 15:52:17,merge
c8ba419747e548236c40e1b5f21bb5431e479506,02866affd93b1a69fb0d11e25aee42bebf490ed6,2012-06-19 11:31:47,merge
feb4b42d7a1abe6acd73aee06a45617a1ebc91ca,02866affd93b1a69fb0d11e25aee42bebf490ed6,2012-06-19 11:31:28,merge
ba6994f608840cc93e976f42870f2d4e4cabafaa,6005a7704b57758b420969e20336a4c4db749a2f,2012-04-16 14:24:00,merge
e8c1c56397dd3bae1fff4719446aee1107c000f2,6005a7704b57758b420969e20336a4c4db749a2f,2012-04-16 14:25:19,merge
ca72200dbb14ef4e10f4b3d56d265f54b2ff2c77,7e0302923cbbb5d40de6f471c3eab1f9b440c8bd,2012-03-30 13:21:45,merge
52dc012420ec06ea2e3052a731a6a2cecdfea849,4bedc680ab024be2f432d2bd5347d71d00b69f99,2012-01-19 12:35:20,merge
cb6d6178216b7497c6bcd05bdd61efa09d4c1d38,97446b209925846d81024936c5423fa6c7cdac2f,2011-12-24 11:31:17,merge
2df73e5662e4053e53fce74f264322dceec2f49d,0522bc0312e91e72b820536152181c78d8984778,2011-12-01 00:43:15,merge
e45960686b44b57b3cae8db58011f3ba926acf12,1d23a96ba9529ce7260d91f896b7ba45ac8d2f33,,merge
cdd72caa521144ad2252901defe02f1f1895a5c9,db75bbe61ff6a3719d82abb4dd5d904639a26057,2011-11-26 09:08:44,merge
02b4ada2bdf8923aa171dad44f194cc9db4c3663,4eda41a72b62e8c40f666110b7f3ef8bf2d6683b,2011-11-24 21:00:10,merge
