merged_commit_sha,base_sha,date,merge_or_rebase
dc740d489b711861d1204058f9b1ec107ecde912,97891609995d1d927bccb26318f47a0238be9720,2020-08-30 01:42:10,rebase
976656b9ecdca38629265666111f94ebd0029652,4cd8ed2cb9d3e13c509f3566722f53ba543595e1,2019-10-10 17:40:11,merge
4cd8ed2cb9d3e13c509f3566722f53ba543595e1,6907e7a21b9bb1c24cd1b568a7ecef673baf4f5f,2019-05-08 22:20:17,merge
45e0a8f423dcca7b847c90450d0fd82deaa57621,931f6a136c46f2b32635195404603d1e0d8ba147,2016-09-20 03:45:23,merge
6ab6ab538a18478513a2322b7ed7a94a7e0271f8,1abe328190bc6f00eab1ab06b5058a4de53f8c72,2015-11-24 21:40:48,unknown
2839c39c6dd8fff689cdc6b6ac40f6ff6a9b4c0d,c246c92eebdc7be4d9eaa760cbb837c4ef890209,2015-04-24 19:24:19,unknown
87602514bdb36e89bd72ff973685fc261899a952,8fe9ef322dc2d0e2f8a27601e90b14ed5711bcde,2015-03-19 13:53:45,merge
524b742dc252eb27bb073bced0a706c7f0008805,4f9073b40b7669dcc2a3bf6365577770f91e05ab,2015-02-28 15:05:11,unknown
2dc720bba624ae95549c4645f150beacce9a98a3,c8f179dda15a45c8c575d0c1cc31d6e45a159e78,2015-01-29 22:14:44,merge
1aad0c2bcbc3993aa2513b6dfc3af49316fcf4a4,c8f179dda15a45c8c575d0c1cc31d6e45a159e78,,merge
3107b17c18529e62a8bd3d39bb4f1797fa2c7a04,2e129e76e7a87690e2feeceb54ef47f281858130,2015-01-20 18:58:59,merge
bed065df719a7f0b215f102640b2cc8ee92fa63f,85eb5e0cdbd0e7b817116b234cb57ca3ab86d8df,2015-01-08 23:45:23,merge
8bc2c711c52fedb7a49261454a19dfd15cfe3914,8ede93488f03598a921376e3c643bb28ed248a1d,,merge
b31ca46cadb6abf1fcbea7389abe3773a5cd7da7,26d7433eae85311a0064f7d57400c608183dc427,,merge
e1125fea85a27f976b2b27fb8dce9f546a1c0c93,26d7433eae85311a0064f7d57400c608183dc427,,merge
cce121d47e3654d3be12ed03583206d046d01834,d2a3b2ccace1ba4633588fcc3006c14d28dbbfe3,2014-09-21 00:19:12,merge
513b7498def7ca60c9cc03d5b1fb6843cd17e137,594bc0e4a1a3942df32833c953a8b5390c1283ab,2014-09-16 15:52:13,merge
af015613593563c894a6e8b28db0439ef40cfae7,594bc0e4a1a3942df32833c953a8b5390c1283ab,,merge
a6e9ad488116b1e6e346754c250fc768ce272d1f,b3f1db226781490788784b26cef455272929ae2f,2014-09-11 18:26:55,merge
