merged_commit_sha,base_sha,date,merge_or_rebase
f8931ee41729c3b116a9b0e97b75d7a75b0976ab,fb12ccb7f4245eca20803661deaa37ead0ec35af,,merge
6b85d9cded2c7c323692e5007cc52096cc1b9957,561b48656ca2548acff9aaa5909e552cfece7072,2020-01-29 16:32:52,merge
2cd7229c94c34f6e7e919d12d41f61872943a35d,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
4ed32b19c8b29a2086e27e3f3b0503a973d81f1c,96b42aa0741af179a8e501f426b6ff5451c27264,,merge
3a84d7f468a4faf0dfe78fed647992a8886cf48d,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
ecbbb0affcffa24cb25fcf3a26b7a3ab881ce692,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
d33b07cff41f0de856126afc307c9760b417234b,64bc04990ff95d05a56f6a83b962d3f2680763a3,,unknown
2583fe703adfc4f09abcf7df274e801fb18a20bb,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
cfcc63e81e161a0abe70bd514beed4ef7182f95e,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
fe06573c18a4633efe3e6e37c4c81751e6356b41,96b42aa0741af179a8e501f426b6ff5451c27264,,unknown
15d37026a0178675a0da7b1bca29986f1f7c4e2d,7642846e9d9e93deca1efb59de9ae868f98f0e82,,unknown
d57bcbb24ab69a72884abaf9a0038d75d0765aea,1224d3b4cbb5bd0b6ece9708fc5f55b8950361e2,2020-01-29 16:33:30,merge
96d29ccc741a53cbe1ad595562333768993b22e2,32f8b704970dfffc99d493b5378fe2279f98bca4,2020-01-24 09:56:14,merge
7642846e9d9e93deca1efb59de9ae868f98f0e82,32f8b704970dfffc99d493b5378fe2279f98bca4,2020-01-23 19:28:36,merge
9bafd271db53b27aaa470cace8e6f39bea1cef27,1224d3b4cbb5bd0b6ece9708fc5f55b8950361e2,2020-01-29 16:36:52,merge
fb12ccb7f4245eca20803661deaa37ead0ec35af,32f8b704970dfffc99d493b5378fe2279f98bca4,2020-01-29 16:36:39,merge
5b33b0581a17cbb95100f357ecff71f2f67f1f99,6d95d7e313dffc6afb81e44f0dddbf408d8e0369,2020-01-24 10:38:34,merge
96f5a04f086a00f8e789cbc3c57c785d77f45d1b,87f1d0e17fa3d2666504dd242af6cb13807900b7,2020-01-23 19:12:12,rebase
561b48656ca2548acff9aaa5909e552cfece7072,5eef9d135660fbc7ff99d0e97156ba2c01ca37ce,2020-01-28 08:37:59,merge
6956c908c589e6097aa8aa2a86f83083446385e5,52a5a0e6919b5e8c30a4644cbfd0ad159b9364d5,2020-01-23 09:53:45,rebase
6d95d7e313dffc6afb81e44f0dddbf408d8e0369,32f8b704970dfffc99d493b5378fe2279f98bca4,2020-01-23 22:08:59,merge
5fc926eb4f016ea31b51a405850a2c924260b0ed,eb6fcdd83a227678e487aa733df3c8745f54fafc,2020-01-22 14:13:16,merge
a183b8b68f39b83118317ab84829a249d172772d,dd8f768cacda347c9fcb2a3086914f9581c4ccc3,2020-01-23 11:28:04,merge
ef3782e3802c3982838bbf840ee63ec360d4d852,d184f327b5ff4069517665a161fa9e48b2e8913d,2020-01-22 09:50:51,merge
d15e5c67513b793ec1a27fdd0a5ed7e7817303e2,5f1452d7988746c2758a3ea77989219c315a025e,2020-01-21 19:32:27,rebase
1224d3b4cbb5bd0b6ece9708fc5f55b8950361e2,eb6fcdd83a227678e487aa733df3c8745f54fafc,2020-01-23 00:16:32,merge
196b016120360962f95206709b7608b14a1f9e3b,ccaa951307226dfa7e590d851752d3d12a38ecf9,,merge
d02f67c11fa055b67b5e55c0b344706a49ec1e40,ccaa951307226dfa7e590d851752d3d12a38ecf9,2020-01-21 14:31:44,merge
87ef855219c6ea711d30d70e861146385842b374,ccaa951307226dfa7e590d851752d3d12a38ecf9,,unknown
88f89d49594ac101891944e2a6b9a0b607a6fb52,eb6fcdd83a227678e487aa733df3c8745f54fafc,2020-01-29 16:37:41,merge
96c3a72b12cce6b71672f628258f3aea6559ee06,666a40983eeb6bc45d25a9bfcd071a338e28974c,2020-01-22 15:13:54,rebase
6ffe516135fea25ae891780fec3f8c6ecc6228e7,eb6fcdd83a227678e487aa733df3c8745f54fafc,,unknown
1c5547ae6a16a0cb029e43f9e15b15a9fb1a2aea,2be789e94e75d152c0a611667d34635ebd88c5de,,unknown
21b122cba8ee287d27d18e61a889f87808252fe4,eb6fcdd83a227678e487aa733df3c8745f54fafc,2020-01-22 15:50:46,merge
87f1d0e17fa3d2666504dd242af6cb13807900b7,d184f327b5ff4069517665a161fa9e48b2e8913d,2020-01-22 17:29:11,rebase
dd8f768cacda347c9fcb2a3086914f9581c4ccc3,30e46306561aad819166523a1de8351bac6a5afb,2020-01-22 09:55:42,rebase
ccaa951307226dfa7e590d851752d3d12a38ecf9,8fb03b1e3c970d0429cb12ef30cf4d09867f4b6d,2020-01-20 17:53:03,merge
666a40983eeb6bc45d25a9bfcd071a338e28974c,dd49233341410b9eb5e04b53301615a7b5a39221,2020-01-20 12:04:23,rebase
46fce2443f0e548999723efb58a3e8a70820b89f,500ac74562627643d4e8f5a4513fb7b1881272ce,2020-01-17 15:12:15,merge
ee959734e10d5bad5c682b5605500b0d51fb6c30,eb6fcdd83a227678e487aa733df3c8745f54fafc,,unknown
6451621fdc215c712bbf19a3dbdf1b335c3a42e6,eaa320b3a6d4d1fa214dbd540ee9120c4f5c5643,2020-01-20 10:32:31,rebase
1999799eef30e10aad66e0a00487897a99bcfba2,c942e40c22cd72f63ce08d30a1c719652f110c56,2020-01-16 18:16:05,merge
5ff1e3fcfd4d2c67da43973ea00ba7598c050f8a,eaa320b3a6d4d1fa214dbd540ee9120c4f5c5643,2020-01-16 18:16:16,merge
38ec978b00d040eb6197f72e98e65226a521cb96,ba6c5ca1c322a6346d2adb0eb3e8908d0269cad9,2020-01-16 20:06:31,merge
ae281a5c2b6d433d8fafd1bf3337e0af181f223e,cc2309a7db9596c990eae0d87b59bc6042f0865b,,unknown
