merged_commit_sha,base_sha,date,merge_or_rebase
b41c7251d1bfb38124965766cadd444e0e431e6a,03f69116d55c9bde5a16292c0c84e63fb3d779cc,,merge
9ad05e734e6ee9e17416c9d357928d5a76ac4c00,5ccd236f67372bd2bc1445ace3175adcdc9b11e9,,merge
533e3abd444ce86bc4fc6bee676a0992a2689079,54a0e4eb178896dc1b1a017261cffcc7a453b23d,,merge
3394024e2aef2bb468bd612c3d9b060724f92eed,25189a31958bde155145c1be6ccb5f79bb7646be,2017-08-26 09:16:32,merge
a9fe7ae5c3311a8fad6c9003c536936be5449846,25189a31958bde155145c1be6ccb5f79bb7646be,2017-08-26 09:33:54,merge
6a5fc0656e2f60cc790add8292cbc3c1cd1a08ad,62d48b8ecdb107c1cf7673fb294f93354def9bb5,,merge
aa24ed585653b51b82cad8a0a2e66413bb3287c2,6c3e6d7a3dac5d7ba1ff58bb4948345773d2a058,2016-11-18 12:32:20,merge
de4675e633010affb4a526c26656e5a387d6619f,aa24ed585653b51b82cad8a0a2e66413bb3287c2,2016-11-18 19:28:40,merge
8b2ec81c1929a287acea3dfe0229c9aa68faf9f0,b5da3bf6f0ea555dbc6c604f141c643ca4352062,2016-11-18 19:31:48,merge
c56f4c07108df1945d5e73a3b442ec3fe6827273,b5da3bf6f0ea555dbc6c604f141c643ca4352062,2016-11-28 18:52:18,merge
daf0e0d47fcf462b0e013d438208bdbc22a9c7b5,b5da3bf6f0ea555dbc6c604f141c643ca4352062,2016-11-18 19:31:25,merge
e3377fde2bee4d1a3a14042094b1e9255f715e95,b5da3bf6f0ea555dbc6c604f141c643ca4352062,2016-11-18 19:31:08,merge
d51a539f9510d3a7c3fb4f2d721416f20ed63047,b5da3bf6f0ea555dbc6c604f141c643ca4352062,,merge
add6cdf9f4f274aaa0b4f80250612f1f4818d86f,b5da3bf6f0ea555dbc6c604f141c643ca4352062,2016-11-26 15:37:42,merge
8e2d6502975621f54130300d3a650573f7287652,0bb20b18523e4d5475df9cf71f32a88f00c1fc4f,,merge
6a9def33163cfd0bb6a9aac3e0e4d12bfd2e15d7,f02dc7e93575cfe21de989969ef545d0093a9c35,,merge
bab86059976301a994f71422dd92cb3d561a7adb,e8b7cc3535cb25f7148366ee8987c72ce127daed,,merge
6b8642cc8793e6a064ae019d00a0e5ef1c2e7dd7,e8b7cc3535cb25f7148366ee8987c72ce127daed,,merge
f262d66824daa30ae342cab4f284136e1faa5280,e8b7cc3535cb25f7148366ee8987c72ce127daed,,merge
b5865b974a090ac29aca69f5a1e69362cc955708,e8b7cc3535cb25f7148366ee8987c72ce127daed,2016-11-18 19:33:08,merge
8a92effe5362aaf42cd22393d2f9c64e84551f3f,eeabd053e07c73ef35763bcc35d0ce4538a5d70d,2015-08-31 09:21:49,unknown
b5da3bf6f0ea555dbc6c604f141c643ca4352062,799938a3ad0a93c69e2680a0e10e20b17927521c,2016-04-30 11:16:46,merge
9051ae300ab23d1d4452dbdcaa0f89dfb169e5c8,165c05588ba898b9810678f473593f740c46e5d5,,merge
c8355f1c0a0ebb397ed6646192a3376982f64726,08c302b4f5aa52fcebd1ff97ce2d8468709783fa,,merge
7f5fce908c6ae615b081c9972d292acfa9acd8f7,165c05588ba898b9810678f473593f740c46e5d5,,merge
af070eae203784762c59dc30afadca8a3f1901ca,165c05588ba898b9810678f473593f740c46e5d5,,merge
cee8e79240861c67caa2c0a9e92736af03bed1e6,bcbd89e0b468e79a3c68762acf0ac3852a341713,,merge
7e1d9106e55223e73ccaa54a4142a08c2a0f3b35,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
6068e901df1ba029e81d05ab826a3d57eb538434,799938a3ad0a93c69e2680a0e10e20b17927521c,2016-11-18 19:37:53,merge
72de9b57f339f7d0be329cc30afee1eb7dd73c37,62084a690f0e07de969fbf3fbcd657e358fbb396,2015-03-19 12:42:55,unknown
e6385b325a40c9270018299acd5c852ce309e881,62084a690f0e07de969fbf3fbcd657e358fbb396,,merge
1ee7869911689ff10cef10776a3087586b60c104,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
59282f1602260aa11eddd9bf4cd95d9e419d803d,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
907b941549b54f0fb21da459f491b8aa57b76aa0,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
1c4c08351383822803da696edbc40a87b07b20d5,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
f22f0933656bc937b6b77b3de70cd746f18bb685,7ac6cc0f8797035417375039002a5ecab3f5a741,2014-12-17 07:17:23,merge
7f4c51a9228649a65db0e8bcd777a4f893a2e665,7ac6cc0f8797035417375039002a5ecab3f5a741,,merge
9554ac801e56e240d7326091cc0986cac321ac27,7ac6cc0f8797035417375039002a5ecab3f5a741,,merge
6341edc48c03621a3d837ddaa16dd758d0fcdf3d,764bb47f136a3e427a9f3e2ce2319516aded8e7f,2014-08-14 18:44:04,merge
303a4902650937f6c1fbecf632bd7321c0f56389,764bb47f136a3e427a9f3e2ce2319516aded8e7f,2014-12-17 07:17:59,unknown
bc8751b5d3ea81b070735ed9c56bab3e4e1d229c,fa04318ae493543ba9d03da9ae106aef01372080,2014-05-13 20:37:02,merge
7227dee83302f6a3c9334b89074f1aaea5a30e7b,f0e4526428fe82a4f76dbfb249c582aa521ffd09,2014-04-15 21:23:35,merge
a6786ab3f8fa86bdea39749fcc3a1415e490aa98,f0e4526428fe82a4f76dbfb249c582aa521ffd09,,merge
bda44ca43bde8136a4cf30eb192f6f1ea1d866a5,1cbd451e3b48c58ef8d56884a39ad53500f19061,,merge
b02cec603c72cedb946024a70efcd71e7f3d3dcd,d92ffb913fb56cf5f656c9ffeb452ba0ab89a170,,merge
94fb1acd0a56ef58f1203b47960ace538325bdf4,d92ffb913fb56cf5f656c9ffeb452ba0ab89a170,,merge
e981e774d91ac258e5d3cafa067c7f6c5b1ca9a6,fcee29e9dc3c030a5d9c685dbbadf96d0a6395ac,2014-02-01 11:02:18,merge
5ba68186b0a7ad834ca21a1107c90c310d331e63,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
6526677d2c4b99dd8bb48b82946712f91e661b29,69bdc73c239a962aef3186b8e18c2d9b02a1a60f,,merge
5f7c2fe4342dafb96bc844819244ed0a444049b1,55a5a7e25033334958c698cffe77097b9c49a0a0,,merge
701894ae9deb0e47002767d71ba1f68ae6be7bad,c277361d87394562ac1577fac5b3d56c4cea3479,,merge
ad453dd8651d4c4498eda33d2b28b468d9511415,a67a56f31b5e1fc326b89ae8b911366f9da0b924,,merge
4cff34472fa71e4f770f997814dc9285caa2c879,a67a56f31b5e1fc326b89ae8b911366f9da0b924,,merge
c2f25945aef0fb8449cef6ab16acbed320fac4e7,d51e6d0c3b91783e6166d3ad8c9f8404b867a9ad,,merge
9863542175fe3852308c8b3a29f72d02d99e9a89,144e9d7944e9d83c231440d749ab4f84e7597c6f,,merge
6138849e81f45f513ff652f1411293bd56a8d0f7,652d58e9a05285fb763c2f91aa40d87e0a09430a,2013-10-22 20:06:10,unknown
16baa4a66b48e90c57f1f92d2300a587ae996f29,610399a5fe220384ad71dddab957a360bf2b5cb3,2013-10-16 13:45:06,merge
5830f80f2cd9731bab390dbb77413c44a9065a34,480b0edbdbce9a9532bd6e150357be97a97bf3f4,2013-10-03 19:23:29,merge
3b4f1113867fa9622ddd9d135f4affa97a175934,e791685bc58b8fd2f16bae8a680324338f57149e,,merge
11ac5e6e23c796c840ef2e75bfd26f9d2774716d,9aa82316e59775985b81dd87abaac91ba69b7bd1,,merge
f2a482c5fa8126f573ae33c9a1008fea78e48648,165c05588ba898b9810678f473593f740c46e5d5,,merge
0ecddb931bf12593a28e20361eb5d28a3db87256,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
c3d14d1bff5d8b831af8fb7a40e5e36dc9516d01,d51e6d0c3b91783e6166d3ad8c9f8404b867a9ad,,merge
2144194b35d598c481e85ddb022c8c68c4aefa3f,11405e2e783f8adcfe2a66da44a3e6c8ffa74cf6,,merge
b6af458e9e3f81020537b04479f38b6890c9ee8e,0ef37ce5dce8dcca03be67f2044b6974ed84d743,,merge
b4ca7d886f9ebe4c87d63e2a8c00c88423483508,7f72083e5eac24fef5b36c51b9298efe45b35e11,,merge
dd352f81d943ad13edf61b114685a66f0bd1655a,7e66a8014962de79c686529e480825a2019ee805,,merge
4a92757f9834f44cb341f0f5026b1e5e7c9575e9,664f892a7b4048f569536c98a757c58375258ac7,,merge
fcf176b7b5b88d5d4ff83201c97c292131eca530,664f892a7b4048f569536c98a757c58375258ac7,,merge
c1b73afc9f8736e920c7aa7b4a8835c083955725,664f892a7b4048f569536c98a757c58375258ac7,,merge
99376ddb9eb1f4136e4fb9239eecf43e509a1c2c,c72aa8074bfe4dad2a674a729538ce2af66058db,,merge
522e05c50d45a96df49036819eb7c720d89f9947,c72aa8074bfe4dad2a674a729538ce2af66058db,2013-04-30 13:29:36,merge
09344d37114a1492e176442d70d582d8e4639765,c72aa8074bfe4dad2a674a729538ce2af66058db,,merge
f7c22c4553730d00e797f09ed29093b880cdce91,664f892a7b4048f569536c98a757c58375258ac7,,merge
69a928f247e23b176a9dfad92f8183cf73fd7d67,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
3c682cbea58a2fe1b6e24e304bceb30daafc0898,028598b537e43c933eebddd9cb349bb77ba8327d,2013-03-20 18:06:58,merge
0af2fbe62a0bcc28e40ea94f13d0c22dd94ffc5e,716cb08920839f658edf39693571011d036787e7,,merge
54ee7d23d24c71c358c5d4a7a9ada2082bc7f68e,716cb08920839f658edf39693571011d036787e7,2013-04-06 18:30:24,merge
523b5c7f2b07c45c655828ae47b39c1d5c3e2b15,63ecd7eb5fe3b8be51695fb25a7a1e14a920d2ab,,merge
0e0415e79d0544f7a09d0d0b79a1aa1ab598d102,58f3dda9f0deabc86a531a480ef30cc50ffdfd18,2012-12-04 17:00:56,merge
da41d838816fc48f3a354e13a52e475919c9b2d0,a66b71d00278c983760fabdbc5c03be1f8d643ca,2012-10-31 07:54:43,merge
39410e014e47730731edf5efeb9b71d3b1015422,a66b71d00278c983760fabdbc5c03be1f8d643ca,2013-01-25 19:37:03,merge
23cb98c28d0a15a59bdf0190596c12500235f082,a66b71d00278c983760fabdbc5c03be1f8d643ca,,merge
ea4d846da477f26af35b61d863a07f04c331e12a,a66b71d00278c983760fabdbc5c03be1f8d643ca,,merge
1eae86ca29d67022828e828bfca4000fc8edf9fc,a66b71d00278c983760fabdbc5c03be1f8d643ca,,merge
99c69c7745cff90e59ba8260361ae8db3211eb92,a66b71d00278c983760fabdbc5c03be1f8d643ca,,merge
a1f2d579c113b078c063c0e72784033d8d678c60,989183417eeaa110b37782ac1227b286eae15e38,,merge
089228cf41f699be5f8c5ee806d7899d48532f58,989183417eeaa110b37782ac1227b286eae15e38,,merge
954bdbe2fdac98dca1e2e7bbaba1b82181b4399b,989183417eeaa110b37782ac1227b286eae15e38,,merge
464ee7315d41e767abc7120403deddbf5cad5434,989183417eeaa110b37782ac1227b286eae15e38,,merge
8d36b7d613c81defc4cac6e836c692d9cff967ff,989183417eeaa110b37782ac1227b286eae15e38,,merge
bb60af59b748f3afc73f8c9ca825e553a0341f23,989183417eeaa110b37782ac1227b286eae15e38,,merge
6346fa1f75ce368e5f71bd1a2100343ab7c66639,989183417eeaa110b37782ac1227b286eae15e38,,merge
282a4042a53a0e32c5b0476462cb8509d5f3c21b,989183417eeaa110b37782ac1227b286eae15e38,,merge
dffbcdc861ac7d4066aaa1fa9cad0e9cb6248314,989183417eeaa110b37782ac1227b286eae15e38,,merge
93edc2e9a9602ca2a0563f5dae18d281e7399980,989183417eeaa110b37782ac1227b286eae15e38,,merge
f05fcc028a0d1b18815844439234f9e22ae4ea05,799938a3ad0a93c69e2680a0e10e20b17927521c,,merge
5b24eea19a1945c37d3629361b0cd73eda215b3b,989183417eeaa110b37782ac1227b286eae15e38,,merge
4a6474d44d9423823914e9e749b4db41cb057f4b,989183417eeaa110b37782ac1227b286eae15e38,,merge
b2244a9536039d7f7ec33bb10bb37099e7d07c42,989183417eeaa110b37782ac1227b286eae15e38,,merge
ff37af95e69af7da13d097d1cb9dc4e07fa96c6c,989183417eeaa110b37782ac1227b286eae15e38,,merge
ef33d6de48a41225bfe026b12268e0fd832a25ab,e02036340ce0240c93adcc145c359ce38bbabe9c,,merge
09dad7c68a1499187c54dc98d7573471d93f35d5,e02036340ce0240c93adcc145c359ce38bbabe9c,,merge
3a23c7f2c53a9af955dce5ae204d47aa4b81a9fe,be285c9f9f750894d552300d132b3266deb8fe43,,merge
eb27df4b6828e6eddb4d2bf26e2dbce8f85bbffb,ae20085ed51a2830cda6e63ceeaa496a06560b34,,merge
0c4afb261c6cd9eda3c280709ab170985db8ea67,b7849fc4910b08a9e670a1078ffba9a028dbba7d,,merge
62d85e207baba5f6bb2e95e90f9bb7af5c3a1ef4,b7849fc4910b08a9e670a1078ffba9a028dbba7d,,merge
20633cb003fa5dc5eb4c2fb72536c9935501b88b,b7849fc4910b08a9e670a1078ffba9a028dbba7d,,merge
2a6c531e8c2d904cacbf553d78bfbb2262226109,b7849fc4910b08a9e670a1078ffba9a028dbba7d,,merge
3ad5e975e5943c93a59ada47aa619f370048291c,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
2191003b9eadc5bae685418d2cdce1d48fc5ff58,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,2012-04-01 19:58:21,merge
65b3a7042dabf9fd2c43e115832171a56a125557,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
48aa5ded8c9276f4f6f9f4ca7d512eba9b25919b,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
9747e5d4d4b99c90dae1a8d051c5bbee7d5d0941,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
09f80f9e20ef1fed1ed4899bf1ee7da140e57488,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,2012-04-02 16:31:24,merge
b90eb97fd297b2b1c0e1d41254aea53956a78c4b,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
720cc5fbada37266793bb40308bf6bd1c772ad0c,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,2012-04-02 12:57:38,merge
e6f9985f1f469652e0d3e2a37cf00404db9638ea,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,2012-04-02 13:06:26,merge
69586b68960556e571ec03fc2cbecbba412bbab2,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,,merge
d71c3fc5c634b1f9b424b772fa17eb2a6ad6c1ab,5021b49ca4d7b64c3bedf4b8e50a63e8b8c18409,2012-04-02 18:05:26,merge
