merged_commit_sha,base_sha,date,merge_or_rebase
c1d395a6d664933ec7a644362721db115efef664,d6b280799fb873dfc40b8012d40d0bb54bc9d588,2020-09-06 18:40:08,rebase
d8e6a0396a1bdc19c9e15adb233540816274487d,bedab7e87b038da11f93484c1bc1e036fea520b9,2020-09-06 23:55:50,rebase
c3e6b6119cbcd1dc49a398074fa57b7467245c5e,2cea6ab0126a6197452fea6ce839874ad3fce9d6,2020-09-06 15:18:47,merge
2cea6ab0126a6197452fea6ce839874ad3fce9d6,3853276d9cacc99a2698117e904475dbf7033383,2020-09-05 19:31:45,rebase
fb55cb2d91382d2646205c9a7709f9517eb7f153,3853276d9cacc99a2698117e904475dbf7033383,2020-09-05 21:22:54,rebase
3853276d9cacc99a2698117e904475dbf7033383,1e14dacd08b52a541c9ff3b34c88629ea168d70b,2020-09-04 18:48:14,merge
dd465bbccc72665a8e4dbfde09aa7f866b328fef,3acfefb63ee70c8eac13bf6b308a0e73e6fb8007,2020-09-04 14:16:58,merge
1e14dacd08b52a541c9ff3b34c88629ea168d70b,3acfefb63ee70c8eac13bf6b308a0e73e6fb8007,2020-09-04 15:01:50,merge
bedab7e87b038da11f93484c1bc1e036fea520b9,858c056133ed50af8dc31fdeee1638cb69ea2c69,2020-09-05 22:02:47,rebase
8b5c6a1b73206185e2451a92a5f8ca0036ca2212,7b1b271f43e9ceca3b195e7e3d56147d38919c2b,2020-09-05 20:54:26,merge
3acfefb63ee70c8eac13bf6b308a0e73e6fb8007,948e625e1ecbdb1d4771e1481b3d6534b21250c9,2020-09-03 05:31:32,merge
01b46013762f4dc6df30e048dc4c5dc51c128794,e57ea5f2a9437a1988510f2c53c449e89dffa155,2020-09-06 11:19:12,merge
e86b15b25c70070faf224d97073b6e5c4b032a91,04ab26b88591ce5afa427c9a8badb9fcf1b95685,2020-09-02 03:45:47,rebase
d9dd30a955073d602741481d48e1c56d1fcae420,c685a2ef487ebfffeb93274eee79d29c7e6bd6d1,2020-09-06 17:34:45,merge
a50cf35bdac7fe8bccd8ade3ce358daa8e00fc98,2bbbb34ce78ee30c1ee53a9cb3fd1e7608185716,2020-09-01 05:06:59,rebase
a166c2aadbb43f095325637874e7f2a7379d967a,4bcf54478ad4ce47908f2eb912b6d98d81e6a78d,2020-09-02 03:22:42,rebase
2a14acf7c963594edd66faffb346641e95a5e865,c14a9f6fcc0e74294e98913699c8a4a79f1f7321,,merge
ef5a09d4fc6b87343755db681dbc1c339b428296,3acfefb63ee70c8eac13bf6b308a0e73e6fb8007,2020-09-04 14:39:48,merge
b3f5083b8dc6469e3becd37eb9deb01eb1c33f5d,c6648fe8820003a92e034e7717a86c1e0616ffb0,2020-08-30 21:03:33,merge
4bcf54478ad4ce47908f2eb912b6d98d81e6a78d,2bbbb34ce78ee30c1ee53a9cb3fd1e7608185716,2020-09-01 10:50:21,merge
858c056133ed50af8dc31fdeee1638cb69ea2c69,7b1b271f43e9ceca3b195e7e3d56147d38919c2b,2020-09-05 20:55:07,merge
2bbbb34ce78ee30c1ee53a9cb3fd1e7608185716,b3f5083b8dc6469e3becd37eb9deb01eb1c33f5d,2020-08-31 12:25:16,merge
d6b280799fb873dfc40b8012d40d0bb54bc9d588,c3e6b6119cbcd1dc49a398074fa57b7467245c5e,2020-09-06 16:52:38,merge
24b5f69a4922e53baa46faf4f5e0b05da42cd2d5,3229ba0cdef530fe7ab18326537118f88355e111,2020-08-31 07:53:10,rebase
46e74142abe6d731c0456eb7680163ac7feccfa1,91109ffda23d0ce61cec245b1f4ffb99e7591b62,2020-08-28 04:48:27,merge
fbbc8cb8b110ebf05f33dd4bce83a59b7a79d822,91109ffda23d0ce61cec245b1f4ffb99e7591b62,2020-08-30 05:19:16,merge
b003e0fc778ee100ccbcd872587724ec82f42f89,43202964f39eed4e28fd8ad6ad0ec79a1868c33f,,merge
7b1b271f43e9ceca3b195e7e3d56147d38919c2b,3853276d9cacc99a2698117e904475dbf7033383,2020-09-05 11:32:58,merge
8a333afec53a48c90de7b0bde30f9db2d02d1898,8c49e3d50959e24dadd688f56a18f104bd5fd934,2020-08-25 00:59:41,merge
c6648fe8820003a92e034e7717a86c1e0616ffb0,8c49e3d50959e24dadd688f56a18f104bd5fd934,2020-08-30 07:06:33,rebase
c14a9f6fcc0e74294e98913699c8a4a79f1f7321,161cdba1e3b8b53f474b2e76655c8c1a5217802f,2020-09-01 07:27:39,rebase
8c49e3d50959e24dadd688f56a18f104bd5fd934,161cdba1e3b8b53f474b2e76655c8c1a5217802f,2020-08-22 22:34:52,merge
161cdba1e3b8b53f474b2e76655c8c1a5217802f,83f5bf435d84f314c251d3fe1ee7e670bec80d4b,2020-08-17 00:13:52,rebase
280ee90f24050ae57d8ffac7a90d4cd45b58ee56,2cea6ab0126a6197452fea6ce839874ad3fce9d6,2020-09-06 10:51:32,rebase
c219d3eec400b074525c528473fe9aa9d5ca06aa,37aa9c9c94551ffed8ba5721d5b8ea8e172d7377,2020-08-16 02:19:07,rebase
