merged_commit_sha,base_sha,date,merge_or_rebase
b3868d81d891e3a3ea8304c059d33ddc8885cbbc,f9890be2c7cbc4c64cbfd1c240453316f57ce44e,2020-08-23 20:53:09,rebase
106ae2433aca455fa60a00a242e0537c94440563,3a39be4a2d883d10b1aef44c6503aa93e38abbb4,2020-06-21 22:31:36,rebase
1872facb487832628c0dde062d6ff96b1be91540,f22a2953b9e1ef4e27eb1219a2c227cbe8ea70d1,2020-06-01 06:44:23,rebase
1a16d0fe7fa1b0013c66ced7ce12edf5e777f898,0127bee1d0d4429db5547166fbd78eccd61644c6,2020-03-22 00:31:52,rebase
a65043aec9d80b7c8621f491395912200a13900a,607763afca07b1de97ffaaf3fae625f26d8c9e3e,,merge
4207b415e676acf37c7855329cf7098f76e9ca52,607763afca07b1de97ffaaf3fae625f26d8c9e3e,,merge
a077c98fc2a92c3b62b6487cfb666053507595f5,79c13ba18aa749149e9fa1b091dd6c564d8c8202,2020-02-21 08:02:52,rebase
79c13ba18aa749149e9fa1b091dd6c564d8c8202,b91f10ce7313233da353e8aef44242f47f66f2fb,2020-01-07 14:12:54,rebase
b89f3bb1f3ee9cde1aa230f9b6b732087ec81a1d,b91f10ce7313233da353e8aef44242f47f66f2fb,,merge
1fe10288e128a030a58f6c591e083f16dcbb77a8,77dab78acdd139bda9658e5beaba429b221b288c,2019-06-01 01:32:29,merge
475bf854e408a0097a7140723a2507de4c24ef4b,b91f10ce7313233da353e8aef44242f47f66f2fb,,merge
abb46831a55a923acbf27ef8e6a9fa80472a1b0f,91a8ea3a506d7a70449154863c32228c998d5e87,2019-04-17 15:24:09,merge
524f37b59f51806d3224898946006d1494dabc14,bb64f3bba7c0a8b68cf227efbc6d16a5c7f4200c,2020-03-23 04:13:15,rebase
f80876988fef7738ab7bf7bde2e0149d8a0825e1,bb64f3bba7c0a8b68cf227efbc6d16a5c7f4200c,,merge
78258db9d01f307e7c16db4b4126052193a3f1de,de224445761e9a33dff22e105b8874d89ab8ee1f,,merge
577df6ba8747fe08159e29059defb27eeb604bf7,5bc864db3f297b550363ccb0164fee2291d7e5ef,2018-08-11 04:33:19,merge
00b5188e85dbaa4a9b829d3925f3fec8776978d2,b91f10ce7313233da353e8aef44242f47f66f2fb,2020-02-23 17:00:23,merge
0c3998f688a0b3ed733bec52e51747149aa31706,00ab5518c32055a5f198bce24e82a086077814d9,2015-07-09 18:08:41,unknown
f8ca4d1cb8b61d85c8df8be4528c3f986acf7ea3,00ab5518c32055a5f198bce24e82a086077814d9,2015-11-01 21:19:27,merge
2a98d462b56817279f3231e97ac36a420995531c,00ab5518c32055a5f198bce24e82a086077814d9,2017-07-24 21:01:48,merge
ee12022809e5f59fd01b8e2d93a3ab95e66ef9bb,11c1e60f5d22dde76a769e56b4c45fedaea86a87,2013-11-17 17:49:22,unknown
3010eca36d4e92442fd9e5b4d92284196962e565,39cdc9bd19f6b8a84ad5a792b8d58aa79cd0c456,,merge
4157976f5e22f0af334ded7617c02b88425de08a,776d987b694ed9b072093bf5c9f6fc017152bbb0,2012-12-07 15:49:01,merge
7bda42e3e687c0469c95930277dfb5d303ffdd2c,776d987b694ed9b072093bf5c9f6fc017152bbb0,2013-02-17 18:15:38,merge
f91d755545efb729fa96e5bec612f31b749fae46,8a8ab845a359825495b6b11997536bd28a560cd3,2013-11-26 08:38:50,unknown
85f920f3824b7466152fd4263fcea98126fc2695,6051d8b0c8f0caf47ddd3853e83b698870674a53,2012-07-20 14:58:44,merge
8d90e54eb3676b9c3c761f1c28dfa467463fd82c,7e3357576ae021e4e0a0aa7d9ef11afd674a2917,,merge
85d93574df78833d9212a08a44dfcf59457cba2c,5625498eccf2946048d00394131d2486c49797e3,,merge
da295ed5619b43a7b06f1c41e87aabb9c50ee055,5385f9cbaacdc80f6525c66018789fc0426adfe3,2012-02-12 14:53:40,merge
39ff1926528db877778ffc05a5efeadad02fb451,5385f9cbaacdc80f6525c66018789fc0426adfe3,2012-02-12 15:23:23,merge
e3cd198ed96ad5bd0319faa39bc27752566e3cfb,3f510d3a63dc891afa8de31790c315a076c27642,2011-05-20 17:35:21,merge
,9153c90c2e6bac3c1cb5c6166ca9020a2e32c9ef,2011-04-20 08:59:35,unknown
,7e5e34653d98b4a125993de74c2aaed8bd1c45e9,2011-03-20 13:33:36,unknown
,1b6f36bdeaad8795fab8f023c057f9a330efbdfd,2011-03-05 18:46:37,unknown
,064c7011605fe901cfb188034fb00af5a4a0a4fe,,unknown
,e4d27387420962d1183330bc0ec6b5807fd96dd3,,unknown
cb4e4ad8db374fccf5e9123d339d17b152566fd8,d8298c355662c701727ae270897923bdbfa58aac,,merge
141ef2d222547966422213424d0e41286e2b4ff7,03af4425dcbf46a11b7e55df4847cb356669c195,,merge
