merged_commit_sha,base_sha,date,merge_or_rebase
a5f7f369116ea8ec93e80f485f98532eaf0c58d2,580442cdca01918260748fe72b9757fdc4503e9d,2020-08-27 15:18:38,rebase
39f20fb2d92cecb6bcfbf205ac2504d60c80f41f,5e7f206050e0ec218e5acb9095ee7e62be562ede,2020-07-31 20:38:20,rebase
9cfe5e14226a4408ca9b9d37d67bfd4dc958f11a,f03992ede9480eb4f40bbd691ef9283bf8cc1482,2020-08-09 15:28:20,rebase
258f6190c435cc0a4d7eea7cefa4d42f9a5de80d,1614d716a473d2a82d6ee8a4665966d60822e0a8,,merge
5e7f206050e0ec218e5acb9095ee7e62be562ede,8b0d45a3bac7d7706a00bbfa7204e0d0c3c75c4a,2020-07-22 22:00:35,rebase
4af302f91a992c0c638d877b1bc032439248b326,147c9b2890237c101b8ab7d48f0e83e89b7513f3,,merge
8b0d45a3bac7d7706a00bbfa7204e0d0c3c75c4a,147c9b2890237c101b8ab7d48f0e83e89b7513f3,2020-07-15 22:50:17,rebase
147c9b2890237c101b8ab7d48f0e83e89b7513f3,96b6e20939fd5df1ed690eb3a67d9b8107cfc080,2020-07-12 17:04:02,rebase
9f4c5d6cab9643b6c3e0427c14589a202959b121,d1d5c8c3b5e1ac6fe4131a3fc58e63f7c466334e,2020-07-02 03:18:33,rebase
cd46659ba634dd527d2c678795b89d6fe1d8bbe4,9c235275c82310398989c94fa7819ec2ddb46e6b,2020-05-18 21:12:10,rebase
bbc6fc628b0884eed253cf2ec3798f1502408dba,d42a005a703da280376cd79dc88499d0e72b45a9,2020-04-27 20:39:07,rebase
d42a005a703da280376cd79dc88499d0e72b45a9,fec5516b4403b9feacced1e36617251349549786,2020-04-25 00:37:35,rebase
569658031886805a17429967c6bb1ab73c1ea514,f37421432ee78fe55318dca370a2a1ff2a45501a,2020-03-26 18:30:27,merge
230ae2b90421436597a189944deba51134588405,570de47004afbdf125bd316e047cc06c5a3527a2,2020-02-20 00:44:11,rebase
375626805d10c4b89257b8e623da1cf239da2a39,bc2629a2097cac17bbd0a8cfc0f953550246abef,2020-02-05 00:28:09,rebase
979a98093373053c8128faef54db1e809804d686,89720bdbcc0f94ef354a2bdd05c462c7f89c24fc,2020-02-05 02:39:18,rebase
b282bd734176eb16c552b4f102e15e1504d2c4a1,230ae2b90421436597a189944deba51134588405,2020-02-21 01:27:54,rebase
5c70dd04a9214aea2a1041fa58759ada05969239,4827419a1e5c8987204c322b701e2e5a584531aa,,merge
01972fd0a8f984cb887520489009957545f15671,4827419a1e5c8987204c322b701e2e5a584531aa,,merge
4827419a1e5c8987204c322b701e2e5a584531aa,ed5e083e17d2f0a098e174875bbbf5064fa7404e,2019-12-13 23:39:49,rebase
08de29e286043311c0954acf6d276869a9bde7ba,0b6aa7f9096aabd10cd34cd467faff99d1b3a2fb,,merge
1ea3d35ae54360e24a1ca95704cf84b5504864dc,a0eb5c07956e267fcb5717932cf09ffc755ec4db,,merge
a0eb5c07956e267fcb5717932cf09ffc755ec4db,71dc06a132a6758525197d27ca381f225ab4ee58,2019-12-10 00:01:30,rebase
71dc06a132a6758525197d27ca381f225ab4ee58,640dc7d8d7b176ca73611f3467a24f4a28dc434e,2019-12-09 18:45:19,rebase
640dc7d8d7b176ca73611f3467a24f4a28dc434e,110198a3afa0cec57ebddb406587bb6a1f77be79,2019-12-06 22:06:28,rebase
91bdf755cbfcfcf1df0f02e8cdff138962706b86,71dc06a132a6758525197d27ca381f225ab4ee58,,merge
110198a3afa0cec57ebddb406587bb6a1f77be79,e6c66dd2853c4da7e5d381edfc1380e9cee6654b,2019-12-06 01:22:11,rebase
14c8f3ae4f2f080e7f255ffbafcd6d719a656a8b,1679a4c7a2b7f5133157324cb0f8eac57e6f2814,,merge
e5be66678f4a51656ed733bad8cee510b602767b,484aa62153ab1ee278190a28883844a176402971,2019-10-23 23:58:10,rebase
91967ba36a323c0ec8353e5403a0046e9274dfc2,e5be66678f4a51656ed733bad8cee510b602767b,,merge
d30bcd505d5dfda06f718d87904ab39822883ea3,507a2e1b3d01c144310f9a0f74db57dbe31665e0,,merge
9ee3c98552441012afdadf5857a9ed7b650c983c,4cfab415f21ddab6451aaaf2701afa1f8a6bd07b,,merge
019cfba98c8ae40d3892e8af261e1a07e6738b79,fa6e50f47b4ce2ddf8e5208012abb6955fc504b8,,merge
3888dfea793b7b2c8bae977c63a576a3e720b48f,507a2e1b3d01c144310f9a0f74db57dbe31665e0,,merge
e2935a3a28ef01cfea438eda44a80ff03ba3d860,f13b382e33d50911b2ea9c99441d191fe9a491dc,,merge
df555a32c9282c20d7a3de2231bebd1b94bbaa13,f538f4ef2b43c0bb91322ec87763d7d1d4f07cb5,2019-09-05 18:53:26,rebase
6ed59992272985ec1ce2a3aac1c3440e0031f11e,f538f4ef2b43c0bb91322ec87763d7d1d4f07cb5,,merge
d86a162bb427a66e9f2645479bd601daa79b4d6e,4016b77f9d3ef2a537dac83b09c9a3e29b0e7851,,merge
4f231b614545d7a6004ad60ac513c0b824166635,4016b77f9d3ef2a537dac83b09c9a3e29b0e7851,,merge
4016b77f9d3ef2a537dac83b09c9a3e29b0e7851,a421963dc24a9dcef0f0ca84bac5739f3bf132b8,2019-06-20 21:56:14,rebase
a421963dc24a9dcef0f0ca84bac5739f3bf132b8,b22dbdf3a520c6aec3b323d4b0f2799acd300787,2019-06-04 02:03:34,rebase
89aedbfd45a57698827af60b7f57edb3a3939cbf,04e20231bf47c76ec22641c8fad711ff1f8afd93,,merge
04e20231bf47c76ec22641c8fad711ff1f8afd93,7bf1b869f101bbec29035bb39ebc71365a4b5afb,2019-05-03 16:54:03,rebase
c86560ae490b398a2073ebad2f750aa153834d8c,f879177fdedfb1d108ebe4d1dc55a075c21e0a12,2019-04-11 06:42:47,rebase
7bf1b869f101bbec29035bb39ebc71365a4b5afb,f879177fdedfb1d108ebe4d1dc55a075c21e0a12,2019-04-11 06:54:42,rebase
f879177fdedfb1d108ebe4d1dc55a075c21e0a12,812a4add66ea6c20fe676d3c6bc470a6d72b8dc2,2019-04-10 00:45:37,rebase
8c8eba7f8323fc427f0a800e4a23e2ec0bf9e625,2503d9ed9b69594f1043bc688f2e444aee8ed605,2019-03-20 06:05:21,rebase
5b1a7edbc50239ca922a47818175bb63ee76c75d,365fc75df14c2e22ff0bb59e99e3b30ed147f950,2019-03-09 17:30:13,rebase
ca1bb8f9842f7d618c7cf2c45b48ec5faac424d5,b5e4a6fb07542e1ffc4a9b7de71a010fe46b9a10,,merge
810d1e40d048fea3a12498f2692d8036cffd055f,ddbff6c3af36c4287ab97303072b81c73a8dffe2,2019-02-22 18:05:38,rebase
b5e4a6fb07542e1ffc4a9b7de71a010fe46b9a10,96dabf57b976eb85a38920430198bb50f67e923f,2019-02-26 00:27:03,rebase
ddbff6c3af36c4287ab97303072b81c73a8dffe2,a6772c46d4684366514d668322e6d279527291ad,2019-02-14 00:38:20,rebase
461ec48cb57b5e56e4bcb8be30de1ed124f48e76,e3eb372996926adb32aec546ea1d4534464d695b,2019-01-29 01:13:50,rebase
176d9290a7bb5e4ea93b3548f7e1fadd5fb9e6e6,0a9b1780a8d9e6b08002612ebd2222699bc158e2,2019-01-08 19:20:24,rebase
6c26905e0bd5e4ee4ce747972c28e7740d783d29,5e3f4930323fd90782dacec9235659c17ed03310,2018-11-21 00:38:20,rebase
5e3f4930323fd90782dacec9235659c17ed03310,ecf26ece48465f9473f4be169c563d3babcfb1fd,2018-11-15 03:59:15,rebase
