merged_commit_sha,base_sha,date,merge_or_rebase
ee3782cde993a08d81291954cc617230a9b6bece,1bb6a1d5c88f0063d795ba041968198eac47ee4c,2020-09-12 03:16:36,rebase
0b80fa8a6fc1d08530b39821ac057d42dabde33c,ce06d72c2440884108595665586902cb97d69993,2020-08-28 18:31:13,rebase
ce06d72c2440884108595665586902cb97d69993,34b97fe146c16e9657bd7f5f401d106239efa0d0,2020-08-28 17:51:33,rebase
34b97fe146c16e9657bd7f5f401d106239efa0d0,018df52280ba4dc82721ec2844e627d5a2092e9c,2020-08-24 16:05:51,rebase
642f870637486119d39331361a5e43f420beeb82,effbc3ee162e429ea6f198cc67927cdf01747c55,2020-08-23 06:38:20,rebase
78dd7bb247e7d34bf701dc24d52012ddf9a858b1,96217f218f77c77facdb3e8ec741d4b01a0cdd89,2020-08-12 05:32:20,rebase
ca2e2041cc9ecb3ed2ccd06877799ae166a5af06,96217f218f77c77facdb3e8ec741d4b01a0cdd89,,merge
317c6b54eb7b682676a388afb5c7f6c09fc72574,60b1d094b4eed70a61ba6f361936958ad3b94c93,2020-08-09 16:42:55,rebase
60b1d094b4eed70a61ba6f361936958ad3b94c93,be4fb775a5119b2bef7c8d9ede2c334170bef63f,2020-08-09 07:49:33,rebase
be4fb775a5119b2bef7c8d9ede2c334170bef63f,5c47c47955a87f8af34ca47e04ece0406df75805,2020-08-09 07:29:55,rebase
1eb15544a57e40b52fff29d695571b3e576625f3,61d3e3e16a91106f13869c9b23b82183558275a2,2020-08-06 12:56:31,rebase
6d26e6c6450f63b9af7237ec53087741a99c810e,264bc2d80dee67ff13200d5054b6702b0f841fec,2020-08-02 20:28:09,rebase
264bc2d80dee67ff13200d5054b6702b0f841fec,3ba9a7067f35ff1761b5af7328eaf11b94bc451a,2020-08-02 15:36:08,rebase
9dfe5ee5ee93a53cea87b9950234c0012afac9f1,cc30970341abdff6ca2622cabb5a27c38a3273a0,2020-07-24 16:00:16,rebase
be1916f625963643bd33bcc11915e982685641d8,d2752a6d1252f90cfdf51b50f6c11029d5fe998d,2020-07-21 07:00:35,rebase
4ba662358321bc188944f3965929a376aa9640b8,1cd8e584d05d565ae0df336461979f17a5d7ce5d,2020-07-20 15:21:56,rebase
7a6bc7e0da8b4e52b605ff33f9c430a7cd7b9314,1cd8e584d05d565ae0df336461979f17a5d7ce5d,2020-07-20 15:24:18,rebase
1cd8e584d05d565ae0df336461979f17a5d7ce5d,f314857f7d7e8d2d4f4a593e1e0ba1d12ef32c13,2020-07-20 08:05:05,rebase
