merged_commit_sha,base_sha,date,merge_or_rebase
5b036627a1014fd978c56096982b75a0e79bda42,9d26d81d4cd5213d99aac722a0c62ecb0ce02de6,,merge
9d26d81d4cd5213d99aac722a0c62ecb0ce02de6,17d24449dd0221604d6ddaf4a7949e6f7885dc7d,2017-03-22 09:51:36,merge
91aec16b5d2dffd21c1ca359b55ca2ea2c6ed612,17d24449dd0221604d6ddaf4a7949e6f7885dc7d,2017-03-22 09:51:02,rebase
17d24449dd0221604d6ddaf4a7949e6f7885dc7d,2b6ae3accbaa05c716b85138acc87ccbf1542fc7,2017-03-12 09:42:08,merge
059d951b574a0e0f324f0564e888b586550d2725,2b6ae3accbaa05c716b85138acc87ccbf1542fc7,,merge
2b6ae3accbaa05c716b85138acc87ccbf1542fc7,57073a937915f69ae060cc3e928ed097bfb100a8,2017-03-09 20:09:07,merge
c90ba34b910dae9cb5b4a02801155a8ff5d71419,090865b5b82b7d5486140f8e1353b37a3fe864b7,2017-03-03 11:17:44,rebase
090865b5b82b7d5486140f8e1353b37a3fe864b7,8ac9a6b1aa898e49cd02f65c590013569a09f1a0,2017-02-23 22:18:54,merge
8ac9a6b1aa898e49cd02f65c590013569a09f1a0,1f92586ccf965548d0a6477becc6be253771b706,2017-02-13 09:39:41,merge
1f92586ccf965548d0a6477becc6be253771b706,0f4b91d3464a8017fd7a82ca24d1238aa59d601a,2017-02-09 07:27:15,merge
0f4b91d3464a8017fd7a82ca24d1238aa59d601a,c8225f36c31777e7d18ae93bd7b7c0ac80511f90,2017-02-08 15:10:41,merge
e7bb37750d132e28be4883515d8cf52c1def5eaa,c8225f36c31777e7d18ae93bd7b7c0ac80511f90,2017-02-08 14:57:17,merge
c8225f36c31777e7d18ae93bd7b7c0ac80511f90,b4d62f43bbfb3be12b0c5acf4352bcb4629bd481,2017-02-01 16:03:44,merge
5b0dde17a30047637976afa13ec4cfe6f2a6211f,39e64b453f16590e68ef8077586e468c144f5e7f,2017-01-26 08:28:23,merge
e2a595f1c154321a0f0444ec0083f3ab2e3c39cf,30ebb446c9f01339ef65b72677976730836cf921,,merge
39e64b453f16590e68ef8077586e468c144f5e7f,30ebb446c9f01339ef65b72677976730836cf921,2017-01-25 17:12:40,merge
3da37f9f9495f2c1218ced3f83a8adffee99ddfb,c621eb1d07201fd2d8bcfe31dc1d3d7ae68ce314,,merge
30ebb446c9f01339ef65b72677976730836cf921,c621eb1d07201fd2d8bcfe31dc1d3d7ae68ce314,2017-01-25 16:07:13,merge
fa792e3839de914611076eab03e09492df9a5c16,c621eb1d07201fd2d8bcfe31dc1d3d7ae68ce314,,merge
c621eb1d07201fd2d8bcfe31dc1d3d7ae68ce314,d8135f6ed44f36418ab9ee78f9cb14e023778d30,2017-01-16 12:00:27,merge
