merged_commit_sha,base_sha,date,merge_or_rebase
92e74700b3119befc649dfc9c060d98b0000e0de,5a73abc3e93627b3ec0b55a9393faa9751cefd2b,2020-09-04 18:03:33,rebase
4a2de5b864465e493cd5df97faf6bdc99c828c52,4de0f97aa3b28e99f9bb378b1c4b459421d97893,2020-09-04 13:48:39,rebase
5008c2802cad0fb20278c7a4174a1545eee096af,e325f16d6a3b6e3b7810038bdc579477ea354cb3,2020-09-04 08:27:16,rebase
e325f16d6a3b6e3b7810038bdc579477ea354cb3,7bbd0d56530ad3758841595d81ab8deed069879d,2020-09-03 19:47:25,rebase
7bbd0d56530ad3758841595d81ab8deed069879d,31c742713e3481188069041ee3f5765da073ac9d,2020-09-03 15:32:37,rebase
647fcb1ac13abd8c2eb2554d526f4ad41fee6778,31c742713e3481188069041ee3f5765da073ac9d,2020-09-04 14:35:02,rebase
4de0f97aa3b28e99f9bb378b1c4b459421d97893,74590c8fd5e6579dc4cba0ef0181c4e8ea56ed90,2020-09-04 09:17:40,rebase
74590c8fd5e6579dc4cba0ef0181c4e8ea56ed90,ffb4feafc984df1dc45b745f13d187f38efb7a6b,2020-09-02 14:04:06,rebase
31c742713e3481188069041ee3f5765da073ac9d,ffb4feafc984df1dc45b745f13d187f38efb7a6b,2020-09-03 14:13:12,rebase
ffb4feafc984df1dc45b745f13d187f38efb7a6b,3254e98a79e5c1172c794ad38f222dc45f0fb65c,2020-09-02 09:18:45,rebase
997a69eb37736e9abf4bcfa070eafee8314c0fb6,3254e98a79e5c1172c794ad38f222dc45f0fb65c,2020-09-03 11:46:38,rebase
3254e98a79e5c1172c794ad38f222dc45f0fb65c,875d32fe559c51c5f9f5c33df53cae41e6a7256a,2020-09-01 16:43:45,rebase
1df5d9495953725fc94459c382d9d91a41752b2d,ac8760d089b279abc70f12db247c59fdc4b0fcc0,2020-09-01 08:31:29,rebase
9b1f746ca42dcad0206e175c461648a23cac961b,ffb4feafc984df1dc45b745f13d187f38efb7a6b,2020-09-03 14:08:23,rebase
ac8760d089b279abc70f12db247c59fdc4b0fcc0,c50597926f69286fce5c416d23271a302b2da962,2020-08-31 23:03:38,rebase
875d32fe559c51c5f9f5c33df53cae41e6a7256a,8bab999e2ed027d4a35642855ba43fabf8c09545,2020-09-01 08:51:01,rebase
fb0af8b60bbe51d53c27048973993e53d587fe73,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 06:58:32,rebase
b93e03ab043882bf77a1c2f1a9da31e8f6d97606,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 09:43:39,rebase
1f24b24723b508b9d0b1fe33c7fc035e68e125e9,192c2333fe2f4f435ed1577784d69ccf8736e064,,merge
1b83e176f78c3458bb3cd502ecce9d99aa26d0d4,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 10:47:05,rebase
6e56006a6a901a7025a298aec77b67f44b6a1caa,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 10:45:52,rebase
e103b53b8d84e6c654bd450055874e05e34ce8da,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 10:48:31,rebase
ad04857090542dfd1b6cc0cf3d5eb4cc2c5f1848,192c2333fe2f4f435ed1577784d69ccf8736e064,2020-08-31 10:43:57,rebase
2e083df41a18e9f897a955816c4570e55e6c0b39,e030010c6c9a2073d4150decf1e1ff749bfdb837,2020-08-31 11:58:23,rebase
07842079b563cd8c0d78d429391d441379816160,e030010c6c9a2073d4150decf1e1ff749bfdb837,2020-08-31 10:59:39,rebase
956a97b1d5eb2dbd702ec6ddd3fa9297dbb2b533,576775d6d15b7b69aebd2c464d932c28722eb4a0,,merge
9007dc237cf367aa6c745a1d313a796e4bb1296f,bb997dc5e3fd41e4ac3e7af01511d64abb162fed,2020-08-31 16:05:53,rebase
bb997dc5e3fd41e4ac3e7af01511d64abb162fed,98b4e48193a547367fb9e18f29a92833cff56f3d,2020-08-28 06:37:55,rebase
8bab999e2ed027d4a35642855ba43fabf8c09545,138dd7b88f1634447f838bc58088e594ffaf5549,2020-08-31 17:45:49,rebase
98b4e48193a547367fb9e18f29a92833cff56f3d,138dd7b88f1634447f838bc58088e594ffaf5549,2020-08-27 20:47:11,rebase
576775d6d15b7b69aebd2c464d932c28722eb4a0,19c8b1933b9ee301ccdbfbb3f165f314ee168bbf,2020-08-28 10:26:08,rebase
138dd7b88f1634447f838bc58088e594ffaf5549,19c8b1933b9ee301ccdbfbb3f165f314ee168bbf,2020-08-27 15:17:58,rebase
80b5cf25194e623a47ed87ad7cf8af9ea673a88a,2a8a7b095285e024c3e1001836b186e939f0583c,,merge
19c8b1933b9ee301ccdbfbb3f165f314ee168bbf,0bd45b5179196c1c87db6b6de4433647accaa88c,2020-08-27 12:10:38,rebase
0bd45b5179196c1c87db6b6de4433647accaa88c,8ba49f628092fe3fb1deea101910006aa6c76d49,2020-08-27 08:38:32,rebase
e90b2a5cea60a548146dd1c41ce9a2cc27dfc78d,8ba49f628092fe3fb1deea101910006aa6c76d49,,merge
192c2333fe2f4f435ed1577784d69ccf8736e064,8ba49f628092fe3fb1deea101910006aa6c76d49,2020-08-29 14:34:02,rebase
317e05a70601fe281adacd13d3c1ec5a7f107ce8,8ba49f628092fe3fb1deea101910006aa6c76d49,,merge
bebb6d2255bcea962de2b91204c36a27f43f63d0,2a8a7b095285e024c3e1001836b186e939f0583c,2020-08-29 14:32:34,rebase
fd684be8995c93b12eba2dff3a90c309152bd19d,0111511ea38a97503091ce34a3bb3621eedb8fcf,,merge
7debb78df7f1677953d0e73119196bd669898974,42104854cf8fbb12e21570b91b780e85cedc3a86,,merge
8b6555f9c1061712ef92e0bc1bb9806fdd229d33,80c06fb3bf3ddbf3fded77fab43df24c17131c1a,2020-08-25 06:44:47,rebase
ecad0c69881e984effef707d4a468c9fafde4135,80c06fb3bf3ddbf3fded77fab43df24c17131c1a,2020-08-26 09:05:27,rebase
d873ed152aee501fafed5766014b88ee145ce02b,80c06fb3bf3ddbf3fded77fab43df24c17131c1a,2020-08-26 08:07:03,rebase
4744e062ffe801fe2c7c1faa2bda385f293d5b37,2225f0ad35e757f156e19cac46918335ef16aa6b,2020-08-31 11:29:12,rebase
42104854cf8fbb12e21570b91b780e85cedc3a86,2225f0ad35e757f156e19cac46918335ef16aa6b,2020-08-25 03:14:14,rebase
2225f0ad35e757f156e19cac46918335ef16aa6b,e2ed74b734cfc8297a12770427bc6be6e38ed70f,2020-08-24 07:39:20,rebase
186f49a8706905f3975ee1ffeab3e54064d74f6f,e2ed74b734cfc8297a12770427bc6be6e38ed70f,2020-08-24 07:38:21,rebase
80c06fb3bf3ddbf3fded77fab43df24c17131c1a,e2ed74b734cfc8297a12770427bc6be6e38ed70f,2020-08-24 16:50:55,rebase
e2ed74b734cfc8297a12770427bc6be6e38ed70f,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-23 07:56:04,rebase
9e340a1c384cb837350db1e8b544633e9ea28416,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-23 07:53:44,rebase
39ad4245fd7a4d0ec4f99a5cbe0ed9f291fb6be2,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-23 07:53:19,rebase
32481cb65c7454c4621c502fe88a746c70a0af2b,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-25 08:31:42,rebase
8ff1a9380a7a189e79b66bdfced2feb46521a6ff,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-23 07:29:05,rebase
d2bb5e1a97592b0b28d66ad1052152ec394d8515,c6579afdc474e75686a1797d1322cfc3d6aaa601,2020-08-23 07:28:35,rebase
30f201f914ad427d7817fa2abd526ccf2e2c42e8,a675319e93b9c51e9779ec65922ec30539fb98d3,2020-08-22 15:30:45,rebase
f8fdd1db11ed51433ca23e3081f9c7fee072fb3e,a675319e93b9c51e9779ec65922ec30539fb98d3,2020-08-22 15:31:46,rebase
c6579afdc474e75686a1797d1322cfc3d6aaa601,a675319e93b9c51e9779ec65922ec30539fb98d3,2020-08-22 15:32:36,rebase
2738e381ea5d0e1a0bd815b215ead674d81ff0e6,4c314923de4d6de15178f49c9479b61aadce4c0e,2020-08-31 08:51:12,rebase
b50a29b616f7946ea3ecc07a4fbcc5c3cf0da23f,a675319e93b9c51e9779ec65922ec30539fb98d3,2020-08-23 07:27:27,rebase
a675319e93b9c51e9779ec65922ec30539fb98d3,2fa4272b1deee0ac605e173445659fc5fec293ef,2020-08-21 21:44:21,rebase
66c99e33bcf2971d8a3c9165bf9864774f0a8ccc,2fa4272b1deee0ac605e173445659fc5fec293ef,2020-08-21 21:43:08,rebase
