merged_commit_sha,base_sha,date,merge_or_rebase
295ebf16c0caf03c304747cda257b637d226fb6d,e9d77344d99064fba3c1b00374c1f4866952691d,2020-05-30 10:52:21,merge
fc0f0280fe9cda4941ce8f2a1f031245ab978f48,e9d77344d99064fba3c1b00374c1f4866952691d,2020-06-07 09:18:04,merge
e9d77344d99064fba3c1b00374c1f4866952691d,80744d7af9c18a97d2c5a2ce887dea54b00c764b,2018-12-11 00:17:29,rebase
80744d7af9c18a97d2c5a2ce887dea54b00c764b,b12ed1305b44bf44b980cd289937710a01c57fcf,2018-11-18 09:23:09,merge
b12ed1305b44bf44b980cd289937710a01c57fcf,5aba99f800c9463875a108152d97a4bab6a269c0,2018-10-11 22:49:12,merge
5aba99f800c9463875a108152d97a4bab6a269c0,5599cb5172adefb18d88fb41efd146563cf2810a,2018-08-27 06:17:03,merge
5599cb5172adefb18d88fb41efd146563cf2810a,e533a9d146ab021deed5c256baca3c2e4de519e4,2018-08-15 11:54:44,rebase
a31ee9692d37b7e83aa042b39e52ca5b0baab079,793b3f6c9f5138f431f6980d8676e77547ea3cec,2018-08-05 08:59:48,merge
e533a9d146ab021deed5c256baca3c2e4de519e4,793b3f6c9f5138f431f6980d8676e77547ea3cec,2018-08-07 08:44:57,rebase
793b3f6c9f5138f431f6980d8676e77547ea3cec,9ff842dd4f26eb2545749e825c049a5b80cd577c,2018-07-29 16:29:52,rebase
9ff842dd4f26eb2545749e825c049a5b80cd577c,8d55f0885a75da5c153b3589bd37cdd252e982be,2018-05-30 22:02:58,merge
8d55f0885a75da5c153b3589bd37cdd252e982be,d8c0fb285ea8b16bb060614fd9c0b237d8f61827,2018-04-17 11:22:31,merge
d8c0fb285ea8b16bb060614fd9c0b237d8f61827,214b4c5301d1691a706cc91fb787c8ea1b1e1e9c,2018-04-09 07:47:24,rebase
214b4c5301d1691a706cc91fb787c8ea1b1e1e9c,122c5ce0dd585c9b276d0f38e1c032165461bf22,2018-04-06 21:37:14,rebase
122c5ce0dd585c9b276d0f38e1c032165461bf22,5a9e7a108063862280a9266aabb8df1cd712b54e,2018-04-05 21:40:48,merge
5a9e7a108063862280a9266aabb8df1cd712b54e,dc3420c90ff3238f11d98bc6b7e5156badb501c2,2018-04-04 20:25:22,merge
2cef6ca7e684cd1db3499ce23b58019100722250,0f888920190d1eb1a4d31db8240a8ba55aeb62ff,,merge
dc3420c90ff3238f11d98bc6b7e5156badb501c2,0f888920190d1eb1a4d31db8240a8ba55aeb62ff,2018-01-09 15:02:52,merge
7f947f3e5a5f29db7bb80fdb68a3836828751bf2,0f888920190d1eb1a4d31db8240a8ba55aeb62ff,,merge
0f888920190d1eb1a4d31db8240a8ba55aeb62ff,932ba1f03229dbfb98ad88ff809c76fb33598aa5,2018-01-04 02:55:25,merge
932ba1f03229dbfb98ad88ff809c76fb33598aa5,f8e1f31546646d59fcb0d4ab6327787c93379bee,2017-11-15 07:32:43,merge
f8e1f31546646d59fcb0d4ab6327787c93379bee,a8cf5777ddbdf820ed152360cbd8d80b8ada5705,2017-11-04 21:59:51,merge
a8cf5777ddbdf820ed152360cbd8d80b8ada5705,4e62ea2bddf09ff45a67c057171e3c0a7a19a538,2017-10-31 07:12:17,merge
4e62ea2bddf09ff45a67c057171e3c0a7a19a538,f3cc8bcb8e697be5f96e33e6f5b161b82c7a0443,2017-10-24 08:38:47,merge
da0a2e5981741869ed901fdf44c9989c26c45d5e,fd3b8d8005b7813773bd517f883a351ee4b721ca,2017-08-12 09:44:28,merge
f6e3be110356876cba33dc362713362efe20abf4,407d5e35444f4573e0d6c3587afae202d839c0cb,2017-08-01 15:02:37,merge
fd3b8d8005b7813773bd517f883a351ee4b721ca,f6e3be110356876cba33dc362713362efe20abf4,2017-08-01 17:31:14,merge
f3cc8bcb8e697be5f96e33e6f5b161b82c7a0443,fd3b8d8005b7813773bd517f883a351ee4b721ca,2017-08-23 12:50:24,merge
407d5e35444f4573e0d6c3587afae202d839c0cb,a39cbf1e97180a352ff2d693d28185fcfb8d7896,2017-07-31 07:48:07,merge
a39cbf1e97180a352ff2d693d28185fcfb8d7896,fded1de1e650439b72bbde206a7292888f485f1e,2017-07-28 14:00:22,merge
2a20929d081ee85c1de100053295c930c271cbbd,fded1de1e650439b72bbde206a7292888f485f1e,2017-07-26 07:46:59,merge
fded1de1e650439b72bbde206a7292888f485f1e,ca9f4dacb13474dcddd8bb534c0d294f2b66f552,2017-06-27 07:04:22,merge
b5ade6c8cf200b55428eccf8cc09af002d5fb671,e43e01dce314a09562f92ed830677c3279935c37,,merge
0eaa6d9887735a351ba3cfda2432a16f25bfca15,376c7cb956dd9f5040bd404a8b29c61148d3d744,2017-03-06 00:07:42,merge
d5b4a4a596cf0a824019d0766eb8087f4c5ff995,17117785754694dee21fc73852b0c5bf4f1b4e8f,2017-03-05 10:43:15,rebase
17117785754694dee21fc73852b0c5bf4f1b4e8f,0625089e254c06166488eb32eb34e75b8ccd73a7,2017-03-05 04:21:19,rebase
0625089e254c06166488eb32eb34e75b8ccd73a7,b64807e2ebfe068c1094653415786a46842f2725,2017-03-01 09:08:34,rebase
b64807e2ebfe068c1094653415786a46842f2725,557a4d69f6434bf46328d8150a3383ba509f4a8c,2017-03-01 08:32:04,rebase
557a4d69f6434bf46328d8150a3383ba509f4a8c,4584d4ee95508e06604e83562d413247c0d6ef5c,2017-02-28 02:36:48,rebase
e43e01dce314a09562f92ed830677c3279935c37,173c984f0c865027c8ac920cd66b39184a48512c,2017-02-27 17:25:56,merge
4584d4ee95508e06604e83562d413247c0d6ef5c,a8d0ca90a9ca162c06c82277dd20283acb2a5e33,2017-02-27 10:15:36,merge
a8d0ca90a9ca162c06c82277dd20283acb2a5e33,87feb99d1f54b74d49320abb07e4f11d8135fda8,2017-02-27 05:57:14,merge
87feb99d1f54b74d49320abb07e4f11d8135fda8,2943eea9875ebdb348f66ee42474f9fc917eda37,2017-02-27 04:35:51,merge
2943eea9875ebdb348f66ee42474f9fc917eda37,173c984f0c865027c8ac920cd66b39184a48512c,2017-02-26 07:08:36,merge
ceb8443df52ae872a125832a3d89a13b00cd2b54,aa0f30ee906ea4811b99bda827175796dac0eb85,2017-02-22 08:54:46,merge
173c984f0c865027c8ac920cd66b39184a48512c,76ec57b642be836eaa7fd2a9ffa10fb1f9a60eae,2017-02-22 02:28:46,merge
2cee9c98b006bd778c93992f263a2d986a0103ea,76ec57b642be836eaa7fd2a9ffa10fb1f9a60eae,,merge
ca9f4dacb13474dcddd8bb534c0d294f2b66f552,e43e01dce314a09562f92ed830677c3279935c37,2017-04-07 04:25:18,merge
76ec57b642be836eaa7fd2a9ffa10fb1f9a60eae,6ec1c3930cf585c8492399a0ed34b5d9c09d6311,2017-02-17 09:51:16,merge
aa0f30ee906ea4811b99bda827175796dac0eb85,9423e56d0d98f5800217a65ac63991873cf7915a,2017-02-13 07:45:45,merge
6ec1c3930cf585c8492399a0ed34b5d9c09d6311,29c0480be93dd9e60120777cccb3e3fbbab55b88,2017-02-13 07:44:04,merge
29c0480be93dd9e60120777cccb3e3fbbab55b88,17de08e174258bdf883fd34dde77b3ade7160bc0,2017-02-12 18:48:07,merge
17de08e174258bdf883fd34dde77b3ade7160bc0,d742d510dc7f92315ab37d31b5b2d076b2d3dbd7,2017-02-12 18:38:34,merge
d742d510dc7f92315ab37d31b5b2d076b2d3dbd7,30cb5e846a3d6d3295e3836a99fe78428edca4bc,2017-02-12 06:33:18,merge
30cb5e846a3d6d3295e3836a99fe78428edca4bc,a459b4a73a90e1fff9227b0e9ba79d434d53edb7,2017-01-22 09:37:14,merge
9423e56d0d98f5800217a65ac63991873cf7915a,91ea8e8b82f91cbed818c3724e6efdbe576421e5,2017-02-12 19:44:18,merge
d86d5db6819a08c0f33cb3531381ab958dab2280,a7525c49c0acfb230e44c809eb6a1274d743f4a2,2017-01-21 09:25:28,merge
a7525c49c0acfb230e44c809eb6a1274d743f4a2,6b0172a88c897e999cf4dcfbb8c774c75ff7b12b,2017-01-21 08:48:23,merge
d7ee0bd94bd89c97017a6b88159b41bf09897edc,208ac1c8aa7e436b7bfa3368b48ae38a977e7b43,2017-01-21 08:08:11,merge
208ac1c8aa7e436b7bfa3368b48ae38a977e7b43,bf997661cf142d8baf2af573a5f817683b4b28cc,2017-01-21 07:41:28,merge
bf997661cf142d8baf2af573a5f817683b4b28cc,c73d4650469f889b3ad6ba94ee8a470831efa428,2017-01-21 07:31:57,merge
c73d4650469f889b3ad6ba94ee8a470831efa428,70d1fbb800d2e77afa25ee71ddbb59aac291e3d4,2017-01-12 10:13:03,merge
70d1fbb800d2e77afa25ee71ddbb59aac291e3d4,6f80483cfb3b2034d0178fbcbcb374f02eee2dd4,2017-01-12 03:11:42,merge
6f80483cfb3b2034d0178fbcbcb374f02eee2dd4,80a4c513ccba3082dad181f337ead3d9ef1d90b9,2017-01-12 02:33:30,merge
80a4c513ccba3082dad181f337ead3d9ef1d90b9,a089c1d03b1ca7d3a67845a9fa95db14c00997f8,2017-01-09 17:54:49,merge
a089c1d03b1ca7d3a67845a9fa95db14c00997f8,99e14315ce6eded83fa374326a3f69ca9b061a82,2017-01-09 05:51:59,merge
99e14315ce6eded83fa374326a3f69ca9b061a82,e228a88a148a8ba27c34956219a88895592182e4,2017-01-09 04:17:53,merge
91ea8e8b82f91cbed818c3724e6efdbe576421e5,89707e3e90e064ec442f6eb968ac041e6899aa6f,2016-09-06 08:21:51,rebase
cff8f5d606c3f2239a057bc92d2749aefdc1bd3e,b8b689d5628cf474a10b7fea85ac74156cf02ee9,2016-09-06 08:11:58,rebase
b8b689d5628cf474a10b7fea85ac74156cf02ee9,eb3bdddc44bccbf280fa0ea94f4bcee76ce37e0f,2016-09-06 07:59:24,rebase
a252cd4bb7977989afa2583b57582534dc91a68f,84eafddf8ff34593d577282f7a9ccc0f132d0093,2016-04-19 22:33:35,merge
84eafddf8ff34593d577282f7a9ccc0f132d0093,42e2642d88ccc5ccafe56d551a0da18d447ec3e0,2016-04-09 19:33:19,merge
89707e3e90e064ec442f6eb968ac041e6899aa6f,9f0f8dcbb7dc0db7171b9b68674b8c1e2ee089e3,2016-04-07 00:20:50,rebase
42e2642d88ccc5ccafe56d551a0da18d447ec3e0,f2506d5b1297079cf11b20643bee16d86b6a8856,2016-04-06 01:11:47,merge
9f0f8dcbb7dc0db7171b9b68674b8c1e2ee089e3,2d71357e432fd4a92ee0c33d8e87ac1fdfcd20a4,2016-04-02 02:07:15,merge
2ed8e70e101d6d88425c52d4e38fa6bfcb6af478,f2506d5b1297079cf11b20643bee16d86b6a8856,2017-01-03 02:01:53,rebase
bba3802ee596adae35089ef296c04070133fd314,dbebf1e8bf61f33d49aebbd432ece69453eb69f7,,merge
f2506d5b1297079cf11b20643bee16d86b6a8856,dbebf1e8bf61f33d49aebbd432ece69453eb69f7,2016-03-23 05:33:19,merge
b3772dc5b6f78b486b56cd85b168425e7078e4e5,c2d53cb0b8ee6d42681674d79629bb0f968f385b,2016-02-29 14:31:23,unknown
3ca5d52b3dfe21aa848a366264832cd73dc14254,d4d8e022924dbe50009825175474944e51cd0067,2016-02-28 20:08:17,merge
e31b1949dcfaf4699c91ee181d2b97857e5753ad,dbebf1e8bf61f33d49aebbd432ece69453eb69f7,2016-12-29 03:56:26,rebase
8cec0be29525b453a912804f17122cd4094179f9,caf2d1a1ed34f1684c4bf71eb89968f827f6e83a,2015-12-08 22:24:22,merge
f71bbf4d92319c2229866d9d619762a06b569157,caf2d1a1ed34f1684c4bf71eb89968f827f6e83a,2015-12-08 22:23:20,merge
31d733e3206d07a66bae5428eac6bb919947485d,144a01eb998a0b1dca67ac17c62e89900ee049c7,2015-11-14 14:13:45,merge
a7c35d2f60501de2a551d4e170467c140319586b,144a01eb998a0b1dca67ac17c62e89900ee049c7,2015-11-14 14:13:46,merge
dd3499b5b340ffa81487e0590cabb3b169bad3f8,d8525d6bc1814573972bfa6a0b6392f2e02ddc60,2015-11-03 23:11:10,unknown
2cad0ba9c1e4af6d9e36c1e588a658e7ba595c0d,2e2b2d5feedf1eb1b0e7f1fbabccd9ee9f4c41d4,2015-10-26 16:37:07,unknown
0deff0e669c4839c0e17220c9df2dde21cf196ab,d4d8e022924dbe50009825175474944e51cd0067,2016-02-17 15:05:46,unknown
be6b959fdecf865856894840f65bea41fa0019c4,288e7d5c6b3f2e6d4bd91da54a60e1ce8cc07514,2015-10-21 16:53:27,unknown
f2ff4ee9905680f3b3f32f508efcd78f89ae1661,088069c0fecc17e1d9dc34fbfe1cb4987544534d,,merge
bd71391115bc11955c520964882284879df5fd98,5b6e25b9e79fef9719e2a131c988dee09f4fd412,2016-02-14 02:55:27,merge
bf3b40789db77d87c7800258381b755c6430019a,bf8969a1781ac956d2374d41cdb0989e030819ff,2015-09-07 08:39:00,unknown
39401fe03ec6ac63c0e47dfcf4483ad6cee0e586,c6849ce28721b00d7760bb4f4da4e57acbd2621a,2015-09-03 15:08:58,unknown
