merged_commit_sha,base_sha,date,merge_or_rebase
3f20838fcb51633980d5dcdaaaf06dbc2969cc8e,0d75659ce6f2d4a8e125c5d10c53a508b28fcdad,2020-07-18 15:43:37,merge
63e6e604476db19e936eef3e6b4addf2ea56e3c7,73fa7c97aad0373272b0fe4d290cd577fb396d3b,2020-06-26 04:42:26,merge
b1e79978e0c1aea41d82f761317eaa90d3711541,5e7515649283341d1bd2e9e5b0e0d14d4bfe361a,,merge
6e9f445d2721e11f66241d60a84429b6053d199a,f2c83f97840dc4665ac8297a1d4a020e3c283245,2020-06-11 18:15:33,merge
9ef8d4ef803e8a77d9b77625dff4493f110dbd1f,c7e6a578c11da79a6534fb67a61aa57c5029e08b,2020-04-22 23:31:03,rebase
141a3076a8c1cc4bcd4d2af4113007d64b5f83eb,198434ead0090a4b88eb736059f07410e9acc89e,2020-04-21 06:24:00,rebase
f6d3d095a6a7cfc54e9d7020a65b3fda8d01b19e,b52b35637cdfed0c344e2ea54fc109953115ba3b,2020-04-20 17:33:59,rebase
990b693b8254b2093d128b2213c1ccbef7ceaa9c,198434ead0090a4b88eb736059f07410e9acc89e,2020-04-21 06:27:11,rebase
a2ae4b8a7aaa7cddd6d663fb588f1b773c6a7b54,f000125910814a6ac4e69581073b4a0459eaad4f,2020-03-29 03:36:15,merge
e9a5275fffa77ae7a21e61bea352056d8f320409,64b2dfb77ce52c87e301fd07ecd544da821011b2,,merge
4d0cef11035eb9696c3ed613c4edafd9767fe892,40646360d4df40e09c397f724461c7baf006c6a4,,merge
66f01b6979208021f057d44b59e748d069e67625,2f6319ded16aebfb739167897ee9fce9669a108a,2020-04-20 05:48:46,merge
9f15ab52d06cdaa8d5446c6eb200737f8c2a7050,1e0ae01bb287d62c93d153263b99f6710fa4704e,2020-02-17 05:59:15,merge
1eb08420f9c587e387f37ec7d9c5620f9cfd5b1b,d14a0732e971610af3efec691e667c2205451077,2020-02-07 01:01:44,merge
f960fce83cdbd117ffed5f6debc3970390ddda1a,e4382d9d26fa3c0608110ee51a9915691f9ad122,,merge
a07317deb181cde7e58cacd0c47f14fbfae4e6c1,72e630184754a51a577929bd6b75745f72ce1687,,merge
4126b3138cb6240314e3b0fb23c576368203ba28,0154cfdaa982a925e45a95f687c870d3bc133af3,2020-01-12 06:12:26,merge
00411646acaa840952a7b80f2654dc9d96716b4a,3f25eace082bcdbbcd41c0c705c79695ffd505f1,2020-01-11 11:06:27,merge
abaaf02c4b5655751b64c014c939acd93392aedf,3f25eace082bcdbbcd41c0c705c79695ffd505f1,,merge
406edac14a57a52ad204068eb30c91837bb9af00,ce361da0ffe6ab91e3a398e3bd6c6507d7161593,2020-01-11 04:36:46,merge
4e1eda5300571a9d9fa37f289db8b9ef06b90c40,3f25eace082bcdbbcd41c0c705c79695ffd505f1,,merge
ce361da0ffe6ab91e3a398e3bd6c6507d7161593,3f25eace082bcdbbcd41c0c705c79695ffd505f1,2020-01-09 07:41:47,merge
b61e3d3b20567e26404d09f3716c7ecbb7915d78,09e2948dcb4e1b0b80fbff46f0befd6eb899671b,2019-12-11 13:32:53,rebase
ca39e3663f460499d79c224dc8486056b8573a6e,c0047e95a78e44fcfaeea1cc405c8099e7d872a8,,merge
88ca6be74ea9fe47e3fb8c7a35612960ebab0f2c,c0047e95a78e44fcfaeea1cc405c8099e7d872a8,,merge
5da2fef6b7d3c1e178fef86829cedf8e6c4de159,4e23960088432e59164ced4847be5b7e722fa894,2019-12-09 06:38:50,rebase
960d18d7efd46756ce1274e9118f68d5ff6fbc20,5da2fef6b7d3c1e178fef86829cedf8e6c4de159,2019-12-09 06:57:02,rebase
11c09efa4f3931889c66be116cbd88958d40b308,41730631bb386c8c61c2790821db0560b52ceae1,2019-09-19 00:54:46,rebase
a689e9d85d862597005e334eda6a6c0d6550049c,41730631bb386c8c61c2790821db0560b52ceae1,,merge
9fe5a72ca4fb69e65a175dd39e91ce5a1f32f361,41730631bb386c8c61c2790821db0560b52ceae1,,merge
41730631bb386c8c61c2790821db0560b52ceae1,bf1961aabc4bde0edb040b0ff4e4fd2eec66e4ad,2019-08-26 22:53:20,merge
c1ec108ee8bc5a4e12dae0afa1d066824c920285,fdf2da1bcb090335c5ed27350b7588240e234911,2019-08-22 02:45:43,merge
a2a76bc6886eceffa6ee4f3befa6147216d91995,2ca9b6d8768094d05654018dac15e891c6845952,2019-08-19 11:16:53,merge
f30b9157cd133ceb83bf60c8ff432596c106300f,2ca9b6d8768094d05654018dac15e891c6845952,,merge
2177abcd650be7b906e2ed2aa9608d91b31111f8,3b6cd416939b14c66e18c260dff0272fa366f5a5,2019-07-19 09:23:22,rebase
