merged_commit_sha,base_sha,date,merge_or_rebase
255b465eac14fc05c29917cfbd5b6f0b01e9b1a6,e78db0fa41c9296caaf37579733917962da2f0be,2020-09-01 07:34:41,merge
2acac495d1a8c909d66c65e1d764b1dd22f68251,676e6069610c6e2a3a34b2f987f0c98df0bea3aa,2020-08-20 13:24:06,merge
e78db0fa41c9296caaf37579733917962da2f0be,94a1d68fbbf6d0700f3af88f83d47feedddb60ba,2020-08-02 15:36:17,merge
c8efd742b2d8f6e325816c810c4658c03d7f6b11,d423a24c57a59a5b0b5b1760b2a58d5add944e4a,,merge
2030163a33601940a383e1a43968456f40780566,82b58d8ca0569db624f5570eb363cb8d934dedba,2020-06-27 02:30:26,merge
45052214e92b33b4b6ff48568c183db1f69c9dab,444f1ba9f848335a4b245a4b06858ec0a1367b69,2020-06-20 02:19:11,merge
d423a24c57a59a5b0b5b1760b2a58d5add944e4a,82b58d8ca0569db624f5570eb363cb8d934dedba,2020-06-27 02:33:38,merge
82b58d8ca0569db624f5570eb363cb8d934dedba,7cb7678dbef042d1322ea892bb3f7d9a9f062bd9,2020-05-30 09:17:33,merge
444f1ba9f848335a4b245a4b06858ec0a1367b69,13689dbd6996d1af862cb22a7f7f8eec51dec31b,2020-05-30 09:16:09,merge
7da1252e6190b0ebfd46c9baa2909fb3dbf8af66,c13292bac887145f39a2b690deecad320cbfeaa1,2020-05-11 12:23:48,merge
5bc0099959900335ed1ea6181cab3035997e7a24,11c3e420fd33bb10404c5aa5400a5cdcbf4b72f8,2020-05-06 00:36:15,merge
2ea9a22afcfc2661af2ecdab51085523ddd93ec6,1bc2ba0eb383d0a818648fd0c7cb703cfb62f52d,2020-05-05 06:57:52,merge
c745c00a7903885e75712f443e91ca3b0a227be6,607ae6556715af6458e8d09b61bb198ab33b4405,2020-05-16 10:33:38,merge
597eb3c84884d1970a93016a996df98aaf979bee,20bfd9107a2accfb65cfae6d4a106709eb60db35,2020-05-05 03:11:16,merge
607ae6556715af6458e8d09b61bb198ab33b4405,873d8f1ca99a38d82f7e83a64c91f1bb38bb7643,2020-05-06 14:19:03,merge
11c3e420fd33bb10404c5aa5400a5cdcbf4b72f8,873d8f1ca99a38d82f7e83a64c91f1bb38bb7643,2020-05-01 03:07:48,merge
20bfd9107a2accfb65cfae6d4a106709eb60db35,2763b5dd064d1bb24b3f51cbdbea56b00ad80db2,2020-04-25 02:38:09,merge
873d8f1ca99a38d82f7e83a64c91f1bb38bb7643,b706cdf257052fa17283a6089456cebeab172f07,2020-04-23 13:51:30,merge
6962cfe3738ba5fad7310c87d339cc5f0c0b82a0,d8c9a7c85f8a7871e4b4a4085e1a7c52ef9d3751,2020-04-21 08:53:48,merge
b706cdf257052fa17283a6089456cebeab172f07,d8c9a7c85f8a7871e4b4a4085e1a7c52ef9d3751,2020-04-22 10:39:53,merge
67679167da63423cd3014df4e593ff125c4500b4,6f4fd01116e7aa4e6e464080106083bccdae46ea,2020-04-09 13:27:07,merge
6f4fd01116e7aa4e6e464080106083bccdae46ea,36defe9c9dbca2d63f036af7810586cd80243e0f,2020-04-04 11:02:55,merge
2763b5dd064d1bb24b3f51cbdbea56b00ad80db2,bd393af8b2a5487dc8e9101e4f5557dd634ac123,2020-04-04 10:07:12,merge
36defe9c9dbca2d63f036af7810586cd80243e0f,b915e5a63fc10fe491fc65e5466adb0a7404e776,2020-03-16 11:03:06,merge
b915e5a63fc10fe491fc65e5466adb0a7404e776,1faa8dea9fdacbce685f7e388b1ef54f141f90c7,2020-03-15 05:06:06,merge
a3d40ca5c640c3ceff36bd75729453a0ff531f17,94f00f6b1b480f91585d56e4f6e2b16bdf84036a,2020-02-18 05:23:51,merge
a343e32b898aa55298fdc001366f1bc599fa9c5f,94f00f6b1b480f91585d56e4f6e2b16bdf84036a,,merge
b21d605a14d8d90b3a1bd36e0889fd99f81d8df3,c76f7b98c2c7ed04d0d705a4ae212fa00fc366fc,2020-01-27 15:59:10,merge
94f00f6b1b480f91585d56e4f6e2b16bdf84036a,a67198fa0a451c860e17e2a6622719b7fbda3606,2020-01-30 03:08:45,merge
1faa8dea9fdacbce685f7e388b1ef54f141f90c7,a03e9a5b0a8ce13f1d72a7a23b261a694d3f0e70,2020-02-23 17:35:45,merge
c76f7b98c2c7ed04d0d705a4ae212fa00fc366fc,35950b9a5885154709fa66c5e4ca61a53d4a06cc,2020-01-15 02:28:18,merge
a67198fa0a451c860e17e2a6622719b7fbda3606,b21d605a14d8d90b3a1bd36e0889fd99f81d8df3,2020-01-30 02:34:55,merge
30f8b3ad7d9fea7c1f22dcaacaa4360cc2319a8e,c8740b3982a5d3cb53d40a1d6a4a7f798e09d909,,merge
efc5a256c68a1dc5fe99fbc1923112edc63c2907,2e954cbc6e36e5444b4e69b898fe11742a1d4bf2,2019-12-23 14:06:37,merge
fdb154a3f17671d784083d8e65a6d80d96a31491,6b87dbc539c532bd0c1b3b382ac1ceea1905b976,2019-12-18 02:08:29,merge
6b87dbc539c532bd0c1b3b382ac1ceea1905b976,0f0f41a4d4a969186f966ccdbc3bd51478894d63,2019-12-15 06:46:50,merge
39ad6fccf50ffbe400db50bb6df12cdae1872edd,1b77280f6d85c08a152a676ec9b0213f0bc98f43,2019-12-21 13:13:34,merge
